stock_id,stock_name,setup_id,setup_family,period,context_dimension,context_bucket,raw_signal_count,deoverlapped_signal_count,deoverlapped_trade_count,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day5_gross_median,day5_net_median,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,day10_gross_median,day10_net_median,median_mfe5,median_mae5,median_mfe10,median_mae10,plus8_before_minus5_rate,downside_first_rate,context_used_as_entry_gate
2345,智邦,C2,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_CLOSE_VS_MA60,ABOVE_MA60,0,0,10,0.5,0.5,0.00961549757224257,0.003762571306237331,1.3781431060671765,1.1335007920248998,0.0060174949533788324,0.00018982038413575646,0.6,0.5,0.017762410308113673,0.011876283573594878,1.9873265823652362,1.5799831765233943,0.006973666798994249,0.001148047525664093,0.025813577373673624,-0.025096700576335396,0.04005786598386041,-0.04082651460550302,0.2,0.4,False
2345,智邦,C2,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_CLOSE_VS_MA60,AT_OR_BELOW_MA60,0,0,3,1.0,1.0,0.03611893712867601,0.030134517307729865,,,0.04217926186291732,0.036169737473182924,0.6666666666666666,0.6666666666666666,0.04078001290272112,0.03476158242619268,11.136746064390703,6.864771632634283,0.03866432337434089,0.0326632290214345,0.04217926186291732,-0.0034482758620689724,0.04217926186291732,-0.012068965517241348,0.0,0.3333333333333333,False
2345,智邦,C2,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_RETURN20_SIGN,RETURN20_NEGATIVE,0,0,5,0.8,0.8,0.037150482498790896,0.03115371249416789,4.729336896994011,3.8162430497545423,0.04217926186291732,0.036169737473182924,0.6,0.6,0.03804203516956439,0.03204285066379573,3.812739710837481,3.033379875462013,0.03866432337434089,0.0326632290214345,0.04217926186291732,-0.0034482758620689724,0.04217926186291732,-0.012068965517241348,0.2,0.4,False
2345,智邦,C2,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_RETURN20_SIGN,RETURN20_NONNEGATIVE,0,0,8,0.5,0.5,0.00234492182681241,-0.003467412185659567,1.0917447514445018,0.8775458918683547,0.0060174949533788324,0.00018982038413575646,0.625,0.5,0.013719245742684766,0.007854166211943521,1.8826316694096394,1.4370743304827511,0.006973666798994249,0.001148047525664093,0.025813577373673624,-0.025096700576335396,0.04005786598386041,-0.04082651460550302,0.125,0.375,False
2345,智邦,C2,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_CLOSE_VS_MA60,ABOVE_MA60,0,0,2,1.0,1.0,0.09321630957925797,0.08688467764680322,,,0.09321630957925797,0.08688467764680322,1.0,1.0,0.1591755938518864,0.15246439328327743,,,0.1591755938518864,0.15246439328327743,0.09321630957925797,0.013851692283806838,0.21171984163949698,0.013851692283806838,1.0,0.0,False
2345,智邦,C2,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_CLOSE_VS_MA60,AT_OR_BELOW_MA60,0,0,7,0.5714285714285714,0.5714285714285714,0.009644325608802986,0.003795196223683623,1.2708021857486587,1.1001739350529274,0.01477104874446078,0.008883200913127644,0.5714285714285714,0.5714285714285714,0.017992199304250635,0.012098917285207606,1.6620367026526268,1.410189948772382,0.0075987841945288626,0.0017724164050452551,0.0214395099540583,-0.03101920236336775,0.026587887740029625,-0.06351550960118169,0.2857142857142857,0.5714285714285714,False
2345,智邦,C2,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_RETURN20_SIGN,RETURN20_NEGATIVE,0,0,8,0.625,0.625,0.015703039293667537,0.00981748804247398,1.503913467416475,1.2961507432286552,0.015042492212965497,0.00916151423462399,0.625,0.625,0.03465764807542984,0.028666917832864687,2.4574338366187454,2.1107375530395847,0.04594224924012158,0.03987419790409935,0.024013698847043963,-0.023932265806492437,0.05829394387001485,-0.049994836867460146,0.375,0.5,False
2345,智邦,C2,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0050_RETURN20_SIGN,RETURN20_NONNEGATIVE,0,0,1,1.0,1.0,0.12831858407079655,0.12179582451959994,,,0.12831858407079655,0.12179582451959994,1.0,1.0,0.1670353982300885,0.1602858649000906,,,0.1670353982300885,0.1602858649000906,0.12831858407079655,0.0331858407079646,0.27212389380530966,0.0331858407079646,1.0,0.0,False
2376,技嘉,C1,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_CLOSE_VS_MA60,ABOVE_MA60,0,0,18,0.5,0.4444444444444444,-0.016060604067064593,-0.02175497148480783,0.37375703284461703,0.23691616762037185,0.0008437873357228232,-0.004950536106764043,0.5555555555555556,0.5555555555555556,-0.008172740597902529,-0.013911960315370432,0.7939791865302632,0.6688720348522396,0.0243523079729977,0.01842323638146465,0.01650729286449193,-0.02810483870967745,0.03937656464507788,-0.03351851851851856,0.16666666666666666,0.3888888888888889,False
2376,技嘉,C1,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050_CLOSE_VS_MA60,AT_OR_BELOW_MA60,0,0,9,0.6666666666666666,0.6666666666666666,0.0011468112835123006,-0.0046409056616132215,1.0415441897002493,0.8419912458351544,0.030612244897959107,0.024666167088012284,0.6666666666666666,0.5555555555555556,0.020189606253286238,0.014281858541043194,1.7893215194999565,1.5212061601352516,0.04081632653061229,0.03479622570396941,0.03296703296703307,-0.016129032258064502,0.04285714285714293,-0.017921146953404965,0.3333333333333333,0.2222222222222222,False
