stock_id,stock_name,specialist_type,breakout_diagnostic_setup_id,breakout_discovery_net_pf,breakout_confirmation_net_pf,breakout_2025_net_pf,gap_behavior_diagnostic_setup_id,gap_behavior_discovery_net_pf,gap_behavior_confirmation_net_pf,gap_behavior_2025_net_pf,mean_reversion_diagnostic_setup_id,mean_reversion_discovery_net_pf,mean_reversion_confirmation_net_pf,mean_reversion_2025_net_pf,trend_pullback_diagnostic_setup_id,trend_pullback_discovery_net_pf,trend_pullback_confirmation_net_pf,trend_pullback_2025_net_pf,volatility_contraction_expansion_diagnostic_setup_id,volatility_contraction_expansion_discovery_net_pf,volatility_contraction_expansion_confirmation_net_pf,volatility_contraction_expansion_2025_net_pf
1101,台泥,CORE_SPECIALIST,A4,0.6022072421553665,0.2689334171138361,,E2,0.862775243362965,0.08866205548718446,0.0,C2,0.43322019526460537,0.4137700339010634,0.22009590181089309,B3,1.9773059417127066,1.1048231534557873,,D2,6.780344348480808,0.9342022028166624,0.0
1216,統一,CORE_SPECIALIST,A2,1.1984130920550526,0.38735395839185677,0.003721909870776322,E1,0.19546139481691832,,0.0,C3,1.6707343162599542,0.0,0.0,B3,1.3802057948406683,0.47358035488196304,0.45174246525412026,D2,0.7239585582354221,0.5540715829898691,0.45184314578037665
1477,聚陽,CORE_SPECIALIST,A2,0.7925914548275825,1.1154230007640742,1.495524188595137,E1,2.4186508720374573,8.808150124057773,,C3,1.1615161524432391,0.4833236515992034,0.5253896626034437,B2,1.7415003695873514,0.666236674205931,1.5167121684072342,D2,0.842180133093645,0.26146168491138466,
2308,台達電,CORE_SPECIALIST,A3,1.617998720710657,1.2686166831764931,3.922090564944282,E3,64.94545037893495,0.0,1.478760549978748,C2,1.3446780214755338,2.1531911142786107,0.8179853820911757,B2,2.189357008056717,0.30340420679248975,,D1,12.580878702505434,0.4685701678717389,3.0085085396917526
2324,仁寶,CORE_SPECIALIST,A1,0.6136759222882539,0.8497532210561638,0.23159366423601083,E2,0.0,0.14011821249750517,1.4880455326814535,C1,0.5587440183153052,0.7060542227252743,0.39684325636945267,B3,2.206829933379986,3.9604846036777688,0.9800689311622416,D2,0.31782388489683727,0.5223996550469999,0.30570948250589536
2345,智邦,CORE_SPECIALIST,A2,1.0723620032219259,1.479901297636372,1.1161562205639137,E3,2.5296469087871287,20.598770689491403,0.0,C2,3.641333094828778,1.4542640361288162,1.7554067641880766,B3,1.4290399976414718,3.7257007686597516,1.447075937355193,D1,2.1241071178155937,0.4895291976881797,
2357,華碩,CORE_SPECIALIST,A1,0.9944494599719248,0.8068823640119047,2.273844893650087,E2,1.2937818220885784,4.269688193085147,1.6890226326930247,C3,0.8189350906644559,1.7728516728803174,0.0,B3,1.2666914864244996,0.5752563979928308,0.608404330734117,D3,6.397110984984885,0.37397899401072987,0.3844773996779241
2376,技嘉,CORE_SPECIALIST,A3,0.965944111587664,5.020379332489676,0.793391475736174,E2,2.22675256921064,0.7103382332513263,0.02685662524542346,C3,2.8721426924335787,0.4090797749642813,0.0,B1,1.6382194053014698,2.8700596028584267,0.12568554506079702,D2,0.7353462997494851,0.31365976798477346,1.998497281265349
2379,瑞昱,CORE_SPECIALIST,A1,1.6637545065703796,0.8513084251439864,0.4320872932237601,E1,0.661091919971964,1.613522035807004,,C1,0.5519743704152357,1.2902096636893476,0.7879797764339576,B2,0.9116916655878304,0.7199181023462096,0.516471479616522,D2,0.9309617591338158,0.8205199839085741,0.19071338564746865
2454,聯發科,CORE_SPECIALIST,A3,1.6970546265582804,1.2607165510008054,0.0588062947039073,E3,0.9239133437829649,0.0,0.0,C3,2.1185249493807503,0.015598783900999827,1.7738967355868935,B1,2.9443850162846914,0.7305053559046726,0.6689659747224301,D2,1.2814982216469366,0.5890184983586441,0.21483307269714966
3017,奇鋐,REGIME_SPECIALIST,A1,0.423369199678855,1.5668703095633758,2.3238239802602627,E2,2.078899269209355,0.8333037531136323,0.7982614803609785,C2,1.5524125368106942,1.0749781795728541,0.9804667779148708,B2,1.2965228198441456,4.095903735244836,0.0,D1,1.3827531310416064,7.34373253774483,2.9633452148887036
3653,健策,REGIME_SPECIALIST,A3,0.501467443381372,0.8445386246549437,2.7970854985240816,E1,3.9710779911558025,2.4692784165384545,2.2087740749286624,C2,1.0655625578843178,10.736257789593008,3.105864113077297,B1,0.5234035950133961,2.0242855678005505,0.0,D3,0.18719656629641282,0.28115071542867937,
3661,世芯-KY,REGIME_SPECIALIST,A4,2.233225687216884,1.5542309981404026,2.5742560801185936,E2,2.148776893821923,1.872834363641617,0.02835179008353305,C2,1.0896181867510977,0.7896088055278915,2.9510105189944,B1,0.6635403013187726,1.781076552696779,0.38363465873518426,D3,1.7710992238393297,9.515240196524761,
8046,南電,REGIME_SPECIALIST,A2,4.001093463533637,0.1375064434741164,1.1611993555424418,E1,1.2356498406879757,0.8966510151909659,1.5103299524027458,C2,1.1397335196857996,0.5192970243434736,0.7038724663851561,B2,1.4634885463372838,0.0,0.837740780053373,D1,7.670427290810625,0.14067744927328674,31.11575338041367
9958,世紀鋼,CORE_SPECIALIST,A1,0.40332892888089034,0.9769731811048682,0.7987143791347517,E1,0.3158387136725211,1.3193233093344605,2.0329280669432395,C3,7.533853327586721,0.11371813914042969,0.0,B3,1.3132046766696606,0.39413890746509506,0.0,D3,2.4429677257161826,4.469545623453161,
