stock_id,stock_name,period,setup_id,setup_family,raw_signal_count,deoverlapped_signal_count,deoverlapped_trade_count,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day5_gross_median,day5_net_median,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,day10_gross_median,day10_net_median,median_mfe5,median_mae5,median_mfe10,median_mae10,plus8_before_minus5_rate,downside_first_rate,sample_gate_pass,day5_net_mean_pass,day5_net_pf_pass,annual_consistency_pass,top5_tail_pass,quarter_concentration_pass,positive_discovery_years,minimum_annual_day5_net_mean,top5_removed_day5_net_pf,maximum_positive_quarter_share,discovery_candidate_pass,discovery_gate_status
1101,台泥,HISTORICAL_DISCOVERY,A1,BREAKOUT,73,31,31,0.41935483870967744,0.3548387096774194,-0.003384068718091117,-0.009150137105928708,0.740099415792432,0.4465035105008771,-0.00465657741559955,-0.010412035592872458,0.5161290322580645,0.3548387096774194,-0.0012216773070186989,-0.007004735458765353,0.9261636207939681,0.6439403773157225,0.001175088131609936,-0.004625291934349774,0.006920415224913379,-0.010989010989011061,0.010739856801909475,-0.0177824267782426,0.06451612903225806,0.16129032258064516,True,False,False,False,False,False,1,-0.019562102645214244,0.15061330492246533,1.0,False,FAILED_ROBUSTNESS_GATE
1101,台泥,HISTORICAL_DISCOVERY,A2,BREAKOUT,31,19,19,0.3684210526315789,0.3157894736842105,-0.005789832285772795,-0.011543272362859187,0.6412729210301849,0.4213892116908371,-0.00465657741559955,-0.010412035592872458,0.3684210526315789,0.2631578947368421,-0.010750810314038637,-0.016478310154815608,0.43921455057136966,0.2810027301476633,-0.009363295880149836,-0.015104800211487128,0.0052301255230124966,-0.013636363636363669,0.00878477306002945,-0.0177824267782426,0.05263157894736842,0.15789473684210525,False,False,False,False,False,False,1,-0.01982000076048381,0.09708883144540488,0.9242169040808764,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,A3,BREAKOUT,38,18,18,0.5,0.4444444444444444,-0.003267258094785952,-0.00903209026820286,0.7906854772766307,0.5163146771763105,0.0005500550055005382,-0.005248500438268616,0.4444444444444444,0.3888888888888889,-0.004382350287820556,-0.010146327300058742,0.7993649338040774,0.5961551630397538,-0.009590751462689617,-0.015332237872303882,0.0032300354636102258,-0.015260958553641457,0.009141398385700716,-0.018944816338938575,0.1111111111111111,0.2222222222222222,False,False,False,False,False,False,1,-0.020813644800702035,0.15059728895692578,0.9201284961419497,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,A4,BREAKOUT,19,11,11,0.5454545454545454,0.45454545454545453,-0.002961221766193239,-0.008728579049746915,0.8441007389362906,0.6022072421553665,0.0011001100110010764,-0.004700553210333519,0.36363636363636365,0.36363636363636365,-0.014814159107401227,-0.020516703610405442,0.44734169471565494,0.3236372459201553,-0.01038062283737029,-0.01612000852817502,0.004259850905218299,-0.013636363636363669,0.006920415224913379,-0.020902090209021007,0.09090909090909091,0.2727272727272727,False,False,False,True,False,False,2,-0.026048846652790215,0.092918457463605,0.9078536350550346,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,B1,TREND_PULLBACK,23,14,13,0.5384615384615384,0.46153846153846156,-0.0036592204490638945,-0.009421012647073837,0.7715876644167259,0.4957749963050621,0.004705882352941337,-0.0011020360721342333,0.38461538461538464,0.3076923076923077,-0.01372220712575186,-0.019431691364748708,0.4020522519857261,0.2682534419482102,0.0,-0.005798907554023099,0.00941176470588223,-0.008196721311475419,0.015655577299412915,-0.010537407797681753,0.0,0.3076923076923077,False,False,False,False,False,True,1,-0.029167454789158147,0.32565966449338934,0.4059763329495217,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,B2,TREND_PULLBACK,27,15,15,0.6,0.6,0.0026880892503841143,-0.0031103598337706203,1.2273604917673184,0.7789395131541579,0.012658227848101333,0.006797188342151615,0.4,0.4,-0.013520484681377832,-0.01923340636976671,0.4037121336371852,0.2608088697616495,0.0,-0.005798907554023099,0.012658227848101333,-0.005934718100890302,0.026706231454005858,-0.014641288433382194,0.0,0.26666666666666666,False,False,False,False,False,True,1,-0.015352126974168942,0.6450040700221431,0.4778550317837417,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,B3,TREND_PULLBACK,13,8,8,0.5,0.5,0.010669892528494054,0.004824376240493023,6.194990122893042,1.9773059417127066,0.006349206349206327,0.0005186831761950558,0.625,0.375,-0.0003903765801841208,-0.006180234179724183,0.9751808035821512,0.6557943258168925,0.005237979075188415,-0.0005745656394272738,0.013221360895779521,-0.002765486725663735,0.01803746920432081,-0.008971728226174203,0.0,0.125,False,True,True,True,True,False,2,-0.008752211098198768,0.9872771909006801,0.8989480481319575,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,C1,MEAN_REVERSION,205,52,52,0.5192307692307693,0.4423076923076923,-0.003770955646463606,-0.009533328729966038,0.7259318597672025,0.42825326709279316,0.0024901922595363946,-0.003312966918957191,0.5384615384615384,0.5192307692307693,-0.004670976844811569,-0.010429917017168142,0.7662763940672074,0.5386322498306056,0.006854513257279038,0.0010395694009193881,0.006388420307993692,-0.008260351286916767,0.017624142979689505,-0.014526753364186129,0.019230769230769232,0.21153846153846154,True,False,False,False,False,True,1,-0.018477928574684402,0.27655131424506274,0.7365159070104643,False,FAILED_ROBUSTNESS_GATE
1101,台泥,HISTORICAL_DISCOVERY,C2,MEAN_REVERSION,163,41,41,0.43902439024390244,0.4146341463414634,-0.004954442769548337,-0.010710460097234812,0.6836805058849555,0.43322019526460537,-0.006191950464396356,-0.011942979495749833,0.5609756097560976,0.5365853658536586,-0.004320833928754223,-0.01008081712993022,0.8034479352126478,0.5871728360166047,0.006485084306095956,0.0006717401642815402,0.006038647342995196,-0.011042944785276121,0.01661474558670828,-0.014329580348004134,0.024390243902439025,0.21951219512195122,True,False,False,False,False,True,1,-0.018696106118763926,0.23671169943451575,0.3744861114722757,False,FAILED_ROBUSTNESS_GATE
1101,台泥,HISTORICAL_DISCOVERY,C3,MEAN_REVERSION,6,4,4,0.75,0.5,-0.0013159205069361302,-0.007085078073305536,0.8684079493063871,0.40747486317022713,0.005271384792579381,-0.0005389652695947875,0.75,0.75,-0.005608702035992008,-0.011359234363808151,0.5762314017250485,0.2221159208112156,0.008196732550406982,0.0023627087305175586,0.01171921597663561,-0.019476278060743313,0.014058397263185363,-0.019476278060743313,0.0,0.25,False,False,False,False,False,False,0,,0.025458664946717342,0.9375208945439127,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,D1,VOLATILITY_CONTRACTION_EXPANSION,32,14,14,0.6428571428571429,0.5714285714285714,0.021407556457414663,0.015498163896432124,6.0130803060197655,3.4375758603154742,0.007355388773739424,0.0015390523484830646,0.6428571428571429,0.6428571428571429,0.030778491093147207,0.02480856034957274,5.96130295542594,4.012130535621514,0.029746286163713886,0.023793695158858895,0.012152874137388858,-0.0021623096704964095,0.036481993590983475,-0.005343030337365107,0.21428571428571427,0.07142857142857142,False,True,True,True,True,True,3,0.005745321404452198,2.05657696806014,0.4871642957525505,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,D2,VOLATILITY_CONTRACTION_EXPANSION,19,9,9,0.7777777777777778,0.6666666666666666,0.022354582381847336,0.016440140133126512,18.077303170891252,6.780344348480808,0.010869565217391353,0.005011430259344911,0.8888888888888888,0.7777777777777778,0.037965230208791674,0.031954138410925495,28.278017905016792,13.565083930584732,0.017391304347825987,0.011517534411993562,0.015276145710928501,-0.0023866348448687846,0.018478260869565277,-0.004264392324093702,0.2222222222222222,0.0,False,True,True,True,True,False,3,0.004256303752055845,1.9780457360994872,0.797046956364544,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,D3,VOLATILITY_CONTRACTION_EXPANSION,19,9,9,0.4444444444444444,0.4444444444444444,0.01301137398869481,0.007145063431779249,2.9478508737579645,1.7244454662144841,-0.0019379844961240345,-0.007734352915362201,0.5555555555555556,0.5555555555555556,0.02750500045738195,0.021548424814127318,6.326128649027613,3.7947557577393374,0.00835322195704058,0.002502720083428105,0.013565891472868241,-0.0023866348448687846,0.013565891472868241,-0.005813953488372214,0.2222222222222222,0.0,False,True,True,True,True,True,2,-0.007139389707276489,1.011207004312053,0.46158880358225324,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,E1,GAP_BEHAVIOR,0,0,0,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,,,,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,E2,GAP_BEHAVIOR,6,5,5,0.6,0.6,0.005366861758525498,-0.0004581210183763355,6.22323525571475,0.862775243362965,0.009578544061302763,0.0037256551816501854,0.6,0.6,-0.008119855676231103,-0.01385918399280196,0.6561027424053393,0.462691473859195,0.017391304347825987,0.011517534411993562,0.010869565217391353,-0.009842519685039353,0.029527559055118058,-0.011523687580025532,0.0,0.2,False,False,False,False,False,True,1,-0.006996287736765551,0.5234182127712945,0.5305935495344086,False,TOO_SPARSE
1101,台泥,HISTORICAL_DISCOVERY,E3,GAP_BEHAVIOR,0,0,0,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,,,,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,A1,BREAKOUT,65,26,25,0.52,0.4,0.0003234977859540411,-0.005467629570137708,1.0344395025340358,0.5614193398225977,0.0013586956521740579,-0.004442124565198451,0.48,0.48,-0.0028775096477796458,-0.008652962070054775,0.7905834014185749,0.48102308563755236,-0.004373177842565523,-0.010132657887801126,0.011816838995568624,-0.004366812227074246,0.01624815361890697,-0.02183406113537123,0.0,0.04,False,False,False,False,False,True,0,-0.00865009534456999,0.2459198463190216,0.40970983435302033,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,A2,BREAKOUT,23,11,11,0.7272727272727273,0.5454545454545454,0.007221312260559876,0.0013966490388875855,2.3519009917666196,1.1984130920550526,0.006747638326585648,0.0009315126639250449,0.36363636363636365,0.36363636363636365,-0.00755249806683174,-0.013305367147677456,0.5770373471277016,0.37944478391019254,-0.016176470588235237,-0.021872964082408478,0.014965986394557707,-0.0013605442176869431,0.01624815361890697,-0.02102102102102088,0.0,0.09090909090909091,False,True,True,True,False,True,2,-0.0033584606570840067,0.3633498926816713,0.7067235037808742,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,A3,BREAKOUT,24,12,12,0.5,0.25,-0.00432288628949178,-0.010088546137297722,0.582336908396881,0.2815821378740239,-0.0036684782608694677,-0.009441156649849174,0.4166666666666667,0.4166666666666667,-0.012784065090296151,-0.018498833883440726,0.34833808054804816,0.19155033697902288,-0.0181262351778656,-0.023815862273104994,0.0036613272311212253,-0.011632594298876975,0.012590579710144878,-0.026481331168831224,0.0,0.08333333333333333,False,False,False,False,False,False,0,-0.027742055375838817,0.08176633195318708,1.0,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,A4,BREAKOUT,7,4,4,0.5,0.25,0.0006000870604757347,-0.005187066075278553,1.1393764018429304,0.34354268742161564,0.00011674149605184203,-0.005666895303745426,0.25,0.25,-0.028845110528515877,-0.03446986367693644,0.10784255078663933,0.055328342227517646,-0.028902132350408227,-0.03453280193338311,0.013044330747403854,-0.008249413421827223,0.013044330747403854,-0.028902132350408227,0.0,0.25,False,False,False,False,False,False,0,,0.0,1.0,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,B1,TREND_PULLBACK,42,21,20,0.45,0.4,0.0015458636494846412,-0.004254674537982998,1.308395085436764,0.4834796841208097,0.0,-0.0057971704521898055,0.5,0.35,0.0015318885477458965,-0.004270287736543847,1.1852649677512497,0.6284276826724484,-0.001955034213098783,-0.007735137909560535,0.011877840236049098,-0.010553426537033117,0.014772628087632023,-0.017266608135791672,0.0,0.0,False,False,False,False,False,True,0,-0.010712672538218478,0.31357799614404896,0.5494323933578058,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,B2,TREND_PULLBACK,40,21,20,0.45,0.4,-0.0033456954676412743,-0.009120295128071308,0.688645622745149,0.34561420234180473,-0.006129129659906085,-0.011883003548965595,0.45,0.4,-0.002419131295835919,-0.008192602509556815,0.7759848705032532,0.41512339833235684,-0.0007267441860464574,-0.006523733043534395,0.01195570622724862,-0.012048862625492485,0.015170097374583968,-0.021802325581395332,0.0,0.05,False,False,False,False,False,True,0,-0.01580585944507227,0.24519850629990925,0.5498143578548566,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,B3,TREND_PULLBACK,13,11,11,0.6363636363636364,0.6363636363636364,0.008700579737989211,0.002857611369953721,2.600013116705255,1.3802057948406683,0.01178203240058906,0.005921440816944901,0.5454545454545454,0.36363636363636365,0.001299667754779632,-0.004498273485325717,1.1368055618026427,0.6428652139962325,0.0015174506828528056,-0.004288397063994847,0.012213740458015154,-0.004398826979472137,0.021592442645074428,-0.007633587786259555,0.0,0.0,False,True,True,False,True,True,1,-0.007593619578532797,0.9612581589238928,0.6037289904621534,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,C1,MEAN_REVERSION,163,51,51,0.5686274509803921,0.43137254901960786,0.003133352330065143,-0.0026724505752145854,1.5139303293891238,0.7032903866243044,0.0014903129657228842,-0.004314453016852575,0.5098039215686274,0.43137254901960786,0.0022463071021738726,-0.0035586653069960153,1.210173262579171,0.7400402899938527,0.0014064697609001975,-0.004397269539628743,0.011272141706924144,-0.0048154093097912964,0.024079320113314484,-0.010542168674698815,0.0196078431372549,0.058823529411764705,True,False,False,False,False,True,1,-0.005784771533833633,0.4187041614541867,0.2590734520542036,False,FAILED_ROBUSTNESS_GATE
1216,統一,HISTORICAL_DISCOVERY,C2,MEAN_REVERSION,94,35,35,0.4857142857142857,0.4,0.00171305189518001,-0.004086551811637354,1.2337079528092958,0.6127590559774048,0.0,-0.005797816695265283,0.6,0.5142857142857142,0.005043096229826711,-0.0007740015678244299,1.4394394952833938,0.9447729706408577,0.007633587786259444,0.001814969581674535,0.013698630136986134,-0.005681818181818232,0.023809523809523725,-0.009433962264150941,0.02857142857142857,0.08571428571428572,True,False,False,True,False,True,2,-0.011298154146329085,0.4278116515203602,0.24274882116640634,False,FAILED_ROBUSTNESS_GATE
1216,統一,HISTORICAL_DISCOVERY,C3,MEAN_REVERSION,17,7,7,0.5714285714285714,0.5714285714285714,0.008187088026322462,0.002356661649898987,8.877529399393113,1.6707343162599542,0.006134969325153339,0.00031909263492634255,0.7142857142857143,0.5714285714285714,0.013866501049057067,0.008003388789665425,22.865408608708456,3.747558350418181,0.018131101813110062,0.012249509481191672,0.017832647462276974,-0.0014064697609000865,0.029288702928870203,-0.0028011204481792618,0.0,0.0,False,True,True,True,False,True,2,,0.721891044490325,0.5080085623753803,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,D1,VOLATILITY_CONTRACTION_EXPANSION,8,7,6,0.3333333333333333,0.3333333333333333,-0.00680055325959994,-0.012556192355928813,0.31150953807891035,0.08259928380504261,-0.00803514172117481,-0.013779905645570377,0.6666666666666666,0.6666666666666666,0.006957187837905998,0.0011240960708115884,2.0370076485012456,1.1306422829087155,0.01022188021033743,0.004366680468350412,-0.002054424915201969,-0.011722457355393068,0.0116968064640246,-0.01462100808003075,0.0,0.16666666666666666,False,False,False,False,False,True,1,-0.027280207348478636,0.040945061288317194,0.5042927807345281,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,D2,VOLATILITY_CONTRACTION_EXPANSION,11,6,5,0.6,0.2,0.003242052161488851,-0.0025677522832251156,1.5535556310664371,0.7239585582354221,0.002902757619738683,-0.00290844704162853,0.8,0.8,0.009494823959613385,0.0036566910992526158,3.690200121890452,1.783351967222922,0.011594202898550732,0.0057343307207502895,0.0029197080291971655,-0.013138686131386912,0.011594202898550732,-0.01449275362318836,0.0,0.0,False,False,False,False,False,False,1,,0.0,1.0,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,D3,VOLATILITY_CONTRACTION_EXPANSION,4,4,4,0.25,0.25,-0.0073650191398304254,-0.01312091441169331,0.23829845523423038,0.06020866580241659,-0.00803514172117481,-0.013779905645570377,0.75,0.75,0.005987762179228279,0.00015818520500944576,2.0594816844187442,1.0223691901873084,0.01022188021033743,0.004366680468350412,-0.002054424915201969,-0.011722457355393068,0.0116968064640246,-0.01462100808003075,0.0,0.25,False,False,False,False,False,False,1,-0.02828626404172562,0.0,1.0,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,E1,GAP_BEHAVIOR,3,3,3,0.6666666666666666,0.3333333333333333,-0.004487789296437598,-0.010252333588071755,0.5697841988096869,0.19546139481691832,0.004497751124437732,-0.0013114696352812248,0.3333333333333333,0.3333333333333333,0.005167159847714246,-0.0006650075420435315,1.3607572133501622,0.9632775861025356,-0.007407407407407418,-0.01315201901108103,0.0059970014992503096,-0.004497751124437732,0.014814814814814836,-0.007407407407407418,0.0,0.0,False,False,False,False,False,False,0,,0.0,1.0,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,E2,GAP_BEHAVIOR,2,2,2,1.0,1.0,0.027061976864478532,0.02111223995835306,,,0.027061976864478532,0.02111223995835306,1.0,0.5,0.00730145430606266,0.0014658186366656055,,3.0773548890486198,0.00730145430606266,0.0014658186366656055,0.027795114694390555,-0.0036571394372578725,0.028523977668151512,-0.0036571394372578725,0.0,0.0,False,True,False,True,False,True,2,,,0.6224150071316924,False,TOO_SPARSE
1216,統一,HISTORICAL_DISCOVERY,E3,GAP_BEHAVIOR,0,0,0,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,,,,False,TOO_SPARSE
1477,聚陽,HISTORICAL_DISCOVERY,A1,BREAKOUT,89,36,36,0.4444444444444444,0.3888888888888889,0.000988308038228201,-0.004811119451379075,1.066678193846234,0.7335499766604857,-0.003861582141647779,-0.009643664718310723,0.4722222222222222,0.4444444444444444,0.00783935211321319,0.002004964579986496,1.4178258487541888,1.0921049706689923,-0.005195737103675546,-0.010974935673128575,0.01858716918957881,-0.018663199831208954,0.03377130593197075,-0.02413240637427405,0.1388888888888889,0.3333333333333333,True,False,False,False,False,True,1,-0.017303454784854313,0.4286412580336603,0.5636514700568759,False,FAILED_ROBUSTNESS_GATE
1477,聚陽,HISTORICAL_DISCOVERY,A2,BREAKOUT,54,25,25,0.56,0.48,0.0017820915317705445,-0.00402198813994007,1.106105263772081,0.7925914548275825,0.005540166204986097,-0.00026968871782967756,0.6,0.6,0.020939941407489962,0.015029779004267132,2.517865473413788,1.9374968224028661,0.016064257028112428,0.010185188898558581,0.024930747922437657,-0.009009009009009028,0.044871794871794934,-0.01939058171745156,0.16,0.36,False,False,False,True,False,True,2,-0.025124115198814384,0.3837559808930522,0.5649285263692705,False,TOO_SPARSE
1477,聚陽,HISTORICAL_DISCOVERY,A3,BREAKOUT,63,26,26,0.4230769230769231,0.34615384615384615,-0.004865375288698357,-0.010633118475155284,0.6836148510218202,0.43356135679011804,-0.00457711442786074,-0.010354059140320206,0.5769230769230769,0.5384615384615384,0.005129204516727446,-0.0006869046325870261,1.2609521502081906,0.9688785427271848,0.008136542261171331,0.002308558359672918,0.010994912379875599,-0.022423214622197096,0.03377130593197075,-0.02848333657314417,0.11538461538461539,0.38461538461538464,False,False,False,False,False,True,0,-0.01716365868734044,0.1816347887305027,0.5030075496285702,False,TOO_SPARSE
