time_slice_type,time_slice,family,family_type,all_winners_denominator,winner_coverage_recall,total_signals,evaluable_signals,winner_signals,precision_all_signals,precision_evaluable_signals,gross_mean,net_mean,median,profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate,top1_removed_count,top1_removed_gross,top1_removed_pf,top5_removed_count,top5_removed_gross,top5_removed_pf,tail_dependent
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,FROZEN_SETUP,67548,0.0005033457689346835,121,120,34,0.2809917355371901,0.2833333333333333,0.0018931800673161866,-0.003904151153131507,-0.015945691932534034,1.0599126389693454,0.00022816882203104775,0.004317604511720179,0.004247707331997144,0.0016761012034715666,0.03479093247459131,-0.026885485671343842,0.0626247272523644,-0.050348087458984406,1.2438352758360691,0.20833333333333334,0.08333333333333333,1,0.0006185729370295289,1.019412575456942,3,-0.0017740612739836838,0.9452606346901011,False
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,FROZEN_SETUP,67548,0.0033901817966483093,915,912,229,0.2502732240437158,0.25109649122807015,0.001279009957468993,-0.004514460414313009,-0.016883240252209608,1.041054431521065,-0.00303099599274088,-0.0003080130864603362,-0.0009919676573968018,-0.0010952641379496392,0.030528096699940825,-0.03232258125871213,0.054155457049706375,-0.054254219418566466,0.9981796370877969,0.18311403508771928,0.08114035087719298,5,0.00035897400416474583,1.0114593917218617,21,-0.002277484573202857,0.9285792466456156,False
PERIOD,HISTORICAL_DISCOVERY,V_REVERSAL,FROZEN_SETUP,67548,0.010363001125125837,3243,3230,700,0.2158495220474869,0.21671826625386997,-0.0037235451486089133,-0.009488656097273765,-0.020624696159455558,0.8901957635031985,-0.0054661164677543535,-0.006764395904568019,-0.0096211367452462,-0.0010235372147281265,0.027022432653519845,-0.041106508929706055,0.050830092949444086,-0.06163732818962907,0.8246641190069725,0.1588235294117647,0.07801857585139318,15,-0.0045875743317242874,0.8653445171789061,71,-0.0074283482529448564,0.7857593723775264,False
PERIOD,HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,FROZEN_SETUP,67548,0.01658080180020134,3828,3816,1120,0.29258098223615464,0.29350104821802936,-0.007845782429552113,-0.013586653096547614,-0.05338942058528834,0.817318818828379,-0.005225354450434476,-0.004611734725608727,-0.0009045326802665448,0.004843425705585445,0.044061958015332726,-0.04982272918202028,0.08005623515263177,-0.07525862070516376,1.0637483706519595,0.24449685534591195,0.1619496855345912,15,-0.008603815392444689,0.8004562464386225,72,-0.011356851781495302,0.7405563878425435,False
PERIOD,HISTORICAL_DISCOVERY,TREND_PULLBACK,FROZEN_SETUP,67548,0.019082726357553148,5868,5849,1289,0.2196659850034083,0.22037955206018123,-0.004333947485365671,-0.010095301672032812,-0.024691358024691357,0.8701764855602335,-0.004079593485169817,-0.0025059728614315537,-0.0037024455039723785,-0.002856343166759387,0.030018450042036692,-0.03562551606605039,0.05445085994137107,-0.05603061077486316,0.9718055753516646,0.17096939647803044,0.09796546418191143,24,-0.005103796404624202,0.8477429654302491,116,-0.007778062398904172,0.7716287335154134,False
PERIOD,HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,FROZEN_SETUP,67548,0.0011251258364422337,661,661,76,0.11497730711043873,0.11497730711043873,0.000435609458411946,-0.005354883330246624,-0.002450980392156743,1.021476374483338,-0.0036627826319347704,-0.002514497695087953,-0.0026285910109099396,0.0014150633111847176,0.015646527354887765,-0.021397512359622207,0.030429526870038446,-0.03157910217840092,0.9635969603610598,0.07715582450832073,0.03177004538577912,4,-0.0005306424570236777,0.9739966337837781,16,-0.002982456432431557,0.8565184596242379,True
PERIOD,HISTORICAL_DISCOVERY,NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,DESCRIPTIVE_COHORT,67548,0.23843785160182387,83735,83310,16106,0.19234489759359885,0.1933261313167687,-0.0004883235030937841,-0.006272472394342664,-0.008689360095639531,0.9826726283104816,-0.0031698074956700677,-0.0018968985370802825,-0.0006062586813182059,0.0027623500165645876,0.027384173409056894,-0.0300274870189168,0.05057993525747805,-0.04682064976911396,1.0802911857674382,0.14723322530308486,0.08189893170087624,370,-0.0012922603936270205,0.9543498725337675,1848,-0.004136846063111648,0.8564668028876141,False
PERIOD,HISTORICAL_DISCOVERY,RETURN20_TOP20PCT_SAME_DAY,DESCRIPTIVE_COHORT,67548,0.26218392846568367,65946,65639,17710,0.26855305856306677,0.26980910739042335,-0.004005450610404608,-0.009768826551919291,-0.04871060171919761,0.8940517761779182,-0.004239200564441953,-0.0030717679970338864,-0.0018979835484440736,0.0005029380792659922,0.037996880043005284,-0.04268461002091921,0.06878720472548054,-0.0669861569130586,1.0268868658155672,0.21537500571306692,0.13188805435792744,265,-0.004763118451113043,0.8745193430192337,1324,-0.007610783458757187,0.8027477422199985,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,FROZEN_SETUP,49123,0.0007735683895527554,79,79,38,0.4810126582278481,0.4810126582278481,0.028133743570628655,0.022183256952184906,0.053097345132743445,2.2355634005164613,0.0011799482606928502,0.017610176063176042,0.022428691230724013,0.01625832547526397,0.049238401758827884,-0.021205901419855417,0.0760323017143398,-0.042796587247895417,1.7765973084239048,0.2911392405063291,0.12658227848101267,1,0.026196416141805078,2.1359177939905103,3,0.023135705637627672,1.9774774823629213,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,FROZEN_SETUP,49123,0.0029314170551472834,598,597,144,0.2408026755852843,0.24120603015075376,0.00359146443416149,-0.0022157349219388443,-0.011299435028248594,1.1277400095770687,-0.003849469844187272,-0.0011361632102720848,0.0013250019272473255,0.004909926143216733,0.029218290586497005,-0.0291581183352526,0.05376767797501925,-0.04765552474570872,1.128256970454636,0.17252931323283083,0.07872696817420435,3,0.0026911021454318214,1.0952352378284325,13,-2.770713370491064e-05,0.9990359812280963,False
