fit_period,candidate_family,cluster_number,chosen_k,discovery_unexplained_winner_members,discovery_unexplained_winner_share,minimum_centroid_separation,minimum_cluster_share,stable_taxonomy,top_standardized_characteristics,assignment_radius_discovery_p90
HISTORICAL_DISCOVERY_2020_2022_UNEXPLAINED_WINNERS_ONLY,CANDIDATE_1_MIXED_MARKET_STATE,1,2,45064,0.7021502025553131,4.478584012729632,0.2198192583359302,True,distance_to_prior20_close_high=-0.368;close_vs_ma20=-0.313;drawdown_from_60d_high=-0.282;recent_retest_flag=+0.252,3.6770064626691537
HISTORICAL_DISCOVERY_2020_2022_UNEXPLAINED_WINNERS_ONLY,CANDIDATE_2_DIRECT_CONTINUATION_STATE,2,2,12697,0.19783421626674977,4.478584012729632,0.2198192583359302,True,prior_volume_contraction_5_20=+1.877;volume_ratio20=+1.569;rs20_vs_0050=+1.384;return_20=+1.286,6.552732589506119
