time_slice_type,time_slice,left_setup,right_setup,left_winners,right_winners,intersection_winners,intersection_share_all_winners,winner_jaccard
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,CONSOLIDATION_BREAKOUT_V2,38,70,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,N_COMPACT_RETEST_HYPOTHESIS,144,38,38,0.0007735683895527554,0.2638888888888889
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,N_RETEST,144,144,144,0.0029314170551472834,1.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,V_REVERSAL,144,413,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,MOMENTUM_DIRECTIONAL,144,805,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,TREND_PULLBACK,144,1134,1,2.0357062882967244e-05,0.0007830853563038371
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,CONSOLIDATION_BREAKOUT_V2,144,70,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,N_COMPACT_RETEST_HYPOTHESIS,413,38,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,N_RETEST,413,144,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,V_REVERSAL,413,413,413,0.008407466970665472,1.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,MOMENTUM_DIRECTIONAL,413,805,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,TREND_PULLBACK,413,1134,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,CONSOLIDATION_BREAKOUT_V2,413,70,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,N_COMPACT_RETEST_HYPOTHESIS,805,38,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,N_RETEST,805,144,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,V_REVERSAL,805,413,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,MOMENTUM_DIRECTIONAL,805,805,805,0.01638743562078863,1.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,TREND_PULLBACK,805,1134,24,0.0004885695091912139,0.012532637075718016
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,CONSOLIDATION_BREAKOUT_V2,805,70,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,N_COMPACT_RETEST_HYPOTHESIS,1134,38,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,N_RETEST,1134,144,1,2.0357062882967244e-05,0.0007830853563038371
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,V_REVERSAL,1134,413,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,MOMENTUM_DIRECTIONAL,1134,805,24,0.0004885695091912139,0.012532637075718016
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,TREND_PULLBACK,1134,1134,1134,0.023084909309284855,1.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,CONSOLIDATION_BREAKOUT_V2,1134,70,2,4.071412576593449e-05,0.0016638935108153079
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,N_COMPACT_RETEST_HYPOTHESIS,70,38,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,N_RETEST,70,144,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,V_REVERSAL,70,413,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,MOMENTUM_DIRECTIONAL,70,805,0,0.0,0.0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,TREND_PULLBACK,70,1134,2,4.071412576593449e-05,0.0016638935108153079
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,CONSOLIDATION_BREAKOUT_V2,70,70,70,0.0014249944018077073,1.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,N_COMPACT_RETEST_HYPOTHESIS,10,10,10,0.00042593065848879803,1.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,N_RETEST,10,69,10,0.00042593065848879803,0.14492753623188406
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,V_REVERSAL,10,214,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,MOMENTUM_DIRECTIONAL,10,393,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,TREND_PULLBACK,10,427,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,CONSOLIDATION_BREAKOUT_V2,10,17,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,N_COMPACT_RETEST_HYPOTHESIS,69,10,10,0.00042593065848879803,0.14492753623188406
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,N_RETEST,69,69,69,0.0029389215435727065,1.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,V_REVERSAL,69,214,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,MOMENTUM_DIRECTIONAL,69,393,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,TREND_PULLBACK,69,427,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,CONSOLIDATION_BREAKOUT_V2,69,17,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,N_COMPACT_RETEST_HYPOTHESIS,214,10,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,N_RETEST,214,69,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,V_REVERSAL,214,214,214,0.009114916091660277,1.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,MOMENTUM_DIRECTIONAL,214,393,1,4.25930658488798e-05,0.0016501650165016502
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,TREND_PULLBACK,214,427,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,CONSOLIDATION_BREAKOUT_V2,214,17,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,N_COMPACT_RETEST_HYPOTHESIS,393,10,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,N_RETEST,393,69,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,V_REVERSAL,393,214,1,4.25930658488798e-05,0.0016501650165016502
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,MOMENTUM_DIRECTIONAL,393,393,393,0.01673907487860976,1.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,TREND_PULLBACK,393,427,15,0.000638895987733197,0.018633540372670808
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,CONSOLIDATION_BREAKOUT_V2,393,17,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,N_COMPACT_RETEST_HYPOTHESIS,427,10,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,N_RETEST,427,69,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,V_REVERSAL,427,214,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,MOMENTUM_DIRECTIONAL,427,393,15,0.000638895987733197,0.018633540372670808
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,TREND_PULLBACK,427,427,427,0.018187239117471676,1.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,CONSOLIDATION_BREAKOUT_V2,427,17,1,4.25930658488798e-05,0.002257336343115124
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,N_COMPACT_RETEST_HYPOTHESIS,17,10,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,N_RETEST,17,69,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,V_REVERSAL,17,214,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,MOMENTUM_DIRECTIONAL,17,393,0,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,TREND_PULLBACK,17,427,1,4.25930658488798e-05,0.002257336343115124
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,CONSOLIDATION_BREAKOUT_V2,17,17,17,0.0007240821194309567,1.0
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,N_COMPACT_RETEST_HYPOTHESIS,5,5,5,0.00023216939078751856,1.0
