signal_date,outcome_date,stage_a_count,stage_a_close_limit_hits,stage_a_touch_limit_hits,stage_a_ge8_hits,stage_a_ge5_hits,stage_a_ge3_hits,eligible_universe_count,market_close_limit_hits,stage_a_close_limit_rate,market_close_limit_rate,daily_lift,market_limit_up_coverage
20260909,20260910,30,3,5,4,6,7,456,7,0.1,0.015350877192982455,6.514285714285715,0.42857142857142855
20260910,20260911,30,4,4,5,6,7,455,5,0.13333333333333333,0.01098901098901099,12.133333333333333,0.8
20260911,20260914,30,3,3,3,3,6,448,5,0.1,0.011160714285714286,8.96,0.6
20260914,20260915,30,1,3,1,3,4,445,2,0.03333333333333333,0.0044943820224719105,7.416666666666666,0.5
20260915,20260916,30,10,12,12,16,23,446,32,0.3333333333333333,0.07174887892376682,4.645833333333333,0.3125
20260916,20260917,30,7,8,7,8,11,437,17,0.23333333333333334,0.038901601830663615,5.9980392156862745,0.4117647058823529
20260917,20260918,30,8,8,11,13,16,437,22,0.26666666666666666,0.05034324942791762,5.296969696969697,0.36363636363636365
