rank_bucket,n,t1_close_at_upper_limit_count,t1_close_at_upper_limit_rate,t1_high_touched_upper_limit_count,t1_high_touched_upper_limit_rate,t1_return_ge_8_count,t1_return_ge_8_rate,t1_return_ge_5_count,t1_return_ge_5_rate,t1_return_ge_3_count,t1_return_ge_3_rate,capturable_3_count,capturable_3_rate,capturable_5_count,capturable_5_rate,t1_close_return_mean,t1_close_return_median,t1_open_return_mean,t1_open_return_median,open_to_close_return_mean,open_to_close_return_median,max_upside_from_open_mean,max_upside_from_open_median,max_drawdown_from_open_mean,max_drawdown_from_open_median
RANK_11_20,70,10,0.14285714285714285,13,0.18571428571428572,13,0.18571428571428572,16,0.22857142857142856,22,0.3142857142857143,36,0.5142857142857142,22,0.3142857142857143,0.0057241889717057765,0.0,-0.0005069902625686249,0.0,0.0061877994115824,0.0023763994352229423,0.04028383608290383,0.031050167224080272,-0.030091959803400094,-0.023752136752136777
RANK_1_5,35,10,0.2857142857142857,11,0.3142857142857143,12,0.34285714285714286,15,0.42857142857142855,18,0.5142857142857142,22,0.6285714285714286,17,0.4857142857142857,0.03161104384067169,0.034946236559139754,0.00991611211250677,0.0,0.02178517649454488,0.01538461538461533,0.0533692580860322,0.04834254143646399,-0.027857378383649895,-0.023485784919653918
RANK_21_30,70,8,0.11428571428571428,10,0.14285714285714285,10,0.14285714285714285,14,0.2,20,0.2857142857142857,38,0.5428571428571428,26,0.37142857142857144,0.009581323841037132,-0.003316847650790211,0.0017878123556786956,0.0,0.007915623338659661,0.0027875114970742354,0.04208185943457806,0.03449908038515637,-0.02433806302601801,-0.02252189949285388
RANK_6_10,35,8,0.22857142857142856,9,0.2571428571428571,8,0.22857142857142856,10,0.2857142857142857,14,0.4,22,0.6285714285714286,16,0.45714285714285713,0.01095424253525795,0.0,0.0013408495340895244,0.0,0.009477849744809577,0.013605442176870763,0.050417577652172925,0.04846938775510212,-0.033473150311871654,-0.02614379084967322
