classification,n,t1_close_at_upper_limit_count,t1_close_at_upper_limit_rate,t1_high_touched_upper_limit_count,t1_high_touched_upper_limit_rate,t1_return_ge_8_count,t1_return_ge_8_rate,t1_return_ge_5_count,t1_return_ge_5_rate,t1_return_ge_3_count,t1_return_ge_3_rate,capturable_3_count,capturable_3_rate,capturable_5_count,capturable_5_rate,t1_close_return_mean,t1_close_return_median,t1_open_return_mean,t1_open_return_median,open_to_close_return_mean,open_to_close_return_median,max_upside_from_open_mean,max_upside_from_open_median,max_drawdown_from_open_mean,max_drawdown_from_open_median
COOLING_BUT_WEAK,26,3,0.11538461538461539,4,0.15384615384615385,4,0.15384615384615385,7,0.2692307692307692,9,0.34615384615384615,16,0.6153846153846154,8,0.3076923076923077,0.012100685136958996,0.005327645979199269,-0.000820874856491614,0.0,0.012792715477994978,0.006646668447330084,0.04242245988565122,0.0386965376782078,-0.018930513009184264,-0.012257520617007744
OVERHEATED,80,22,0.275,26,0.325,26,0.325,30,0.375,35,0.4375,46,0.575,40,0.5,0.02409415319655404,0.010585339711399189,0.01322234263090159,0.009375091553628367,0.010996033229513702,0.0017791460099152445,0.04912796916211788,0.05031060664161369,-0.034867837606171855,-0.031901060070671394
READY,50,4,0.08,6,0.12,5,0.1,9,0.18,15,0.3,23,0.46,12,0.24,0.0045895412230110314,-0.001066098081023481,-0.006327173124633121,-0.007936507936507908,0.010962829965834668,0.007957783641160954,0.03640488601788047,0.025594664825280278,-0.023262786111521414,-0.020742203125201586
WATCH,54,7,0.12962962962962962,7,0.12962962962962962,8,0.14814814814814814,9,0.16666666666666666,15,0.2777777777777778,33,0.6111111111111112,21,0.3888888888888889,0.0016582183261802284,-0.00528416127700565,-0.004378422293020625,-0.0012902874744003534,0.005944643552104652,0.001145475372279492,0.047123558262417146,0.037281559020689525,-0.027998341668405778,-0.02113632064449361
