signal_date,n,t1_close_at_upper_limit_count,t1_close_at_upper_limit_rate,t1_high_touched_upper_limit_count,t1_high_touched_upper_limit_rate,t1_return_ge_8_count,t1_return_ge_8_rate,t1_return_ge_5_count,t1_return_ge_5_rate,t1_return_ge_3_count,t1_return_ge_3_rate,capturable_3_count,capturable_3_rate,capturable_5_count,capturable_5_rate,t1_close_return_mean,t1_close_return_median,t1_open_return_mean,t1_open_return_median,open_to_close_return_mean,open_to_close_return_median,max_upside_from_open_mean,max_upside_from_open_median,max_drawdown_from_open_mean,max_drawdown_from_open_median
20260909,456,7,0.015350877192982455,10,0.021929824561403508,9,0.019736842105263157,13,0.02850877192982456,25,0.05482456140350877,69,0.1513157894736842,27,0.05921052631578947,-0.007938364385487248,-0.009790712535946267,-0.003849786673276029,-0.003649656642197574,-0.0040578800956756,-0.006319865857553508,0.015311771020870434,0.007880225539630858,-0.01839515346172396,-0.015610675950101516
20260910,455,5,0.01098901098901099,5,0.01098901098901099,6,0.013186813186813187,7,0.015384615384615385,18,0.03956043956043956,112,0.24615384615384617,40,0.08791208791208792,-0.01466355891829359,-0.01403508771929829,-0.014760977103853146,-0.014164305949008527,0.00011815233860756208,0.0,0.02096292933861041,0.015695067264573925,-0.014056610185529747,-0.009512485136741966
20260911,448,5,0.011160714285714286,5,0.011160714285714286,5,0.011160714285714286,15,0.033482142857142856,33,0.07366071428571429,137,0.30580357142857145,61,0.13616071428571427,-0.003244346175073374,-0.004192713978545037,-0.0099975661826172,-0.008658170914542684,0.00691544462014993,0.0032549393506011715,0.025222342098242225,0.017927347909457936,-0.01633147023764713,-0.013585099111414978
20260914,445,2,0.0044943820224719105,4,0.008988764044943821,2,0.0044943820224719105,5,0.011235955056179775,8,0.017977528089887642,77,0.17303370786516853,31,0.0696629213483146,-0.012609919932043688,-0.012376237623762387,-0.0012926586277075332,0.0,-0.011302088738481953,-0.011904761904761862,0.016526454793594055,0.009708737864077666,-0.018458461540576943,-0.015895953757225523
20260915,446,32,0.07174887892376682,34,0.07623318385650224,38,0.08520179372197309,78,0.17488789237668162,142,0.3183856502242152,163,0.3654708520179372,88,0.19730941704035873,0.026599567752717587,0.02038926681783826,0.005914330422601985,0.00451977978202911,0.020576860567587823,0.014696065342024611,0.030081871135923553,0.021892437780288154,-0.007337536002716081,-0.004854483327441983
20260916,437,17,0.038901601830663615,23,0.05263157894736842,19,0.043478260869565216,33,0.07551487414187644,67,0.15331807780320367,120,0.2745995423340961,56,0.12814645308924486,0.009162734108880884,0.006688963210702337,0.008761182044124786,0.006116207951070374,0.0004402606901982284,-0.0011587485515642815,0.024679275190565803,0.017799352750809128,-0.014590754616637999,-0.0092592592592593
20260917,437,22,0.05034324942791762,24,0.05491990846681922,27,0.06178489702517163,63,0.14416475972540047,122,0.2791762013729977,89,0.2036613272311213,48,0.10983981693363844,0.019268213723744248,0.011984021304926928,0.012791298147324142,0.011350737797956922,0.006356084691391021,0.0016420361247948545,0.018499369357346574,0.009646302250803762,-0.016788245461968693,-0.014051522248243575
