signal_date,stock_id,stock_name,signal_close,outcome_date,t1_open,t1_high,t1_low,t1_close,official_upper_limit,t1_open_return,t1_close_return,open_to_close_return,max_upside_from_open,max_drawdown_from_open,t1_close_at_upper_limit,t1_high_touched_upper_limit,t1_return_ge_3,t1_return_ge_5,t1_return_ge_7,t1_return_ge_8,t1_positive,capturable_3,capturable_5,capturable_close_5,close_limit_open_bucket,stage_a_rank,stage_a_score,rank_bucket,top30_streak_length,episode,classification,classification_evidence,signal_evidence,signal_seal_hash,atr14,ret_1d,ret_3d,ret_5d,ma5,ma20,ma20_5d_ago,ma5_atr_extension,ma20_atr_extension
20260909,1303,南亞,236.5,20260910,237.0,245.5,232.0,244.0,260.0,0.0021141649048626032,0.031712473572938604,0.029535864978903037,0.03586497890295348,-0.021097046413502074,False,False,True,False,False,False,True,True,False,False,NOT_CLOSE_LIMIT,16,0.08708019153963084,RANK_11_20,2,CONTINUING_DAY_2,READY,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,16.392857142857142,0.006382978723404209,0.04878048780487809,-0.004210526315789442,229.7,212.45,201.55,0.4148148148148155,1.4671023965141619
20260909,1815,富喬,126.0,20260910,125.0,129.0,124.0,126.0,138.5,-0.007936507936507908,0.0,0.008000000000000007,0.03200000000000003,-0.008000000000000007,False,False,False,False,False,False,False,True,False,False,NOT_CLOSE_LIMIT,12,0.087709566703998,RANK_11_20,2,CONTINUING_DAY_2,READY,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,11.178571428571429,-0.06666666666666665,0.06329113924050622,-0.03816793893129766,125.9,114.13499999999999,104.68499999999999,0.008945686900957957,1.061405750798723
20260909,2305,全友,35.0,20260910,36.0,38.5,35.8,38.5,38.5,0.02857142857142847,0.10000000000000009,0.06944444444444442,0.06944444444444442,-0.005555555555555647,True,True,True,True,True,True,True,True,True,True,OPEN_LT_3,18,0.08524711706587579,RANK_11_20,1,NEW_ENTRY,OVERHEATED,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,2.1428571428571432,0.054216867469879526,0.1345218800648298,0.16472545757071555,32.510000000000005,29.595,28.32,1.1619999999999975,2.5223333333333335
20260909,2351,順德,237.5,20260910,239.0,248.0,232.5,235.5,261.0,0.006315789473684275,-0.008421052631578996,-0.014644351464435101,0.03765690376569042,-0.027196652719665315,False,False,False,False,False,False,False,True,False,False,NOT_CLOSE_LIMIT,17,0.08546020315632413,RANK_11_20,2,CONTINUING_DAY_2,READY,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,15.75,0.04395604395604402,-0.008350730688935326,0.037117903930131035,232.2,209.425,193.95,0.33650793650793726,1.7825396825396818
20260909,2426,鼎元,99.5,20260910,98.1,99.5,96.1,96.1,109.0,-0.014070351758794009,-0.0341708542713568,-0.020387359836901098,0.014271151885830946,-0.020387359836901098,False,False,False,False,False,False,False,False,False,False,NOT_CLOSE_LIMIT,4,0.09355172992813862,RANK_1_5,2,CONTINUING_DAY_2,READY,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,9.464285714285714,0.02051282051282044,-0.04784688995215314,-0.04784688995215314,99.12,88.59,80.455,0.040150943396225935,1.1527547169811319
20260909,2491,吉祥全,41.75,20260910,40.9,41.45,40.55,41.1,45.9,-0.02035928143712573,-0.015568862275449069,0.004889975550122383,0.01344743276283622,-0.008557457212713948,False,False,False,False,False,False,False,False,False,False,NOT_CLOSE_LIMIT,24,0.08418055658851681,RANK_21_30,2,CONTINUING_DAY_2,COOLING_BUT_WEAK,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,4.403571428571428,0.028325123152709297,-0.005952380952380931,-0.16500000000000004,42.47,42.7275,40.475,-0.16350364963503627,-0.221978913219789
20260909,3006,晶豪科,306.5,20260910,305.0,319.0,302.0,312.0,337.0,-0.004893964110929905,0.01794453507340954,0.022950819672131084,0.04590163934426239,-0.00983606557377048,False,False,False,False,False,False,True,True,False,False,NOT_CLOSE_LIMIT,13,0.08748221406247354,RANK_11_20,2,CONTINUING_DAY_2,WATCH,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,20.035714285714285,0.02680067001675046,0.10053859964093359,0.08880994671403197,291.5,275.175,268.875,0.7486631016042781,1.5634581105169336
20260909,3055,蔚華科,149.5,20260910,147.5,164.0,145.0,160.0,164.0,-0.013377926421404673,0.07023411371237454,0.0847457627118644,0.11186440677966103,-0.016949152542372836,False,True,True,True,True,False,True,True,True,True,NOT_CLOSE_LIMIT,10,0.08847645006693794,RANK_6_10,2,CONTINUING_DAY_2,OVERHEATED,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,10.5,0.023972602739726012,0.1283018867924528,0.052816901408450745,138.7,124.375,117.25,1.0285714285714296,2.392857142857143
20260909,3229,晟鈦,60.7,20260910,62.5,65.8,60.3,61.4,66.7,0.029654036243822013,0.011532125205930832,-0.01760000000000006,0.05279999999999996,-0.03520000000000001,False,False,False,False,False,False,True,True,True,False,NOT_CLOSE_LIMIT,29,0.08184667718191876,RANK_21_30,1,NEW_ENTRY,OVERHEATED,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,3.960714285714285,0.09963768115942018,0.21887550200803219,0.185546875,52.98,54.435,53.7075,1.9491433724075762,1.5817853922452665
20260909,3234,光環,200.0,20260910,196.0,205.5,192.5,195.0,220.0,-0.020000000000000018,-0.025000000000000022,-0.005102040816326481,0.04846938775510212,-0.017857142857142905,False,False,False,False,False,False,False,True,False,False,NOT_CLOSE_LIMIT,9,0.08848523939049194,RANK_6_10,2,CONTINUING_DAY_2,READY,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,14.75,0.015228426395939021,-0.029126213592232997,-0.05213270142180093,199.4,175.325,155.0,0.04067796610169453,1.6728813559322042
20260909,3374,精材,478.5,20260910,481.0,494.0,476.0,488.0,526.0,0.0052246603970742544,0.01985370950888199,0.01455301455301461,0.027027027027026973,-0.01039501039501034,False,False,False,False,False,False,True,False,False,False,NOT_CLOSE_LIMIT,6,0.09175018531483496,RANK_6_10,2,CONTINUING_DAY_2,WATCH,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,26.857142857142858,0.007368421052631469,0.11279069767441863,0.1406436233611441,450.6,367.925,336.45,1.0388297872340417,4.117154255319148
20260909,3441,聯一光,143.5,20260910,141.5,157.0,137.0,151.0,157.5,-0.013937282229965153,0.05226480836236935,0.06713780918727918,0.10954063604240272,-0.03180212014134276,False,False,True,True,False,False,True,True,True,True,NOT_CLOSE_LIMIT,1,0.09828585812196657,RANK_1_5,2,CONTINUING_DAY_2,OVERHEATED,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,11.678571428571429,0.08712121212121215,0.0034965034965035446,0.028673835125448077,135.9,117.10999999999999,104.075,0.6507645259938832,2.2596941896024476
20260909,3498,陽程,191.0,20260910,189.5,201.0,189.0,191.0,210.0,-0.007853403141361293,0.0,0.0079155672823219,0.06068601583113464,-0.0026385224274406704,False,False,False,False,False,False,False,True,True,False,NOT_CLOSE_LIMIT,26,0.08280816072003203,RANK_21_30,2,CONTINUING_DAY_2,READY,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,15.25,0.0079155672823219,-0.015463917525773141,-0.052109181141439254,191.2,187.55,170.15,-0.01311475409835991,0.22622950819672055
20260909,3532,台勝科,424.0,20260910,417.0,423.0,410.0,410.0,466.0,-0.01650943396226412,-0.03301886792452835,-0.016786570743405282,0.014388489208633004,-0.016786570743405282,False,False,False,False,False,False,False,False,False,False,NOT_CLOSE_LIMIT,19,0.08492871039771262,RANK_11_20,1,NEW_ENTRY,WATCH,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,26.821428571428573,0.0653266331658291,0.06265664160400997,0.09844559585492219,401.0,379.0,354.125,0.8575233022636484,1.6777629826897469
20260909,3605,宏致,129.5,20260910,128.0,131.0,124.5,128.0,142.0,-0.01158301158301156,-0.01158301158301156,0.0,0.0234375,-0.02734375,False,False,False,False,False,False,False,False,False,False,NOT_CLOSE_LIMIT,14,0.08725079885144722,RANK_11_20,2,CONTINUING_DAY_2,WATCH,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,11.178571428571429,0.04435483870967749,0.09745762711864403,0.019685039370078705,121.3,122.3,119.75,0.7335463258785945,0.6440894568690099
20260909,4576,大銀微系統,244.0,20260910,241.0,244.5,233.0,238.0,268.0,-0.012295081967213073,-0.024590163934426257,-0.012448132780082943,0.014522821576763434,-0.03319502074688796,False,False,False,False,False,False,False,False,False,False,NOT_CLOSE_LIMIT,27,0.08262484450110083,RANK_21_30,2,CONTINUING_DAY_2,READY,POST_HOC_EXPLORATORY_CLASSIFICATION,RETROSPECTIVE_CAUSAL_RECONSTRUCTION,,15.535714285714286,0.03609341825902335,0.025210084033613356,0.008264462809917328,239.1,220.675,216.325,0.3154022988505751,1.5013793103448267
