episode,n,t1_close_at_upper_limit_count,t1_close_at_upper_limit_rate,t1_high_touched_upper_limit_count,t1_high_touched_upper_limit_rate,t1_return_ge_8_count,t1_return_ge_8_rate,t1_return_ge_5_count,t1_return_ge_5_rate,t1_return_ge_3_count,t1_return_ge_3_rate,capturable_3_count,capturable_3_rate,capturable_5_count,capturable_5_rate,t1_close_return_mean,t1_close_return_median,t1_open_return_mean,t1_open_return_median,open_to_close_return_mean,open_to_close_return_median,max_upside_from_open_mean,max_upside_from_open_median,max_drawdown_from_open_mean,max_drawdown_from_open_median
CONTINUING_DAY_2,46,3,0.06521739130434782,6,0.13043478260869565,4,0.08695652173913043,7,0.15217391304347827,11,0.2391304347826087,28,0.6086956521739131,19,0.41304347826086957,0.0015023117909320615,0.0,-0.005467303330704288,-0.0034370810653659434,0.006982185102873498,0.0007396449704142327,0.044173256265995865,0.035026506545493885,-0.02655512004472712,-0.023177460570647346
CONTINUING_DAY_3_PLUS,131,24,0.183206106870229,28,0.21374045801526717,30,0.22900763358778625,39,0.29770992366412213,52,0.3969465648854962,74,0.5648854961832062,50,0.3816793893129771,0.015446061445748227,0.008474576271186418,0.0028617802146820876,0.0,0.012484201446999311,0.006741573033707926,0.04501456944079442,0.037267080745341685,-0.027598489229154706,-0.022821576763485507
NEW_ENTRY,33,9,0.2727272727272727,9,0.2727272727272727,9,0.2727272727272727,9,0.2727272727272727,11,0.3333333333333333,16,0.48484848484848486,12,0.36363636363636365,0.014200925099201466,-0.00591715976331364,0.010916786340533913,0.0122824974411464,0.0037828668668260478,0.003284072249589487,0.04452301672972828,0.034810126582278444,-0.03393128761593357,-0.033864541832669404
