opening_bucket,n,t1_close_at_upper_limit_count,t1_close_at_upper_limit_rate,t1_high_touched_upper_limit_count,t1_high_touched_upper_limit_rate,t1_return_ge_8_count,t1_return_ge_8_rate,t1_return_ge_5_count,t1_return_ge_5_rate,t1_return_ge_3_count,t1_return_ge_3_rate,capturable_3_count,capturable_3_rate,capturable_5_count,capturable_5_rate,t1_close_return_mean,t1_close_return_median,t1_open_return_mean,t1_open_return_median,open_to_close_return_mean,open_to_close_return_median,max_upside_from_open_mean,max_upside_from_open_median,max_drawdown_from_open_mean,max_drawdown_from_open_median
OPEN_AT_LIMIT,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0.09899749373433586,0.09899749373433586,0.09899749373433586,0.09899749373433586,0.0,0.0,0.0,0.0,-0.03876852907639683,-0.03876852907639683
OPEN_GE_8,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,0,0.0,0.09934137614388401,0.09917355371900838,0.08719641556632156,0.08333333333333326,0.01122019904155036,0.01538461538461533,0.01122019904155036,0.01538461538461533,-0.011291195078802866,-0.006273525721455453
OPEN_5_TO_8,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,0,0.0,0,0.0,0.09887060815970514,0.09913793103448265,0.06474642555724493,0.06785714285714284,0.03209353809345976,0.02840909090909083,0.03209353809345976,0.02840909090909083,-0.02509661505006555,-0.03499327052489898
OPEN_3_TO_5,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0,3,0.75,0.09949179569257166,0.09969901268879988,0.040178063780956175,0.04155610646470698,0.05706352207175902,0.05606115396978473,0.05706352207175902,0.05606115396978473,-0.022884402464923154,-0.02288629126864422
OPEN_LT_3,23,23,1.0,23,1.0,23,1.0,23,1.0,23,1.0,23,1.0,23,1.0,0.09903557048613737,0.09915014164305958,0.0019445887377381055,0.0,0.09720391822685773,0.09829059829059839,0.09720391822685773,0.09829059829059839,-0.01221361639732471,-0.0092592592592593
