period,cohort,pre_registered_k,strong_context_min_points,retained_pct,delta_success_vs_top30,delta_downside_vs_top30,mae_improvement_vs_top30,mfe_retention_vs_top30,delta_net_vs_top30,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,STAGE_A_TOP30,,,1.0,0.0,0.0,0.0,1.0,0.0,22050,21937,735,36,710,0.35123307653735697,0.5565482973970917,0.09221862606555135,0.299858686237863,0.20563431645165703,-0.0035876345979332955,0.0007324849735841881,0.005218609580774094,0.014685216834081888,0.05466720961806812,0.09873434199949929,-0.05113639650156463,-0.0799365142134015,1.235159463370074,-0.001318744346892492,-0.007097842528103798,-0.058578264114997024,0.9692693346937196,0.8461190412360942,88,-0.007842903346173753,0.8306482394039478,-0.002068109109419347,0.9520002330587582,438,-0.010711045423494627,0.7724214064349025,-0.004952959099791186,0.8868858027160006,20210520,-0.007241669312370817,0.843182061971899,202103,-0.0085415216300873,0.8171218607630802
HISTORICAL_DISCOVERY,STRONG_GROUP_CONTEXT,,2,0.40671201814058955,0.012413480986751602,-0.024141928256028677,0.009371943227956384,1.0025867943875986,0.003245664783616084,8968,8918,676,36,559,0.36364655752410857,0.532406369141063,0.10394707333482844,0.3093742991702175,0.20811841220004484,-0.001610957284890695,0.003918169746718549,0.010285570251339502,0.024708161537494888,0.05436795059739602,0.09898974744124683,-0.04473172351016192,-0.07056457098544512,1.4028250446199806,0.0019459010324953327,-0.0038521777444877137,-0.05720093822047212,1.047937641466802,0.9118805445723265,38,-0.004626529862595796,0.8946180199851961,0.0011670646086543923,1.0286283495595032,186,-0.007509685067261094,0.8317971034966941,-0.0017329464001911757,0.9581989391484841,20211123,-0.0038703114950639026,0.9114756584329711,202211,-0.005215422563044893,0.8825163892335645
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP15,15,,0.5,-0.0011328396137192942,-0.0068854579584184394,0.0030827279971393368,0.9790794219679012,0.0005907534263564817,11025,10974,735,36,638,0.3501002369236377,0.5496628394386732,0.10023692363768909,0.29733916529979953,0.19901585565882995,-0.003063906370483422,0.001366128867623029,0.005541101612273412,0.016161486691870064,0.0527300729702291,0.09666876249325083,-0.04868001452267247,-0.07685378621626217,1.2578269367397261,-0.000724543987692945,-0.006507089101747316,-0.05811111519115287,0.9827105744853537,0.8557153555814859,45,-0.007263457725462108,0.8396044765405579,-0.0014852927998755528,0.9647025483641721,222,-0.010128344944733919,0.7799627828985836,-0.00436688708212147,0.8979032146430508,20210517,-0.006677535288659504,0.852138358654336,202103,-0.008109800339146945,0.8227413317421457
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP10,10,,0.3333333333333333,0.0049631251295373935,-0.016720452063029634,0.0042802868081799755,0.967502452612341,0.002075890177269565,7350,7319,735,36,583,0.35619620166689436,0.539827845334062,0.10397595299904358,0.3005875119551851,0.19825112720316984,-0.0028454433520954583,0.0019477260586799863,0.006160685831136702,0.015785613435768137,0.05247563361247523,0.09552571804158123,-0.04748577101254937,-0.07565622740522153,1.2626286205091477,0.0007692049794228704,-0.005021952350834233,-0.05767234518124338,1.018768015492587,0.8862354834535761,30,-0.005773775967542739,0.8697402112805989,1.3028190480051379e-05,1.0003165749660445,150,-0.008663643372338815,0.8077609383714208,-0.002893691964046321,0.9308431190708298,20210517,-0.005196813871397052,0.8824351172599233,202103,-0.006545674230314166,0.8536998104339063
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP5,5,,0.16666666666666666,-0.002491282226634861,-0.013331667200155106,0.003722530930233142,0.9389433710652048,0.0009354507664281128,3675,3656,735,36,491,0.3487417943107221,0.5432166301969366,0.10804157549234136,0.29321663019693656,0.19420131291028447,-0.0026421276058923577,0.0014270684090315513,0.005167931170967669,0.01278279686009642,0.051568003490938,0.09270595591691469,-0.04758088218705027,-0.07621398328316836,1.216390377766655,-0.0003777179688023472,-0.006162391761675685,-0.057598521158437915,0.9907934913835956,0.860676791855652,15,-0.00692006189191925,0.8441888142673535,-0.001139798111076262,0.9723325111783985,74,-0.009783790609511579,0.7832791447523322,-0.004020237403244965,0.9039939918101494,20211018,-0.006361207768382927,0.8563785230587377,202004,-0.007483926350324023,0.8336174341796123
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,,,1.0,0.0,0.0,0.0,1.0,0.0,14430,14378,481,24,649,0.35025733759910976,0.5397830018083183,0.10995966059257198,0.293225761580192,0.19529837251356238,-0.00339395534600101,0.0005762707483392441,0.004241574404679205,0.011820736808758883,0.049773208577585,0.08817086341009393,-0.04629767998616103,-0.07194347334666928,1.225557501029048,0.0006972337098542546,-0.0050934955562905145,-0.05720093822047212,1.0172179046083087,0.883399686789917,59,-0.005845892615295035,0.8667249578174638,-5.95229330377271e-05,0.9985361369313743,292,-0.008700871658460124,0.804864739339507,-0.002931195190785948,0.9290853660642595,20230815,-0.005282207326726633,0.8792935163269182,202302,-0.0061603186076432375,0.8611215220793954
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STRONG_GROUP_CONTEXT,,2,0.3823977823977824,-0.004551369622399437,-0.015219683031025721,0.005427978430329827,0.9726017388755114,0.0011414535897419998,5518,5496,462,24,488,0.3457059679767103,0.5245633187772926,0.12973071324599708,0.2865720524017467,0.1875909752547307,-0.0020205472863935757,0.003976572300531295,0.007498403714991211,0.013928277130903895,0.04991108853971944,0.08575513507081256,-0.04129699947432826,-0.06651549491633946,1.2892504998823502,0.001845300511010338,-0.003952041966548515,-0.05656313206646417,1.0473068968024948,0.9062727110945047,23,-0.004715173765619505,0.8886421253092774,0.0010777566313800644,1.0275141934415861,114,-0.007600470327408641,0.8234848668577736,-0.0018244284616674145,0.954198345473403,20231123,-0.0039793753068105035,0.9056416406968121,202304,-0.004621759818085602,0.8910186796399462
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP15,15,,0.5,-0.012752122747211547,0.0015881565841167067,0.0015131339906602898,0.9498134989704616,-0.0013049657985740358,7215,7191,481,24,546,0.3375052148518982,0.541371158392435,0.1211236267556668,0.2814629397858434,0.18592685301070783,-0.003381859219370109,0.00020861262295053396,0.0031112581541331884,0.009707233323921087,0.04747553721372779,0.08374587628278797,-0.04516416254608775,-0.070430339356009,1.1890596729837128,-0.0006152309201298916,-0.00639846135486455,-0.057273397914232006,0.984739950459544,0.8530538396956642,29,-0.0071458278543624874,0.8365517523535758,-0.0013669180622339402,0.9662320030688757,144,-0.009971574998104865,0.7755800641134685,-0.004209212774478112,0.8976863326170349,20240806,-0.00664100151467577,0.847801836594743,202302,-0.007544661852257741,0.8295621910383092
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP10,10,,0.3333333333333333,-0.013520517428240841,0.00012114488891035169,0.0016806582304621648,0.9310082671682999,-0.0011651808735105105,4810,4799,481,24,490,0.3367368201708689,0.5399041466972286,0.12335903313190248,0.27734944780162535,0.17837049385288603,-0.003431768094834847,0.0002521067169931218,0.002946453071269874,0.008270868248455535,0.04733802020093792,0.08208780275816441,-0.04509150160724084,-0.07026281511620712,1.1682965253014703,-0.0004746438472271394,-0.006258676429801025,-0.057200938220471995,0.9881543072473341,0.8554242616736744,20,-0.007027215597230857,0.8383474804003558,-0.0012476249866342204,0.9689927712667371,97,-0.00984988540118012,0.777066172658041,-0.004086831897899888,0.9000664632757002,20240129,-0.00650505735979027,0.8500459716736897,202302,-0.007325785481947089,0.8335414106224506
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP5,5,,0.16666666666666666,-0.01567400426577642,-0.008533001808318286,0.0038058992953813597,0.9299639243064363,-0.0004326782954748561,2405,2400,481,24,396,0.33458333333333334,0.53125,0.13416666666666666,0.27458333333333335,0.17458333333333334,-0.002288964490384745,0.0015007797143024902,0.003483065921283076,0.009736951377496049,0.047588232110758945,0.08199572214633773,-0.04326227534069399,-0.06813757405128792,1.2033848179657618,0.00026229050439585455,-0.005526173851765371,-0.05692769661074869,1.0066404639127822,0.8705729792792493,10,-0.006289518722657854,0.8533086571600494,-0.000505455298383585,0.9872566014699831,49,-0.00911954907955421,0.7907742356678114,-0.0033520879600853447,0.9168671544513489,20240129,-0.00577880651778881,0.864938104426529,202401,-0.0070366338204622065,0.8372125646428593
