period,feature,feature_family,bucket_spearman_path_success_rate,q5_minus_q1_path_success_rate,bucket_spearman_downside_first_rate,q5_minus_q1_downside_first_rate,bucket_spearman_mae10_mean,q5_minus_q1_mae10_mean,bucket_spearman_mfe10_mean,q5_minus_q1_mfe10_mean,bucket_spearman_net_mean,q5_minus_q1_net_mean
HISTORICAL_DISCOVERY,peer_return_1d,RETURN_RS,0.0,-0.014154732376097712,0.3,0.0215001041075491,-0.09999999999999999,-0.0012601813095549363,0.39999999999999997,1.6135492786617522e-06,0.0,-0.0027344944314239895
HISTORICAL_DISCOVERY,peer_return_3d,RETURN_RS,0.39999999999999997,0.0020027406470838893,0.09999999999999999,0.0058511035465741434,0.39999999999999997,0.004036280724734095,0.3,0.0043432215762339715,0.3,1.4487549580169228e-05
HISTORICAL_DISCOVERY,peer_return_5d,RETURN_RS,-0.3,-0.0098771612466792,0.49999999999999994,0.011718004678237581,0.39999999999999997,0.002615060148571144,0.09999999999999999,0.0035801311668140073,-0.3,-0.00048098670674517983
HISTORICAL_DISCOVERY,peer_return_20d,RETURN_RS,-0.09999999999999999,-0.01543834037632874,0.19999999999999998,0.059584698739501785,-0.7,-0.0331681821099407,0.3,0.011628055878541502,-0.09999999999999999,-0.007558720079387391
HISTORICAL_DISCOVERY,peer_rs_3d_vs_0050,RETURN_RS,-0.6,-0.045647386519030775,0.9999999999999999,0.06471725920965843,-0.39999999999999997,-0.007651521805556477,-0.3,-0.004284003948123588,-0.9999999999999999,-0.010553439417578645
HISTORICAL_DISCOVERY,peer_rs_5d_vs_0050,RETURN_RS,-0.8999999999999998,-0.04720791560049753,0.9999999999999999,0.06519758570231393,-0.6,-0.008049862941633679,-0.39999999999999997,-0.001962514922565245,-0.9999999999999999,-0.009435582053688824
HISTORICAL_DISCOVERY,peer_rs_20d_vs_0050,RETURN_RS,-0.09999999999999999,-0.036052094583047645,0.9999999999999999,0.07999600014013042,-0.9999999999999999,-0.038202630588104414,0.3,0.005623995641053606,-0.9999999999999999,-0.011677229164309152
HISTORICAL_DISCOVERY,peer_breadth_up,BREADTH,-0.09999999999999999,-0.009870583117740694,0.09999999999999999,0.008765370576221732,0.7,0.0019601672671279158,0.09999999999999999,0.003059413813413084,-0.09999999999999999,-0.000348881206823623
HISTORICAL_DISCOVERY,peer_breadth_above_ma20,BREADTH,-0.09999999999999999,-0.02394404426349306,0.3,0.012819709781814348,-0.3,-0.004660895916489688,0.3,0.002167278060499697,-0.09999999999999999,-0.0015058949488791049
HISTORICAL_DISCOVERY,peer_breadth_ma20_rising,BREADTH,-0.09999999999999999,-0.013497976360952957,0.3,0.05210463222728401,-0.9999999999999999,-0.025872082630234258,0.3,0.007918031796731631,-0.09999999999999999,-0.006480508023204818
HISTORICAL_DISCOVERY,peer_breadth_20d_close_high,BREADTH,-0.5,,0.5,,-1.0,,0.5,,-0.5,
HISTORICAL_DISCOVERY,peer_turnover_market_share,ACTIVITY_VOLUME,-0.39999999999999997,-0.00037426371750881593,0.8999999999999998,0.01572313178554463,-0.8999999999999998,-0.0070960570445828125,0.0,0.015089198929041175,-0.7,-0.0009020955643672824
HISTORICAL_DISCOVERY,peer_turnover_share_vs_20d,ACTIVITY_VOLUME,0.0,0.0011075009106622513,0.3,0.01510320013371158,-0.6,-0.006983051469369728,0.7999999999999999,0.000743258944733774,-0.3,-0.0011254512443970698
HISTORICAL_DISCOVERY,peer_turnover_share_change_5d,ACTIVITY_VOLUME,-0.8999999999999998,-0.02351801979376955,0.9999999999999999,0.03726583210332168,-0.7999999999999999,-0.004958022442260193,-0.9999999999999999,-0.008084576841733845,-0.8999999999999998,-0.005145424961340803
HISTORICAL_DISCOVERY,peer_turnover_share_change_20d,ACTIVITY_VOLUME,0.0,-0.0018307054258483446,0.09999999999999999,0.03544613419364173,-0.8999999999999998,-0.018313179299630458,0.7999999999999999,0.004302494845322163,0.0,-0.003895149751890604
HISTORICAL_DISCOVERY,peer_median_volume_ratio5,ACTIVITY_VOLUME,-0.7999999999999999,-0.013100405156836137,0.8999999999999998,0.023330315340518215,-0.6,-0.004195684874245362,-0.9999999999999999,-0.007486128249601112,-0.8999999999999998,-0.004747332814761919
HISTORICAL_DISCOVERY,peer_median_volume_ratio20,ACTIVITY_VOLUME,0.49999999999999994,0.027717724835298274,-0.39999999999999997,-0.009203004863715059,-0.3,-0.003500984825443365,0.8999999999999998,0.008992762152324751,0.3,0.0029108015603359003
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_1d,RETURN_RS,-0.7,-0.017998427205508594,0.8999999999999998,0.05237342951084767,-0.49999999999999994,-0.008028108645244406,-0.7,-0.009010944672787083,-0.9999999999999999,-0.006346177424835224
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_3d,RETURN_RS,-0.7,-0.06028142361492794,0.9999999999999999,0.07424219106873708,-0.9999999999999999,-0.009349352385104509,-0.7,-0.01706966952481237,-0.9999999999999999,-0.011569412782762882
