context_type,period,feature,feature_family,bucket,lower,upper,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
DYNAMIC_MARKET_PEERS,HISTORICAL_DISCOVERY,peer_return_1d,RETURN_RS,1,,-0.016561060204576216,4410,4387,402,36,556,0.37975837702302256,0.5381809892865284,0.08206063369044905,0.326191018919535,0.2229313881923866,-0.002555563672345276,-0.0010077415605391573,0.009199214984122532,0.022460938113558558,0.05764686905245481,0.10733070959578364,-0.05301066934307429,-0.08260985422064607,1.299248262914369,0.002267858094156989,-0.0035322731262402937,-0.05769022534680298,1.0533028275056644,0.9225765124990969,19,-0.00432103032015988,0.9056980307776376,0.001474544198388436,1.0345069966080696,93,-0.007276127508044384,0.8438963134118146,-0.001497777924969393,0.965543100018223,20210524,-0.0036154746209753276,0.9207889567102946,202004,-0.004438238125132972,0.9036545377128766
DYNAMIC_MARKET_PEERS,HISTORICAL_DISCOVERY,peer_return_1d,RETURN_RS,2,-0.016561060204576216,-0.002987012519971854,4410,4385,590,36,573,0.322690992018244,0.5815279361459521,0.09578107183580388,0.26727480045610036,0.1790193842645382,-0.004760871530021512,-0.004530423831761942,0.0007788308540414816,0.005317095971371418,0.04802800729333258,0.08854972246680841,-0.05054568095585801,-0.08100458592252216,1.0931445603771481,-0.006063240050908209,-0.011814769567171838,-0.059721527567922955,0.8636280696417704,0.7528894122672734,17,-0.012549446884664828,0.7385409283997252,-0.006802151264775612,0.8476019034662902,82,-0.01529859559417976,0.6860074014931754,-0.009567313027837263,0.7888398522343507,20220714,-0.011857416690098342,0.7520539878183845,202004,-0.012623253849790883,0.7380708779200581
DYNAMIC_MARKET_PEERS,HISTORICAL_DISCOVERY,peer_return_1d,RETURN_RS,3,-0.002987012519971854,0.006049663584463482,4410,4384,636,36,587,0.3403284671532847,0.5533759124087592,0.1062956204379562,0.2908302919708029,0.20027372262773724,-0.0014490599497572398,0.0028834919003137144,0.00546773148894412,0.01170434962217383,0.05498174578972792,0.09468847193683043,-0.04778365802549109,-0.07607827732122008,1.2446190328026725,-0.0017771442590855013,-0.007553622212602779,-0.05827876180496781,0.9578170347671767,0.8335813716955859,18,-0.008319953849733223,0.8174504439816581,-0.0025478898059347805,0.9397706398879154,86,-0.011082349026490438,0.7606274384801706,-0.0053264140596601455,0.876050376498282,20210618,-0.007591115100361403,0.8327934910454293,202103,-0.009614882612157715,0.7922265368773688
DYNAMIC_MARKET_PEERS,HISTORICAL_DISCOVERY,peer_return_1d,RETURN_RS,4,0.006049663584463482,0.017901246737426303,4410,4391,606,36,599,0.34775677522204507,0.5499886130721932,0.10225461170576179,0.29332726030516965,0.19653837394670917,-0.0023661240821277224,0.003192228402304418,0.005212431206462667,0.013910062752974331,0.05334030620050841,0.09575990545467317,-0.048009410783502425,-0.07611845793881666,1.2580379062808147,-0.0005420478199298995,-0.006325514785686986,-0.058416016063055964,0.9870585840056553,0.859726417305124,18,-0.007084466052072003,0.8435400533173247,-0.0013053917364995228,0.9689614735563868,88,-0.009956953884376262,0.7836213440582656,-0.004194590721165459,0.9018609846487621,20200210,-0.006363705598322265,0.8589116426600901,202103,-0.008504011017455345,0.8148614043442857
DYNAMIC_MARKET_PEERS,HISTORICAL_DISCOVERY,peer_return_1d,RETURN_RS,5,0.017901246737426303,,4410,4390,529,36,607,0.36560364464692485,0.5596810933940775,0.07471526195899772,0.32164009111617314,0.22938496583143508,-0.006804540095849906,0.003120066102137516,0.005432844799092312,0.020024384068038487,0.05933432638008611,0.1073323231450623,-0.05632930139435238,-0.083870035530201,1.2797457693506364,-0.0004829039099024566,-0.006266767557664283,-0.05867548335310126,0.9889098926930049,0.86583864025581,18,-0.007024603849606001,0.8502312051376487,-0.0012451344687317836,0.9715221685403186,90,-0.009967363555146127,0.7909895023155681,-0.0042050314482490496,0.9054093499457999,20220531,-0.006309168495621876,0.8649616721861675,202211,-0.007386983822682356,0.8439038566632432
DYNAMIC_MARKET_PEERS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_1d,RETURN_RS,1,,-0.016561060204576216,2202,2197,252,24,436,0.3668639053254438,0.519344560764679,0.1137915339098771,0.3054164770141102,0.20619025944469732,-0.003913980514873785,0.00659222454489403,0.009280373222379143,0.018855068467835367,0.05527557807520133,0.09578759862061417,-0.046120421776593735,-0.07137244565375708,1.342080935341633,0.0035329158206367714,-0.0022747183391540002,-0.056323920531713444,1.0896118868199356,0.9464802558340715,10,-0.003097265438728914,0.927458997637311,0.002705606159201367,1.0683149314944922,47,-0.006013341313122616,0.8615443580504665,-0.00022752227522102668,0.9943523905383169,20240130,-0.0023543067210416058,0.9446329071008361,202301,-0.0025883567121548433,0.9393281338647421
DYNAMIC_MARKET_PEERS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_1d,RETURN_RS,2,-0.016561060204576216,-0.002987012519971854,3651,3635,417,24,510,0.35433287482806053,0.5372764786795048,0.10839064649243467,0.2940852819807428,0.1903713892709766,-0.0018848919733836633,0.0030050578538971797,0.007565381109392538,0.01421824146263016,0.05097040929050664,0.09001123556509334,-0.042790484553174996,-0.06938782440731267,1.2972194521724651,0.0020252483169696414,-0.0037730638553383987,-0.05694895387211486,1.0510460538870565,0.9119142647472107,15,-0.004522381518793757,0.8948564148184751,0.001271585862492194,1.0319178581859871,75,-0.007393667347864447,0.8309493214221527,-0.001616508554588249,0.9600968220725232,20230925,-0.0038197469386178173,0.9108489366152669,202402,-0.004563599187896491,0.8940601765300578
DYNAMIC_MARKET_PEERS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_1d,RETURN_RS,3,-0.002987012519971854,0.006049663584463482,3184,3174,439,24,508,0.3449905482041588,0.5324511657214871,0.12255828607435412,0.28796471329552614,0.1890359168241966,-0.0032766077877039424,-0.0005691245818913656,0.0031033039075320434,0.009733104145989272,0.0480159607239813,0.08570652651080385,-0.04598438767925441,-0.07140256623257846,1.2003283779974143,0.0006669032147067748,-0.00512346301599111,-0.057152032822692045,1.016705049693894,0.8811889755820531,13,-0.005874237555822306,0.864336750969973,-8.820578158402508e-05,0.9977996103827608,65,-0.008766457965169044,0.8008725697149229,-0.002997330779153734,0.9264583390796195,20240726,-0.005211513838230563,0.8792232645987899,202304,-0.00662415153908874,0.8484843790222968
DYNAMIC_MARKET_PEERS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_1d,RETURN_RS,4,0.006049663584463482,0.017901246737426303,2912,2904,414,24,527,0.33953168044077137,0.5392561983471075,0.12121212121212122,0.2868457300275482,0.1856060606060606,-0.0033675048241062957,-0.000896009933071042,0.0021087717857528757,0.010541030448600722,0.046851162933785814,0.08398318924696904,-0.04533939391124849,-0.06982814797671674,1.2027125404352998,-6.218319742795769e-05,-0.005848275979609995,-0.057029132679353056,0.9984513498562027,0.8651656503742915,12,-0.00660336844383922,0.8483857951768671,-0.000821667841956425,0.979621217489031,58,-0.00937898445955859,0.7880825175827791,-0.0036135135079262285,0.9118041329829795,20230612,-0.005907691689300133,0.863842699617476,202305,-0.007588529704399401,0.8279672623262093
DYNAMIC_MARKET_PEERS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_return_1d,RETURN_RS,5,0.017901246737426303,,2481,2468,355,24,522,0.3488654781199352,0.5717179902755267,0.07941653160453808,0.2953808752025932,0.21231766612641814,-0.005335699077389869,-0.005150918774661784,-0.0011659414019709472,0.006218247858076915,0.04880991638114969,0.08677665394782709,-0.05315154717781062,-0.07940055429900149,1.0928973319386306,-0.0028504611863807454,-0.008620895763989224,-0.05907652544110764,0.9349101245294792,0.8168530380385858,10,-0.009384494102525988,0.8014385599386659,-0.0036184781891228034,0.917707360702712,48,-0.012176646112475577,0.7463439530591658,-0.006426953389797346,0.8560957336229794,20240906,-0.008691507182957017,0.8154277474264331,202401,-0.009521184917249377,0.7992771672417769
