period,market_proxy,regime_dimension,regime_group,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,STAGE_A_TOP30,11850,11796,395,30,622,0.3675822312648355,0.5367921329264157,0.09562563580874874,0.31324177687351645,0.2155815530688369,-0.0026839688852669545,0.004790209109092765,0.009174652566091282,0.01890187216805317,0.05838490663219769,0.10358150244177773,-0.04778097979046148,-0.07541192063958628,1.3735428240426524,0.0028151892271572466,-0.002987832285436423,-0.05743457966145468,1.0689693487210765,0.9320052019797762,50,-0.0037566907928617364,0.9148704857441782,0.002041891580236012,1.0498122826765577,246,-0.006698234232597907,0.8507456412013169,-0.000916782673546982,0.9780081304729592,20210326,-0.003235751026481308,0.9265269368508909,202103,-0.003723962354710031,0.9158032265111885
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,GATE_RETAINED,7560,7519,252,29,584,0.38435962229019816,0.527862747705812,0.08777763000398989,0.3331560047878707,0.23487165846522143,-0.0011932583011230334,0.007326549889139198,0.012176219207532762,0.020998034153004396,0.0633833889894063,0.11021158414082327,-0.04775357623108128,-0.07664777719883094,1.4378966770937782,0.0052429204931519,-0.0005742703462567623,-0.057095502525937696,1.1300018159076077,0.9867637658341953,33,-0.0013594886849931584,0.9688029602738183,0.004453163662932472,1.1099346356647428,161,-0.004343712103196765,0.9020264640717467,0.0014515602949906601,1.0352217496463294,20210326,-0.0009541081148451878,0.9780855257457418,202103,-0.0016885241793254948,0.9614745677730241
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,BELOW,STAGE_A_TOP30,9480,9421,316,31,594,0.33351024307398364,0.5843328733680077,0.08215688355800871,0.2860630506315678,0.19732512472136715,-0.0050241146253343204,-0.004231747101666274,0.0005511663575666929,0.01030871544312408,0.05105821898763903,0.09466490006367724,-0.05616948361786999,-0.08655461612651622,1.0937013448861732,-0.006228183864532472,-0.011978877340314517,-0.06045081060793918,0.8632699639630308,0.754927514083302,36,-0.012708815813369797,0.7409874563295388,-0.006962340739949289,0.847736765778227,178,-0.015470275989398532,0.689477946854955,-0.009739893690405144,0.790215851635169,20210520,-0.012329984188073427,0.7484294191067797,202211,-0.012838290260956207,0.7396688603189939
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,BELOW,GATE_RETAINED,3060,3032,102,23,486,0.3937994722955145,0.520778364116095,0.0854221635883905,0.3453166226912929,0.2509894459102902,2.9651168227418735e-05,0.01306055710476029,0.02001076549817662,0.02486034341217035,0.06690027204076647,0.11431075550153426,-0.04338201490512009,-0.07669733363154439,1.490413683097323,0.006878360584480562,0.0010518413605144076,-0.05667168619258484,1.1724250344475675,1.0245249653912556,14,0.00022791300096768809,1.0052895325882134,0.006049668440568548,1.1509513474508046,67,-0.002781572168336563,0.9365774072787999,0.0030226959533896304,1.0740978057849206,20200331,0.00010579348969217212,1.0024445625267218,202102,-0.0003402633406236885,0.9921765997589805
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,STAGE_A_TOP30,12090,12040,403,27,621,0.35764119601328903,0.5550664451827243,0.08729235880398671,0.30548172757475084,0.21137873754152825,-0.0032024341040090823,0.0025692760580177474,0.005966766687281995,0.013069251928493175,0.05818165528682391,0.10137991252996427,-0.05154395866984114,-0.08043438308852441,1.2604051729766814,-0.00018560887753899658,-0.0059711343870930056,-0.05846699203740052,0.9956461060014344,0.8697143959569833,49,-0.0067219751718214866,0.8539285281481761,-0.000940780691353241,0.9780215825292008,242,-0.009602155075424832,0.7946994060879564,-0.003837730920047132,0.9117864026257602,20210623,-0.006181529936078239,0.8653650715796141,202103,-0.006558736327754651,0.8575909303453225
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,GATE_RETAINED,7080,7041,236,26,569,0.3875869904843062,0.5271978412157364,0.08521516829995739,0.33816219287033095,0.24257917909387872,-0.0011862601260854055,0.009228270510743269,0.013880062143023864,0.0201808348760458,0.06680887687334174,0.11162954173198843,-0.04829656526823531,-0.07774896623522896,1.4357688228838184,0.0055771013981747615,-0.00024195658524228615,-0.0571667645120957,1.137530574152391,0.9944509742633373,31,-0.001027700086437505,0.9765345244964388,0.004786814093979344,1.1175224807355517,151,-0.004013326218274841,0.9099323913088461,0.001783805409684504,1.0430450354443925,20210201,-0.0005564428898822542,0.9872774051864424,202211,-0.001175061976107262,0.9733776813337491
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,FALLING,STAGE_A_TOP30,9240,9177,308,23,537,0.3456467255094257,0.5616214449166395,0.09273182957393483,0.2955214122262177,0.20235371036286368,-0.0044061211990426355,-0.0015578148122995957,0.004530551270499443,0.017732494177287714,0.051130076284471096,0.09731625579626718,-0.05145558247655547,-0.08026153230975645,1.2124893830918997,-0.0025316570969427937,-0.00830391359284203,-0.05897597212806939,0.9415304811594774,0.8215432534867534,37,-0.009058126957557753,0.8061195509194778,-0.0032902344256257013,0.9243172430230268,182,-0.011902595253921048,0.7492781109723468,-0.006151279468123971,0.8607514977429122,20210520,-0.008652333347393222,0.8145694040079651,202103,-0.011093093155457206,0.7672825759634476
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,FALLING,GATE_RETAINED,3540,3510,118,22,471,0.38603988603988604,0.5230769230769231,0.09088319088319088,0.3336182336182336,0.23333333333333334,-0.0001509257197467844,0.008464867547557686,0.015525958878313206,0.025973652894559,0.05954986455092616,0.11090812207993489,-0.04288811761258675,-0.07448161853749437,1.4890670242900705,0.005985281349175413,0.0001637779453749365,-0.056636979408346624,1.1515034164941653,1.0038517260385733,16,-0.0006542025614126704,0.984684612292964,0.005162579485730176,1.130082954437784,77,-0.0036499950438513245,0.9160426093036083,0.002149341508313154,1.0532120474148676,20200331,-0.0006599799887234952,0.9845988344221162,202103,-0.004405809961069319,0.9005331311944567
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,HIGH,STAGE_A_TOP30,10680,10609,356,26,583,0.37477613347158073,0.5260627768875483,0.09916108964087096,0.324630031105665,0.2260344990102743,-0.0027412424013293296,0.004349650469440989,0.014434663789968384,0.03832101543294309,0.05813823720946531,0.10978607815246136,-0.04598846975387653,-0.06897894024091017,1.5915883568090716,0.004206415948572098,-0.0016048549709391695,-0.05677107364284055,1.1045279076627343,0.9629358919834548,46,-0.002387775169423124,0.9450934668126968,0.0034189639261003116,1.0845916294624727,228,-0.005377720554958272,0.8784707735000585,0.0004116073616694479,1.010008475192303,20210520,-0.0018871145168530238,0.9565198792060845,202103,-0.003482411792127191,0.9209096231881847
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,HIGH,GATE_RETAINED,4680,4632,156,26,520,0.432426597582038,0.46243523316062174,0.10513816925734024,0.38320379965457685,0.276986183074266,0.0013921706723269063,0.016496014026924934,0.032431491557252334,0.060829148255729805,0.07124393878355534,0.1295791109912525,-0.035160405728202115,-0.05542455880924786,2.3379367156934694,0.016487352118020628,0.010605058414583894,-0.008623802451019506,1.4728089082999234,1.2819794641955344,23,0.009767207904312323,1.2584121952882306,0.015644655658139058,1.4464151280402202,114,0.0065441221770939665,1.1697201827431765,0.012402841903952333,1.346923421669978,20200331,0.010050204178037552,1.2656793635233872,202003,0.007761771162972923,1.2005141155164973
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,LOW,STAGE_A_TOP30,10650,10608,355,27,604,0.3301282051282051,0.5897435897435898,0.08012820512820513,0.27771493212669685,0.18891402714932126,-0.004704981167060781,-0.002781619968348339,-0.0037444012277079537,-0.008150712711544682,0.05212474369916417,0.08945747767568352,-0.05702351688851439,-0.09174137230172069,0.9751050745292336,-0.0066076182939870795,-0.012355916918874194,-0.06044097125584762,0.8550876511169575,0.7476798050631448,40,-0.013074963102330734,0.7340029638488761,-0.007330808007110127,0.8398335358465129,196,-0.015803190924459372,0.6832457377571293,-0.010074929389954173,0.7831281877761632,20210326,-0.012658247647380268,0.7421543162162932,202103,-0.013264325325125524,0.7311342581435205
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,LOW,GATE_RETAINED,5940,5919,198,26,556,0.35157965872613617,0.5754350397026525,0.07298530157121136,0.300219631694543,0.21017063693191418,-0.0025900897750121277,0.003088089336941126,0.00033839572879161155,-0.00819392375374216,0.059033519546126303,0.09715503796655187,-0.05536921938516507,-0.09328170230181049,1.0415229950693792,-0.0027188218500620613,-0.008489843944040803,-0.059786545168477596,0.9387335776162249,0.821837019017772,23,-0.009214964540987471,0.8073714894657344,-0.0034481276773120494,0.9226011972909393,115,-0.01205232587750713,0.751990856271086,-0.006302025339983254,0.860748148561506,20210326,-0.00901320482991145,0.8117016080964821,202103,-0.01005277869275333,0.7918047419472829
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,STAGE_A_TOP30,9390,9355,313,24,603,0.35008017103153394,0.540780331373597,0.10913949759486906,0.2958845537145911,0.19786210582576164,-0.003233103937357982,-8.215874532796033e-05,0.0033988080677956494,0.014034371188250308,0.04879092489637168,0.08921506926750418,-0.04611440404529665,-0.07096099880778955,1.2572408895928735,0.0008354975798949464,-0.004955848050466929,-0.05723439678062636,1.0207106875768353,0.8861465894725039,38,-0.005700854347089573,0.8695631472594947,8.617436462427236e-05,1.00212745172804,190,-0.008558020444718078,0.8073850201540386,-0.002787722934005211,0.9323001655807237,20230214,-0.005217913898423385,0.8804614943909724,202304,-0.005649976080629058,0.8710315845389219
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,GATE_RETAINED,4380,4371,146,23,531,0.35049187828872114,0.5410661175932281,0.10844200411805079,0.2930679478380233,0.2029283916723862,-0.003456517965031923,-0.0012776326049228097,0.0035385163651563065,0.016533694553573536,0.04747925258027283,0.09001117499933543,-0.04657623101031579,-0.07077505565490011,1.2717923591361175,0.0009394967884362516,-0.004852645439733541,-0.05722134880038578,1.0232912031593164,0.8885251792036292,18,-0.00561117615718695,0.8716310508263415,0.00017658002602845613,1.004359594147384,89,-0.008474645474350869,0.8092846637957459,-0.002703626498743006,0.9343387457065648,20230214,-0.005414836416778831,0.8763558784307508,202305,-0.0058376853073434844,0.8672623024717426
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,BELOW,STAGE_A_TOP30,5040,5023,168,21,520,0.35058729842723474,0.5379255425044794,0.11148715906828588,0.2882739398765678,0.1905235914791957,-0.0036935302868442354,0.0018025514398098182,0.005811170080877823,0.007697991513090499,0.05160264593329884,0.08622610016182138,-0.04663901911154153,-0.0737732661619629,1.1687987349308804,0.0004397265419803373,-0.0053498547872241516,-0.05720024441903733,1.0107828357112059,0.8783354027793447,21,-0.0061160488617705,0.8614923744058385,-0.0003309067239847153,0.9919195339657798,102,-0.008966165443191924,0.8002351084863609,-0.0031976481020827446,0.9231805553807256,20230815,-0.005893681596586342,0.866647490840287,202302,-0.006083286575866528,0.8632810896795904
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,BELOW,GATE_RETAINED,1140,1139,38,15,343,0.3090430201931519,0.5618964003511853,0.12906057945566285,0.25636523266022826,0.17032484635645304,-0.003786945022689671,-0.00440759658484885,-0.00254241916777867,-0.00385553424892007,0.04408099719094892,0.07468323686775931,-0.047321951012946326,-0.07777249033208629,0.9602783265504813,-0.0042537457722451695,-0.010015397966296273,-0.0585993988369235,0.8974993527218452,0.7765276029540988,5,-0.010830424230720951,0.7594028517472584,-0.005073546895479511,0.8782816414743809,22,-0.013500718385453785,0.704578564639584,-0.007759413994933602,0.8166362634800444,20240812,-0.011733946452680426,0.7419603836002487,202408,-0.011733946452680426,0.7419603836002487
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,STAGE_A_TOP30,9420,9373,314,23,592,0.3569828230022405,0.5349407873679718,0.10807638962978769,0.3031046623279633,0.20527045769764216,-0.003624315162840051,0.0003596584836976701,0.006054000400566884,0.016367008181487317,0.050047699035108056,0.09164803297734059,-0.04546146642179083,-0.0699408368080496,1.3103651194346686,0.0016826549542906521,-0.004113845767337585,-0.05700284433072642,1.0418858654646082,0.9050798914134297,39,-0.004874522048052002,0.8879965398841774,0.0009175734732064869,1.02274586484042,192,-0.007743414943559413,0.8249935224864778,-0.0019680908110275568,0.9520124111857451,20230214,-0.004372793544716777,0.8993868014184685,202305,-0.0053080607917653545,0.8789718031237497
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,GATE_RETAINED,3840,3830,128,21,496,0.3621409921671018,0.5313315926892951,0.10652741514360313,0.3052219321148825,0.21618798955613577,-0.0028657094591142303,0.0007593918026569356,0.00783411484579191,0.018263636281326996,0.049931881600031085,0.09359720422025417,-0.04458427432091118,-0.0696626562656514,1.3435778828664073,0.002736371255809246,-0.003066226296855191,-0.05679755042799122,1.0687050715526074,0.9286453068349707,16,-0.0038274811961989106,0.9113021037090788,0.001970711622511552,1.0492741077823424,80,-0.006744460250851074,0.8463268363219351,-0.0009633166461016912,0.9763181658547929,20230214,-0.0036948048464966483,0.9146047515683344,202305,-0.0035543111192668786,0.9176654551879055
