observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,time_slice_type,period,cohort,retained_pct,delta_success,delta_downside_first,mae_improvement,mfe_retention,delta_net,delta_net_pf
22050,21937,735,36,710,0.35123307653735697,0.5565482973970917,0.09221862606555135,0.299858686237863,0.20563431645165703,-0.0035876345979332955,0.0007324849735841881,0.005218609580774094,0.014685216834081888,0.05466720961806812,0.09873434199949929,-0.05113639650156463,-0.0799365142134015,1.235159463370074,-0.001318744346892492,-0.007097842528103798,-0.058578264114997024,0.9692693346937196,0.8461190412360942,88,-0.007842903346173753,0.8306482394039478,-0.002068109109419347,0.9520002330587582,438,-0.010711045423494627,0.7724214064349025,-0.004952959099791186,0.8868858027160006,20210520,-0.007241669312370817,0.843182061971899,202103,-0.0085415216300873,0.8171218607630802,PERIOD,HISTORICAL_DISCOVERY,STAGE_A_TOP30,1.0,,,,,,
3120,3097,104,26,498,0.3803680981595092,0.5279302550855667,0.09170164675492412,0.3364546335163061,0.24120116241524056,-0.0018367994339931275,0.005842944469520671,0.011122682027949178,0.020939040325256484,0.061332102820381346,0.10969577087977093,-0.04957019301634118,-0.07707540999978733,1.4232265631810925,0.004241206439479489,-0.0015700054527331326,-0.057120366329543384,1.1039367866920367,0.9641900432896322,14,-0.00238590157082102,0.9458264273178327,0.0034206111922864576,1.083447994870684,67,-0.005403528429926957,0.8794182731235456,0.00038541418802452384,1.009240787749601,20200401,-0.0023768356149553083,0.9461877967554798,202102,-0.004076626046628759,0.9093238592868601,PERIOD,HISTORICAL_DISCOVERY,LOW_RISK,0.1414965986394558,,,,,,
8040,7994,268,36,652,0.3831623717788341,0.5263947960970728,0.09044283212409307,0.3303727795846885,0.23229922441831374,-0.00033602241876657865,0.009064536564566721,0.014233057642278283,0.02089868502058857,0.06374105598363418,0.10909776980692597,-0.045267762209058524,-0.07626182098348165,1.4305686436540324,0.005188966066530617,-0.0006278974071651651,-0.05701290088918412,1.128569428116777,0.9855377778107877,35,-0.0014120118436285664,0.9676198362960851,0.004400314282693679,1.1085512773871524,172,-0.004398300926113287,0.9008746012372546,0.001396644026558572,1.033860726933422,20200331,-0.0009908341062157358,0.9772560873656317,202103,-0.0029110720490473758,0.9342753030542452,PERIOD,HISTORICAL_DISCOVERY,MEDIUM_RISK,0.36462585034013606,,,,,,
10890,10846,363,35,644,0.31938041674349993,0.5869444956666052,0.09367508758989489,0.26691867969758437,0.17582518900977318,-0.006484160899148623,-0.0068678758485834004,-0.0031113194412216395,0.008319869606062149,0.04607625423415708,0.08796605994761193,-0.05590906796828333,-0.08346190029394204,1.053966655896964,-0.007702831072901928,-0.013444924652316077,-0.06037710909647298,0.830322632550767,0.7243432941108032,40,-0.014153153885960583,0.7108928841705747,-0.008415148445277076,0.815315397780619,200,-0.016873706279611676,0.66042357165716,-0.011151566926216149,0.7588838498759186,20210520,-0.01375383976202983,0.7186746607591799,202103,-0.014175045733716168,0.7112012180167105,PERIOD,HISTORICAL_DISCOVERY,HIGH_RISK,0.49387755102040815,,,,,,
11160,11091,372,36,667,0.3823821116220359,0.5268235506266342,0.0907943377513299,0.3320710485979623,0.23478496077901,-0.0007550925130914025,0.008164953955391928,0.013364530613374016,0.02090995365087948,0.06306839094472028,0.10926475288533195,-0.046469153265785094,-0.07648900385098671,1.4285027570524758,0.0049243180127052305,-0.0008909673392834593,-0.05703681862263413,1.1216364586636771,0.9795346605533899,48,-0.0016679551160727086,0.9618532190991059,0.004142840042181674,1.1018901514394366,239,-0.0046789717090616285,0.8948409467784103,0.0011142973244982915,1.0269313325840534,20200331,-0.0011529978943148568,0.9735809165498486,202103,-0.0028820023592037182,0.9349705594195455,PERIOD,HISTORICAL_DISCOVERY,GATE_RETAINED,0.5061224489795918,0.031149035084678922,-0.029724746770457444,0.0034475103624147935,1.1066539835337745,0.006206875188820338,0.13341561931729573
10890,10846,363,35,644,0.31938041674349993,0.5869444956666052,0.09367508758989489,0.26691867969758437,0.17582518900977318,-0.006484160899148623,-0.0068678758485834004,-0.0031113194412216395,0.008319869606062149,0.04607625423415708,0.08796605994761193,-0.05590906796828333,-0.08346190029394204,1.053966655896964,-0.007702831072901928,-0.013444924652316077,-0.06037710909647298,0.830322632550767,0.7243432941108032,40,-0.014153153885960583,0.7108928841705747,-0.008415148445277076,0.815315397780619,200,-0.016873706279611676,0.66042357165716,-0.011151566926216149,0.7588838498759186,20210520,-0.01375383976202983,0.7186746607591799,202103,-0.014175045733716168,0.7112012180167105,PERIOD,HISTORICAL_DISCOVERY,GATE_SKIPPED,0.49387755102040815,,,,,,
14430,14378,481,24,649,0.35025733759910976,0.5397830018083183,0.10995966059257198,0.293225761580192,0.19529837251356238,-0.00339395534600101,0.0005762707483392441,0.004241574404679205,0.011820736808758883,0.049773208577585,0.08817086341009393,-0.04629767998616103,-0.07194347334666928,1.225557501029048,0.0006972337098542546,-0.0050934955562905145,-0.05720093822047212,1.0172179046083087,0.883399686789917,59,-0.005845892615295035,0.8667249578174638,-5.95229330377271e-05,0.9985361369313743,292,-0.008700871658460124,0.804864739339507,-0.002931195190785948,0.9290853660642595,20230815,-0.005282207326726633,0.8792935163269182,202302,-0.0061603186076432375,0.8611215220793954,PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,1.0,,,,,,
870,869,29,16,337,0.334867663981588,0.5558112773302647,0.1093210586881473,0.28308400460299193,0.19907940161104717,-0.009081999569133508,-0.011311371912216532,-0.003970597935002185,0.011195092367024418,0.040065547304027165,0.08429548646929991,-0.05225237157983223,-0.0758339262094872,1.1115801420651503,-0.002338795346048261,-0.008112291553728015,-0.05792753001473115,0.9451978801292226,0.8233202428018894,4,-0.008979490001200907,0.8053334889294064,-0.003211021182426615,0.9251064117189836,18,-0.011891669112791011,0.7463727907152788,-0.006140243342890504,0.8591034030151496,20230406,-0.011016201442924015,0.7655578504824667,202304,-0.011016201442924015,0.7655578504824667,PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LOW_RISK,0.060291060291060294,,,,,,
4650,4641,155,24,550,0.34324499030381384,0.5434173669467787,0.11333764274940746,0.2859297565179918,0.19564748976513682,-0.0024842733851370502,-0.00016703349160617794,0.003452163155680933,0.012529366541091524,0.04803342129318331,0.08731960245047435,-0.04569642254836501,-0.07154513098034264,1.2204828092978937,0.0002788056848488564,-0.00550934499902976,-0.057381460539144225,1.0069381983027705,0.8730580693011702,19,-0.00626066624687521,0.8563372897192872,-0.0004768642738686778,0.9881816120195962,94,-0.00910699144076089,0.794414043668348,-0.0033398274732488317,0.9185703623472145,20230214,-0.006042752958602666,0.8615531597204638,202401,-0.006931331377885067,0.8420689192465791,PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MEDIUM_RISK,0.32224532224532226,,,,,,
8910,8868,297,24,602,0.35543527289129456,0.5363103292737934,0.10825439783491204,0.2980378890392422,0.19474515110509696,-0.00331264316179572,0.002130176527501363,0.005459440368795591,0.011511189496186878,0.051634993696397576,0.08899612329678139,-0.04602882666792818,-0.07177070647525895,1.2400062318943517,0.0012137237542418655,-0.004580043708576708,-0.057084635472381344,1.0300104710021245,0.8949837337604252,37,-0.005341469436715608,0.8780359327571228,0.0004478840175032981,1.011028151541829,182,-0.008214261444888876,0.8155198628695395,-0.002441706897979296,0.940865540656107,20230815,-0.004884663863225499,0.8883201409278676,202302,-0.005626592087294276,0.8730415366416499,PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,HIGH_RISK,0.6174636174636174,,,,,,
