period,feature,bucket_correlation_path_success_rate,bucket_correlation_downside_first_rate,bucket_correlation_mae10_mean,bucket_correlation_mfe10_mean,bucket_correlation_net_mean
HISTORICAL_DISCOVERY,tx_total_oi,0.5731734097248771,-0.3903271124441473,-0.19405330268624754,0.5509906951141381,0.4327898855819687
HISTORICAL_DISCOVERY,tx_total_oi_change_1,-0.6304291882292078,0.8009301808779542,-0.7832605907218747,-0.6973598684191528,-0.7823197877557104
HISTORICAL_DISCOVERY,tx_total_oi_change_5,-0.27989649923711923,0.21676061195999005,-0.42766172605380387,-0.3099702610075342,-0.24848811069966897
HISTORICAL_DISCOVERY,txo_volume_pc_ratio,0.5237871956932362,-0.4582610958644816,0.026750628722939308,0.5194453552413016,0.49829181591869187
HISTORICAL_DISCOVERY,txo_oi_pc_ratio,0.966856605310607,-0.8832345783645134,0.10850053838491833,0.9573120661919245,0.913766204532005
HISTORICAL_DISCOVERY,txo_volume_pc_change_1,-0.08665452365346119,-0.07597692341242952,0.02794216570064061,0.032537121986169766,0.000977871208602616
HISTORICAL_DISCOVERY,txo_volume_pc_change_5,0.30969660500658464,-0.4554801172236654,0.4938765104133263,0.043913122290495,0.4048966832796967
HISTORICAL_DISCOVERY,txo_oi_pc_change_1,0.41445112496265696,-0.4813193669606344,0.586415555381851,0.2895141212843185,0.4814051006499737
HISTORICAL_DISCOVERY,txo_oi_pc_change_5,0.47603218972683836,-0.5820637367266299,0.7486992630466204,0.2924838396529389,0.5870487866778563
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,tx_total_oi,0.06220616247324953,-0.5107858872938712,0.35027197882682254,0.11955363112725469,0.40863495317275345
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,tx_total_oi_change_1,0.488667220389278,-0.3721594747606996,0.253833347713575,0.173518465066354,0.45505784501056784
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,tx_total_oi_change_5,-0.24491473135632943,0.11175745599298385,0.06986706653861696,-0.45441694510394165,-0.13786334276676557
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_ratio,0.00661941771211487,-0.02567185832733393,0.01812138670407202,-0.007690241075061687,0.07908721989724227
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_oi_pc_ratio,-0.2669523128365474,0.35122752778474814,-0.011339749979543127,-0.4009365404840251,-0.18521012362286426
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_change_1,0.42568961519540127,-0.5763112890353338,0.4415301837011554,0.2854964639282655,0.5579839216725301
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_volume_pc_change_5,-0.4229113388550143,0.28207290850291017,-0.24549352220276432,-0.6138968219718381,-0.069525153909878
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_oi_pc_change_1,0.16696060340022176,-0.07398738343771406,-0.02770746376242796,-0.15363090483776734,0.12016004308268015
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,txo_oi_pc_change_5,-0.8858166347714892,0.7713457346619713,-0.3662766613044808,-0.9461637369909563,-0.8407237002537368
STRESS_PREVALENCE_SEEN_NOT_BLIND,tx_total_oi,-0.04873354380162548,-0.39135654466420877,0.6767722891119785,-0.16567568501668328,0.22519303577311892
STRESS_PREVALENCE_SEEN_NOT_BLIND,tx_total_oi_change_1,-0.5086466871165741,0.6091343095465769,-0.39474637643901694,-0.7041440773753457,-0.5517491924705947
STRESS_PREVALENCE_SEEN_NOT_BLIND,tx_total_oi_change_5,-0.4267474979595246,0.46627026250956155,0.059129765366562864,-0.5644434750076889,-0.4581210618696894
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_ratio,-0.5944679510161864,0.6438725925256775,-0.06410502796705421,-0.6512450708317703,-0.5989549632397985
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_oi_pc_ratio,0.1260722250811962,0.03137111808355353,0.4877535803883772,-0.05395608075213783,0.13656761437247086
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_change_1,0.5408285525349383,-0.6978591641698176,0.23858291306320642,0.06783452555482074,0.6376374435305757
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_volume_pc_change_5,-0.18236443621001105,0.1492703289233595,0.03872384330135913,0.040886146866727355,-0.22092979345342023
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_oi_pc_change_1,-0.168723857081327,0.11046277225402448,-0.05253649323158949,-0.3197860874171184,-0.1287819302485205
STRESS_PREVALENCE_SEEN_NOT_BLIND,txo_oi_pc_change_5,-0.05103864644898728,-0.05669994250050616,0.15303332243605516,-0.0572497775913892,-0.031473868464288235
