period,setup_family,row_type,comparison,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate,effect_direction_count,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
HISTORICAL_DISCOVERY,BREAKOUT,GROUP,A_R_LT_0_8,567,0.5361552028218695,0.5291005291005291,0.02773784727734865,0.02178606607442727,2.0643072453618756,1.7613495061011244,0.5520282186948854,0.544973544973545,0.04187261420666479,0.03584125007286672,1.9458330437573237,1.7686851772612484,0.04225352112676051,0.06340174227155583,-0.02951191827468791,-0.03172388857208146,0.07560137457044669,0.11181531937501656,-0.04504504504504503,-0.05599625918624256,0.42857142857142855,0.48677248677248675,0.41798941798941797,0.43738977072310403,0.37742504409171074,0.4532627865961199,,,,,,,,,,
HISTORICAL_DISCOVERY,BREAKOUT,GROUP,B_R_0_8_TO_1_2,351,0.5584045584045584,0.5384615384615384,0.014034441364986033,0.008163981565760264,1.6323960514211107,1.3311237466467987,0.5783475783475783,0.5527065527065527,0.05434015521213528,0.04823548086569004,2.888630496212258,2.5509240018866106,0.04386951631046121,0.046705248333059786,-0.02887139107611547,-0.03586739156099047,0.07675906183368864,0.1077396110679421,-0.04507710557532618,-0.051540179643975045,0.4301994301994302,0.4843304843304843,0.4017094017094017,0.4074074074074074,0.3247863247863248,0.4444444444444444,,,,,,,,,,
HISTORICAL_DISCOVERY,BREAKOUT,GROUP,C_R_GE_1_2,586,0.46928327645051193,0.4590443686006826,0.00871115827236258,0.00286979493478998,1.2918648855287678,1.087583017514726,0.5238907849829352,0.5136518771331058,0.040418368297825136,0.034394809907465115,2.0234664196692194,1.8179911451454287,0.03290414878397718,0.049438685368329405,-0.04263565891472865,-0.046615653471956835,0.07315258318657203,0.10726950560350332,-0.05693950177935947,-0.06799164918480466,0.4061433447098976,0.4778156996587031,0.4334470989761092,0.40102389078498296,0.3515358361774744,0.5034129692832765,,,,,,,,,,
HISTORICAL_DISCOVERY,BREAKOUT,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.00407570830707446,-0.004456079542267517,0.013622084508667006,-0.01239423079282332,0.029982363315696647,0.05263871930538594,0.008818342151675485,0.43022575945432573,-0.7822388246253622
HISTORICAL_DISCOVERY,BREAKOUT,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.00047010546443877754,-0.016451469540829614,-0.005294186630970284,-0.013840670958224922,-0.006383516622424423,0.026749511391149616,0.05896852483883208,-0.2435407291320726,-0.7329328567411819
HISTORICAL_DISCOVERY,GAP_BEHAVIOR,GROUP,A_R_LT_0_8,243,0.4732510288065844,0.448559670781893,-0.00017639857140484765,-0.005966593185529675,0.9952359423035277,0.8505796666385615,0.551440329218107,0.5473251028806584,0.018768329015494644,0.01287048688279629,1.387536657551687,1.2535650361251955,0.03361344537815136,0.04618124526778479,-0.03543307086614178,-0.04393703135700077,0.0735785953177257,0.09039389420500284,-0.05882352941176472,-0.07171765332758236,0.3991769547325103,0.48148148148148145,0.4074074074074074,0.3991769547325103,0.345679012345679,0.5102880658436214,,,,,,,,,,
HISTORICAL_DISCOVERY,GAP_BEHAVIOR,GROUP,B_R_0_8_TO_1_2,56,0.48214285714285715,0.4642857142857143,0.012718360361419405,0.006856074999901353,1.5714072678736761,1.2719996704585923,0.48214285714285715,0.48214285714285715,0.03525865539664132,0.029258369214971908,1.9513404439892175,1.7342291907019405,0.028273696231442602,0.046351400717986095,-0.029859541335806372,-0.03418379617930325,0.069444317749905,0.1006312213728433,-0.05161066308243728,-0.05849816126582068,0.42857142857142855,0.4107142857142857,0.30357142857142855,0.2857142857142857,0.19642857142857142,0.5,,,,,,,,,,
HISTORICAL_DISCOVERY,GAP_BEHAVIOR,GROUP,C_R_GE_1_2,79,0.4050632911392405,0.3924050632911392,0.001723465505349566,-0.00407726761624597,1.0523836068148404,0.8872892733893345,0.4810126582278481,0.46835443037974683,0.024051875859709995,0.01812375930001286,1.5312417507620435,1.377059372745516,0.03544303797468351,0.04936761224069773,-0.04810996563573888,-0.05531043091522836,0.07951807228915664,0.10737144326487218,-0.0730593607305936,-0.08098839121005141,0.43037974683544306,0.4936708860759494,0.4177215189873418,0.3670886075949367,0.31645569620253167,0.5822784810126582,,,,,,,,,,
HISTORICAL_DISCOVERY,GAP_BEHAVIOR,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.010237327167840468,-0.013219492061761678,-0.012822668185431027,-0.01638788233217562,0.1134626690182246,0.14925044091710757,0.010288065843621408,-0.42142000382003075,-0.48066415457674494
HISTORICAL_DISCOVERY,GAP_BEHAVIOR,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.006740221892028872,-0.022490229944230736,-0.010933342616147323,-0.011134609914959046,0.08137432188065102,0.12002712477396024,0.08227848101265822,-0.3847103970692578,-0.35716981795642444
