stock_id,stock_name,period,comparison,left_n,baseline_n,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
2603,長榮,HISTORICAL_DISCOVERY,A_MINUS_B,254,102,-0.028476470101200108,0.01010749374798555,0.0014889388049197337,-0.0349501297310857,0.02748185888528637,0.058746333178940846,-0.06924502084298284,0.061458631074588155,-1.220661491410039
2603,長榮,HISTORICAL_DISCOVERY,C_MINUS_B,71,102,-0.008604053338912454,-0.030451930566268208,-0.01766856075270604,-0.024205959771249827,-0.0015189174261254212,0.015051090858878735,0.024855012427506207,-0.9406662338754204,-1.571680286479753
3529,力旺,HISTORICAL_DISCOVERY,A_MINUS_B,248,81,-0.016041627028224953,-0.01025144851523524,0.0043942704934558825,-0.027403118048488363,0.11524293110314615,0.1532755874153724,-0.04798884906411793,0.13093125357483903,-0.70070693455016
3529,力旺,HISTORICAL_DISCOVERY,C_MINUS_B,68,81,-0.04193068201682294,-0.019626646340869955,-0.01266159456079283,-0.04633844743971653,0.05428467683369648,0.06717501815541033,0.06681190994916486,-0.2628627867100446,-1.0343960838335915
3661,世芯-KY,HISTORICAL_DISCOVERY,A_MINUS_B,275,51,0.023236116194275055,-0.01941126409346495,-0.004402286110601111,-0.01912176877631903,0.04563279857397501,0.08549019607843134,-0.03344028520499104,-0.16495834782741636,-0.5429518349237524
3661,世芯-KY,HISTORICAL_DISCOVERY,C_MINUS_B,75,51,0.07048707993528489,0.028428685340694627,0.027778276412862877,0.08534243978567888,0.22745098039215683,0.3254901960784313,-0.13647058823529407,1.9758028283375042,13.700586605057376
5269,祥碩,HISTORICAL_DISCOVERY,A_MINUS_B,231,55,-0.018866888332951158,-0.026547803997836662,-0.022395051861677926,-0.03056108474604656,-0.05367965367965366,-0.11428571428571427,0.10562770562770563,-0.5424396980326375,-0.5131765651157599
5269,祥碩,HISTORICAL_DISCOVERY,C_MINUS_B,69,55,0.03745475341703304,0.002132221809399114,0.008483128555186726,0.03735408502390298,0.1401844532279315,0.1401844532279315,-0.10329380764163365,0.6174509892293913,1.390077462566343
6104,創惟,HISTORICAL_DISCOVERY,A_MINUS_B,200,44,-0.012002395141281944,-0.016358310665248663,0.0016374853177026044,-0.0017514947923730397,0.03999999999999998,0.0,0.06000000000000005,0.04608334675838899,-0.09493745908557627
6104,創惟,HISTORICAL_DISCOVERY,C_MINUS_B,100,44,0.04076206022604584,-0.008095144549704322,0.025110953408427013,0.053106586553227475,0.14,0.04999999999999999,0.10999999999999999,0.7021651212660247,1.4900682788326862
6415,矽力*-KY,HISTORICAL_DISCOVERY,A_MINUS_B,259,36,0.06419032947753991,0.03852723088293731,0.050613193977978914,0.09668586935400503,0.32904332904332906,0.27574002574002576,-0.38159588159588165,1.3309360198779434,1.6436979879251303
6415,矽力*-KY,HISTORICAL_DISCOVERY,C_MINUS_B,65,36,0.009847475541639016,-0.011957308803635311,-0.019125802126415743,0.014442835185144415,0.16581196581196583,0.1012820512820513,-0.18717948717948718,0.011722548204570318,0.11366156189453357
6531,愛普*,HISTORICAL_DISCOVERY,A_MINUS_B,181,32,-0.06464359706491923,-0.05558817576065338,-0.05016585416666976,-0.06650575782581673,-0.43318370165745856,-0.4516574585635359,0.44233425414364635,-2.669747853509678,-1.7220501250269962
