scope,period,decile,ratio_min,ratio_max,ratio_median,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,1,-5.658823529411765,-0.5555555555555556,-0.9302325581395349,336,0.40476190476190477,0.3869047619047619,-0.01904276762818871,-0.024721698515091102,0.5647308128428347,0.47373671993428984,0.3541666666666667,0.3541666666666667,-0.04325559329254004,-0.048793203696499185,0.4296495713032927,0.383454635850137,0.029930770207901136,0.039293883566937846,-0.05894029622843178,-0.05579061456532102,0.04519371048792353,0.06234030826862291,-0.09589430894308942,-0.10123944930074222,0.375,0.31845238095238093,0.27976190476190477,0.25892857142857145,0.22916666666666666,0.6547619047619048
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,2,-0.5483870967741935,-0.1111111111111111,-0.286535303776683,336,0.4583333333333333,0.4255952380952381,-0.006310096845403441,-0.012061475131029351,0.8291814349840366,0.698173966319105,0.49404761904761907,0.4791666666666667,0.0038834736869494506,-0.0019273477508599131,1.0750672361016993,0.964564865598318,0.028204545454545427,0.037447925146540155,-0.03653699466056448,-0.050634352901737734,0.047797799718345524,0.06998369162115674,-0.06965441338322692,-0.07996755453138371,0.37797619047619047,0.4017857142857143,0.3273809523809524,0.33630952380952384,0.2767857142857143,0.5625
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,3,-0.1111111111111111,0.17307692307692352,0.047619047619047616,335,0.4626865671641791,0.44477611940298506,0.0033014340013666904,-0.002508231848799661,1.1038303895157855,0.9278100384674777,0.5343283582089552,0.5194029850746269,0.03205954804764777,0.02608412198187311,1.9371734159403953,1.7103252667219,0.026022304832713727,0.04100565901737649,-0.034671532846715314,-0.03993477752249483,0.05379746835443022,0.08092457020840525,-0.05238095238095242,-0.059103274694039976,0.37910447761194027,0.417910447761194,0.382089552238806,0.40298507462686567,0.3701492537313433,0.48059701492537316
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,4,0.17346938775510204,0.3426294820717131,0.2512626262626263,336,0.5089285714285714,0.48214285714285715,0.003796703998686788,-0.0020165643438390937,1.124005615475333,0.9394580883230307,0.5863095238095238,0.5744047619047619,0.021634842166917186,0.015720153063772453,1.489088849719529,1.3386564090650435,0.027242655244436365,0.04080103912174574,-0.03508771929824561,-0.041961732599277546,0.0703587201728465,0.08862485235974893,-0.04656084656084658,-0.06640750044081327,0.34226190476190477,0.4642857142857143,0.43154761904761907,0.3958333333333333,0.36607142857142855,0.4375
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,5,0.3435114503816794,0.5352941176470588,0.4305555555555556,335,0.5074626865671642,0.4835820895522388,0.01758573323462122,0.011692549341717085,1.589816719205523,1.3589447556725682,0.5283582089552239,0.5253731343283582,0.027880611811926553,0.02193134894293361,1.5685663199262845,1.4259017709129425,0.03076923076923066,0.05500295620058624,-0.02985074626865669,-0.0382291834561016,0.07184241019698723,0.09859840429872048,-0.04635761589403975,-0.0648125738556573,0.3940298507462687,0.4746268656716418,0.4059701492537313,0.43283582089552236,0.3641791044776119,0.4597014925373134
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,6,0.5364583333333334,0.7226890756302521,0.6197183098591549,336,0.49404761904761907,0.4732142857142857,0.018754826382193883,0.012856441552850076,1.654530466220526,1.4086948544140723,0.5178571428571429,0.5119047619047619,0.03383239775755072,0.02784837959980083,1.7908946617740493,1.6143746761439879,0.044386422976501416,0.05668445783159982,-0.029687499999999978,-0.033074445669348654,0.07152600170502987,0.09846682259847757,-0.0512261144280684,-0.05777329245703644,0.39880952380952384,0.45535714285714285,0.37797619047619047,0.40773809523809523,0.3482142857142857,0.49404761904761907
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,7,0.7227722772277227,0.9140624999999999,0.8072289156626506,336,0.5178571428571429,0.5029761904761905,0.01900184895263663,0.013100605754948005,1.7372634210387088,1.4608384891636552,0.5892857142857143,0.5654761904761905,0.0516031077250181,0.045513085455548184,2.595728919265358,2.316435392308102,0.03321718931475037,0.052109937351317914,-0.032911392405063244,-0.03454452739499897,0.07907101316192233,0.10956050545783133,-0.04660587639311048,-0.0498333865869015,0.41964285714285715,0.49404761904761907,0.44047619047619047,0.3898809523809524,0.34226190476190477,0.46726190476190477
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,8,0.9140624999999999,1.2682926829268293,1.0864197530864192,335,0.5343283582089552,0.5253731343283582,0.015894098478728743,0.010015039082443484,1.643685604645808,1.3670693089048074,0.5253731343283582,0.5223880597014925,0.04249772003649534,0.036460081703087066,2.075123995874929,1.8668275909233227,0.037681159420289934,0.05068572590828677,-0.02893890675241162,-0.03823685823776327,0.07602339181286544,0.1096927722506806,-0.049038461538461586,-0.058661876234730716,0.4298507462686567,0.48059701492537316,0.39104477611940297,0.408955223880597,0.3253731343283582,0.44776119402985076
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,9,1.2682926829268293,1.7857142857142863,1.4516129032258065,336,0.5029761904761905,0.4880952380952381,0.014504743457382714,0.00862915018001065,1.4867923208595808,1.2649123049513558,0.5148809523809523,0.5089285714285714,0.05337428645236628,0.04727591983690515,2.3566085829185948,2.127554703483703,0.04138078562487124,0.059076576964282576,-0.04470198675496684,-0.04415116291741239,0.06903594771241828,0.11952191212932582,-0.05990783410138245,-0.06785479205124056,0.47023809523809523,0.4523809523809524,0.39880952380952384,0.40476190476190477,0.3482142857142857,0.5089285714285714
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,10,1.7875,5.208333333333333,2.2535211267605635,335,0.417910447761194,0.40298507462686567,0.0010172124086409867,-0.004779573506418901,1.0328101458190175,0.8602629204081148,0.5194029850746269,0.5044776119402985,0.0254731995547811,0.019536653398678737,1.6327203081430035,1.4557457710653416,0.024752475247524774,0.040649133844018526,-0.04489164086687303,-0.04985371025382224,0.08497536945812789,0.09346098661403399,-0.06018518518518523,-0.06987898893326949,0.3611940298507463,0.5014925373134328,0.4537313432835821,0.3940298507462687,0.34626865671641793,0.5223880597014925
