scope,period,pivot_window,row_type,comparison,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,3x3,GROUP,A_R_LT_0_8,2447,0.44258275439313444,0.4184715978749489,-0.006935680603034055,-0.012685461117110414,0.8252330437491439,0.7031717861267741,0.47486718430731506,0.4662852472415202,0.0034713316364795217,-0.0023385118956428014,1.0635006622798382,0.9592707806693738,0.02645502645502651,0.040135695862445316,-0.041728763040238426,-0.05104614311740816,0.050909090909091015,0.07824084050612556,-0.06536697247706424,-0.08160039144596094,0.3510420923579894,0.3878218226399673,0.33060890886800165,0.32856559051900286,0.28442991418062935,0.5484266448712709,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,3x3,GROUP,B_R_0_8_TO_1_2,452,0.4690265486725664,0.45353982300884954,0.004877119987301179,-0.0009389484903734251,1.1687227470252104,0.9705182261636693,0.4247787610619469,0.413716814159292,0.007860029818845525,0.0020256161912551958,1.1584135554763502,1.038455784828774,0.030729833546734975,0.04122941387007511,-0.035842857642165604,-0.043682747498203826,0.04895936082067465,0.07872033402947341,-0.06418918918918914,-0.07220954145834345,0.35398230088495575,0.336283185840708,0.2610619469026549,0.3053097345132743,0.23008849557522124,0.5862831858407079,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,3x3,GROUP,C_R_GE_1_2,826,0.5193704600484261,0.5,0.02870396722101949,0.022745755904665908,2.0088667912872435,1.7311066230739618,0.562953995157385,0.5520581113801453,0.0642466071069091,0.058084388876443585,2.616197857040178,2.3803562922062143,0.043352601156069426,0.07176766505632051,-0.04029304029304026,-0.04001766765376695,0.09674114971265857,0.1343223118029657,-0.05216928400319404,-0.062252326614352475,0.4648910411622276,0.5375302663438256,0.4915254237288136,0.4552058111380145,0.4128329297820823,0.46973365617433416,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,3x3,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00047949352334784867,-0.009390849987617494,-0.01174651262673699,-0.004364128086897998,0.023255856005728548,0.054341418605408115,-0.037856540969437025,-0.2673464400368952,-0.07918500415940033
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,3x3,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05560197777349228,0.009957214843990973,0.023684704395039332,0.05605877268518839,0.1498960766247402,0.18274443420686107,-0.11654952966637377,0.7605883969102925,1.3419005073774402
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3x3,GROUP,A_R_LT_0_8,1509,0.46984758117958914,0.44466534128561963,-0.0010398522164918483,-0.006822610186932236,0.9611123682695972,0.7703560211248154,0.48641484426772696,0.4552683896620278,0.004235296138197548,-0.0015791456222890223,1.1272567166812395,0.9563082921141098,0.022556390977443552,0.031187560347165192,-0.028860028860028808,-0.034865127155633766,0.03969957081545061,0.05675418141340285,-0.0444444444444444,-0.05481176924487444,0.2975480450629556,0.2823061630218688,0.21736249171636846,0.2664015904572565,0.20344599072233266,0.43141153081510936,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3x3,GROUP,B_R_0_8_TO_1_2,226,0.4646017699115044,0.3938053097345133,-0.0017210819952328165,-0.007503263102843177,0.9358120148472402,0.7494872548917544,0.4469026548672566,0.4336283185840708,0.0020405081728654332,-0.0037621942134347234,1.073197894732962,0.8784215166522902,0.01379310344827589,0.032317133379941146,-0.027918781725888353,-0.03404763303168282,0.03734439834024905,0.05225132257739498,-0.03815217829905715,-0.049066365848361916,0.25663716814159293,0.2920353982300885,0.17256637168141592,0.2920353982300885,0.17256637168141592,0.42035398230088494,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3x3,GROUP,C_R_GE_1_2,296,0.3344594594594595,0.3141891891891892,-0.015528486947374414,-0.0212278665324125,0.5512720406984114,0.44537339512015495,0.2905405405405405,0.2533783783783784,-0.02670582767391692,-0.0323418641672492,0.3799442686085556,0.3121524836687694,0.005221932114882533,0.02404277760948322,-0.040020201635188934,-0.041310777772661546,0.020000000000000018,0.034581898121996635,-0.054913294797687806,-0.06696819009177382,0.3108108108108108,0.22972972972972974,0.125,0.2195945945945946,0.11486486486486487,0.5506756756756757,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3x3,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004502858836007866,-0.005745403396512527,0.0006806529159109412,0.002183048591145701,-0.02563380777283203,0.03087961904091674,0.011057548514224413,0.020868766233060998,0.07788677546181966
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3x3,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017669424455398347,-0.017901824243411905,-0.013724603429569323,-0.028579669953814474,-0.0724408036354939,-0.05770150681655105,0.13032169337479071,-0.30411385977159944,-0.5662690329835207
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,3x3,GROUP,A_R_LT_0_8,749,0.4432576769025367,0.40053404539385845,0.0025062437908665042,-0.003297819329442165,1.0896602328184122,0.8939709203040879,0.4766355140186916,0.45794392523364486,0.009395523492781561,0.003553243126547536,1.3063274138271999,1.1058583448156964,0.02285714285714291,0.04039392085261567,-0.03163444639718804,-0.036884721020413305,0.03685092127303191,0.06213862214697603,-0.05163511187607572,-0.0540258934922343,0.29906542056074764,0.3377837116154873,0.2590120160213618,0.2910547396528705,0.22696929238985314,0.4979973297730307,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,3x3,GROUP,B_R_0_8_TO_1_2,85,0.38823529411764707,0.38823529411764707,-0.014421426037643991,-0.020130008696900157,0.536853054795461,0.4165490214705612,0.35294117647058826,0.35294117647058826,-0.012491680757327463,-0.01820975618218541,0.657770111761552,0.5451816840513257,0.0022421524663676085,0.014121713846028018,-0.0358744394618834,-0.04212115007392411,0.01760563380281699,0.038335430579530066,-0.048865619546247796,-0.0627914604929927,0.17647058823529413,0.24705882352941178,0.11764705882352941,0.2,0.11764705882352941,0.4823529411764706,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,3x3,GROUP,C_R_GE_1_2,79,0.46835443037974683,0.4177215189873418,-0.010471167326329718,-0.01620570234491477,0.650271680432737,0.5101165305569817,0.5316455696202531,0.4430379746835443,-0.007277206324617673,-0.013029325402974192,0.8333773169801856,0.7190693957267345,0.02547770700636942,0.028737803523740058,-0.03053435114503822,-0.04449911211208388,0.04330708661417315,0.053614457471421184,-0.045685279187817285,-0.06111670288529806,0.2911392405063291,0.3924050632911392,0.21518987341772153,0.31645569620253167,0.21518987341772153,0.4430379746835443,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,3x3,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023803191567445967,0.008765567000758395,0.016832189367457992,0.021762999308732947,0.09105473965287048,0.10932223356632373,0.015644388596560088,0.47742189883352665,0.5606766607643707
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,3x3,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015279026891891118,0.0016747576076946366,0.003924306351985388,0.005180430779211218,0.11645569620253166,0.09754281459419212,-0.03931496649292632,0.09356750908642048,0.17388771167540873
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,3x3,GROUP,A_R_LT_0_8,33559,0.47376262701510774,0.43851127864358297,-0.00011456851033509683,-0.005902987688054648,0.9957425899475574,0.8024788420071028,0.477219225841056,0.4538573855001639,0.005362802477725716,-0.0004576044827593027,1.1437488143699963,0.988608883422583,0.020460358056265893,0.03230979998139531,-0.025000000000000022,-0.03460583298530865,0.03547066848567537,0.0587275110594172,-0.04084158415841577,-0.05612732479471734,0.2633570726183736,0.26982329628415624,0.20814088620042315,0.2456867010339998,0.1895467683780804,0.4268601567388778,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,3x3,GROUP,B_R_0_8_TO_1_2,5948,0.4584734364492266,0.41627437794216543,0.002339438459304091,-0.0034635633942297515,1.0953067594213892,0.8746921016525088,0.4734364492266308,0.44704102219233355,0.008053782760360177,0.002218606759095567,1.2317735911110532,1.0589077930737234,0.01836734693877551,0.03344346168093956,-0.027986013986014024,-0.03325057042158639,0.035902891142808646,0.06116009008472959,-0.04016913319238902,-0.051546854126321116,0.2809347679892401,0.27135171486213855,0.2074646940147949,0.25151311365164764,0.19115669132481505,0.413920645595158,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,3x3,GROUP,C_R_GE_1_2,9869,0.47188164960988954,0.44036883169520724,0.008685839120914435,0.0028462214961552917,1.3033952135264208,1.090097299260704,0.48211571587800184,0.458303779511602,0.020117130070476722,0.014211609588091112,1.5330812887834158,1.3502793018260995,0.023648648648648685,0.044328544154875874,-0.030581039755351758,-0.03721585833977827,0.04339622641509444,0.08079493776090334,-0.045064377682403456,-0.05671178756627028,0.32982065052183607,0.3455263957847806,0.28716181983990274,0.3071233154321613,0.25493971020366807,0.4418887425271051,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,3x3,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0024325790253123883,-0.0045804706683962235,-0.0024394242938248966,-0.00267621124185487,-0.005826412617647825,-0.0016099229467346488,0.012939511143719773,-0.07221325964540593,-0.07029890965114038
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,3x3,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019634847676173746,-0.005164933439949164,0.006309784890385043,0.011993002828995545,0.05561020178051368,0.06378301887885302,0.027968096931947073,0.21540519760819532,0.29137150875237605
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3x3,GROUP,A_R_LT_0_8,20531,0.46597827675222836,0.42335979737957236,-0.0010186636290374612,-0.006802378284932001,0.9497313853115569,0.7085324308425646,0.4757196434659783,0.44245287613852224,0.0016147533744055602,-0.004184111093398557,1.0606993847585118,0.8584572081865582,0.016163793103448176,0.0240157653539573,-0.01953125,-0.026712684863079095,0.028523489932885893,0.04217304197232728,-0.03125,-0.042252825214064337,0.1920997515951488,0.18118942087574888,0.1258584579416492,0.17242219083337393,0.11981881057912425,0.33281379377526665,,,,,,,,,
