scope,period,cluster_scheme,cluster_count,iterations,comparison,metric,point_delta,ci_2_5,ci_97_5,valid_iterations
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,CALENDAR_MONTH,36,5000,C_MINUS_B,MAE10_MEAN,-0.010868541095477358,-0.024830732261940845,0.005817696615397868,5000
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,CALENDAR_MONTH,36,5000,C_MINUS_B,DAY5_NET_MEAN,-0.0001507358309850125,-0.021373674057894847,0.01872607109093779,5000
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,CALENDAR_MONTH,36,5000,C_MINUS_B,DAY10_NET_MEAN,-0.00047583031262699027,-0.03239124638377023,0.034025779611711354,5000
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,CALENDAR_MONTH,36,5000,C_MINUS_B,UP8_BEFORE_DOWN5_RATE,0.02528467908902693,-0.07617214888946136,0.13835146528549855,5000
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,CALENDAR_MONTH,36,5000,C_MINUS_B,DOWNSIDE_FIRST_RATE,0.029339199447895092,-0.10380706835960811,0.15301066514791306,5000
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,CALENDAR_MONTH,36,5000,C_MINUS_B,DAY5_NET_PF,-0.03313585024407795,-0.9351740560710652,0.6056233781353116,5000
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,CALENDAR_MONTH,36,5000,C_MINUS_B,DAY10_NET_PF,-0.08807567718220755,-1.4901552020683342,0.9478876090902606,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,MFE10_MEAN,-0.004160434796626887,-0.01939719343706373,0.010154389537494478,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,MAE10_MEAN,-0.002087897637652547,-0.01551636579319573,0.011071229867020157,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,DAY5_NET_MEAN,-0.009129352052064128,-0.02551682797487053,0.005882062150253091,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,DAY10_NET_MEAN,0.010030030174197976,-0.009104167763727163,0.02928697503210318,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,UP8_BEFORE_DOWN5_RATE,-0.019237966913691174,-0.12615600877155633,0.08390184772407813,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,DOWNSIDE_FIRST_RATE,0.04486862789130924,-0.0675552554596784,0.15625121351826696,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,DAY5_NET_PF,-0.35762045293157596,-1.2344979952476496,0.20327339063596297,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,A_MINUS_B,DAY10_NET_PF,0.2837630797187488,-0.31109116556093125,0.7069943385740319,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,MFE10_MEAN,-0.020657734210132492,-0.03865467648929001,-0.003243685728814955,5000
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,390,5000,C_MINUS_B,MAE10_MEAN,-0.013528727167977012,-0.028713776273824404,0.0019549169618296434,5000
