scope,period,dimension,dimension_value,ratio_bucket,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,B0_R_LT_0,779,0.4274711168164313,0.4017971758664955,-0.011576474456280971,-0.017298764535313486,0.7022476282154615,0.5884399854974224,0.4326059050064185,0.42362002567394097,-0.014020233152459101,-0.019727650935773992,0.7660541006947534,0.6862653571723712,0.028508771929824483,0.03768975271729229,-0.045638945233265726,-0.05144289980112064,0.045226130653266416,0.06619139851544922,-0.07647058823529407,-0.08691692776461622,0.3735558408215661,0.35430038510911427,0.30166880616174585,0.30038510911424904,0.2554557124518614,0.5982028241335045
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,B1_R_0_TO_0_5,847,0.5100354191263282,0.4887839433293979,0.010083371067872148,0.00423456741386445,1.324133205677492,1.125259575769661,0.5619834710743802,0.5525383707201889,0.028317160754867503,0.022364982996487814,1.6468007582689348,1.4852515972702411,0.03056027164685915,0.04763230367912577,-0.033232628398791486,-0.04054114661546911,0.0714285714285714,0.09331554241329118,-0.047210300429184504,-0.06418975166372284,0.3778040141676505,0.4722550177095632,0.42621015348288077,0.42266824085005905,0.38134592680047225,0.4557260920897285
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,B2_R_0_5_TO_0_8,527,0.48956356736242884,0.47248576850094876,0.019376583080955505,0.013473770455443831,1.681849825368133,1.431282239972091,0.5445920303605313,0.540796963946869,0.0415213311691868,0.03549048800814597,2.031963671740193,1.832240050716119,0.03797468354430378,0.05615162480115527,-0.02985074626865669,-0.0331052819278073,0.07702702702702702,0.10437226985103022,-0.04635761589403975,-0.054569022711586174,0.3984819734345351,0.4857685009487666,0.4079696394686907,0.4174573055028463,0.3548387096774194,0.47248576850094876
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,B3_R_0_8_TO_1_0,289,0.48788927335640137,0.4602076124567474,0.00633104985066434,0.0005045897072088211,1.2302554999010578,1.0166198879241704,0.49480968858131485,0.4671280276816609,0.025545532458353816,0.01960794723363433,1.6826171707656277,1.4879892832849635,0.030729833546734975,0.04603269505891371,-0.03155006858710574,-0.0390837017811436,0.06824925816023719,0.08963724512917574,-0.04878048780487809,-0.05808182020150739,0.4290657439446367,0.4013840830449827,0.35294117647058826,0.34256055363321797,0.29411764705882354,0.4809688581314879
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,B4_R_1_0_TO_1_2,194,0.5721649484536082,0.5721649484536082,0.01820367918705265,0.012310997077706276,1.8564935323222016,1.5215225042147615,0.5927835051546392,0.5876288659793815,0.06321257700906852,0.057053818899937825,2.86918448646199,2.584595972918424,0.03915860091155843,0.04622705496463508,-0.028273696231442713,-0.03556744475470386,0.08435878428465537,0.11910577206869477,-0.05145118733509235,-0.05434390279854789,0.41237113402061853,0.5309278350515464,0.41237113402061853,0.4329896907216495,0.3247422680412371,0.4587628865979381
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,B5_R_1_2_TO_1_5,245,0.5306122448979592,0.5306122448979592,0.02941517886543767,0.023453744852040145,2.2801286383898454,1.9174826286288869,0.5673469387755102,0.5673469387755102,0.07084627014747535,0.06464695041280934,3.31503315938753,2.9631920703048746,0.038929440389294356,0.06208561168177021,-0.038112522686025385,-0.034700901996952464,0.07238605898123329,0.1245003969349202,-0.05344827586206902,-0.055329292241702556,0.46938775510204084,0.4897959183673469,0.44081632653061226,0.42448979591836733,0.3673469387755102,0.4857142857142857
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,B6_R_GE_1_5,475,0.44,0.4189473684210526,0.0014264210485672216,-0.004372774072396184,1.0431979275746512,0.8789691474641967,0.4968421052631579,0.48210526315789476,0.024384687201379696,0.01845408066993131,1.5526697595801684,1.394126167161366,0.027027027027026973,0.04606284290260263,-0.04489164086687303,-0.05168866419773715,0.07925072046109505,0.09973101849680391,-0.06257242178447275,-0.07370022248827356,0.3894736842105263,0.47578947368421054,0.42947368421052634,0.3936842105263158,0.3494736842105263,0.5094736842105263
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,BREAKOUT,B0_R_LT_0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,BREAKOUT,B1_R_0_TO_0_5,216,0.5694444444444444,0.5601851851851852,0.026192925885485847,0.020250610022003367,2.036185301523777,1.7320044697061057,0.5185185185185185,0.5092592592592593,0.020249104249553937,0.01434388860244098,1.3686732898129284,1.249759885894787,0.039311374932399334,0.0627072573307633,-0.029077117572692712,-0.03348650659362809,0.06888888888888889,0.10343476827869207,-0.04025760784909671,-0.06544872169885527,0.4351851851851852,0.4444444444444444,0.38425925925925924,0.4166666666666667,0.35648148148148145,0.4537037037037037
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,BREAKOUT,B2_R_0_5_TO_0_8,351,0.5156695156695157,0.50997150997151,0.028688568133879606,0.02273096210668813,2.0807877343105687,1.7784584532821046,0.5726495726495726,0.5669515669515669,0.05517938956488685,0.049070395593128716,2.463080100323319,2.2274328465376025,0.044386422976501416,0.06382911761973585,-0.029687499999999978,-0.03063920055882199,0.0877659574468086,0.11697258158813931,-0.04531249999999998,-0.05017935917848089,0.42450142450142453,0.5128205128205128,0.43874643874643876,0.45014245014245013,0.3903133903133903,0.452991452991453
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,BREAKOUT,B3_R_0_8_TO_1_0,206,0.558252427184466,0.5242718446601942,0.014088194507538778,0.008216201930365905,1.59714588749372,1.3151079061447453,0.5631067961165048,0.5242718446601942,0.046420650266959324,0.040363158325716325,2.824298787014661,2.446851954160846,0.045751633986928164,0.04961699321473809,-0.032112463214825415,-0.03554520948985334,0.07196969696969702,0.09891331325760241,-0.04199475065616798,-0.04897008437059013,0.45145631067961167,0.45145631067961167,0.39805825242718446,0.38349514563106796,0.3300970873786408,0.4320388349514563
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,BREAKOUT,B4_R_1_0_TO_1_2,145,0.5586206896551724,0.5586206896551724,0.013958074831428342,0.008089792633975702,1.6908764198867365,1.3573292128929746,0.6,0.593103448275862,0.06559131396183353,0.059419608060411314,2.9580558833486856,2.6666150858130946,0.04063604240282692,0.042568562501158196,-0.02837837837837842,-0.03632511229653702,0.08614864864864868,0.12027904106056263,-0.05317769130998695,-0.05519148741168052,0.4,0.5310344827586206,0.4068965517241379,0.4413793103448276,0.31724137931034485,0.46206896551724136
