scope,period,row_type,comparison,n,day5_gross_positive_rate,day5_net_positive_rate,day5_gross_mean,day5_net_mean,day5_gross_pf,day5_net_pf,day10_gross_positive_rate,day10_net_positive_rate,day10_gross_mean,day10_net_mean,day10_gross_pf,day10_net_pf,median_mfe5,mean_mfe5,median_mae5,mean_mae5,median_mfe10,mean_mfe10,median_mae10,mean_mae10,up5_within_5d_rate,up8_within_10d_rate,up10_within_10d_rate,up8_before_down5_rate,up10_before_down5_rate,downside_first_rate,mean_mfe10_delta,mean_mae10_delta,day5_net_mean_delta,day10_net_mean_delta,up8_before_down5_rate_delta,up10_before_down5_rate_delta,downside_first_rate_delta,day5_net_pf_delta,day10_net_pf_delta
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,GROUP,A_R_LT_0_8,2153,0.47515095215977704,0.4533209475150952,0.004521133756018757,-0.001295114697374415,1.1359262654478868,0.9641785584017017,0.5109150023223409,0.5030190431955411,0.016230661894922702,0.010347788062865845,1.332898036811805,1.2016271104761544,0.03191489361702127,0.0461201973307938,-0.03539823008849563,-0.042665514957886556,0.06047819971870605,0.0862078727724503,-0.05756358768406966,-0.0700580034170066,0.3813283790060381,0.43288434742220155,0.3766836971667441,0.37714816535067347,0.3293079424059452,0.5113794705062703,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,GROUP,B_R_0_8_TO_1_2,483,0.5217391304347826,0.505175983436853,0.01109976639571472,0.005246707781487302,1.444193074829252,1.1897713617565262,0.5341614906832298,0.515527950310559,0.0406747387582268,0.034648318047843185,2.130636134703902,1.8998661837554214,0.03292181069958855,0.046110760942371154,-0.02893890675241162,-0.03767137494236657,0.07291666666666674,0.10147346505933452,-0.05052631578947364,-0.05658046207278246,0.422360248447205,0.453416149068323,0.37681159420289856,0.37888198757763975,0.3064182194616977,0.4720496894409938,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,GROUP,C_R_GE_1_2,720,0.4708333333333333,0.45694444444444443,0.010950373361252305,0.005095971950502289,1.3699022885384875,1.1566355115124483,0.5208333333333334,0.5111111111111111,0.040194531398315025,0.034172487735216195,2.0170311692030602,1.8117905065732138,0.03327787021630613,0.051515035056624935,-0.04230814162098112,-0.045908106226636804,0.0764872521246458,0.10815948754866292,-0.05737704918032782,-0.06744900316825982,0.4166666666666667,0.48055555555555557,0.43333333333333335,0.4041666666666667,0.35555555555555557,0.5013888888888889,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01526559228688422,-0.013477541344224145,-0.006541822478861717,-0.02430052998497734,-0.001733822226966275,0.02288972294424746,0.039329781065276515,-0.22559280335482446,-0.6982390732792669
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006686022489328397,-0.010868541095477358,-0.0001507358309850125,-0.00047583031262699027,0.02528467908902693,0.04913733609385784,0.029339199447895092,-0.03313585024407795,-0.08807567718220755
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP,A_R_LT_0_8,1095,0.4922374429223744,0.45844748858447487,0.0017973347788672555,-0.0040028231945643325,1.0696095417631701,0.8604684581797187,0.5205479452054794,0.491324200913242,0.006071219267619061,0.0002458328219261565,1.1966988369304459,1.007326908040148,0.02473498233215543,0.03389592074106169,-0.02742616033755274,-0.033516471332850906,0.04553415061295962,0.05835540209135414,-0.04153354632587858,-0.051377413896741025,0.33059360730593607,0.3095890410958904,0.2356164383561644,0.2922374429223744,0.22557077625570776,0.42191780821917807,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP,B_R_0_8_TO_1_2,244,0.5040983606557377,0.47950819672131145,0.010979015879835123,0.005126528857499794,1.5303803043046835,1.2180889111112947,0.46311475409836067,0.45491803278688525,-0.004016489631738823,-0.009784197352271819,0.876220081011326,0.7235638283213991,0.03629032258064524,0.04612379746703656,-0.020000000000000018,-0.023494778143821997,0.054784151310831475,0.06251583688798103,-0.039867109634551534,-0.04928951625908848,0.4098360655737705,0.3114754098360656,0.19672131147540983,0.3114754098360656,0.19672131147540983,0.3770491803278688,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP,C_R_GE_1_2,440,0.3409090909090909,0.32045454545454544,-0.014585848452268051,-0.020291927248598268,0.5732991188131854,0.4635155316158418,0.3386363636363636,0.3090909090909091,-0.016134113143608308,-0.02183054648933631,0.5903787134256224,0.4930929016156428,0.014020904055744188,0.026098686821187336,-0.039768580834536105,-0.04164823417986684,0.028481012658227778,0.041858102677848535,-0.05649002849002849,-0.06281824342706549,0.2840909090909091,0.27045454545454545,0.16363636363636364,0.26136363636363635,0.15454545454545454,0.5590909090909091,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004160434796626887,-0.002087897637652547,-0.009129352052064128,0.010030030174197976,-0.019237966913691174,0.02884946478029793,0.04486862789130924,-0.35762045293157596,0.2837630797187488
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.020657734210132492,-0.013528727167977012,-0.025418456106098063,-0.012046349137064491,-0.05011177347242923,-0.04217585692995529,0.18204172876304026,-0.7545733794954529,-0.2304709267057563
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP,A_R_LT_0_8,607,0.4332784184514003,0.3953871499176277,-0.007766110982467389,-0.013508563277038754,0.7904792714712656,0.6640504522824172,0.4200988467874794,0.39209225700164746,-0.009453546031845025,-0.015188912243224913,0.7908322365440473,0.6859210463130736,0.023636363636363678,0.038647510416899705,-0.03582554517133951,-0.04836641945470884,0.03314917127071815,0.0576521230823399,-0.05863192182410426,-0.07481673464757603,0.2800658978583196,0.3228995057660626,0.2372322899505766,0.2833607907742998,0.214168039538715,0.5271828665568369,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP,B_R_0_8_TO_1_2,109,0.44954128440366975,0.41284403669724773,-0.015286168904248127,-0.020991993133979838,0.41434964541940766,0.2834933804614231,0.4954128440366973,0.4954128440366973,-0.008617484596190838,-0.01435586241704323,0.7243100822709082,0.5777587380271647,0.008000000000000007,0.011690255977700077,-0.03809523809523807,-0.038917812923496824,0.02941176470588225,0.038127081886629166,-0.047244094488189003,-0.05992095347058334,0.11926605504587157,0.22935779816513763,0.06422018348623854,0.1651376146788991,0.06422018348623854,0.4954128440366973,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP,C_R_GE_1_2,128,0.578125,0.546875,0.03677318858488056,0.030764481169368203,3.591032705403227,2.842257537255409,0.546875,0.4921875,0.038238596036052785,0.03222660968897727,2.36904035633297,2.055070646306774,0.026013189786370572,0.05790001348942313,-0.023622047244094446,-0.01950925312058188,0.05428571428571427,0.08567681471750303,-0.038838612368024106,-0.03548245707889005,0.3984375,0.4140625,0.3359375,0.390625,0.3359375,0.359375,,,,,,,,,
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019525041195710732,-0.014895781176992688,0.007483429856941084,-0.0008330498261816827,0.11822317609540073,0.14994785605247646,0.03177002252013961,0.38055707182099413,0.10816230828590889
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04754973283087387,0.024438496391693293,0.05175647430334804,0.0465824721060205,0.2254873853211009,0.27171731651376146,-0.13603784403669728,2.558764156793986,1.4773119082796093
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,GROUP,A_R_LT_0_8,28820,0.4816099930603747,0.4436849410131853,0.002150113264843032,-0.003651538894308484,1.0860680521604507,0.8692480155982006,0.48740458015267174,0.46193615544760586,0.00608390800899879,0.00025929103678325557,1.169533178336716,1.006699040010551,0.02124632476668953,0.033233416086503376,-0.024154589371980673,-0.03235084324181514,0.03703703703703698,0.059380310211439045,-0.0393228251103559,-0.05347065429588673,0.2684247050659264,0.27477446217904233,0.20773768216516308,0.25246356696738376,0.19129077029840388,0.4100971547536433,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,GROUP,B_R_0_8_TO_1_2,5959,0.4765900318845444,0.43849639201208257,0.004127017505147531,-0.0016859123237759992,1.1713371068707006,0.9377271718037886,0.48699446215808023,0.46131901325725794,0.010980869367825186,0.005128347200852349,1.3317283639660964,1.1427017752590212,0.021676300578034713,0.036319384458509484,-0.02577319587628868,-0.03189408001006536,0.03921568627450989,0.06397650579339931,-0.03703703703703709,-0.04928807053310772,0.30072159758348715,0.2906527940929686,0.23426749454606477,0.26766235945628464,0.2158080214801141,0.39603960396039606,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,GROUP,C_R_GE_1_2,9634,0.45142204691716836,0.4201785343574839,0.004807285025523947,-0.0010098637360937497,1.1709687983911965,0.9676357091241427,0.48017438239568194,0.4544322192235831,0.015938375926024814,0.010057358776758405,1.4390370920135305,1.2567953619545245,0.020408163265306145,0.038657422648808754,-0.031990752292433366,-0.037581232705014386,0.03891050583657596,0.07281931219334059,-0.04563526497641318,-0.05584202671136264,0.30143242682167326,0.3173136807141374,0.2564874403155491,0.2795308283163795,0.22368694208013287,0.4462320946647291,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,DELTA,A_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004596195581960262,-0.00418258376277901,-0.001965626570532485,-0.0048690561640690935,-0.01519879248890088,-0.02451725118171022,0.01405755079324722,-0.06847915620558798,-0.13600273524847006
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,DELTA,C_MINUS_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008842806399941283,-0.0065539561782549174,0.0006760485876822495,0.004929011575906056,0.01186846886009485,0.007878920600018768,0.050192490704333015,0.029908537320354034,0.11409358669550329
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP,A_R_LT_0_8,17626,0.46624305003971406,0.42471349143311016,0.00019178910329326342,-0.005599081933973741,1.009765674665568,0.7534707384239402,0.46987404969930785,0.4339611936911381,0.0010149763521556257,-0.004780406722315102,1.038475593543575,0.8372961656198057,0.016152191600010135,0.024785384660598875,-0.019607843137254943,-0.02568472203661506,0.028391167192429068,0.042137044730702095,-0.032061068702290085,-0.04163260256804691,0.19505276296380347,0.18098263928287756,0.1264609100192897,0.17213207761261773,0.12135481674798593,0.3346193123794395,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP,B_R_0_8_TO_1_2,3511,0.4431785816006836,0.40529763600113927,-0.0010118222025983746,-0.006795888715773503,0.9525036114532143,0.7224325777448094,0.4403303902022216,0.4155511250356024,0.0022472030985967017,-0.0035550931228317327,1.0794329150753288,0.8869043118253546,0.014705882352941124,0.026364468129423443,-0.02164502164502169,-0.026719106686453557,0.029197080291970767,0.04699327888095957,-0.035675675675675644,-0.043444329848730014,0.22814013101680433,0.1951011107946454,0.14098547422386784,0.1825690686414127,0.1330105383081743,0.37197379663913416,,,,,,,,,
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP,C_R_GE_1_2,5874,0.4371807967313585,0.398876404494382,-0.0005578349789238939,-0.0063441899716296934,0.9767620725588025,0.7668673158635441,0.4576098059244127,0.4296901600272387,0.006359412737620454,0.0005331579876012851,1.208984222294175,1.0159349802601678,0.015151515151515138,0.026912504766292575,-0.02573506280196436,-0.03014771985569619,0.031088082901554515,0.051470707153355263,-0.03882476390346279,-0.04619292865244737,0.23357167177391897,0.24906367041198502,0.18624446714334356,0.23765747361252978,0.1780728634661219,0.40074906367041196,,,,,,,,,
