time_slice,market_proxy,regime_dimension,regime_group,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,1975,1958,395,30,286,0.40398365679264553,0.5286006128702758,0.06741573033707865,0.3421859039836568,0.24055158324821246,-0.0015523598711760687,0.006926281763439276,0.01244243354892454,0.02052136413667229,0.06658940698182049,0.11887632728395163,-0.05184627581009199,-0.08479774657830105,1.4018807348162594,0.006150801143029528,0.000328049058646631,-0.05714989773219796,1.148991484122851,1.0074132713469106,9,-0.0004945611646443219,0.9888752499246245,0.005323459814785178,1.1283579852200603,44,-0.0036487170710667125,0.9193989804214251,0.002150967184247134,1.0509322416024227,20200511,-3.0930918432651305e-05,0.999302806270417,202103,-0.000850418949538929,0.980981796057852
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,BELOW,1580,1572,316,31,285,0.3549618320610687,0.5782442748091603,0.06679389312977099,0.30725190839694655,0.23155216284987276,-0.003488168668271365,-0.002307296952771772,0.0012894343680968296,0.018963100341665404,0.05440445059149605,0.10528945040544263,-0.057390002284051146,-0.08958414624789303,1.1753134322906937,-0.003882237266877634,-0.009646256237602542,-0.05994112926609092,0.9150831152197229,0.803196347521962,7,-0.010485442238721011,0.7870278022832362,-0.004726245783849327,0.8970822975517828,31,-0.013245727851034506,0.7350888213765303,-0.007502600594633614,0.8391304290911,20210520,-0.010163875341065646,0.79329539846129,202004,-0.010276631544734205,0.7912426256611552
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,2015,2000,403,27,292,0.3845,0.551,0.0645,0.322,0.2275,-0.0021516817924520015,0.0037775919959155708,0.005674715904503575,0.012391453939421601,0.06436479590464438,0.11344807678885241,-0.056889562035208285,-0.09124385641964727,1.2433503058779525,0.0015415454386742118,-0.004254331885904237,-0.05872683834371402,1.0352783231465863,0.9090567046952643,9,-0.005078392748631373,0.8919295725459991,0.0007127460108904781,1.016237817768603,43,-0.008131925277003174,0.8299042238570692,-0.002358549392024516,0.9471849848127388,20200511,-0.00461723905380328,0.9015457235921176,202103,-0.005228143380390561,0.8892946236014077
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,FALLING,1540,1530,308,23,257,0.3790849673202614,0.550326797385621,0.07058823529411765,0.3326797385620915,0.24836601307189543,-0.002757881169530279,0.0015551665955723752,0.00982996333753942,0.029547658063960227,0.05697794992872388,0.11201222959583548,-0.05094965199756338,-0.0812892502370632,1.3779463984373717,0.0018675168478246764,-0.0039300202463219734,-0.05797534554107775,1.0437515601883678,0.9142669407433807,7,-0.004769893289282386,0.8964212491487742,0.0010228112825523181,1.0238524502514303,32,-0.007663335272885713,0.8363214600314177,-0.0018874500191187438,0.956706284514005,20210520,-0.004443153331679533,0.9033897408372371,202103,-0.007667680290669465,0.837906185411769
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,HIGH,1780,1765,356,26,261,0.4226628895184136,0.5076487252124646,0.06968838526912181,0.371671388101983,0.27875354107648725,-0.0009025786543763151,0.010384390831504688,0.022370315580050776,0.058410077101188555,0.0681229246111185,0.1342661507389499,-0.04597780984471402,-0.07012511752140782,1.9146656074830974,0.010790182981203232,0.004940669913916728,-0.055759498247503175,1.2764167094750938,1.1178445514193665,9,0.004051505990414273,1.096143505988463,0.009895906163129629,1.2522149661269315,41,0.0009702199582281083,1.0226040585665297,0.006796688955517782,1.1700691065634647,20210520,0.00452125258188884,1.107535137758045,202108,0.004676540919576108,1.1112285728145845
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,LOW,1775,1765,355,27,284,0.341643059490085,0.5937677053824363,0.06458923512747876,0.28158640226628895,0.1943342776203966,-0.0039262722092414356,-0.0047557285748152395,-0.007418884579800083,-0.018755218904756624,0.05420333895842048,0.09138533076775442,-0.06265227039703586,-0.10373338995847957,0.8809635046568168,-0.007424521987140811,-0.013168202349430095,-0.06124003141517197,0.8436286941856852,0.7408857758476418,7,-0.013930643891507171,0.7269701601288797,-0.008191349449058877,0.8281624073613592,34,-0.016799331604702927,0.6758029014178036,-0.011076703594687473,0.771202403601963,20201118,-0.013565312166428412,0.7338279109408922,202103,-0.014584070345698814,0.7162772014898651
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,1565,1562,313,24,292,0.3713188220230474,0.5358514724711908,0.09282970550576185,0.31498079385403327,0.20550576184379002,-0.002826191704787111,-0.0004989484547448014,0.002292168513029882,0.011329706833487909,0.05083983807782762,0.09218933818569523,-0.04845097762906669,-0.07522835943633867,1.22545990470136,0.0016292583709570912,-0.004166869898042989,-0.05734542152415445,1.0393066656028032,0.9064841366158025,7,-0.004990116050728031,0.8885101434460705,0.0008012492765140568,1.019243907345207,33,-0.007850185151099563,0.8275426521670045,-0.0020755684946879437,0.9509837853987603,20240215,-0.004572078030586221,0.8977186235431703,202304,-0.005302103717290367,0.8821073142513767
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,BELOW,840,839,168,21,222,0.3814064362336114,0.5256257449344458,0.09296781883194279,0.31227651966626935,0.20143027413587605,-0.002312941878666861,0.003694687456238804,0.0063850158450366925,0.004199109348723661,0.056402953040089285,0.09475019092142167,-0.04714949588329484,-0.07986906940759492,1.1863189545615473,0.004353719427834816,-0.001458539991834457,-0.05666916330579542,1.1078705951309697,0.9664417748344323,4,-0.00230978431021753,0.9471096326099782,0.0034975579447800156,1.0862446312960612,18,-0.005249948045273595,0.8818001721665005,0.0005402887997620373,1.0130993515609177,20230215,-0.0021837950140655596,0.9500544727599822,202302,-0.002613667325225828,0.9407997052792274
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,1570,1566,314,23,275,0.38122605363984674,0.5229885057471264,0.09578544061302682,0.3218390804597701,0.20881226053639848,-0.0030757670678418178,6.454444903930269e-05,0.004822817519493603,0.013556917396279311,0.05207426579115307,0.09578611624872582,-0.047491230823409517,-0.07418467570973165,1.2911846730113894,0.0036224053374081795,-0.00218541499882801,-0.05675704221971145,1.0890646784049882,0.9500126407468297,7,-0.0029961692270351766,0.9317744616004021,0.002806958227762346,1.0687066487993981,34,-0.005953140016925861,0.8667892174049038,-0.00016733029785992492,0.9959751467452267,20240215,-0.0025832380531993983,0.9411018234042557,202302,-0.00463409382536649,0.8973421843898481
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_MA20_SLOPE5,FALLING,835,835,167,17,200,0.362874251497006,0.5497005988023952,0.08742514970059881,0.2994011976047904,0.19520958083832335,-0.0018424173063936247,0.002657974469793329,0.0016585188931873987,-1.2069251600162043e-05,0.05411449634641431,0.08801688429176543,-0.048943217524823036,-0.0818486760611897,1.0753611240573324,0.0006287250503079967,-0.005161683767338439,-0.0573233279921311,1.015035866725495,0.8853732541754034,4,-0.006034861053280412,0.8666243978600506,-0.0002495053533752128,0.9940617001958834,17,-0.008829486405549761,0.8079135015373493,-0.0030604203339180927,0.9283005853244847,20240806,-0.005868103680326424,0.8704659438685317,202401,-0.008047812636800317,0.8257127937374186
