fold,model,regularization_c,c_selected,train_start,train_end,evaluation_start,evaluation_end,selection_metric,training_observations,iterations,mean_daily_path_ic,median_daily_path_ic,path_ic_positive_day_rate,pool_observations,pool_event_rate,pool_predicted_probability_mean,pool_log_loss,pool_brier_score,pool_auc,stage_a_pool_success_rate,top5_success_rate,top5_downside_first_rate,top5_mfe10,top5_mae10,top5_net_mean
TRAIN_2020_EVALUATE_2021,LOGISTIC_RIDGE_PATH_SUCCESS,0.01,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,7001,3,0.005215897453258731,-0.0038511419125246554,0.49372384937238495,7274,0.3740720373934561,0.38194204221386446,0.661210892193951,0.23420029853656862,0.5345469702946545,0.3740720373934561,0.3869096934548467,0.5393537696768849,0.1180955316100895,-0.08643240927594875,-0.0020797374301576846
TRAIN_2020_EVALUATE_2021,LOGISTIC_RIDGE_PATH_SUCCESS,0.1,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,7001,3,0.005308382298694883,-0.008169505684973816,0.49372384937238495,7274,0.3740720373934561,0.3819146386634139,0.6611403821642308,0.23416700530863616,0.5348301312654511,0.3740720373934561,0.3852526926263463,0.5410107705053853,0.11760054838177947,-0.08666358440458703,-0.0023906447026607034
TRAIN_2020_EVALUATE_2021,LOGISTIC_RIDGE_PATH_SUCCESS,1.0,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,7001,4,0.011639194641819292,-0.008169505684973816,0.4895397489539749,7274,0.3740720373934561,0.3818396233446072,0.6606202636027098,0.2339213265217447,0.5369717580833457,0.3740720373934561,0.3883817427385892,0.5385892116182572,0.11863223194095551,-0.0865659052954891,-0.0017639929246280714
TRAIN_2020_EVALUATE_2021,LOGISTIC_RIDGE_PATH_SUCCESS,10.0,True,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,7001,4,0.030378409486228913,0.026013299085723588,0.5481171548117155,7274,0.3740720373934561,0.3828582258317717,0.6592193673860364,0.2332604672639796,0.541281406712707,0.3740720373934561,0.4089775561097257,0.5320033250207814,0.1244372421643099,-0.08752519688773362,0.00020926807726990112
TRAIN_2020_EVALUATE_2021,IC_WEIGHTED_PATH_SCORE,,,20200101,20201231,20210101,20211231,BENCHMARK_NOT_USED_FOR_C_SELECTION,7001,0,0.04999353917038927,0.05020964452534345,0.602510460251046,7274,,,,,,0.3740720373934561,0.42597187758478083,0.5508684863523573,0.14095394780710307,-0.09840290504146469,-0.00044922066595459384
TRAIN_2020_2021_EVALUATE_2022,LOGISTIC_RIDGE_PATH_SUCCESS,0.01,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,14276,3,0.04280304662722915,0.03186881268022453,0.5809128630705395,7362,0.29638685139907633,0.3813523350010515,0.623605579681757,0.21575640151307077,0.5449114198655903,0.29638685139907633,0.31382113821138213,0.5813008130081301,0.07535819051890214,-0.07603847866306218,-0.013002651002845205
TRAIN_2020_2021_EVALUATE_2022,LOGISTIC_RIDGE_PATH_SUCCESS,0.1,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,14276,3,0.04344476461214069,0.03483488928615279,0.5892116182572614,7362,0.29638685139907633,0.38146402399822316,0.6235643133667566,0.21573696380702864,0.5453334406817449,0.29638685139907633,0.3154471544715447,0.5821138211382114,0.07525849844285537,-0.0763701984210831,-0.012954404980584866
TRAIN_2020_2021_EVALUATE_2022,LOGISTIC_RIDGE_PATH_SUCCESS,1.0,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,14276,4,0.04475864853611962,0.046316743664504924,0.5726141078838174,7362,0.29638685139907633,0.3822041975937229,0.6232115602795132,0.21557274480123606,0.5486260877874076,0.29638685139907633,0.3130081300813008,0.5845528455284553,0.07670722546272435,-0.07750333654824675,-0.013454616915944096
TRAIN_2020_2021_EVALUATE_2022,LOGISTIC_RIDGE_PATH_SUCCESS,10.0,True,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_PATH_SUCCESS,14276,4,0.05071253036092715,0.05664533008147587,0.5892116182572614,7362,0.29638685139907633,0.3832851134942346,0.6218728542533642,0.21498076229940763,0.5550593837257448,0.29638685139907633,0.2991869918699187,0.6121951219512195,0.07364127826568723,-0.08443617317387757,-0.017090109816747343
TRAIN_2020_2021_EVALUATE_2022,IC_WEIGHTED_PATH_SCORE,,,20200101,20211231,20220101,20221231,BENCHMARK_NOT_USED_FOR_C_SELECTION,14276,0,0.010072412155246006,-0.0038858375855614405,0.49377593360995853,7362,,,,,,0.29638685139907633,0.31484502446982054,0.6296900489396411,0.08607889720616059,-0.0951082957961181,-0.01745147118043702
