time_slice_type,time_slice,conditional_path_success_rate,previous_path_success_rate,difference_path_success_rate,conditional_downside_first_rate,previous_downside_first_rate,difference_downside_first_rate,conditional_timeout_rate,previous_timeout_rate,difference_timeout_rate,conditional_mfe10_mean,previous_mfe10_mean,difference_mfe10_mean,conditional_mae10_mean,previous_mae10_mean,difference_mae10_mean,conditional_gross_mean,previous_gross_mean,difference_gross_mean,conditional_net_mean,previous_net_mean,difference_net_mean,conditional_gross_profit_factor,previous_gross_profit_factor,difference_gross_profit_factor,conditional_net_profit_factor,previous_net_profit_factor,difference_net_profit_factor
PERIOD,HISTORICAL_DISCOVERY,0.38465753424657534,0.37033991228070173,0.014317621965873606,0.5468493150684931,0.5213815789473685,0.02546773612112463,0.0684931506849315,0.10827850877192982,-0.03978535808699832,0.11263563613211586,0.09914662858368505,0.013489007548430812,-0.08581392825786299,-0.07873950723488199,-0.007074421022981003,0.0022048920736600064,0.0031184884212838502,-0.0009135963476238438,-0.003594640920018782,-0.002686392281430582,-0.0009082486385882001,1.0512995246400458,1.0770073618529423,-0.02570783721289649,0.9219884741071525,0.9383477181844417,-0.01635924407728928
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.3748438150770512,0.36795994993742176,0.006883865139629464,0.5322782174094127,0.5198164372131832,0.012461780196229566,0.09287796751353602,0.11222361284939508,-0.019345645335859057,0.09308419676348553,0.09169464304478854,0.0013895537186969925,-0.07684999861413294,-0.07232420805184438,-0.004525790562288565,0.0025812878697994116,0.003038761973977653,-0.00045747410417824137,-0.003220477231941799,-0.0027659023565884664,-0.0004545748753533325,1.0628520574061953,1.0765902414445017,-0.0137381840383064,0.9270977591996001,0.9353239852003506,-0.008226226000750514
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.37675185490519375,0.380873866446826,-0.004122011541632276,0.5457543281121187,0.5086562242374278,0.03709810387469081,0.07749381698268755,0.11046990931574609,-0.03297609233305854,0.09536094064542151,0.08738971536474092,0.007971225280680588,-0.07596047425845392,-0.07304386709823424,-0.0029166071602196864,0.0010677142485190623,0.006388150343694877,-0.005320436095175815,-0.004724899916906961,0.0005640885438230911,-0.005288988460730053,1.0256323552073887,1.16882117054543,-0.1431888153380414,0.8945171780160452,1.0138031634458429,-0.11928598542979763
YEAR,2020,0.4337448559670782,0.42295081967213116,0.010794036294947018,0.49547325102880657,0.46229508196721314,0.03317816906159343,0.07078189300411522,0.11475409836065574,-0.04397220535654052,0.13163405687617866,0.11498672012539965,0.016647336750779007,-0.08288416678085239,-0.07162073608837959,-0.011263430692472806,0.011231793332984392,0.013576157500791879,-0.0023443641678074865,0.005379915881732075,0.00771099167044211,-0.002331075788710035,1.281007490661714,1.3740854249598968,-0.0930779342981829,1.125779156456773,1.197433276622267,-0.0716541201654941
YEAR,2021,0.4079601990049751,0.38083333333333336,0.027126865671641742,0.5364842454394693,0.5441666666666667,-0.007682421227197422,0.05555555555555555,0.075,-0.019444444444444445,0.1278413864327774,0.11027633835750675,0.01756504807527065,-0.08907511139495897,-0.08790583606507188,-0.0011692753298870873,0.00518282055588337,0.002145626116023489,0.003037194439859881,-0.0006342194203274931,-0.003653932893913794,0.003019713473586301,1.120964469297039,1.0497905470329525,0.07117392226408659,0.9861733574563649,0.9209276446132859,0.065245712843079
YEAR,2022,0.3132628152969894,0.30781758957654726,0.005445225720442148,0.6078112286411717,0.5578175895765473,0.049993639064624396,0.07892595606183889,0.13436482084690554,-0.055438864785066655,0.07893244974754782,0.07253379193101575,0.006398657816532066,-0.08551016367790376,-0.07685457743236165,-0.008655586245542107,-0.00964137869903365,-0.006320372743771011,-0.0033210059552626382,-0.01537198416066564,-0.01207056140708598,-0.0033014227535796605,0.7908135809810861,0.8499975186229044,-0.059183937641818285,0.6897766239268808,0.7346217027607926,-0.04484507883391187
YEAR,2023,0.36462699077954736,0.3453781512605042,0.01924883951904316,0.512154233025985,0.5058823529411764,0.006271880084808501,0.12321877619446772,0.14873949579831933,-0.025520719603851605,0.08943535337681914,0.08301107352034709,0.006424279856472051,-0.07229978156864023,-0.06636100023599675,-0.005938781332643472,0.0035766636728642286,0.0022228141579427683,0.0013538495149214604,-0.002230875620441897,-0.0035770025758861757,0.0013461269554442788,1.0915889361249944,1.0585946706822016,0.032994265442792825,0.9470630935578899,0.9128915818615506,0.03417151169633925
YEAR,2024,0.3849337748344371,0.39022369511184757,-0.005289920277410487,0.5521523178807947,0.5335542667771334,0.018598051103661306,0.06291390728476821,0.07622203811101906,-0.013308130826250847,0.09668773166439033,0.10025590877311112,-0.003568177108720788,-0.08134371462015345,-0.07820342702521527,-0.0031402875949381875,0.0015982718656137108,0.0038432175672514827,-0.002244945701637772,-0.004197790743961156,-0.001966226084041428,-0.0022315646599197284,1.0371154159892555,1.0928510529587718,-0.05573563696951633,0.909105602440944,0.9557587150646252,-0.046653112623681214
YEAR,2025,0.37675185490519375,0.380873866446826,-0.004122011541632276,0.5457543281121187,0.5086562242374278,0.03709810387469081,0.07749381698268755,0.11046990931574609,-0.03297609233305854,0.09536094064542151,0.08738971536474092,0.007971225280680588,-0.07596047425845392,-0.07304386709823424,-0.0029166071602196864,0.0010677142485190623,0.006388150343694877,-0.005320436095175815,-0.004724899916906961,0.0005640885438230911,-0.005288988460730053,1.0256323552073887,1.16882117054543,-0.1431888153380414,0.8945171780160452,1.0138031634458429,-0.11928598542979763
OVERALL,2020_2025,0.38009361233480177,0.3713144116836594,0.00877920065114235,0.5418502202643172,0.518737944337283,0.02311227592703413,0.07805616740088106,0.1099476439790576,-0.031891476578176536,0.10328855304436232,0.09472067858763736,0.008567874456724967,-0.08120563602550078,-0.07566892530769889,-0.005536710717801888,0.0021394088143861555,0.003638603551855855,-0.0014991947374696996,-0.0036597066067137894,-0.0021694113513011713,-0.0014902952554126181,1.0507840840103493,1.0914656113966785,-0.04068152738632924,0.9190951269791622,0.9493768711517352,-0.03028174417257301
