time_slice_type,time_slice,model,top_k,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,mean_daily_path_ic,median_daily_path_ic,path_ic_positive_day_rate,path_ic_days
PERIOD,HISTORICAL_DISCOVERY,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,2205,2191,735,36,312,0.40392514833409404,0.5385668644454586,0.05750798722044728,0.3473299863076221,0.24554997717937016,-0.0012410591479907326,0.005038489454167682,0.010482322209222567,0.022020410204465872,0.06407919419504847,0.1163099027657714,-0.052872426870874636,-0.08567143465539341,1.3576275830283315,0.004788687868363202,-0.0010255795721602898,-0.05763286453369671,1.1126213395647462,0.9774821699386623,10,-0.0018472187372180634,0.9596272075976705,0.003962319923772451,1.0927613338192332,48,-0.004906797371964366,0.8946256053084195,0.0008849451413849389,1.0203563683651464,20210520,-0.0012389887519874399,0.9728337633731176,202103,-0.0035596848660600596,0.9234167375467347,,,,
PERIOD,HISTORICAL_DISCOVERY,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,3675,3650,735,36,376,0.38465753424657534,0.5468493150684931,0.0684931506849315,0.329041095890411,0.2378082191780822,-0.0021663232560338633,0.0032489044694895947,0.008016745248680839,0.020447486789335126,0.06109798802891425,0.11263563613211586,-0.053612959433138985,-0.08581392825786299,1.3125565793195726,0.0022048920736600064,-0.003594640920018782,-0.05810429046355847,1.0512995246400458,0.9219884741071525,16,-0.0043958371082800235,0.9050189626993711,0.0013990873157261902,1.0324087948974343,77,-0.007370580426084948,0.8434168231295819,-0.0015929547584089161,0.9637198062344615,20210520,-0.0038088661761336703,0.9174525539423284,202103,-0.0056509112445412985,0.8795763153518485,0.05766935250157373,0.05801193511153218,0.6002766251728907,723
PERIOD,HISTORICAL_DISCOVERY,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,7350,7299,735,36,473,0.3762159199890396,0.5498013426496781,0.07398273736128237,0.3211398821756405,0.2278394300589122,-0.0028414909074035762,0.0018017498273542238,0.00673274759737873,0.018473050377792448,0.05899866887302184,0.10867931979571921,-0.05349147414355444,-0.0848852526061594,1.280308610259508,0.001154001697254192,-0.0046394839742694635,-0.058249183035299745,1.0268042201695051,0.8995275420901178,31,-0.0054169118651365925,0.883189825594301,0.0003720814708281921,1.0086057024772368,152,-0.00837275174433336,0.8224560079604896,-0.002600944803715878,0.940845432515236,20210520,-0.004834691120690189,0.8954435889473499,202103,-0.006283790755517316,0.8657613982784722,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,1443,1441,481,24,272,0.38792505204718947,0.5294934073560028,0.08258154059680778,0.32338653712699517,0.2109646079111728,-0.0009306046764204545,0.002257189219062165,0.0040216846077311165,0.008729061880786251,0.05412198776636369,0.0945812053602237,-0.04640791205286398,-0.07660197672637246,1.2347097216312612,0.004422488280840547,-0.00138972469543928,-0.056771073642840425,1.1086248442007935,0.96825484629924,7,-0.002272846466186725,0.9483341083080543,0.0035342696770659546,1.0863867888761052,31,-0.005178391705755985,0.884255946086221,0.0006117579152230302,1.0147027036910223,20240117,-0.0016881323126556325,0.9615186723589315,202304,-0.003040554967602941,0.9316790126287028,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,2405,2401,481,24,331,0.3748438150770512,0.5322782174094127,0.09287796751353602,0.31403581840899625,0.20408163265306123,-0.002646842848429389,0.0009664661763735842,0.0037223638114695793,0.008838007004367876,0.05278380036576496,0.09308419676348553,-0.047996190796620805,-0.07684999861413294,1.2112452627470454,0.0025812878697994116,-0.003220477231941799,-0.057000006520242,1.0628520574061953,0.9270977591996001,11,-0.004054438998615526,0.9086397759826672,0.0017425086149971847,1.0422341475442776,51,-0.0069562120978469665,0.8458763938840355,-0.001176247087873487,0.9719677910694405,20240215,-0.0034818199277011084,0.9213458567961161,202302,-0.0048245553911021475,0.8930281477747334,0.029151596720542232,0.034684398780964854,0.5657620041753654,479
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,4810,4798,481,24,393,0.36702792830345976,0.5437682367653189,0.08920383493122135,0.3065860775323051,0.2011254689453939,-0.0033740423943969494,0.0004835561443253338,0.004030171327211958,0.010692593182294584,0.052230794610385746,0.09284940555462581,-0.048583591153844474,-0.0766732133906072,1.2109757951790796,0.0014862409046569943,-0.00430909834746273,-0.05742270982839426,1.0360205994663902,0.9029525397840356,20,-0.005073401570439614,0.8862155515352345,0.0007175220944962602,1.0173174087081713,100,-0.008010969774140042,0.8233410560704015,-0.0022371981532117425,0.946909239397479,20240806,-0.004561054249674924,0.8974922021261086,202302,-0.005247974194991066,0.8835629308741424,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,729,728,243,12,132,0.3956043956043956,0.5315934065934066,0.07280219780219781,0.33104395604395603,0.20604395604395603,-0.0008979597560145621,0.004398870347527095,0.0077535526818083254,0.0159233391061219,0.055408629376433774,0.09782176520651359,-0.045662385156960805,-0.07528776304711615,1.2993049766307354,0.0036970500172036954,-0.002110572150324133,-0.05744192160912237,1.0913857828597362,0.9515008770498458,4,-0.0030999741962880406,0.9291566731898181,0.0027018892577608104,1.0664198731670622,16,-0.005917376542624718,0.8670122917785321,-0.0001319643626513216,0.9968097215568578,20250424,-0.00272144457624157,0.937721262061366,202504,-0.0035800601365349963,0.9182339882462769,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LOGISTIC_RIDGE_PATH_SUCCESS,5,True,1215,1213,243,12,164,0.37675185490519375,0.5457543281121187,0.07749381698268755,0.31986809563066776,0.20032976092333057,-0.002322516456392617,0.0038554070826829164,0.007847350535096902,0.015689319634304855,0.05459081717922027,0.09536094064542151,-0.047140359784420306,-0.07596047425845392,1.2554021229640815,0.0010677142485190623,-0.004724899916906961,-0.05845751378311296,1.0256323552073887,0.8945171780160452,6,-0.005626397421756931,0.8750126670618663,0.0001609824906030526,1.0038455510927782,26,-0.008481275519033393,0.8147150195137137,-0.0027105677496333117,0.9363228438615556,20250410,-0.005241310667769751,0.8834706934439011,202512,-0.007145401925595511,0.8444540666714577,0.041520625772702276,0.051384111270763665,0.5950413223140496,242
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LOGISTIC_RIDGE_PATH_SUCCESS,10,False,2430,2426,243,12,207,0.3639736191261336,0.5494641384995878,0.08656224237427865,0.3062654575432811,0.19703215169002472,-0.0029966050197250257,0.0019421232785204411,0.0045940059637918805,0.013243941987566116,0.05230634417129077,0.09262910452345743,-0.048995759633510126,-0.07723516082387004,1.1993126386399624,6.501523209647764e-05,-0.005722139068923635,-0.05835576452212766,1.001560952323359,0.872352495571849,10,-0.006478679312891085,0.8560715869735404,-0.0006958986030191006,0.9833610230811208,50,-0.009388260656834652,0.7948862858993871,-0.0036224754021341415,0.9148203980740031,20250410,-0.0062320546333844195,0.861550527513771,202512,-0.009128294349425116,0.8027500192116379,,,,
YEAR,2020,LOGISTIC_RIDGE_PATH_SUCCESS,3,False,735,732,245,12,121,0.4644808743169399,0.4781420765027322,0.05737704918032787,0.4057377049180328,0.30191256830601093,-0.0006283367033352416,0.013372633625886489,0.02753630218083131,0.04733614174777521,0.07680565141836307,0.1403125269026635,-0.050055202372794,-0.08110128704643177,1.7300900147531857,0.015285371569065365,0.009410162239526024,-0.010101055189241334,1.3907737836349368,1.225085721085847,4,0.008484437988950835,1.201833946542447,0.014354326205169923,1.3649661021162838,19,0.005064501764959662,1.117995653461557,0.010914487153086452,1.2717885785937648,20200331,0.008849459371342051,1.2108065113271764,202004,0.0052064890007753,1.1185217947656498,,,,
