time_slice_type,time_slice,row_type,band,probability_decile,observations,event_rate,predicted_probability_mean,log_loss,brier_score,auc,decile_success_spearman,strictly_nondecreasing_realized_success,expected_calibration_error
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,BOTTOM,1,2194,0.30218778486782133,0.32258294128369086,0.6124432234430813,0.21075051492366587,0.5494481568942705,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,OTHER,2,2197,0.31178880291306327,0.33256077904276155,0.6210388880900405,0.2148001613932716,0.5241532460510563,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,OTHER,3,2192,0.333029197080292,0.3397237883554569,0.6352498759315336,0.2216479124821755,0.552542960478234,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,OTHER,4,2195,0.3498861047835991,0.34570142791740793,0.6460032606580982,0.22684375508225094,0.5576146782293857,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,MIDDLE,5,2197,0.35821574874829315,0.35101556043173165,0.6521751833347623,0.22979970419741355,0.5106914668324817,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,MIDDLE,6,2198,0.35168334849863514,0.3562933156909787,0.6470104611568294,0.22732615149280713,0.5633262976328273,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,OTHER,7,2196,0.37340619307832423,0.3616414455114904,0.659833411612123,0.23355306755813007,0.5502747447532614,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,OTHER,8,2189,0.3622658748286889,0.367268581186624,0.6535672057157335,0.2304988035934514,0.5513049353765216,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,OTHER,9,2188,0.36608775137111516,0.3740574160879683,0.6557800070011577,0.23157141168342463,0.5419226327580791,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,PROBABILITY_DECILE,TOP,10,2191,0.40392514833409404,0.3848941222697201,0.6744608573039356,0.24071668277770206,0.5263858246597625,0.9515151515151514,False,0.010763338219988044
PERIOD,HISTORICAL_DISCOVERY,SUMMARY_BAND,BOTTOM,,2194,0.30218778486782133,0.32258294128369086,0.6124432234430813,0.21075051492366587,0.5494481568942705,0.9515151515151514,False,0.010763338219988044
