period,transition_group,transition_within_10d_rate,median_transition_days,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,ALL_EARLY,0.3354866494401378,4.0,4644,4616,664,36,556,0.35701906412478335,0.5424610051993067,0.10051993067590988,0.302209705372617,0.20493934142114384,-0.0017283259243664874,0.004223245336803357,0.0069640573674878345,0.0183976844722478,0.05354711285612987,0.09513337345514997,-0.04608333038415093,-0.07186974734000377,1.3236914971342513,0.0007311873523459929,-0.005059719953277982,-0.05760445903777632,1.0178752170561298,0.8852240471120044,19,-0.005817693751384178,0.8685731840572583,-3.116528015327839e-05,0.9992412435563345,94,-0.008689362078293648,0.8069023096847435,-0.0029195849978920843,0.930078854484896,20210422,-0.005099285937798069,0.8843515816690243,202103,-0.0059317353292372265,0.866453279736093
HISTORICAL_DISCOVERY,TRANSITION_1_TO_3D,,,711,710,333,36,306,0.44366197183098594,0.46901408450704224,0.08732394366197183,0.3788732394366197,0.252112676056338,0.0013378280104809205,0.018689094984404554,0.022893971764811893,0.030974926464916158,0.06864594678143215,0.1127593867194778,-0.03753339475769514,-0.06467006767435077,1.7436101549681857,0.01545681868925264,0.009580279626694398,-0.00460220963836119,1.433097269981818,1.2494750518393092,4,0.008635018342544992,1.2235931801696867,0.01450609628329329,1.4041682944052105,18,0.0054735167120588,1.1389194740427255,0.011326122534220254,1.3093102664683125,20220106,0.009361938967630242,1.2434459916244354,202105,0.007410870488352218,1.1893715645804666
HISTORICAL_DISCOVERY,TRANSITION_4_TO_10D,,,847,846,325,36,299,0.4030732860520095,0.4432624113475177,0.1536643026004728,0.3475177304964539,0.23877068557919623,-0.0028035781306258623,0.01160172407767573,0.029363627093214103,0.05523426985031325,0.061167910655249715,0.11686009950231492,-0.03368103882550483,-0.04974786310765575,2.349047621390821,0.016305927955826756,0.010424878287381487,-0.008959064111210283,1.5065272740957114,1.2983221867734125,5,0.009424999587718468,1.2681152602327044,0.015300271999293399,1.4724785536360168,21,0.006354822812944746,1.1773379125613526,0.012212225802848404,1.3699437777658054,20210813,0.010234688143795525,1.2925334416041978,202210,0.008143863959053867,1.228322458921156
HISTORICAL_DISCOVERY,NO_HIGH_LEVEL_TRANSITION_WITHIN_10D,,,3086,3060,570,36,486,0.3241830065359477,0.5869281045751634,0.08888888888888889,0.2718954248366013,0.184640522875817,-0.0021424781881724444,-0.0011731423313583683,-0.002924921459330631,0.0052952030851112246,0.047936862194358644,0.08503687683633482,-0.05149600781990199,-0.07965631159594494,1.0675472556108634,-0.006991501797898597,-0.012737618585100955,-0.06024131474014816,0.8429736086504211,0.7342357142162405,12,-0.01348956017899229,0.7196505524787351,-0.007747789916741307,0.8266700750682847,56,-0.016136543995456946,0.669480256757221,-0.010410214959647845,0.7704695142871485,20210422,-0.012799820257932604,0.7330251814217483,202004,-0.012874185021106072,0.7316496679527832
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,ALL_EARLY,0.33546121927864664,3.0,3133,3122,451,24,483,0.3321588725176169,0.5406790518898142,0.12716207559256887,0.27770659833440103,0.1860986547085202,-0.004618618545248123,-0.0008537241393658745,0.00372521069226023,0.010924191261930314,0.047579643711255275,0.0831345665476021,-0.045657014996015856,-0.06948151198175649,1.1964990999250338,-0.0017082514818428003,-0.007484601661059462,-0.05700142542548421,0.9578606095392561,0.8291052451726182,13,-0.008254271570364582,0.8123162732851146,-0.0024823887863697105,0.9390190666440714,62,-0.011028573856431544,0.7531870599426813,-0.005272943617690938,0.8725094195271144,20231215,-0.007541206688789198,0.8278679441623348,202304,-0.008466737806896068,0.808346829191935
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TRANSITION_1_TO_3D,,,551,548,267,24,271,0.3448905109489051,0.5054744525547445,0.14963503649635038,0.28102189781021897,0.18065693430656934,0.0015967366436208362,0.007101183360997173,0.006653411445938245,0.015557467113116076,0.0523137286793772,0.08656755419770937,-0.03853243115589265,-0.06013058302676792,1.4396593187724902,0.002001537546754223,-0.0037966013211036577,-0.0555329115837733,1.0526665461381866,0.9077471152245424,3,-0.004760922405427538,0.8849485734030788,0.0010316019376807677,1.0269959857310427,12,-0.007584656455781112,0.8197376175680045,-0.0018087822910653932,0.9534476482737286,20240401,-0.0041231687010938696,0.8999947422804921,202306,-0.0052779231873917665,0.8730260330439219
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TRANSITION_4_TO_10D,,,500,498,234,24,217,0.42771084337349397,0.43172690763052207,0.14056224899598393,0.3674698795180723,0.25903614457831325,-0.003647665952702821,0.009233579385896844,0.02713296363805292,0.042732382742609876,0.05978404831913359,0.10382076560050395,-0.03516368743006416,-0.05034505591250986,2.0621839368085064,0.018400532162094387,0.012508113165877448,-0.001742568688361072,1.576477502683055,1.3614168742400181,3,0.01150274533806681,1.3303649653068146,0.017389355583885262,1.5415160389302305,13,0.008264225966584928,1.2325579567226292,0.014131953957183654,1.4311879242780738,20240314,0.012179842396279512,1.351224933031035,202407,0.011503037857484794,1.3295919831404543
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,NO_HIGH_LEVEL_TRANSITION_WITHIN_10D,,,2082,2076,423,24,416,0.3058766859344894,0.5761078998073218,0.11801541425818883,0.25529865125240847,0.17003853564547206,-0.006492197078286538,-0.005373361165271358,-0.002662898643009667,0.002070860566444655,0.04340234503242375,0.07726606733729192,-0.05005487100383447,-0.0765404061001662,1.0094807602167157,-0.007511304777773383,-0.013254060317181985,-0.05850253198340777,0.8264272073277548,0.7161755617002511,8,-0.013987068403453637,0.7016330406621897,-0.008248576319944047,0.8101247104585638,38,-0.016604652605716377,0.6509340647656013,-0.010881485781400102,0.7531510431886572,20231215,-0.013341980196796749,0.7144304560698193,202304,-0.01395365332554495,0.7029049941661594
STRESS_PREVALENCE_SEEN_NOT_BLIND,ALL_EARLY,0.3942701227830832,4.0,1466,1465,214,12,270,0.31877133105802047,0.5651877133105802,0.11604095563139932,0.26825938566552904,0.1726962457337884,-0.005115586367239161,-0.0014415894235327254,-0.003805861452628464,0.009248591229611398,0.045561466158182504,0.08184843933577106,-0.050290418936093456,-0.07520014139707722,1.0884080510379497,-0.003862474106921332,-0.0096264446750678,-0.0581953548817237,0.907712916389373,0.787119300783655,6,-0.010399759381859018,0.7709600041225892,-0.004640244600725371,0.8895835240257154,28,-0.013152844554549573,0.714695120251709,-0.007409358940221932,0.8263498676396978,20251211,-0.009837855276485931,0.7827411383605575,202512,-0.011833457874874918,0.7439015561538244
STRESS_PREVALENCE_SEEN_NOT_BLIND,TRANSITION_1_TO_3D,,,260,259,118,12,129,0.37065637065637064,0.4980694980694981,0.13127413127413126,0.3088803088803089,0.20463320463320464,-0.003635121236857931,0.010802587655971124,0.007667919260272573,0.022804545453888617,0.05367160385730085,0.09525944518500698,-0.041364278782547725,-0.06188962086714082,1.5391828847926143,0.005611089016706013,-0.00020815263369004965,-0.054716901733023,1.150955223455649,0.9948293847536726,2,-0.0015949803470770639,0.9606858393857923,0.004216310255433999,1.112555548006067,6,-0.004268362960321143,0.896427988270651,0.0015273899699095369,1.0401394741072194,20250604,-0.0008131462249736015,0.979879030432624,202503,-0.002919939995990235,0.928773632724672
