period,dimension,group,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,EARLY_ROTATION,2458,2444,359,30,463,0.3596563011456628,0.5413256955810147,0.09901800327332243,0.29828150572831424,0.20049099836333878,-0.0026766281100109586,0.004893591168820964,0.008191108536947732,0.01702585195348783,0.05386513801178501,0.09442914028177486,-0.04434369669309329,-0.06985018890039328,1.3518809579231243,0.0016601306718788049,-0.004135909710317052,-0.05743909105237638,1.041189510386649,0.9048747777298995,10,-0.004886593364688834,0.8880690451609276,0.0009051277265813528,1.0223652417642255,50,-0.007804380042733625,0.824172828604546,-0.0020296322339292045,0.9506730057790261,20210422,-0.004210274511101839,0.9032040216848595,202103,-0.005200910924437107,0.8813571716616015
HISTORICAL_DISCOVERY,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,MATURE_ROTATION,3072,3060,363,30,500,0.384640522875817,0.5434640522875817,0.0718954248366013,0.3434640522875817,0.257843137254902,-0.003190277697854661,0.006375650224887843,0.010234544695077473,0.021125170280464293,0.06561424277043061,0.11683889701318079,-0.05322016514937707,-0.08112479298493257,1.4402366121893397,0.0035732280130656895,-0.0022343018481674527,-0.05785975136820017,1.0844937770069254,0.9507844027025779,13,-0.003002206454434527,0.9341504975996051,0.0028008905836164207,1.0659494480826102,64,-0.005953913905547745,0.8715944343293407,-0.00016801920040675325,0.9961100565280403,20220720,-0.002286595367411528,0.9496489785589526,202103,-0.0033792759121949348,0.9263050859983154
HISTORICAL_DISCOVERY,0050_CLOSE_VS_MA20,BELOW,EARLY_ROTATION,2028,2014,286,31,388,0.3634558093346574,0.5441906653426017,0.09235352532274081,0.31678252234359483,0.21847070506454816,-0.0006441496492236557,0.0035670915220546904,0.006341306889172893,0.023197318864560487,0.054444185182589096,0.09867993146460986,-0.04867729682962339,-0.07388099362113354,1.3356605891177757,0.0010938360317092615,-0.004699588467645778,-0.05782032327903551,1.0266357549883003,0.8937323353806041,9,-0.005516525610918526,0.8758170831320627,0.00027214808801269164,1.006597402555509,42,-0.008352535329459556,0.8150701264451606,-0.002580433644006886,0.938474815300495,20220315,-0.004772620867787299,0.8921345023376774,202102,-0.005635541178040474,0.8735544443555463
HISTORICAL_DISCOVERY,0050_CLOSE_VS_MA20,BELOW,MATURE_ROTATION,1588,1581,248,30,408,0.26818469323213157,0.6698292220113852,0.06198608475648324,0.2314990512333966,0.16065781151170144,-0.01229243091537475,-0.019243699102778605,-0.018885089638342536,-0.017023013622019696,0.0440097942860948,0.0832017419984138,-0.07525853478139442,-0.11061640105804131,0.7521646085263358,-0.022415466701038073,-0.028072691924800167,-0.06639468456986979,0.5901063348601581,0.5193741832948982,5,-0.028729743465844674,0.5096805436849884,-0.02307632256803505,0.5793563229769427,24,-0.031194824430885285,0.4740283650289464,-0.025555727546221263,0.5397769005629,20221220,-0.028193699127495246,0.5176077595823589,202207,-0.029233813739563016,0.5042129318534007
HISTORICAL_DISCOVERY,0050_MA20_SLOPE5,RISING_OR_FLAT,EARLY_ROTATION,2042,2029,356,27,424,0.3499260719566289,0.5608674223755544,0.08920650566781665,0.2907836372597339,0.20404139970428783,-0.0027219406466417605,0.002841916254871145,0.003839898204804457,0.013493391498500967,0.053101425548464906,0.09284834153760957,-0.04823581093917205,-0.07423079231183617,1.2508062846421324,-0.001423237827526479,-0.0072013543165388395,-0.05845751378311296,0.9660908855537321,0.84078146633954,8,-0.00793610427366735,0.8252283153374507,-0.002162223992528424,0.9486874120873067,40,-0.010786803290488726,0.7662105358030096,-0.005029515154650613,0.8825324726374729,20210422,-0.007292448326856127,0.8388468849706311,202102,-0.01094329818263991,0.7659815939775878
HISTORICAL_DISCOVERY,0050_MA20_SLOPE5,RISING_OR_FLAT,MATURE_ROTATION,3408,3397,373,26,513,0.36267294671769207,0.5710921401236385,0.06623491315866942,0.324403885781572,0.24109508389755666,-0.005064079121955717,0.0027639715843084597,0.005739791857374691,0.011181295797511776,0.06465372165948123,0.11107251891779832,-0.05882584723113217,-0.08870812900919096,1.2521120686277827,-0.0020413090071998803,-0.007816255871442227,-0.0596934417222446,0.9550303637739025,0.8392480275607419,14,-0.00858568719179888,0.8241513433707517,-0.0028151721694800714,0.938237902885248,67,-0.01144112554619928,0.769338569852449,-0.005687242509140273,0.8771822727299867,20200806,-0.007858782564822057,0.8384209872702124,202103,-0.009529144335840569,0.8067995520806763
HISTORICAL_DISCOVERY,0050_MA20_SLOPE5,FALLING,EARLY_ROTATION,2444,2429,289,23,398,0.3709345409633594,0.5273775216138329,0.10168793742280774,0.31988472622478387,0.2124331000411692,-0.0009535524587760779,0.005507538518272141,0.010292016418915695,0.02509365624417069,0.054983200420214776,0.09927415225960155,-0.044685718459119575,-0.06953310219218138,1.4277250565524804,0.0037661978929540867,-0.0020426457791668023,-0.056611321596255884,1.0952419960223352,0.9520890593578911,11,-0.00286198987363045,0.9331750702214922,0.0029421150979788663,1.0740651305780649,52,-0.0057677413821547625,0.8676118594257858,1.939107718138555e-05,1.0004798759162288,20220315,-0.002102101001076359,0.9507148158974835,202010,-0.0024162148085227764,0.9435656424908846
HISTORICAL_DISCOVERY,0050_MA20_SLOPE5,FALLING,MATURE_ROTATION,1252,1244,238,23,338,0.2966237942122186,0.6286173633440515,0.0747588424437299,0.2532154340836013,0.18006430868167203,-0.00964140374225014,-0.016321551499382653,-0.014499753127640118,-0.00020355731699351395,0.04078004434612202,0.08983571719940874,-0.06592125868353893,-0.09789781540388685,0.9176478231795352,-0.014124154692043563,-0.019829636972035547,-0.06311540119042303,0.715067743644492,0.6267507530783192,5,-0.020628949903476003,0.613266116824611,-0.014928125734255258,0.700059326620725,21,-0.023149431784266896,0.5716186167773899,-0.017463271967296624,0.6536534658179854,20221220,-0.01997681985643254,0.6242826259996681,202010,-0.01992320893255455,0.6252909223992918
HISTORICAL_DISCOVERY,0050_VOLATILITY20,HIGH,EARLY_ROTATION,2539,2518,317,26,427,0.3891977760127085,0.5067513899920572,0.10405083399523431,0.3363780778395552,0.22716441620333597,-8.624424394415571e-05,0.007853131049324825,0.015653510307350484,0.03604527793711817,0.05806828980805969,0.105524662094882,-0.04185825395336653,-0.06329952305877345,1.6670688339452826,0.007723947411700807,0.0018923767213684542,-0.055646720671407496,1.2044850554149698,1.0464489608040248,12,0.0010469263259010409,1.02557465987111,0.006873594448512672,1.1811054462665063,57,-0.001947751170887366,0.9532740901202701,0.003861450537132052,1.0999145253053622,20200514,0.0018326767683037237,1.0449657425258496,202105,-0.00043785774863310813,0.9894871998162542
HISTORICAL_DISCOVERY,0050_VOLATILITY20,HIGH,MATURE_ROTATION,1928,1917,292,26,389,0.3615023474178404,0.5451225873761085,0.09337506520605113,0.32342201356285866,0.23839332290036516,-0.005107749414270023,0.0004115575069978319,0.01237097077078871,0.03920963235979761,0.059430056765566154,0.11524275285491659,-0.05121135530313062,-0.07210412224284676,1.5982824458604303,0.0008806034075284217,-0.004911446149035111,-0.05771506632021379,1.0207188395984181,0.8924861369741582,8,-0.005681717137384516,0.8761435853288974,0.00010587594317325499,1.0024806538906235,39,-0.008631631916412856,0.8148935861256501,-0.00286118193452378,0.9340516375945984,20221220,-0.0049991445490781515,0.8906234636816612,202110,-0.006373886326420404,0.8620752080094011
