period,level_band,acceleration_band,rotation_role,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,LOW,LOW,NO_ROTATION,2084,2074,539,36,422,0.3476374156219865,0.553519768563163,0.09884281581485053,0.2907425265188042,0.1918997107039537,-0.0034315350649001715,0.0009297499234553646,0.00825300552656637,0.01706741608513616,0.05243436969477376,0.0961103954695978,-0.046966669789482635,-0.07413382231991617,1.29644462489529,-0.002165191704108376,-0.007939312911624105,-0.05844211801219472,0.9493636240979603,0.8273497477769144,9,-0.008738780000948684,0.8107889882031285,-0.002969305799843672,0.9308595039137173,42,-0.011507651563257847,0.7548194848857652,-0.005754354521737323,0.8681507003422543,20210526,-0.008029983969436126,0.8254621884026155,202211,-0.00915337597905573,0.8033684123602277
HISTORICAL_DISCOVERY,LOW,MID,OTHER,3040,3026,603,36,452,0.3602115003304693,0.5366820885657634,0.10310641110376735,0.3066754791804362,0.20323859881031064,-0.0011917420007427689,0.003253529648162924,0.010027920149868664,0.024959149741644017,0.05443516896764162,0.09868087914186426,-0.04544285149172006,-0.07227242178895456,1.365401583331828,0.0009391915015686955,-0.004853060970481149,-0.057713306878677775,1.0227998095486428,0.8904814703134308,13,-0.005636185523861115,0.8733552050190154,0.00015153218121992712,1.0036627910794962,64,-0.008553900412317343,0.8110477023159709,-0.002783251165186033,0.9338628318871706,20211103,-0.0049104046587520106,0.8892240213337711,202005,-0.004929406193978239,0.8888258897848366
HISTORICAL_DISCOVERY,LOW,HIGH,EARLY_ROTATION,2226,2206,522,36,420,0.37624660018132366,0.5271985494106981,0.09655485040797825,0.3168631006346328,0.2157751586582049,-0.00012021187508458168,0.006290871136358062,0.009204433351497407,0.02404780813641825,0.05693194993861088,0.09891033374467993,-0.045555408001878205,-0.0691688216677489,1.4299843680985893,0.003624423624182392,-0.002183082767904902,-0.056937038261919024,1.0916393638115458,0.9488157706030761,10,-0.002999432650001766,0.9299945406069204,0.0028033447540544466,1.0705580307169051,47,-0.005890281891482781,0.8648396893866643,-0.00010439294574528406,0.997416779967728,20210422,-0.002264588609798244,0.9469288654657628,202104,-0.0023216211572123125,0.9456282120484306
HISTORICAL_DISCOVERY,MID,LOW,OTHER,2671,2654,617,36,513,0.36284853051996985,0.5357950263752826,0.10135644310474755,0.3048229088168802,0.19706103993971363,-0.002832150661403211,7.566936149984756e-05,0.007424571071584447,0.015200165454475263,0.05335781456263145,0.09768920570427758,-0.04793822360437885,-0.07773718883664332,1.2566598711147294,0.002729212286835519,-0.0030732441919136596,-0.057561573021162424,1.066729115803512,0.9301878781150261,12,-0.0038953879878046516,0.9119120741273391,0.0019023265776020703,1.0463014959410022,56,-0.006837196959137657,0.8479627212561066,-0.0010565607604050675,0.9747122168840104,20210316,-0.0031407269451429343,0.9286818152454327,202103,-0.0057313517717772645,0.8727830981492721
HISTORICAL_DISCOVERY,MID,MID,OTHER,2261,2250,655,36,493,0.32355555555555554,0.5675555555555556,0.10888888888888888,0.27244444444444443,0.18266666666666667,-0.0041418320454864755,-0.000760969093092162,0.0003258004913799001,0.005313743622083908,0.049503780493020295,0.08876109819948723,-0.050941740030396504,-0.08093029792630037,1.0967598102791865,-0.00524373689666936,-0.011000369305182807,-0.05918685899349517,0.879691919083256,0.7654176776051185,9,-0.011758657787928938,0.7502502249778044,-0.006006413201325673,0.8627449127510846,43,-0.01454408889468845,0.6957753841722167,-0.008808055211405211,0.8017771346720761,20201102,-0.01108477048057602,0.7637228855267377,202103,-0.01259410424526768,0.7349963964673761
HISTORICAL_DISCOVERY,MID,HIGH,EARLY_ROTATION,2418,2410,597,36,493,0.3394190871369295,0.5564315352697096,0.104149377593361,0.2887966804979253,0.1950207468879668,-0.0032003174566137427,0.002330638484596851,0.004913323168016832,0.013225828537326631,0.05044879310345224,0.09167612266730635,-0.04656656556062132,-0.07434204693875655,1.233166511312632,-0.0019171442724137963,-0.007692857559474253,-0.058077494044922545,0.9545103301788321,0.830532199468971,10,-0.008470891740560598,0.8141670024210492,-0.0026996617370447728,0.9362086873950277,48,-0.011313037805435132,0.7557460527024512,-0.005558356042536016,0.8707390923650578,20220124,-0.0077689939541659295,0.8289259871405783,202105,-0.009483882342661683,0.7939625533674183
HISTORICAL_DISCOVERY,HIGH,LOW,LATE_EXHAUSTION,2595,2581,552,36,483,0.36148779542812864,0.5610228593568385,0.07748934521503294,0.30763270050368074,0.21890740023246805,-0.0053061946500344214,-0.0003191542211670555,0.00631785759116745,0.014900512527566542,0.05927882216370393,0.1069229203899022,-0.05587767218347785,-0.08902286829302852,1.2010725158613593,0.0003053704217300981,-0.005482771475194953,-0.058729364361699087,1.0070477703232723,0.8821008560586906,11,-0.006264841180561517,0.8658577175721385,-0.00048120054392608304,0.9889415056064519,53,-0.009179557578336387,0.8066601744375952,-0.0034128934691285656,0.9228498861793317,20210909,-0.005551286110763211,0.8806737974661324,202004,-0.007781049221920803,0.8369318842903033
HISTORICAL_DISCOVERY,HIGH,MID,MATURE_ROTATION,2049,2037,569,36,480,0.34560628375061364,0.5827196858124694,0.07167403043691703,0.30289641629847813,0.22336769759450173,-0.004644007157415508,-0.0036628228335919915,-0.0013505060519890181,0.005412216170065813,0.05747407001978894,0.10630763507520244,-0.06031884306909862,-0.09427248480438437,1.1276634459756847,-0.004360985292503781,-0.010122633770498775,-0.0602116697776104,0.9051310214826918,0.7944409476103957,8,-0.010865402047000306,0.7802241839812141,-0.0051080278748244605,0.8893162463634648,40,-0.013786595820808252,0.725534879253436,-0.00804625221445709,0.828398816033182,20211022,-0.01021162323052124,0.7927356496035961,202004,-0.011783564648791406,0.7660198323589242
HISTORICAL_DISCOVERY,HIGH,HIGH,MATURE_ROTATION,2706,2699,532,36,534,0.34012597258243793,0.5924416450537237,0.06743238236383846,0.30344572063727304,0.22156354205261208,-0.007413853931098002,-0.0020019260966504574,0.0003260679455445597,0.009085443737914744,0.05762242823685478,0.10276471842322805,-0.061208899404419,-0.08860982535590375,1.1597440578454001,-0.0066712103946077765,-0.012419469273550634,-0.061150086509809756,0.8583854656452233,0.7539312626791059,10,-0.013128635472747747,0.7408442131029784,-0.0073844837548907635,0.8438250957852858,50,-0.015905950532198117,0.690691322158831,-0.010177945066875594,0.7879480026781844,20221028,-0.012488525117957111,0.7526547265361138,202210,-0.012488525117957111,0.7526547265361138
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LOW,LOW,NO_ROTATION,1537,1532,402,24,380,0.37010443864229764,0.5156657963446475,0.11422976501305483,0.3048302872062663,0.2003916449086162,0.00012007145798994944,0.007604575438404847,0.01337848487030559,0.016405375232360398,0.055431712088116224,0.09283437279348467,-0.0385492518185323,-0.06690648897803697,1.387524202980654,0.005304004206458556,-0.0005135033318800402,-0.05611550802655908,1.1377357015174956,0.987638247195405,7,-0.0013342884178562068,0.968025954874338,0.004478468347913341,1.1157665932076717,34,-0.00438322119304351,0.8968229220200551,0.0014117325293516328,1.0358466136795703,20230410,-0.0006262189913822837,0.9849346422635051,202302,-0.0012832908938506407,0.969419719860683
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LOW,MID,OTHER,1716,1711,423,24,367,0.36236119228521335,0.5125657510227937,0.12507305669199298,0.30566919929865577,0.19988310929281122,-0.001972863498542876,0.0034344866727881768,0.006927562097875391,0.021310933333939342,0.05060229729359147,0.0910376661593716,-0.04301344182860969,-0.06634472979385408,1.372191377404705,0.004698015418349768,-0.0011157309913915983,-0.055759498247503175,1.1216029269224397,0.9732531191367488,8,-0.0019434172527285753,0.953629226639827,0.0038655266697216954,1.0995870580757274,37,-0.004859767213194219,0.8860184502565377,0.0009321025933048923,1.0236047144439677,20240215,-0.0012155054544587614,0.970878304293096,202302,-0.0014848907298068352,0.9645279675359453
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LOW,HIGH,EARLY_ROTATION,1387,1382,379,24,356,0.32706222865412443,0.5296671490593343,0.14327062228654125,0.2771345875542692,0.17800289435600578,-0.003862224073091398,-0.001012407025797731,0.0007118554562874765,0.011320488580622267,0.046495340254758585,0.08319116294972721,-0.04540756823988266,-0.06928577670663184,1.2006961154808615,-0.0015909152882387467,-0.0073680216738552145,-0.056633516793728335,0.9599260869749809,0.8285003355638599,6,-0.008165137661886916,0.8107716153695027,-0.002392641723342662,0.9399928834542118,28,-0.010895901785842613,0.7515230079005901,-0.0051393949387269315,0.8731655267000398,20240710,-0.007490052232487677,0.8257860764749846,202304,-0.008241500663394796,0.8095916292408432
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MID,LOW,OTHER,1986,1980,426,24,427,0.3747474747474748,0.5146464646464647,0.11060606060606061,0.3151515151515151,0.20404040404040405,-0.001821331722677101,0.00499984105037163,0.00964479271298148,0.015587266761451645,0.05485243085465995,0.0942648189587997,-0.04308045026002049,-0.069446853290266,1.3573663095259683,0.004365255100526314,-0.001446620456224114,-0.056072621040910146,1.112624409987496,0.9653995641574967,9,-0.0022566926027466237,0.9462695093158868,0.003550482673762226,1.0911867489088218,43,-0.005194754794241799,0.8784495837620399,0.0005952579739509953,1.0150242413901347,20240808,-0.0015209813808095484,0.9636393641762188,202302,-0.0036066715838331464,0.9159735441193416
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MID,MID,OTHER,1547,1543,453,24,399,0.34413480233311733,0.5392093324692158,0.11665586519766688,0.2754374594944913,0.1795204147764096,-0.002428091192523763,0.0021682009083003567,0.003082358460804728,0.005644775267599567,0.048746319066758546,0.08350454373149487,-0.045075699174872405,-0.07147400687607383,1.1683204479676135,0.00030370135429312476,-0.005485302311626171,-0.0572765371678101,1.007611397147636,0.8727234898678091,7,-0.006324977050253841,0.8539061499015824,-0.0005408218342929245,0.9865073529157973,32,-0.009230994063665777,0.790253510548266,-0.0034638092867024808,0.9149899708451178,20230711,-0.005720138002749149,0.8674465883533498,202306,-0.007030527014681757,0.8392294713217257
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MID,HIGH,EARLY_ROTATION,1746,1740,414,24,421,0.33620689655172414,0.5494252873563218,0.11436781609195402,0.27816091954022987,0.1925287356321839,-0.0052193870283059355,-0.0007276898008320675,0.0061185767474983615,0.010609430977773827,0.04844085484739229,0.08308961469258089,-0.045855138798875664,-0.06963697528648194,1.1931824199824257,-0.001801446090785791,-0.007577195650896398,-0.05748836399497257,0.9562800043871746,0.8295695205614709,7,-0.008322943596864604,0.8135488654690638,-0.002551532020992549,0.9383249973335612,35,-0.011211844901295119,0.7528896244265569,-0.005457349158569143,0.8702176256643134,20231215,-0.007678838483291077,0.8273825761675153,202304,-0.008645237582988519,0.8073955524006101
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,HIGH,LOW,LATE_EXHAUSTION,1487,1479,370,24,369,0.35294117647058826,0.5584854631507775,0.08857336037863421,0.2988505747126437,0.2041920216362407,-0.0034389969054284494,7.990262228096814e-05,0.00405730397222065,0.011499308405794223,0.05165586503280871,0.09408462216679249,-0.04987882844870929,-0.07699615087384216,1.2219392930556972,0.0006370065661755258,-0.005153616176987444,-0.05856612209234237,1.0153161918382236,0.8849828538256853,6,-0.005896858898490937,0.8689292375590154,-0.00011053557335513648,0.9973530634587641,30,-0.008716874127838246,0.8094050000728187,-0.002947021740208038,0.9305790680754951,20231003,-0.005265611526409147,0.8825628258076582,202411,-0.006088271270782194,0.8655634528257421
