period,cohort,tail_treatment,removed_trades,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,EARLY_ROTATION,ORIGINAL,0,4644,4616,664,36,556,0.35701906412478335,0.5424610051993067,0.10051993067590988,0.302209705372617,0.20493934142114384,-0.0017283259243664874,0.004223245336803357,0.0069640573674878345,0.0183976844722478,0.05354711285612987,0.09513337345514997,-0.04608333038415093,-0.07186974734000377,1.3236914971342513,0.0007311873523459929,-0.005059719953277982,-0.05760445903777632,1.0178752170561298,0.8852240471120044,19,-0.005817693751384178,0.8685731840572583,-3.116528015327839e-05,0.9992412435563345,94,-0.008689362078293648,0.8069023096847435,-0.0029195849978920843,0.930078854484896,20210422,-0.005099285937798069,0.8843515816690243,202103,-0.0059317353292372265,0.866453279736093
HISTORICAL_DISCOVERY,EARLY_ROTATION,REMOVE_TOP1_PERCENT_POSITIVE_WINNERS,19,4625,4597,663,36,556,0.3543615401348706,0.5447030672177507,0.10093539264737872,0.2993256471611921,0.20165325212094845,-0.0019227255556174608,0.003739957156568317,0.006426237175811649,0.017583934959050095,0.05297829384357506,0.09431763303174273,-0.046374052230588596,-0.07223645720518435,1.3056791083183636,-3.116528015327839e-05,-0.005817693751384178,-0.05769022534680298,0.9992412435563345,0.8685731840572583,19,-0.006562294117442397,0.8523647355111181,-0.0007801058207090598,0.9810858791311217,93,-0.009356045126306625,0.7929146785312015,-0.0035901680657098056,0.9143613101198048,20200103,-0.005854027188909646,0.867781148008863,202103,-0.006707316596857388,0.8496248394883251
HISTORICAL_DISCOVERY,EARLY_ROTATION,REMOVE_TOP5_PERCENT_POSITIVE_WINNERS,94,4550,4522,662,36,556,0.34365325077399383,0.5537372843874392,0.102609464838567,0.2877045555064131,0.18841220698805838,-0.002368912618911064,0.002014148232971788,0.0037337519921025485,0.01373085544012122,0.050625785706171045,0.09061805110179216,-0.04733477611755174,-0.07352297766358175,1.232513344555115,-0.0029195849978920843,-0.008689362078293648,-0.058108838838146396,0.930078854484896,0.8069023096847435,18,-0.009356045126306625,0.7929146785312015,-0.0035901680657098056,0.9143613101198048,89,-0.01192974020776627,0.7401113313509312,-0.006179001074913923,0.8549315885562866,20201215,-0.008725540661801461,0.8061412176423588,202211,-0.010696033990838913,0.7674845144557075
HISTORICAL_DISCOVERY,MATURE_ROTATION,ORIGINAL,0,4755,4736,633,36,596,0.3424831081081081,0.5882601351351351,0.06925675675675676,0.3032094594594595,0.22233952702702703,-0.006222515696724853,-0.0027162940555081234,-0.0003950429566885258,0.007505552573280392,0.057558617914185206,0.10428856158624998,-0.06082607745445118,-0.09104539066345338,1.1454567971677951,-0.005677559944230698,-0.011431577820907762,-0.060835903575013534,0.8782110587218147,0.7711109022645455,18,-0.012155320377189978,0.7575447553984986,-0.006405482275311592,0.8631186740472436,90,-0.01499537857720518,0.7054602754606795,-0.009262072334935345,0.8050955265957024,20221220,-0.01146844165747679,0.7704212805040688,202103,-0.014091131524407068,0.7240218386566785
HISTORICAL_DISCOVERY,MATURE_ROTATION,REMOVE_TOP1_PERCENT_POSITIVE_WINNERS,18,4737,4718,633,36,596,0.33997456549385335,0.5905044510385756,0.069520983467571,0.30055108096651123,0.21937261551504875,-0.0064316525307395655,-0.003298032555559782,-0.0012573940655782041,0.006513911779025206,0.05683100934151877,0.10306611566114154,-0.06122076119740206,-0.09152613248158277,1.1260840250393065,-0.006405482275311592,-0.012155320377189978,-0.0609249984781855,0.8631186740472436,0.7575447553984986,18,-0.012873413674867107,0.7442010135392785,-0.007127742960229978,0.8482655059273656,89,-0.01564758791488131,0.6937741721545282,-0.009918102225528457,0.7920541803222091,20221220,-0.012192478318404865,0.7568551336380218,202103,-0.014825164741158125,0.7107496326119122
HISTORICAL_DISCOVERY,MATURE_ROTATION,REMOVE_TOP5_PERCENT_POSITIVE_WINNERS,90,4665,4646,633,36,596,0.32974601808006887,0.5996556177356867,0.0705983641842445,0.28971157985363755,0.20727507533362033,-0.0070636408198628394,-0.0056110783349332975,-0.004334248506969991,0.0030319036366347127,0.054191747561905305,0.09944285248190136,-0.06255512055604627,-0.09316773185162977,1.0673529397524109,-0.009262072334935345,-0.01499537857720518,-0.061274580450405805,0.8050955265957024,0.7054602754606795,17,-0.01564758791488131,0.6937741721545282,-0.009918102225528457,0.7920541803222091,85,-0.018226207684023204,0.6485499388490885,-0.012511812397474807,0.7415272703162539,20221220,-0.0150337239091558,0.7047706537002028,202103,-0.017321281066975017,0.6665251646423381
HISTORICAL_DISCOVERY,EARLY_SCORE_TOP15,ORIGINAL,0,11025,10972,735,36,647,0.3436930368209989,0.559788552679548,0.09651841049945316,0.2901932191031717,0.19567991250455705,-0.0038350910982475677,0.0001266035538607437,0.003773565918751839,0.011242912138671068,0.052308499971923515,0.094230669360708,-0.0507958128540024,-0.07963766948149431,1.1832424275374447,-0.0028678314351242695,-0.008638067114154303,-0.0589594175160295,0.9334293163351086,0.8135334811578361,44,-0.0093874126926577,0.7981702941287312,-0.00362151459220133,0.9162712662990415,216,-0.012209571435808236,0.7416254675090345,-0.006460129846553025,0.8529938045531216,20210520,-0.008815651190361911,0.8099602065126089,202103,-0.010110807727800316,0.7843998116124914
HISTORICAL_DISCOVERY,EARLY_SCORE_TOP15,REMOVE_TOP1_PERCENT_POSITIVE_WINNERS,44,10981,10928,735,36,647,0.34105051244509516,0.5620424597364568,0.09690702781844802,0.28733528550512444,0.19244143484626647,-0.0040096674170685105,-0.0004260512729316365,0.0030453071703864195,0.010179356229667069,0.051615989197192354,0.09314391890763785,-0.05109234208318127,-0.0800210509462822,1.1639926969987555,-0.00362151459220133,-0.0093874126926577,-0.059046672960682646,0.9162712662990415,0.7981702941287312,43,-0.010108570137677237,0.7835205617851584,-0.004346877763401836,0.8998964548036988,214,-0.012877904735484426,0.7285465659069826,-0.007132376405226843,0.8383299792885774,20210520,-0.009566742749166844,0.794597019483504,202103,-0.010835732985680453,0.7698311339601511
HISTORICAL_DISCOVERY,EARLY_SCORE_TOP15,REMOVE_TOP5_PERCENT_POSITIVE_WINNERS,216,10809,10756,735,36,647,0.3305132019338044,0.5710301227222015,0.09845667534399405,0.2759390107846783,0.17952770546671626,-0.00450427845589239,-0.0024021262615395713,0.0002283045872642991,0.0066390949494490445,0.0491065714952254,0.0896140462578683,-0.05220144656678329,-0.08144805889309872,1.1002600611450728,-0.006460129846553025,-0.012209571435808236,-0.059519027344049076,0.8529938045531216,0.7416254675090345,41,-0.0128620866381618,0.7288546904703825,-0.00711646733292273,0.8386755352761824,205,-0.015410748643551644,0.6800988140848434,-0.009680094438403446,0.7839188838028324,20210520,-0.01234608979545704,0.7390279956564609,202103,-0.013506641918118366,0.7173420296134524
HISTORICAL_DISCOVERY,EARLY_SCORE_TOP10,ORIGINAL,0,7350,7308,735,36,613,0.34085933223864257,0.5597974822112753,0.0993431855500821,0.2862616310892173,0.19198139025725233,-0.004017756618949253,0.00011264944323966682,0.0026990520206453482,0.010455719480248406,0.051283967317393125,0.09276462142240084,-0.05066945987202189,-0.07936352534687163,1.1688571168802981,-0.003321813811585027,-0.009089374947834244,-0.058725321592964876,0.9228682042339609,0.803812209818433,29,-0.00983419836813802,0.7885780366975659,-0.004070944945165403,0.9058486468899134,143,-0.012659863698119863,0.7320926414831256,-0.006913076822597835,0.8426208500386018,20210520,-0.009286494826070406,0.7998317935172881,202103,-0.010473560751625892,0.7766483898166799
