period,feature,feature_family,bucket,lower,upper,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,peer_rs_3d_vs_0050,RS,1,,-0.02374229446695363,4410,4384,492,36,530,0.3921076642335766,0.5218978102189781,0.08599452554744526,0.333485401459854,0.22354014598540145,-0.0012815410559711218,0.004281396673114526,0.011269477278992664,0.020825661964425382,0.05998778940120917,0.1062122572424026,-0.04859047927919437,-0.0792024474108962,1.3410224142617915,0.0050279362766708635,-0.000788034286579404,-0.0566648784878558,1.1233913449411101,0.9819838676304323,20,-0.0016064682984264062,0.9634402845728366,0.004204780885063786,1.102719405877218,97,-0.004643174349499847,0.896195930434676,0.001150393676666979,1.0276073268512251,20201210,-0.0008272178454461687,0.9810923623652892,202004,-0.0014162111194150455,0.9678273661863145
HISTORICAL_DISCOVERY,peer_rs_3d_vs_0050,RS,2,-0.02374229446695363,-0.005437910987084647,4410,4385,637,36,580,0.3573546180159635,0.5309007981755987,0.11174458380843785,0.304903078677309,0.20456100342075256,-0.001973017176700849,0.0055170165757444534,0.010371856938660984,0.01582721959078736,0.05645545674568282,0.09952326161368794,-0.04552298010011249,-0.07559547693924396,1.3165240255534696,0.0021848793525859585,-0.0036143238663052966,-0.05698522508757592,1.0538175000806236,0.9173274727968346,19,-0.004400582867260353,0.8997790568443531,0.0013940616019537787,1.034189453462457,92,-0.007333079576592838,0.8357853735040168,-0.0015555147018671135,0.9624887556997993,20200617,-0.003655478444493281,0.9164051884073239,202102,-0.004438612008246786,0.899361182037336
HISTORICAL_DISCOVERY,peer_rs_3d_vs_0050,RS,3,-0.005437910987084647,0.008794735579897505,4410,4379,676,36,584,0.3292989266955926,0.5617720940854076,0.10892897921899977,0.2710664535282028,0.18406028773692623,-0.003304403385018224,0.0002507728581488629,0.003900063541805491,0.007922785197804405,0.05152718885504355,0.09081344301281785,-0.04885743621503447,-0.07900778451746453,1.1494239911605635,-0.0035405357576705266,-0.009306786924904066,-0.05880484051398945,0.9172576712315114,0.7980443646707072,17,-0.010030992800958783,0.7831742586880622,-0.004268926207459627,0.9006224882129252,85,-0.012814492037558372,0.7273253931801366,-0.007068690490608565,0.8380112642491729,20200326,-0.009343444292230487,0.7972952070380293,202102,-0.00992008375735578,0.78592722315836
HISTORICAL_DISCOVERY,peer_rs_3d_vs_0050,RS,4,0.008794735579897505,0.028408532660988008,4410,4396,659,36,603,0.33098271155596,0.5814376706096451,0.0875796178343949,0.28480436760691535,0.19745222929936307,-0.004718828452631676,-0.0021650473628672096,0.002717959961065818,0.014258371873742612,0.05138878330794618,0.0951884301277079,-0.05228457777495298,-0.07901115589207951,1.2047467101699507,-0.00466440147264033,-0.010424091252588485,-0.05999264396525471,0.8944034129930326,0.780665204704965,17,-0.011157393583339005,0.7661435547371541,-0.00540191974152212,0.8781797892136818,82,-0.013889923939410362,0.7131917406803429,-0.00815033607115634,0.8189277360536406,20211203,-0.010466615766576865,0.7798205380386971,202103,-0.012684487590686444,0.7380082315628538
HISTORICAL_DISCOVERY,peer_rs_3d_vs_0050,RS,5,0.028408532660988008,,4410,4393,562,36,586,0.34646027771454585,0.5866150694286365,0.06692465285681766,0.30503073070794445,0.2185294787161393,-0.006651042923944557,-0.004205286586097611,-0.0021470232033012856,0.01458544561653834,0.05398321862255249,0.10192825329427901,-0.060403023917940536,-0.08685396921645268,1.1735589543439175,-0.005587013061513534,-0.011341473704158049,-0.06072729201499084,0.8791928504117652,0.7711061165845751,17,-0.012078577011883647,0.7571732205229367,-0.006328391475121449,0.8636916698117739,84,-0.014904968713281596,0.7049395116668992,-0.009171245417130939,0.8054834507116365,20211006,-0.011382146781676053,0.7703375426854093,202211,-0.012654144941157951,0.7485941510024678
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_3d_vs_0050,RS,1,,-0.02374229446695363,2913,2903,321,24,451,0.41129865656217707,0.48432655873234587,0.10437478470547709,0.3403375818119187,0.2287289011367551,0.002383387447855082,0.009959064074751023,0.01660430248023858,0.028110653795630474,0.06026039497794198,0.10273039602226625,-0.03915217804828766,-0.06277498749876656,1.6364861247369384,0.011835146639166455,0.005980020573713189,-0.03489878696500348,1.3283487687592805,1.1537182991510222,14,0.005148323854704387,1.131701055837078,0.010998630928906943,1.3036692969038974,68,0.0020707225711933917,1.0519817429273326,0.007903035243976056,1.2141221990357836,20230406,0.005921892063180991,1.1521716507878859,202302,0.005090026993402707,1.1292237605064153
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_3d_vs_0050,RS,2,-0.02374229446695363,-0.005437910987084647,3056,3044,420,24,475,0.3432982917214192,0.5210249671484888,0.13567674113009198,0.2828515111695138,0.18988173455978974,-0.002485768979230719,0.0010314757865048118,0.005013795629717081,0.011771503435200116,0.04907778536416555,0.08478298856227989,-0.043998495304431375,-0.06899109585357421,1.228897548492666,0.0018610010334805917,-0.0039365917865071265,-0.05636433282504705,1.047394110817746,0.907160736267605,13,-0.004715317508966937,0.8892704498848919,0.0010777664084597142,1.0273302558383253,64,-0.007650705657131038,0.8233618874767353,-0.0018747753878158037,0.9532589327208845,20240607,-0.003994588893577602,0.9058239003359312,202304,-0.004839487850946961,0.8867809170601851
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_3d_vs_0050,RS,3,-0.005437910987084647,0.008794735579897505,2719,2711,450,24,504,0.3279232755440797,0.5555145702692733,0.11656215418664699,0.28107709332349684,0.1884913316119513,-0.0048289891046239455,-0.0006062159258799854,0.001597806529004197,0.00992484815414233,0.046440909765399246,0.08597569737967414,-0.04694496325254491,-0.0731379304534743,1.1755281677592233,-0.002616335930653147,-0.008387796625720666,-0.057807534977835,0.9366299055622228,0.8118934589406465,11,-0.009137278362326902,0.7959168692258844,-0.0033701735196032534,0.9187024688109369,53,-0.011917357811568026,0.7379637088712283,-0.006166513471901901,0.8535612569445836,20230421,-0.00844865047991221,0.8105986270519095,202302,-0.009978797226607465,0.780427782821248
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_3d_vs_0050,RS,4,0.008794735579897505,0.028408532660988008,2889,2881,435,24,510,0.3172509545296772,0.5716765012148559,0.11107254425546685,0.26553280111072547,0.17077403679278028,-0.00528359314184226,-0.00500925079303154,-0.0034654432269498213,0.0017184056010798394,0.042623918861960236,0.07981482264547632,-0.04945938523063625,-0.07676654645644974,1.039708392909871,-0.005599679443009725,-0.011353529568669364,-0.05866908319172126,0.8684770040187283,0.7529300993651576,11,-0.012073151153349978,0.7382731841455606,-0.006323478963432793,0.8520437745243208,54,-0.01473350958207753,0.6853862456300195,-0.008999393968591982,0.792587779219681,20240424,-0.011414604362010378,0.7516872395983192,202304,-0.012768396316193373,0.7248578267920809
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_3d_vs_0050,RS,5,0.028408532660988008,,2853,2839,398,24,502,0.3501232828460726,0.5692145121521662,0.08066220500176119,0.2958788305741458,0.1983092638252906,-0.006987376417352745,-0.002708788860062244,0.0011177742973576142,0.0072785767975624876,0.050232360353549416,0.08749147503916788,-0.052242890466024254,-0.07844918122254711,1.1152630744605134,-0.0023853217244871354,-0.008158667874618369,-0.058994585808917345,0.9451576606467718,0.8255817047654161,11,-0.008887406531734093,0.8107386898307162,-0.0031182728494908237,0.9285837348535477,55,-0.011696729598332302,0.7547883657218687,-0.005943972992452822,0.8659861530459896,20230214,-0.008221199051959735,0.8243068030771189,202402,-0.010405491664048777,0.7814977051783475
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_3d_vs_0050,RS,1,,-0.02374229446695363,1388,1387,174,12,240,0.37995674116798844,0.5457822638788753,0.07426099495313626,0.32083633741888967,0.20331651045421772,-0.0009549837054692787,0.003171454412440084,0.007535163788670106,0.00812531387247143,0.058516542626805376,0.09384962214175088,-0.05189982800563225,-0.07990188591996715,1.174560788662164,0.0014888076353653493,-0.0043063545559651065,-0.057484511853967385,1.0359067748344417,0.9034627516043157,6,-0.0050950369563901796,0.8862766385584456,0.0006955737978186899,1.016703144653388,29,-0.00799957287527863,0.8244199209817419,-0.0022258979591736204,0.9474386669637938,20250814,-0.004415872666395286,0.9010790124955544,202502,-0.005194996218631133,0.8844936338984936
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_3d_vs_0050,RS,2,-0.02374229446695363,-0.005437910987084647,1570,1568,215,12,279,0.32206632653061223,0.579719387755102,0.09821428571428571,0.2710459183673469,0.18176020408163265,-0.004028672250983457,-0.004232648476712518,-0.001106905214846412,0.00790346056664442,0.0454044602996046,0.08592408100744642,-0.04985532264295261,-0.07911429695306828,1.086075264732717,-0.0051596391772332625,-0.010915991481811016,-0.05921282811050174,0.8789194078216529,0.7629315693170515,6,-0.011646418930226903,0.7480363355825135,-0.005894296809219663,0.8622085796288274,29,-0.01437342270838825,0.6936179652057709,-0.008637183212304266,0.8010610148781069,20250912,-0.011030170584878532,0.7606046536474048,202508,-0.01309982864940506,0.7206046100597895
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_3d_vs_0050,RS,3,-0.005437910987084647,0.008794735579897505,1410,1407,209,12,267,0.3361762615493959,0.5557924662402275,0.10803127221037669,0.28216062544420756,0.1911869225302061,-0.005021633384809936,-0.0017582084387535606,9.131163499157285e-05,0.012221810987291028,0.04553551802372009,0.0852826938101461,-0.04855135094084913,-0.07562786474531417,1.1276623252202835,-0.0006659099700246415,-0.006448334852989051,-0.05820588430627599,0.9837568817224422,0.854255665497981,6,-0.007266242624879821,0.8364697755530659,-0.0014885592086488907,0.9638453600347615,28,-0.01010165724248218,0.7762274056340864,-0.004340476013382281,0.896232484447015,20250421,-0.006638986933440812,0.8501598702259003,202512,-0.01126217203794347,0.7569632578450345
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_3d_vs_0050,RS,4,0.008794735579897505,0.028408532660988008,1239,1236,203,12,277,0.33737864077669905,0.5631067961165048,0.09951456310679611,0.2758899676375405,0.18851132686084143,-0.004116515648167505,0.0007566062962047443,0.0017961064478007444,0.01865333441955609,0.04668554744759334,0.09124343069126233,-0.04687537918456808,-0.07263371282274696,1.2562132258601448,-0.0024447850900252916,-0.008217537138099263,-0.05816963120590127,0.9414866250402144,0.8177371791900631,5,-0.008971975901608385,0.8018089253740041,-0.003203558034343676,0.9236363571032932,24,-0.01178604095045908,0.7436646471261356,-0.0060340639112248596,0.8583852418975505,20250410,-0.008365796742314994,0.8145989423250086,202512,-0.013677338608781425,0.7101604830957272
STRESS_PREVALENCE_SEEN_NOT_BLIND,peer_rs_3d_vs_0050,RS,5,0.028408532660988008,,1233,1233,182,12,258,0.32035685320356855,0.5944849959448499,0.0851581508515815,0.26520681265206814,0.1841038118410381,-0.004989322649827908,-0.002733618616008954,-0.0008326601290284593,0.011633542621474327,0.05080601598492415,0.09274537166850415,-0.053662440649494166,-0.08176019374638187,1.1343585113826666,-0.0075143593611321415,-0.013258020497940894,-0.06101987189916236,0.8322372438369983,0.7248078271670834,5,-0.014031477226797921,0.7099345002436325,-0.008292282273224906,0.8156203614011098,23,-0.016703426620166238,0.6597600872010967,-0.010979796355003504,0.7594417970096561,20250410,-0.013413543111989414,0.7218055049622316,202512,-0.016241840991403772,0.6729155645679336
HISTORICAL_DISCOVERY,peer_rs_20d_vs_0050,RS,1,,-0.04264611769178067,4409,4379,508,33,450,0.39506736697876227,0.5071934231559717,0.09773920986526605,0.3409454213290706,0.2372687828271295,-0.0007258818493279225,0.008172108715025907,0.01771221493465285,0.04096141966152871,0.05984418595682514,0.10999701419021095,-0.041876257360598836,-0.06454245458706462,1.7042583039947814,0.007191339431850877,0.0013629891116018848,-0.055738087625350714,1.186208728366516,1.0327676316196577,20,0.0005569650555577182,1.0133288456252258,0.006380658105945226,1.1644627866425292,98,-0.002425882279612607,0.9429845349696263,0.003380401271080728,1.0855714291452643,20200826,0.0013242530488606664,1.0318291074008386,202102,-0.0008855079555418573,0.9791765312903046
HISTORICAL_DISCOVERY,peer_rs_20d_vs_0050,RS,2,-0.04264611769178067,0.00614004243635147,4411,4392,652,36,514,0.3349271402550091,0.5491803278688525,0.11589253187613843,0.2809653916211293,0.17941712204007285,-0.0026263657615943517,-0.0011943991209841201,0.002556226053218567,0.010703660322455205,0.047722176355245144,0.08672943513877263,-0.04705753388643374,-0.07367097390528245,1.177253815733171,-0.0021378159884000592,-0.007912377551957764,-0.05804777572768362,0.9487819148637557,0.824119445779365,18,-0.00867117026496755,0.808042544460593,-0.002901018376458198,0.9307818569576963,87,-0.01145356566264269,0.7504472513873703,-0.00569969177499665,0.866150974988951,20210520,-0.007949089016872439,0.8233436351951251,202111,-0.008276852885771574,0.8166608384737246
HISTORICAL_DISCOVERY,peer_rs_20d_vs_0050,RS,3,0.00614004243635147,0.05504124222685125,4410,4392,698,36,537,0.33105646630236796,0.5587431693989071,0.11020036429872496,0.27823315118397085,0.1826047358834244,-0.0028827548043732945,0.0014884721979196475,0.0034192783095483843,0.004295031650567176,0.050780186300450995,0.08607204948538756,-0.047444222055276514,-0.0764017517353201,1.1265716757852418,-0.0026691368498765926,-0.00844050919096399,-0.05859366294559188,0.9372523634377914,0.8157139744032459,18,-0.009211543615095056,0.7997038429619711,-0.003444618090459953,0.9193537724992409,86,-0.012034083532282086,0.7423984495658872,-0.006283595516413749,0.8551740298334699,20211111,-0.008479898687089196,0.8148961183455099,202105,-0.009235382698701314,0.7996677194830223
