period,cohort,interpretation_status,retained_pct,average_stocks_per_day,mfe_retention_vs_stage_a,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,STAGE_A_TOP30,BASELINE,1.0,30.0,1.0,22050,21937,735,36,710,0.35123307653735697,0.5565482973970917,0.09221862606555135,0.299858686237863,0.20563431645165703,-0.0035876345979332955,0.0007324849735841881,0.005218609580774094,0.014685216834081888,0.05466720961806812,0.09873434199949929,-0.05113639650156463,-0.0799365142134015,1.235159463370074,-0.001318744346892492,-0.007097842528103798,-0.058578264114997024,0.9692693346937196,0.8461190412360942,88,-0.007842903346173753,0.8306482394039478,-0.002068109109419347,0.9520002330587582,438,-0.010711045423494627,0.7724214064349025,-0.004952959099791186,0.8868858027160006,20210520,-0.007241669312370817,0.843182061971899,202103,-0.0085415216300873,0.8171218607630802
HISTORICAL_DISCOVERY,EARLY_ROTATION,PRIMARY_2D_DEFINITION,0.21061224489795918,6.993975903614458,0.9635287127920741,4644,4616,664,36,556,0.35701906412478335,0.5424610051993067,0.10051993067590988,0.302209705372617,0.20493934142114384,-0.0017283259243664874,0.004223245336803357,0.0069640573674878345,0.0183976844722478,0.05354711285612987,0.09513337345514997,-0.04608333038415093,-0.07186974734000377,1.3236914971342513,0.0007311873523459929,-0.005059719953277982,-0.05760445903777632,1.0178752170561298,0.8852240471120044,19,-0.005817693751384178,0.8685731840572583,-3.116528015327839e-05,0.9992412435563345,94,-0.008689362078293648,0.8069023096847435,-0.0029195849978920843,0.930078854484896,20210422,-0.005099285937798069,0.8843515816690243,202103,-0.0059317353292372265,0.866453279736093
HISTORICAL_DISCOVERY,MATURE_ROTATION,PRIMARY_2D_DEFINITION,0.21564625850340136,7.511848341232228,1.0562541814152047,4755,4736,633,36,596,0.3424831081081081,0.5882601351351351,0.06925675675675676,0.3032094594594595,0.22233952702702703,-0.006222515696724853,-0.0027162940555081234,-0.0003950429566885258,0.007505552573280392,0.057558617914185206,0.10428856158624998,-0.06082607745445118,-0.09104539066345338,1.1454567971677951,-0.005677559944230698,-0.011431577820907762,-0.060835903575013534,0.8782110587218147,0.7711109022645455,18,-0.012155320377189978,0.7575447553984986,-0.006405482275311592,0.8631186740472436,90,-0.01499537857720518,0.7054602754606795,-0.009262072334935345,0.8050955265957024,20221220,-0.01146844165747679,0.7704212805040688,202103,-0.014091131524407068,0.7240218386566785
HISTORICAL_DISCOVERY,LATE_EXHAUSTION,PRIMARY_2D_DEFINITION,0.11768707482993197,4.701086956521739,1.0829354632296475,2595,2581,552,36,483,0.36148779542812864,0.5610228593568385,0.07748934521503294,0.30763270050368074,0.21890740023246805,-0.0053061946500344214,-0.0003191542211670555,0.00631785759116745,0.014900512527566542,0.05927882216370393,0.1069229203899022,-0.05587767218347785,-0.08902286829302852,1.2010725158613593,0.0003053704217300981,-0.005482771475194953,-0.058729364361699087,1.0070477703232723,0.8821008560586906,11,-0.006264841180561517,0.8658577175721385,-0.00048120054392608304,0.9889415056064519,53,-0.009179557578336387,0.8066601744375952,-0.0034128934691285656,0.9228498861793317,20210909,-0.005551286110763211,0.8806737974661324,202004,-0.007781049221920803,0.8369318842903033
HISTORICAL_DISCOVERY,NO_ROTATION,PRIMARY_2D_DEFINITION,0.09451247165532879,3.8664192949907235,0.9734241756539503,2084,2074,539,36,422,0.3476374156219865,0.553519768563163,0.09884281581485053,0.2907425265188042,0.1918997107039537,-0.0034315350649001715,0.0009297499234553646,0.00825300552656637,0.01706741608513616,0.05243436969477376,0.0961103954695978,-0.046966669789482635,-0.07413382231991617,1.29644462489529,-0.002165191704108376,-0.007939312911624105,-0.05844211801219472,0.9493636240979603,0.8273497477769144,9,-0.008738780000948684,0.8107889882031285,-0.002969305799843672,0.9308595039137173,42,-0.011507651563257847,0.7548194848857652,-0.005754354521737323,0.8681507003422543,20210526,-0.008029983969436126,0.8254621884026155,202211,-0.00915337597905573,0.8033684123602277
HISTORICAL_DISCOVERY,EARLY_SCORE_TOP15,DESCRIPTIVE_ONLY_COMPOSITE_GATE_FAILED,0.5,15.0,0.9543859558124757,11025,10972,735,36,647,0.3436930368209989,0.559788552679548,0.09651841049945316,0.2901932191031717,0.19567991250455705,-0.0038350910982475677,0.0001266035538607437,0.003773565918751839,0.011242912138671068,0.052308499971923515,0.094230669360708,-0.0507958128540024,-0.07963766948149431,1.1832424275374447,-0.0028678314351242695,-0.008638067114154303,-0.0589594175160295,0.9334293163351086,0.8135334811578361,44,-0.0093874126926577,0.7981702941287312,-0.00362151459220133,0.9162712662990415,216,-0.012209571435808236,0.7416254675090345,-0.006460129846553025,0.8529938045531216,20210520,-0.008815651190361911,0.8099602065126089,202103,-0.010110807727800316,0.7843998116124914
HISTORICAL_DISCOVERY,EARLY_SCORE_TOP10,DESCRIPTIVE_ONLY_COMPOSITE_GATE_FAILED,0.3333333333333333,10.0,0.939537546347058,7350,7308,735,36,613,0.34085933223864257,0.5597974822112753,0.0993431855500821,0.2862616310892173,0.19198139025725233,-0.004017756618949253,0.00011264944323966682,0.0026990520206453482,0.010455719480248406,0.051283967317393125,0.09276462142240084,-0.05066945987202189,-0.07936352534687163,1.1688571168802981,-0.003321813811585027,-0.009089374947834244,-0.058725321592964876,0.9228682042339609,0.803812209818433,29,-0.00983419836813802,0.7885780366975659,-0.004070944945165403,0.9058486468899134,143,-0.012659863698119863,0.7320926414831256,-0.006913076822597835,0.8426208500386018,20210520,-0.009286494826070406,0.7998317935172881,202103,-0.010473560751625892,0.7766483898166799
HISTORICAL_DISCOVERY,EARLY_SCORE_TOP5,DESCRIPTIVE_ONLY_COMPOSITE_GATE_FAILED,0.16666666666666666,5.0,0.9070412666626448,3675,3655,735,36,542,0.3354309165526676,0.5677154582763337,0.09685362517099863,0.27906976744186046,0.186593707250342,-0.0043436066125270584,-0.0005565846923535515,0.0004874904209660269,0.0077331021473023,0.0494228391657341,0.08955612263032861,-0.0513828317093795,-0.08012437991829299,1.1177137685390346,-0.004303287180411636,-0.01006537463836834,-0.059046672960682535,0.9010619507076928,0.7849143174571784,14,-0.010786731433241948,0.7703826389965629,-0.0050288203263345035,0.8848238836567128,70,-0.013577309071456248,0.715424805851998,-0.00783568090314759,0.8232979719670429,20210520,-0.010286521405596556,0.7804893604349503,202004,-0.01141232833888131,0.7594163925740218
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,BASELINE,1.0,30.0,1.0,14430,14378,481,24,649,0.35025733759910976,0.5397830018083183,0.10995966059257198,0.293225761580192,0.19529837251356238,-0.00339395534600101,0.0005762707483392441,0.004241574404679205,0.011820736808758883,0.049773208577585,0.08817086341009393,-0.04629767998616103,-0.07194347334666928,1.225557501029048,0.0006972337098542546,-0.0050934955562905145,-0.05720093822047212,1.0172179046083087,0.883399686789917,59,-0.005845892615295035,0.8667249578174638,-5.95229330377271e-05,0.9985361369313743,292,-0.008700871658460124,0.804864739339507,-0.002931195190785948,0.9290853660642595,20230815,-0.005282207326726633,0.8792935163269182,202302,-0.0061603186076432375,0.8611215220793954
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_ROTATION,PRIMARY_2D_DEFINITION,0.21711711711711712,6.946784922394679,0.9428802592182025,3133,3122,451,24,483,0.3321588725176169,0.5406790518898142,0.12716207559256887,0.27770659833440103,0.1860986547085202,-0.004618618545248123,-0.0008537241393658745,0.00372521069226023,0.010924191261930314,0.047579643711255275,0.0831345665476021,-0.045657014996015856,-0.06948151198175649,1.1964990999250338,-0.0017082514818428003,-0.007484601661059462,-0.05700142542548421,0.9578606095392561,0.8291052451726182,13,-0.008254271570364582,0.8123162732851146,-0.0024823887863697105,0.9390190666440714,62,-0.011028573856431544,0.7531870599426813,-0.005272943617690938,0.8725094195271144,20231215,-0.007541206688789198,0.8278679441623348,202304,-0.008466737806896068,0.808346829191935
