period,feature,feature_family,ordered_bucket_correlation_path_success_rate,q5_minus_q1_path_success_rate,ordered_bucket_correlation_downside_first_rate,q5_minus_q1_downside_first_rate,ordered_bucket_correlation_mae10_mean,q5_minus_q1_mae10_mean,ordered_bucket_correlation_mfe10_mean,q5_minus_q1_mfe10_mean,ordered_bucket_correlation_net_mean,q5_minus_q1_net_mean
HISTORICAL_DISCOVERY,peer_rs_3d_vs_0050,RS,-0.7266464946523563,-0.045647386519030775,0.9747101453028042,0.06471725920965843,-0.7128501303702448,-0.007651521805556477,-0.3423373391958936,-0.004284003948123588,-0.9525019489757222,-0.010553439417578645
HISTORICAL_DISCOVERY,peer_rs_20d_vs_0050,RS,-0.4172300823958394,-0.036052094583047645,0.9557591128070921,0.07999600014013042,-0.9422305297907185,-0.038202630588104414,0.23224764597121675,0.005623995641053606,-0.8360923846212778,-0.011677229164309152
HISTORICAL_DISCOVERY,peer_rs_acceleration_3v20,RS,-0.8677373574699682,-0.04141827346022087,0.7569699682331673,0.023131876093188897,0.9146859130384813,0.004574010289120994,-0.9062502126194235,-0.017038849451087273,-0.8911969250856162,-0.006897569282913834
HISTORICAL_DISCOVERY,peer_turnover_share_change_1d,TURNOVER,-0.12581104311554916,-0.0047924873274525215,0.4306535856082419,0.021277488917665677,-0.618336356075066,-0.005992142433814518,0.03623220783588654,-0.0009566838496147118,-0.2103506159905967,-0.0019420289579657121
HISTORICAL_DISCOVERY,peer_turnover_share_change_3d,TURNOVER,-0.5367234682907036,-0.006295670761853278,0.7220806484918583,0.02718421429337825,-0.8821549108541128,-0.005752107608684137,-0.6551300597201062,-0.0028720199292519427,-0.7262815172436834,-0.003979196374432778
HISTORICAL_DISCOVERY,peer_turnover_acceleration,TURNOVER,-0.6612492970756625,-0.006215850958091795,0.8023613415512505,0.01614492764474329,-0.34047310248545837,0.0003732861765586293,-0.5092334794832473,-0.0023767488573306905,-0.8210333171158624,-0.002877599174988807
HISTORICAL_DISCOVERY,peer_breadth_up_change_3d,BREADTH,0.6453227062228911,0.018824939172305155,-0.4803890909944461,-0.014248590830141294,0.7001335960484414,0.003303169719902091,0.6242627487232935,0.005471103978984912,0.7184532831711901,0.003866796749384901
HISTORICAL_DISCOVERY,peer_breadth_ma20_change_3d,BREADTH,0.30871078085483405,0.006953573333832119,-0.7248965717536109,-0.019382349386003583,0.9857798422131965,0.01485652732046823,0.22266699944937823,0.001420120285054019,0.5208705141248035,0.0035316443629614756
HISTORICAL_DISCOVERY,peer_breadth_newhigh_change_3d,BREADTH,-0.34377514825743366,-0.021963064252345565,0.5289136662764825,0.02607873578497666,0.3528221494685206,-0.0002252275835846751,-0.2533965833076157,-0.0059109538094092445,-0.5539854331956476,-0.005487494236419127
HISTORICAL_DISCOVERY,peer_volume_expansion_change_3d,VOLUME,-0.6328804864566492,-0.0069254629859419325,0.8017778834115571,0.017485459815961613,-0.7277082557641499,-0.0035574430123977707,-0.7416578126825646,-0.004213572404255045,-0.8255176419248946,-0.0035929035736544076
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_3d_vs_0050,RS,-0.6408426526138042,-0.061175373716104486,0.9351101695315396,0.08488795341982036,-0.9788356141347683,-0.015674193723780552,-0.648710589128789,-0.01523892098309837,-0.8335638862509246,-0.014138688448331558
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_20d_vs_0050,RS,-0.8142378925764321,-0.02054507337526207,0.879712667352661,0.09700593498095489,-0.8809022090259374,-0.02679327757059749,-0.11681649052184498,-0.0004742405304478531,-0.8922664929496535,-0.011106786945827408
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,peer_rs_acceleration_3v20,RS,-0.7174886325201585,-0.03413690220447552,0.13238895518265054,0.005194935155766522,0.6817756204165939,0.0026624075704941436,-0.9545695067466184,-0.013496179460204913,-0.711751427265643,-0.004717149760582457
