period,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,EARLY_ROTATION,4644,4616,664,36,556,0.35701906412478335,0.5424610051993067,0.10051993067590988,0.302209705372617,0.20493934142114384,-0.0017283259243664874,0.004223245336803357,0.0069640573674878345,0.0183976844722478,0.05354711285612987,0.09513337345514997,-0.04608333038415093,-0.07186974734000377,1.3236914971342513,0.0007311873523459929,-0.005059719953277982,-0.05760445903777632,1.0178752170561298,0.8852240471120044,19,-0.005817693751384178,0.8685731840572583,-3.116528015327839e-05,0.9992412435563345,94,-0.008689362078293648,0.8069023096847435,-0.0029195849978920843,0.930078854484896,20210422,-0.005099285937798069,0.8843515816690243,202103,-0.0059317353292372265,0.866453279736093
HISTORICAL_DISCOVERY,MATURE_ROTATION,4755,4736,633,36,596,0.3424831081081081,0.5882601351351351,0.06925675675675676,0.3032094594594595,0.22233952702702703,-0.006222515696724853,-0.0027162940555081234,-0.0003950429566885258,0.007505552573280392,0.057558617914185206,0.10428856158624998,-0.06082607745445118,-0.09104539066345338,1.1454567971677951,-0.005677559944230698,-0.011431577820907762,-0.060835903575013534,0.8782110587218147,0.7711109022645455,18,-0.012155320377189978,0.7575447553984986,-0.006405482275311592,0.8631186740472436,90,-0.01499537857720518,0.7054602754606795,-0.009262072334935345,0.8050955265957024,20221220,-0.01146844165747679,0.7704212805040688,202103,-0.014091131524407068,0.7240218386566785
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,,,,,,0.014535956016675233,-0.04579912993582835,,,,,,,,,-0.009155188131100014,,0.019175643323449607,,,0.00637185786762978,,,0.11411314484745894,,,,,,,,,,,,,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_ROTATION,3133,3122,451,24,483,0.3321588725176169,0.5406790518898142,0.12716207559256887,0.27770659833440103,0.1860986547085202,-0.004618618545248123,-0.0008537241393658745,0.00372521069226023,0.010924191261930314,0.047579643711255275,0.0831345665476021,-0.045657014996015856,-0.06948151198175649,1.1964990999250338,-0.0017082514818428003,-0.007484601661059462,-0.05700142542548421,0.9578606095392561,0.8291052451726182,13,-0.008254271570364582,0.8123162732851146,-0.0024823887863697105,0.9390190666440714,62,-0.011028573856431544,0.7531870599426813,-0.005272943617690938,0.8725094195271144,20231215,-0.007541206688789198,0.8278679441623348,202304,-0.008466737806896068,0.808346829191935
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MATURE_ROTATION,3024,3011,449,24,512,0.33776154101627365,0.5742278312852873,0.08801062769843905,0.28827632015941546,0.19760876785121223,-0.0062265974593417855,-0.0066220737116080095,-0.00426674520530427,0.005870818123046295,0.04495889202188305,0.08487009057775066,-0.053753406393692936,-0.07964096191059751,1.0656587833911801,-0.0036067752967729226,-0.00937274048352002,-0.05901140344566289,0.9169418567395609,0.7995396242835406,12,-0.010123955066905875,0.7843358952261874,-0.004362338485295408,0.8999428328757403,57,-0.012827548066481424,0.7308432139100814,-0.007081725152715894,0.8400066489427945,20230518,-0.009431655485225208,0.7983465685943504,202402,-0.011674978200461154,0.754878184679319
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,,,,,,-0.00560266849865676,-0.03354877939547307,,,,,,,,,-0.0017355240301485664,,0.010159449928841019,,,0.0018881388224605581,,,0.02956562088907755,,,,,,,,,,,,,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_ROTATION,1466,1465,214,12,270,0.31877133105802047,0.5651877133105802,0.11604095563139932,0.26825938566552904,0.1726962457337884,-0.005115586367239161,-0.0014415894235327254,-0.003805861452628464,0.009248591229611398,0.045561466158182504,0.08184843933577106,-0.050290418936093456,-0.07520014139707722,1.0884080510379497,-0.003862474106921332,-0.0096264446750678,-0.0581953548817237,0.907712916389373,0.787119300783655,6,-0.010399759381859018,0.7709600041225892,-0.004640244600725371,0.8895835240257154,28,-0.013152844554549573,0.714695120251709,-0.007409358940221932,0.8263498676396978,20251211,-0.009837855276485931,0.7827411383605575,202512,-0.011833457874874918,0.7439015561538244
STRESS_PREVALENCE_SEEN_NOT_BLIND,MATURE_ROTATION,1513,1509,209,12,264,0.35785288270377735,0.558648111332008,0.08349900596421471,0.2975480450629556,0.20675944333996024,-0.002790620631794958,0.003281425010102069,0.003806957436575738,0.013174804125103617,0.053650004984217584,0.09309830211035053,-0.04780724391630775,-0.07687087734222568,1.2110997731414082,0.0008024587377492843,-0.004988976361083264,-0.05921689905637954,1.0194148471391484,0.8879823845677365,7,-0.00583388611383743,0.8696192373899753,-4.733209570838901e-05,0.9988601500300837,31,-0.008646998845917754,0.8098372397860472,-0.0028768525854382526,0.9318267390859849,20250820,-0.005065894099340129,0.8863307261013428,202512,-0.011027449702396504,0.7650117455824588
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,,,,,,-0.039081551645756885,0.006539601978572174,,,,,,,,,-0.01124986277457947,,0.001670735945148466,,,-0.004637468313984536,,,-0.10086308378408149,,,,,,,,,,,,,,,,
