time_slice,market_proxy,regime_dimension,regime_group,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,STAGE_A_TOP30,11850,11796,395,30,622,30.0,395.0,0.3675822312648355,0.31324177687351645,0.2155815530688369,0.05838490663219769,0.10358150244177773,0.06262840919939072,-0.04778097979046148,-0.07541192063958628,1.3735428240426524,-0.0026839688852669545,0.004790209109092765,0.009174652566091282,0.01890187216805317,0.0028151892271572466,-0.002987832285436423,-0.05743457966145468,1.0689693487210765,0.9320052019797762,0.20371512212464102,0.15293771282239293,0.08163492037040124,0.05097280893184534,-0.04726756077697721,0.04880712590995874,0.02762837158905649,0.0723394141768414,0.040796222645321435,1.8043934462554727,0.05260869350993239,2.0320932789926167,-0.028144359862609068,50,-0.0037566907928617364,0.9148704857441782,118,0.09693082341546778,0.045958014483622446,246,-0.006698234232597907,0.8507456412013169,590,0.08006878198553158,0.02909597305368624
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,TWO_STAGE_TOP5,1975,1961,395,30,426,5.0,65.83333333333333,0.3982661907190209,0.32483426823049466,0.22080571137174912,0.059468723932823986,0.10729851722142697,0.07079646017699126,-0.046465306305642794,-0.07428864235862027,1.4443461855643442,-0.0017596610173881313,0.005536991371339519,0.010678173797305368,0.02094642959342916,0.008827303856774063,0.0029890195395052064,-0.044124303951552875,1.2308855103028313,1.0725990457170769,0.20371512212464102,0.15293771282239293,0.08163492037040124,0.05097280893184534,-0.04726756077697721,0.04587553130631536,0.02762837158905649,0.06901227397894527,0.040796222645321435,1.9550153496967486,0.05632570828958163,2.1050148004378872,-0.027021081581643062,9,0.002191367326286157,1.0529809278347513,20,0.10082795604031217,0.04985514710846683,45,-0.0009325334426826019,0.9778698435278655,99,0.08475301224761893,0.03378020331577359
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,BELOW,STAGE_A_TOP30,9480,9421,316,31,594,30.0,305.80645161290323,0.33351024307398364,0.2860630506315678,0.19732512472136715,0.05105821898763903,0.09466490006367724,0.05737704918032782,-0.05616948361786999,-0.08655461612651622,1.0937013448861732,-0.0050241146253343204,-0.004231747101666274,0.0005511663575666929,0.01030871544312408,-0.006228183864532472,-0.011978877340314517,-0.06045081060793918,0.8632699639630308,0.754927514083302,0.21068660022148394,0.1571755118266746,0.07925149785614902,0.051464140884188554,-0.05552582943627309,0.04902152616090197,0.028615618201816594,0.07215112310504611,0.04172580844792941,1.582968459899118,0.043200759179488686,1.839434185381716,-0.031028786690243122,36,-0.012708815813369797,0.7409874563295388,95,0.08858341508306831,0.03711927419887976,178,-0.015470275989398532,0.689477946854955,472,0.07364892756123112,0.022184786677042566
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,BELOW,TWO_STAGE_TOP5,1580,1567,316,31,397,5.0,50.96774193548387,0.3318442884492661,0.26802807913209953,0.1818761965539247,0.04855670027307215,0.09016851554707539,0.05660377358490565,-0.054531309009019674,-0.08551131094016724,1.0544630243146058,-0.0033266028007575125,-0.0041710832461176895,-0.0019438913611609836,0.007101075132715492,-0.004536306297202429,-0.01029650707847954,-0.0585993988369235,0.8961041342855427,0.7806734697357955,0.21068660022148394,0.1571755118266746,0.07925149785614902,0.051464140884188554,-0.05552582943627309,0.04499115014958825,0.028615618201816594,0.06746916911863293,0.04172580844792941,1.5750611956356757,0.038704374662886835,1.7520649135090889,-0.02998548150389415,7,-0.011140024281102216,0.7637656837250327,16,0.08425015524821196,0.032786014364023404,31,-0.013887173806980804,0.7100405041302177,79,0.0698733948768428,0.018409253992654244
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,STAGE_A_TOP30,12090,12040,403,27,621,30.0,447.77777777777777,0.35764119601328903,0.30548172757475084,0.21137873754152825,0.05818165528682391,0.10137991252996427,0.060317460317460325,-0.05154395866984114,-0.08043438308852441,1.2604051729766814,-0.0032024341040090823,0.0025692760580177474,0.005966766687281995,0.013069251928493175,-0.00018560887753899658,-0.0059711343870930056,-0.05846699203740052,0.9956461060014344,0.8697143959569833,0.20137255325118156,0.15104020545136715,0.07972570516002331,0.050309117270272485,-0.0500511903940445,0.047788808409238076,0.026679527934249072,0.07131464989831258,0.039806890223688295,1.7760175865038874,0.051070795259691784,2.015139959330381,-0.030383192694479907,49,-0.0067219751718214866,0.8539285281481761,121,0.09473460384970117,0.044425486579428686,242,-0.009602155075424832,0.7946994060879564,602,0.07789498468661055,0.02758586741633806
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,TWO_STAGE_TOP5,2015,2000,403,27,422,5.0,74.62962962962963,0.3715,0.3025,0.2085,0.057891495557799155,0.1024901447307244,0.06591123095360385,-0.05033219424925155,-0.07988318261372387,1.28300026835832,-0.0024250316485085683,0.00346715287111876,0.005159143033731034,0.013026607621168687,0.0028180542699414346,-0.0029851914294812326,-0.056888165871578605,1.069104925525531,0.93199817083188,0.20137255325118156,0.15104020545136715,0.07972570516002331,0.050309117270272485,-0.0500511903940445,0.04444447727302649,0.026679527934249072,0.06767181528391529,0.039806890223688295,1.8448392991104918,0.05218102746045192,2.037208170044469,-0.029831992219679374,9,-0.003796104245698191,0.9139149366648458,20,0.09647542675189733,0.04616630948162484,42,-0.006690603382286152,0.8507905304825418,100,0.08056476119195027,0.03025564392167779
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,FALLING,STAGE_A_TOP30,9240,9177,308,23,537,30.0,401.7391304347826,0.3456467255094257,0.2955214122262177,0.20235371036286368,0.051130076284471096,0.09731625579626718,0.06019151846785231,-0.05145558247655547,-0.08026153230975645,1.2124893830918997,-0.0044061211990426355,-0.0015578148122995957,0.004530551270499443,0.017732494177287714,-0.0025316570969427937,-0.00830391359284203,-0.05897597212806939,0.9415304811594774,0.8215432534867534,0.21416397990276004,0.15993684567769162,0.08176861613829026,0.05239102830127518,-0.05204386910606955,0.05036323438471225,0.02995193220597341,0.07349058250266721,0.043115223379613196,1.6139349187774932,0.044925227494992004,1.8574984868907134,-0.028217663203686905,37,-0.009058126957557753,0.8061195509194778,92,0.09125358411839041,0.03886255581711523,182,-0.011902595253921048,0.7492781109723468,459,0.0763240336500674,0.023933005348792225
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,FALLING,TWO_STAGE_TOP5,1540,1528,308,23,364,5.0,66.95652173913044,0.36518324607329844,0.29581151832460734,0.19698952879581152,0.050342621626029836,0.09602497818850561,0.06322006472491903,-0.049675810460730545,-0.078475056728435,1.2236369388148718,-0.0024956927662748763,-0.0017096551765099104,0.004957810854786979,0.017113951520512025,0.0029881167248264817,-0.0028159531518620823,-0.05651135645712313,1.0738410028939838,0.9353010205779988,0.21416397990276004,0.15993684567769162,0.08176861613829026,0.05239102830127518,-0.05204386910606955,0.046841684967301206,0.02995193220597341,0.06918431067655688,0.043115223379613196,1.705157170870227,0.04363394988723043,1.8328515645143082,-0.026431187622365446,7,-0.0036448822442509076,0.9166392973558397,16,0.08945950457389606,0.03706847627262089,33,-0.006594395047395953,0.8517602056471911,77,0.07505941948383718,0.022668391182562003
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,HIGH,STAGE_A_TOP30,10680,10609,356,26,583,30.0,410.7692307692308,0.37477613347158073,0.324630031105665,0.2260344990102743,0.05813823720946531,0.10978607815246136,0.06784660766961648,-0.04598846975387653,-0.06897894024091017,1.5915883568090716,-0.0027412424013293296,0.004349650469440989,0.014434663789968384,0.03832101543294309,0.004206415948572098,-0.0016048549709391695,-0.05677107364284055,1.1045279076627343,0.9629358919834548,0.23518763213530655,0.17744450317124735,0.09149048625792812,0.05743450725501109,-0.04467878177434377,0.04958558687994833,0.029591399155274534,0.07258335675579067,0.04272126679262225,1.5935197360036648,0.05235157089745027,1.9115003052956923,-0.0243001584665664,46,-0.002387775169423124,0.9450934668126968,107,0.10317077632455952,0.04573626906954843,228,-0.005377720554958272,0.8784707735000585,531,0.08699383083109355,0.029559323576082458
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,HIGH,TWO_STAGE_TOP5,1780,1766,356,26,380,5.0,68.46153846153847,0.38618346545866367,0.32163080407701017,0.22366930917327293,0.05729289082763044,0.10975062575746511,0.06914893617021278,-0.04525370315273266,-0.06834091261303606,1.6059285947628703,-0.0015941330991529263,0.004376963298540101,0.013271154020728896,0.039225144670867546,0.007862431486987747,0.002030203932934548,-0.05117899643840764,1.2067926385956023,1.0495708411580205,0.23518763213530655,0.17744450317124735,0.09149048625792812,0.05743450725501109,-0.04467878177434377,0.046184098427306135,0.029591399155274534,0.06872764346601316,0.04272126679262225,1.6420228476831096,0.05231611850245402,1.9108830388353248,-0.023662130838692286,8,0.001230387583667293,1.029905890237456,18,0.10292596536565538,0.045491458110644284,40,-0.0018741529238313467,0.9552758865359181,89,0.08704844582799862,0.029613938572987525
