time_slice,cohort,entry_gap_bucket,lower_inclusive,upper_exclusive,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift
HISTORICAL_DISCOVERY,STAGE_A_TOP30,LT_MINUS_1PCT,,-0.01,4417,4388,677,36,582,6.5243722304283605,122.69444444444444,0.3637192342752963,0.31494986326344576,0.2117137648131267,0.057368405438256075,0.10354490062948099,0.0652173913043479,-0.05053964480837364,-0.08015128067694559,1.2918683239363917,0.0034321122693742236,0.0001944443594352696,0.005478273596387314,0.02014216649085271,0.0019324565686655761,-0.0038650774656450266,-0.05807627574066749,1.0466808229561608,0.9132009445539675,0.26277957336780866,0.20338720103425986,0.10914027149321268,0.06254966849797727,-0.05854605064871632,0.04967773258701469,0.031994848273841435,0.07259317464928974,0.04636207055685367,1.3841229347237118,0.04099523213150372,1.655402868087613,-0.02160523002822927,19,-0.0046516991936490955,0.8959879046991708,44,0.09704117183018687,0.0344915033322096,92,-0.007542223029709152,0.8341735433160486,220,0.08137399719559284,0.018824328697615564
HISTORICAL_DISCOVERY,TWO_STAGE_TOP5,LT_MINUS_1PCT,,-0.01,694,689,367,36,314,1.891008174386921,19.27777777777778,0.37590711175616837,0.3062409288824383,0.19593613933236576,0.05518630136947422,0.09843688972159263,0.06764374295377684,-0.05288420722197562,-0.0859499567958312,1.1452814334208843,0.0035573052590491864,0.0003122969840299328,0.000287755399196774,0.008365581455189338,0.002935191123057278,-0.0028680380645144574,-0.05691666171662361,1.0707778902746843,0.9355159291633779,0.26277957336780866,0.20338720103425986,0.10914027149321268,0.06254966849797727,-0.05854605064871632,0.046825588682967566,0.031994848273841435,0.06891397724072018,0.04636207055685367,1.430503546902471,0.03588722122361536,1.5737395910383742,-0.02740390614711488,4,-0.0038944719585570333,0.9129462535614902,7,0.0925708244536526,0.030021155955675324,16,-0.006816006826164687,0.850309791114288,35,0.07697899535919478,0.014429326861217506
HISTORICAL_DISCOVERY,STAGE_A_TOP30,MINUS_1_TO_0PCT,-0.01,0.0,2878,2867,666,36,560,4.321321321321322,79.94444444444444,0.3310080223229857,0.27589815137774676,0.17160795256365538,0.04775631872346009,0.08869837149013797,0.05345911949685522,-0.04942041390110054,-0.07670031162978579,1.15642778504296,-0.004965045366287612,-0.002454694062812676,0.0016257599106506155,0.009102211154205996,-0.0029477970433821033,-0.00871743026244709,-0.058647976633981615,0.9303808882492715,0.8088433057320975,0.17035885945574789,0.12404683603772904,0.059014853095298324,0.04350963420450198,-0.047708876363353726,0.04672607209000668,0.025334106658864267,0.06954856228547493,0.037047261498084405,1.9430044517817857,0.04518873728563599,2.038591523735685,-0.02899143526643206,12,-0.009491419052674178,0.7927423366374367,29,0.08280779366386393,0.039298159459361943,56,-0.012187253069582973,0.7379766397837965,144,0.06777029389575995,0.024260659691257964
HISTORICAL_DISCOVERY,TWO_STAGE_TOP5,MINUS_1_TO_0PCT,-0.01,0.0,486,480,345,36,271,1.4086956521739131,13.5,0.37083333333333335,0.2875,0.18958333333333333,0.051215479595350395,0.09736994399926983,0.062492269635126774,-0.04077646352793561,-0.06452104200446192,1.5091192109472793,-0.0023587068359270684,0.00307651055848068,0.010881986133189707,0.023628176351592554,0.007605216945214208,0.0017747150426030219,-0.0316016404827512,1.2068449062537132,1.0446643488968528,0.17035885945574789,0.12404683603772904,0.059014853095298324,0.04350963420450198,-0.047708876363353726,0.042753473068500386,0.025334106658864267,0.06516182058921076,0.037047261498084405,2.176777506717579,0.05386030979476785,2.2378938775172434,-0.01681216564110819,3,0.0006833201659165677,1.017089673134173,5,0.09216381166934967,0.04865417746484769,11,-0.0021410942574558575,0.9473498310734126,24,0.07725073943702679,0.033741105232524805
HISTORICAL_DISCOVERY,STAGE_A_TOP30,0_TO_1PCT,0.0,0.01,6046,6017,721,36,621,8.385575589459085,167.94444444444446,0.33255775303307294,0.2775469503074622,0.18580688050523517,0.05005056863721356,0.09106170890486187,0.05276381909547734,-0.04846160319534312,-0.07641286852583393,1.1917064581088905,-0.0040361293431548295,0.00013817950886133872,0.0034129983943456854,0.010986854355823226,-0.004531299870282185,-0.010292078292076946,-0.05855721213210273,0.8944580211721894,0.7773407974942107,0.1760962494438964,0.12737835032270128,0.06183227270675771,0.04451338306912104,-0.04603948020760388,0.046717369744025225,0.02511695370661285,0.06957561509066638,0.036985848528592546,1.8884999202610762,0.04654832583574083,2.0457153023723205,-0.030373388318230048,24,-0.01103734960961748,0.7621700014047786,61,0.08465387159035787,0.040140488521236826,116,-0.013763555909298201,0.7079791757202883,301,0.06939676986874523,0.024883386799624187
HISTORICAL_DISCOVERY,TWO_STAGE_TOP5,0_TO_1PCT,0.0,0.01,1060,1054,564,36,378,1.8794326241134751,29.444444444444443,0.34345351043643263,0.2703984819734345,0.18216318785578747,0.04996043314885381,0.08857184430920363,0.056199566160520686,-0.045445199660030106,-0.07272366947004273,1.2179232009970191,-0.001498158877882826,0.0020117719686682197,0.004282830830078786,0.00910420174369151,-5.56170842427751e-05,-0.005842428271851961,-0.05665334148193679,0.9986075171647688,0.8646381210004451,0.1760962494438964,0.12737835032270128,0.06183227270675771,0.04451338306912104,-0.04603948020760388,0.043427871848602626,0.02511695370661285,0.06577672635249744,0.036985848528592546,1.9503737957000362,0.04405846124008259,1.989780111111033,-0.026684189262438852,5,-0.006706133093037086,0.845364205228142,11,0.08289163214474987,0.03837824907562883,22,-0.009498696681462962,0.7845204344582387,53,0.06915195177642232,0.02463856870730128
HISTORICAL_DISCOVERY,STAGE_A_TOP30,1_TO_2PCT,0.01,0.02,3660,3648,695,36,557,5.266187050359712,101.66666666666667,0.3393640350877193,0.28426535087719296,0.19106359649122806,0.04951777318919222,0.09122107020432321,0.056367167708157306,-0.05082157012659829,-0.07893651668436098,1.1556257361733326,-0.005597783703591853,-0.0018764847877233953,0.002170479343459565,0.0091579678355012,-0.0037544725252560644,-0.009519282317045989,-0.05869337988271146,0.9128312954892618,0.7946389612696168,0.23319637181176836,0.17350182184665477,0.09066594309636405,0.05513914033320165,-0.055516426621152616,0.04794431861483258,0.03083042913680947,0.0711474740262178,0.04548230918191762,1.4552715055174505,0.03608192987112156,1.654379623133063,-0.023420090063208367,15,-0.010299834420136749,0.7787136341142259,37,0.08482667979182427,0.029687539458622625,71,-0.013152321705650826,0.7217851040147423,183,0.06980891142908109,0.014669771095879441
HISTORICAL_DISCOVERY,TWO_STAGE_TOP5,1_TO_2PCT,0.01,0.02,626,621,409,36,304,1.5305623471882641,17.38888888888889,0.357487922705314,0.2962962962962963,0.18035426731078905,0.04885807557342489,0.09171955750261826,0.05995717344753748,-0.047671798684200274,-0.07573331177197544,1.2110860512580728,-0.0036530811876616808,-0.00213542399697659,0.004091182107306907,0.013539731613682604,0.0001638588862673272,-0.005623858151382841,-0.05667868179007583,1.0040246243656599,0.8717982966414856,0.23319637181176836,0.17350182184665477,0.09066594309636405,0.05513914033320165,-0.055516426621152616,0.04409839567347482,0.03083042913680947,0.06659200629245124,0.04548230918191762,1.5329909291807995,0.03658041716941661,1.6634201575933887,-0.020216885150822823,3,-0.006514035142683121,0.8522231484338875,7,0.08447478915303175,0.0293356488198301,13,-0.009368381768039006,0.7909086836658399,32,0.07023890606802406,0.015099765734822412
HISTORICAL_DISCOVERY,STAGE_A_TOP30,2_TO_3PCT,0.02,0.03,2180,2175,611,36,505,3.5679214402618658,60.55555555555556,0.3535632183908046,0.3057471264367816,0.22436781609195403,0.05620161614418823,0.10319628511268163,0.0653266331658291,-0.05332831529986789,-0.08181190431946198,1.2613847088770502,-0.005246149540508044,-0.00020335105412762575,0.006239013181832486,0.017303904293525102,-0.0001457908917792776,-0.005931773892378761,-0.05955928406089307,0.9966797046265542,0.8742002917382328,0.27995777970942504,0.22258785545759344,0.13162796473363964,0.06808769740478395,-0.062134442795984075,0.049979857585239956,0.03582961325441262,0.07338128102125739,0.05232110157437574,1.2629162110007317,0.03510858770789768,1.51563775903855,-0.0196774615234779,9,-0.0066948930861972155,0.8586037528996118,22,0.09644771165369329,0.02836001424890934,43,-0.009588725531202047,0.8006648568738128,109,0.08020709140829352,0.012119394003509573
HISTORICAL_DISCOVERY,TWO_STAGE_TOP5,2_TO_3PCT,0.02,0.03,346,346,253,36,215,1.3675889328063242,9.61111111111111,0.3930635838150289,0.3236994219653179,0.23699421965317918,0.0586502536987442,0.10806691853767006,0.07362240289069566,-0.0498427448979734,-0.07471244253335758,1.4464380345940422,-0.004428826565104434,0.0016582661472511904,0.012931145215291059,0.026306273604237877,0.007274707125634465,0.0014448961714150625,-0.05626734346794658,1.1826519749319402,1.0337245364321281,0.27995777970942504,0.22258785545759344,0.13162796473363964,0.06808769740478395,-0.062134442795984075,0.047070085667209445,0.03582961325441262,0.06951269362872536,0.05232110157437574,1.4040102197659916,0.039979221132886114,1.5871724651695611,-0.012577999737373509,2,0.00042621313965846946,1.0098905063598487,4,0.10217983119775524,0.034092133792971296,8,-0.0026547523861671194,0.9394695406460891,18,0.08675859290963811,0.018670895504854165
