time_slice_type,time_slice,model,top_k,primary_opportunity_pool,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift,mean_daily_mfe_ic,median_daily_mfe_ic,mfe_ic_positive_day_rate,mean_daily_plus8_ic,mean_daily_plus10_ic,mean_daily_top30_mfe_spread,mean_daily_top30_plus8_spread
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_MFE10,10,False,7350,7302,735,36,513,10.0,204.16666666666666,0.37277458230621746,0.327307586962476,0.23897562311695425,0.06267599715947803,0.11218982831144811,0.06841575770411945,-0.05597836333123655,-0.08611931498892832,1.3027255073483976,-0.003522410122298503,0.002256498174396295,0.007895406555721095,0.020125408057707257,-0.00032895894142151373,-0.0061138704711451546,-0.05969487444813107,0.9926152352927533,0.871888159442247,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.050947465242637664,0.02794361487736817,0.0754490947806873,0.04095125973769815,1.8125162427482713,0.0612498343497804,2.202391865139812,-0.0351963836577127,30,-0.0068740122477726606,0.8565517084016823,74,0.10532712413625618,0.054387130174588474,148,-0.009803814332004352,0.7987317723737137,366,0.08770254431311195,0.03676255035144424,,,,,,,
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_MFE10,20,False,14700,14614,735,36,628,20.0,408.3333333333333,0.362118516491036,0.313261256329547,0.21910496783905845,0.058278062729515766,0.10496204926894126,0.06451612903225823,-0.05285969112367472,-0.08211558471037375,1.278223246405031,-0.0035577678037783593,0.001594704173536739,0.006885950574053029,0.017941694483733422,-0.000757835830678103,-0.006540252876053342,-0.05903997605489765,0.9826461687633504,0.860447835290805,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.04972151688359169,0.02794361487736817,0.07336227707400834,0.04095125973769815,1.7607039859835512,0.05402205530727355,2.0605037634657966,-0.031192653379158136,59,-0.0072875312129341155,0.8451306157011355,147,0.09825562074778653,0.04731562678611882,294,-0.010185900306563201,0.7870314993664198,731,0.08163214337910651,0.030692149417438808,,,,,,,
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_MFE10,30,True,22050,21937,735,36,710,30.0,612.5,0.35123307653735697,0.299858686237863,0.20563431645165703,0.05466720961806812,0.09873434199949929,0.05990783410138256,-0.05113639650156463,-0.0799365142134015,1.235159463370074,-0.0035876345979332955,0.0007324849735841881,0.005218609580774094,0.014685216834081888,-0.001318744346892492,-0.007097842528103798,-0.058578264114997024,0.9692693346937196,0.8461190412360942,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.04852819446229069,0.02794361487736817,0.07157165208210405,0.04095125973769815,1.7077764591027165,0.047794348037831585,1.938248011450429,-0.02901358288218589,88,-0.007842903346173753,0.8306482394039478,220,0.0923010698400142,0.04136107587834649,438,-0.010711045423494627,0.7724214064349025,1097,0.07648773303816077,0.025547739076493062,0.18181442181995527,0.20323434400626508,0.8367346938775511,0.21493992692840716,0.2140177317601834,0.04764514428495239,0.14451741880375138
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_MFE10,50,False,36750,36604,735,36,823,50.0,1020.8333333333334,0.3329963938367392,0.2786034313189815,0.18716533712162606,0.04937574391353661,0.08988816216724015,0.05406896963188368,-0.0493532118645702,-0.07716258913635085,1.1649189480721345,-0.003977968957473644,-0.0009157218183085175,0.002465835543648866,0.010190949463733017,-0.0026526060595179705,-0.008423820480838623,-0.05811111519115298,0.9370742737514333,0.8144802605498612,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.04642360961474481,0.02794361487736817,0.06847336668299119,0.04095125973769815,1.619105489627755,0.03894816820557244,1.7645891798668232,-0.026239657805135236,144,-0.009159848564499761,0.7990641473977506,367,0.08367829277289256,0.03273829881122485,718,-0.011975998586820283,0.7414233737021045,1831,0.06887167174712627,0.017931677785458566,,,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_MFE10,10,False,4810,4782,481,24,455,10.0,200.41666666666666,0.3594730238393977,0.3099121706398996,0.2174822250104559,0.05262878641960309,0.09520381038166391,0.06170742493510062,-0.05068001589470839,-0.07650542882834266,1.2444059439922273,-0.0047338452601528025,-0.00023792063259167688,0.004549214622824317,0.015760046018905682,7.490529201723143e-05,-0.0057123709747387156,-0.058313308134883404,1.0017762115145654,0.8740056046624642,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.04703659687915782,0.025849446486206025,0.07063887226503127,0.0378061792461695,1.8888817129745574,0.04760008437681297,1.9999235011974148,-0.0324943195699815,20,-0.006487241641261878,0.8575131723813272,48,0.0895997021140688,0.04199597610921786,98,-0.00938919291858171,0.7971521541667017,240,0.07549524196297575,0.027891515958124807,,,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_MFE10,20,False,9620,9584,481,24,571,20.0,400.8333333333333,0.3561143572621035,0.30112687813021705,0.20273372287145242,0.05175241154933385,0.09108730388768886,0.05930528572385618,-0.047637225036650126,-0.07361266722842137,1.2373862721893147,-0.0034839556583813936,0.0007095833545780374,0.005127261840636663,0.013012208321866536,0.0008069975731025356,-0.004984500580027241,-0.05741107147155525,1.0196751829422115,0.8871920693233418,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.04613999035358439,0.025849446486206025,0.06902420804171705,0.0378061792461695,1.8712333125186047,0.04348357788283792,1.9134490413293874,-0.029601557970060213,40,-0.005749449237844104,0.8704230207256584,96,0.08572143308332145,0.03811770707847051,196,-0.008606202346617004,0.8092099110056328,480,0.07199039319284628,0.024386667187995342,,,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_MFE10,30,True,14430,14378,481,24,649,30.0,601.25,0.35025733759910976,0.293225761580192,0.19529837251356238,0.049773208577585,0.08817086341009393,0.05714285714285716,-0.04629767998616103,-0.07194347334666928,1.225557501029048,-0.00339395534600101,0.0005762707483392441,0.004241574404679205,0.011820736808758883,0.0006972337098542546,-0.0050934955562905145,-0.05720093822047212,1.0172179046083087,0.883399686789917,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.045305963250750994,0.025849446486206025,0.06762371576796057,0.0378061792461695,1.8404571023435012,0.040567137405242995,1.8521840790594648,-0.027932364088308126,59,-0.005845892615295035,0.8667249578174638,144,0.08294356760163907,0.03533984159678813,292,-0.008700871658460124,0.804864739339507,719,0.06959320548073948,0.021989479475888543,0.161178658005846,0.16040277544117773,0.8544698544698545,0.21821703618649668,0.2145230945705738,0.04048788140262552,0.15972088235104695
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_MFE10,50,False,24050,23958,481,24,766,50.0,1002.0833333333334,0.3331663744886885,0.2764838467317806,0.18177644210702062,0.046636799820097496,0.08297805948850713,0.052189044688792485,-0.044922314643297254,-0.07007622722777845,1.1841113994164107,-0.0035376364645688494,-0.00041544789768029224,0.0027564457982373453,0.008805419400421264,-0.0005769634607685607,-0.0063601507802169355,-0.05709355746857869,0.9855788826770605,0.8529515221667393,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.04395699939301288,0.025849446486206025,0.0652908549182944,0.0378061792461695,1.7506511766259139,0.03537433348365619,1.7431000985101768,-0.026065117969417295,95,-0.007092134767781788,0.836678040440503,240,0.07788057071878485,0.03027684471393391,474,-0.0098991036081119,0.775658043741977,1198,0.06489917332507075,0.017295447320219814,,,,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_MFE10,10,False,2430,2427,243,12,234,10.0,202.5,0.34610630407911,0.288421920065925,0.20107128141738773,0.05173195233450864,0.0926948040509711,0.062295081967213006,-0.052483987031891326,-0.08070338524961616,1.1485863172191029,-0.004544858978382364,-0.0012025083579907854,0.001714861085774064,0.012315652357944818,-0.003146460265298623,-0.00891482204381308,-0.06017956942576063,0.9275526608021065,0.8092147935523494,0.20333962689023227,0.15414595278100154,0.0815852834698862,0.050589212313723,-0.05011196303487763,0.04949403267138891,0.028068817168662535,0.0725314664194504,0.03992271864674934,1.7021094676540678,0.042105591737248094,1.8323037622356178,-0.030591422214738533,10,-0.00970285954330989,0.7932056652762136,25,0.08762561514105814,0.03703640282733514,47,-0.012498334876225741,0.7377041884819666,122,0.07398119053928628,0.023391978225563284,,,,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_MFE10,20,False,4860,4853,243,12,315,20.0,405.0,0.3457655058726561,0.29322068823408204,0.19657943540078301,0.05090287684001049,0.09111116506061764,0.05861456483126126,-0.05013251813476522,-0.07803429951432708,1.167578431890577,-0.00334298091147318,-0.00015774104643033156,0.00240921718885656,0.011864585081996181,-0.002072677096783448,-0.007847086211592825,-0.059146240885426686,0.951052196749707,0.8280045432840976,0.20333962689023227,0.15414595278100154,0.0815852834698862,0.050589212313723,-0.05011196303487763,0.04812679121915882,0.028068817168662535,0.07045589250338165,0.03992271864674934,1.7004334627765831,0.04052195274689464,1.8009998751433913,-0.02792233647944945,19,-0.008586478855497758,0.8125350800814923,49,0.08605522687939242,0.03546601456566942,95,-0.011429217657760499,0.7543938705755133,243,0.07256353213702128,0.021974319823298283,,,,,,,
