model,fit_period,feature,coefficient_or_weight,direction,intercept,regularization_alpha,training_observations
LINEAR_RIDGE_MFE10,TRAIN_2020_EVALUATE_2021,recent_local_high_distance,0.0015436208793926742,POSITIVE,0.05480931642023934,0.1,91088
LINEAR_RIDGE_MFE10,TRAIN_2020_EVALUATE_2021,bias5,0.002078269060736472,POSITIVE,0.05480931642023934,0.1,91088
LINEAR_RIDGE_MFE10,TRAIN_2020_EVALUATE_2021,bias10,-0.0021137583911744343,NEGATIVE,0.05480931642023934,0.1,91088
LINEAR_RIDGE_MFE10,TRAIN_2020_EVALUATE_2021,bias20,0.0007080183737531566,POSITIVE,0.05480931642023934,0.1,91088
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,return_3,0.002083270450564344,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,return_5,0.0022119961344748197,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,return_10,-0.003998962599942698,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,return_20,0.0002489780482204894,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,return_60,-0.0062836025081099344,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma5,-0.0005196350077452215,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma10,0.0005266688595734387,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma20,-0.0005839921713274132,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma60,0.009973250076692666,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,distance_to_prior20_close_high,-0.002168045661062405,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,distance_to_prior60_close_high,0.001967545525862438,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,drawdown_from_20d_high,0.004208250347771995,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,drawdown_from_60d_high,0.008909600567423464,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,days_since_20d_high,0.001941573326736095,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,days_since_60d_high,-0.004892364004188285,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,ma5_slope,0.0012874461643422614,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,ma10_slope,0.00734878690681578,POSITIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,ma20_slope,-0.0058485193477063055,NEGATIVE,0.05644543074909187,0.1,219469
LINEAR_RIDGE_MFE10,TRAIN_2020_2021_EVALUATE_2022,ma60_slope,0.01700697715766252,POSITIVE,0.05644543074909187,0.1,219469
