time_slice_type,time_slice,quadrant_id,quadrant,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift
PERIOD,HISTORICAL_DISCOVERY,1,HIGH_UPSIDE_HIGH_RISK_QUALITY,53372,53173,735,36,1083,72.61496598639455,1482.5555555555557,0.27167923570233016,0.2092603388937995,0.11001824234103774,0.03423799366562482,0.061996815165828965,0.03937007874015741,-0.034169714766298216,-0.05507606147933813,1.1256581080890682,-0.002854255781241436,-0.00018973098322449625,0.0019522156025307282,0.006221086670098269,0.0013229458874393647,-0.0044710715401226455,-0.025742687001219577,1.0402755040867178,0.8756024979786304,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.03205992261252309,0.02794361487736817,0.04803216727350335,0.04095125973769815,1.3209672839855968,0.011056821204161259,1.2170558012331432,-0.004153130148122512,226,-0.005232620303879409,0.8550328981218093,532,0.057357820720198315,0.006417826758530608,1127,-0.007987496666583431,0.7824761285230996,2659,0.04763985513091809,-0.003300138830749616
PERIOD,HISTORICAL_DISCOVERY,2,HIGH_UPSIDE_LOW_RISK_QUALITY,111689,111316,735,36,1038,151.9578231292517,3102.472222222222,0.27836968629846565,0.22279816019260484,0.13194868662186926,0.0367216164103011,0.0673185635538053,0.03921568627450989,-0.0430719239213291,-0.0682887752451093,0.9857925158589883,-0.004355348678082553,-0.0038026243526817793,-0.0027502849361369266,-8.212336170583755e-05,-0.005233532936903307,-0.010989596820094686,-0.056491033017992937,0.8661598892575728,0.7410557946136757,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.03861877684448153,0.02794361487736817,0.056640806776731834,0.04095125973769815,1.3534978022998498,0.0163785695921376,1.321526728182623,-0.01736584391389369,421,-0.011701939592662022,0.725313913250305,1114,0.06195218396826119,0.01101219000659348,2103,-0.014370154498595088,0.667797711731436,5566,0.05025465251546007,-0.0006853414462076393
PERIOD,HISTORICAL_DISCOVERY,3,LOW_UPSIDE_HIGH_RISK_QUALITY,111689,111203,735,36,866,151.9578231292517,3102.472222222222,0.11990683704576316,0.07720115464510849,0.028533402875821696,0.0189117767262949,0.034141680775515174,0.021868787276341894,-0.020341383234259457,-0.03392100708139538,1.006505517173776,-0.0011468453719153773,-0.0007867443767641037,-0.00019062519207913261,0.001149509849850513,0.0008989726003622255,-0.004893626753280028,-0.006812508178885396,1.0422022272051512,0.7984021765570015,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.01766332438134511,0.02794361487736817,0.025638130686348636,0.04095125973769815,0.5830147764299191,-0.016798313186152533,0.6702333102199963,0.017001924249820236,490,-0.005619526090389942,0.7695181111445392,1113,0.031530288779422384,-0.019409705182245322,2448,-0.007906107704360886,0.681469918566819,5561,0.02635871737893735,-0.024581276582730356
PERIOD,HISTORICAL_DISCOVERY,4,LOW_UPSIDE_LOW_RISK_QUALITY,53000,52742,735,36,875,72.10884353741497,1472.2222222222222,0.16648970459974974,0.11433013537598119,0.04738159341701111,0.022174096909785706,0.04064272830303635,0.025974025974025983,-0.027957799251722946,-0.04593135558262153,0.8848580188304703,-0.0028824471448259067,-0.002995086056356632,-0.0031152894696901716,-0.0029998898373216417,-0.0029982446331487337,-0.008767794569482077,-0.01649083416136684,0.8935512238332748,0.7201853607759742,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.022938237441864604,0.02794361487736817,0.032985220818028384,0.04095125973769815,0.8095114531964559,-0.010297265658631358,0.7978549886287768,0.004991575748594088,216,-0.009492821923266915,0.6982876168752595,528,0.03746860430720458,-0.01347138965446313,1076,-0.011932553489819,0.626954589476427,2638,0.031145356702199943,-0.019794637259467764
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1,HIGH_UPSIDE_HIGH_RISK_QUALITY,41612,41464,481,24,1137,86.51143451143452,1733.8333333333333,0.24479066177889253,0.18994790661778893,0.10271560872081806,0.031082982719646757,0.057547786720592436,0.03406326034063256,-0.03170203821614457,-0.05032060487458068,1.1436227140755726,-0.002880287642355107,-0.0012262344915190562,0.0006672081184527286,0.004942892312106624,0.00015015596348122909,-0.005637163970521657,-0.025288870926142827,1.004763195483923,0.8376266588392954,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.029705252114689728,0.025849446486206025,0.04405528514665361,0.0378061792461695,1.2862734443952837,0.009944060715741498,1.2088924870025546,-0.006309495616219518,169,-0.006373392940031624,0.8171684970647589,415,0.05332965735898716,0.005725931354136224,843,-0.009032363431809853,0.7451205165399993,2074,0.04349085978999113,-0.00411286621485981
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,2,HIGH_UPSIDE_LOW_RISK_QUALITY,87855,87680,481,24,1099,182.65072765072765,3660.625,0.26759808394160584,0.2110971715328467,0.1228786496350365,0.034409469890971184,0.06267937567746483,0.03693376134809101,-0.03768864679039643,-0.05891016215522446,1.06398239937464,-0.0040093230571932046,-0.002518546210715815,-0.0011300316190012265,0.0020298753980564155,-0.0025872028276560585,-0.008358501306426725,-0.04597771938836653,0.927506780164028,0.7857223175242039,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.0359068827484732,0.025849446486206025,0.052576802457748505,0.0378061792461695,1.4061169925511723,0.015075649672613892,1.3166905395404898,-0.014899052896863302,336,-0.009069491410085756,0.7683864327227968,877,0.05816901547677353,0.01056528947192259,1678,-0.011729838759748628,0.7050498794125071,4384,0.04753588859104082,-6.783741381011926e-05
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3,LOW_UPSIDE_HIGH_RISK_QUALITY,87855,87650,481,24,906,182.65072765072765,3660.625,0.10954934398174558,0.0708499714774672,0.027792355961209356,0.01811234966845565,0.03288182544695677,0.021224942878006248,-0.017571220360061316,-0.02882015474539003,1.140931606282108,-0.0011916409894555501,4.0172980477127013e-05,0.001233811221187937,0.003568433134489412,0.0023187326934070002,-0.003482385632169971,-0.0057979688705241915,1.1215069397706992,0.8418967478349837,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.01632414245548033,0.025849446486206025,0.023745166104771922,0.0378061792461695,0.5756363865788358,-0.014721900557894171,0.6907405828612245,0.015190954512971127,390,-0.00421214446566755,0.8096159824290761,877,0.030278795192006658,-0.01732493081284428,1947,-0.006528848749449092,0.7101691217736144,4383,0.02519113292478162,-0.022412593080069317
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,4,LOW_UPSIDE_LOW_RISK_QUALITY,41373,41327,481,24,949,86.01455301455302,1723.875,0.14295738863212912,0.09729716650131875,0.04091755994870182,0.019913348659614236,0.036865494027865736,0.02287581699346397,-0.023554631575482213,-0.0382889730963852,0.9628227410294832,-0.0026238760186311065,-0.0021910376993551366,-0.001789779405879976,-0.0010724196334067604,-0.002300121835829409,-0.008074017066652221,-0.014901185604458866,0.9087794632836043,0.7161332453610731,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.02084496424065401,0.025849446486206025,0.03002063061197339,0.0378061792461695,0.7511818111905584,-0.010738231976985202,0.7744245487025333,0.005722136161975956,165,-0.008777232576420348,0.692641616111497,414,0.03392894994988428,-0.013674776054966656,821,-0.01112060107141642,0.616788433164125,2067,0.027827887945805218,-0.01977583805904572
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,1,HIGH_UPSIDE_HIGH_RISK_QUALITY,20494,20413,243,12,775,84.33744855967078,1707.8333333333333,0.27159163278303045,0.2116788321167883,0.11992357811198746,0.035020473247362016,0.06356594240391185,0.03841229193341866,-0.03378258955932662,-0.053903829614002634,1.1792472419695998,-0.0022434772211257065,0.00013559222208182605,0.0022337861504104738,0.008128661159034253,0.0018730584125763838,-0.003924481935114602,-0.027495161128693803,1.0581798993848537,0.8890261589597194,0.20333962689023227,0.15414595278100154,0.0815852834698862,0.050589212313723,-0.05011196303487763,0.03215427205219784,0.028068817168662535,0.046874232016890095,0.03992271864674934,1.335655213578425,0.012976730090188848,1.2565118035385725,-0.003791866579125003,84,-0.0046631350744406035,0.8686816371471173,205,0.059345954322935296,0.008756742009212296,419,-0.007334806544539304,0.7968486092228809,1021,0.049161298189249365,-0.0014279141244736351
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,2,HIGH_UPSIDE_LOW_RISK_QUALITY,37505,37448,243,12,725,154.34156378600824,3125.4166666666665,0.2729651783806879,0.217474898525956,0.12729651783806878,0.035927936643281234,0.06546883208575316,0.038670349907918955,-0.040574464182324965,-0.06389639455571182,1.0246091746017112,-0.0036117066677777043,-0.002944805884230832,-0.0019500024344141736,0.0025888471190418493,-0.003432759373386063,-0.009199232984643273,-0.055583506757200876,0.9065082947093088,0.7703441342322886,0.20333962689023227,0.15414595278100154,0.0815852834698862,0.050589212313723,-0.05011196303487763,0.037757805931662225,0.028068817168662535,0.05384899456896647,0.03992271864674934,1.3424101467838396,0.014879619772030159,1.2941263382350363,-0.013784431520834188,143,-0.009912845731886478,0.7534740233297338,375,0.06083907827523136,0.010249865961508363,711,-0.012547750037905814,0.6926969695734829,1873,0.04996679329881692,-0.0006224190149060824
