time_slice_type,time_slice,cohort,primary_final_candidate,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift
PERIOD,HISTORICAL_DISCOVERY,UNIVERSE,False,329750,328434,735,36,1204,448.63945578231295,9159.722222222223,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.02795323509752777,0.05093999396166771,0.029045643153526868,-0.03150731536451395,-0.050922931331215615,1.0003350677191207,-0.0027894432650422975,-0.0020668891214910183,-0.0011809077262488852,0.0008868172948306119,-0.0017367139793534317,-0.007513458544661102,-0.01807946929658401,0.9426950955794915,0.7754083162173876,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.02794361487736817,0.02794361487736817,0.04095125973769815,0.04095125973769815,1.0,0.0,1.0,0.0,1351,-0.008258848169430743,0.7541426923000932,3285,0.04641170528291828,-0.00452828867874943,6753,-0.010910931129543434,0.6805573561598143,16422,0.037454460891702554,-0.013485533069965153
PERIOD,HISTORICAL_DISCOVERY,STAGE_A_TOP30,False,22050,21937,735,36,710,30.0,612.5,0.35123307653735697,0.299858686237863,0.20563431645165703,0.05466720961806812,0.09873434199949929,0.05990783410138256,-0.05113639650156463,-0.0799365142134015,1.235159463370074,-0.0035876345979332955,0.0007324849735841881,0.005218609580774094,0.014685216834081888,-0.001318744346892492,-0.007097842528103798,-0.058578264114997024,0.9692693346937196,0.8461190412360942,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.04852819446229069,0.02794361487736817,0.07157165208210405,0.04095125973769815,1.7077764591027165,0.047794348037831585,1.938248011450429,-0.02901358288218589,88,-0.007842903346173753,0.8306482394039478,220,0.0923010698400142,0.04136107587834649,438,-0.010711045423494627,0.7724214064349025,1097,0.07648773303816077,0.025547739076493062
PERIOD,HISTORICAL_DISCOVERY,NET_RIDGE_TOP10,False,7350,7308,735,36,552,10.0,204.16666666666666,0.12110016420361248,0.07799671592775041,0.027504105090311988,0.0199744621441577,0.0347901249572336,0.022277733996667215,-0.01707514976309172,-0.029246778750895847,1.1895369829803206,-0.00021086401214255048,0.0016214969479147702,0.003000947075743394,0.005038094428620177,0.003999297402396733,-0.0018116009459723235,-0.003970017093877929,1.215516829571213,0.9154080470834062,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.01663763415008145,0.02794361487736817,0.024493715046722497,0.04095125973769815,0.5888170090905617,-0.01614986900443411,0.6829628794894073,0.02167615258031977,34,-0.0025263201486777674,0.8825833578475086,74,0.03244038939305017,-0.018499604568617538,168,-0.004740301579628388,0.7837420119829419,366,0.027441896091691072,-0.023498097869976635
PERIOD,HISTORICAL_DISCOVERY,TWO_STAGE_TOP3,False,2205,2192,735,36,468,3.0,61.25,0.3604014598540146,0.2851277372262774,0.1989051094890511,0.05273839052508112,0.09702094185238852,0.06301767762724941,-0.0512172554267309,-0.08010281108387018,1.2112052066537904,-0.0029624245990228317,0.00017318916812798254,0.0028105239435425563,0.012862177410346544,0.001314039939898148,-0.004480421040619859,-0.056551822207910336,1.0319303167940987,0.8988101768251109,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.04491050906426369,0.02794361487736817,0.06745833760854864,0.04095125973769815,1.752355259455401,0.046080947890720814,1.904612354791339,-0.02917987975265457,10,-0.005309506606634743,0.8806324250514798,22,0.09112035163593693,0.040180357674269224,46,-0.008199559441369231,0.8187000454123391,110,0.07615580057646006,0.02521580661479235
PERIOD,HISTORICAL_DISCOVERY,TWO_STAGE_TOP5,True,3675,3648,735,36,547,5.0,102.08333333333333,0.37033991228070173,0.3007127192982456,0.20230263157894737,0.05430425318174647,0.09914662858368505,0.0649404560453507,-0.049673477613500924,-0.07873950723488199,1.259172581407299,-0.0023790748958520853,0.001185564331691793,0.005134344170386615,0.014801192500921058,0.0031184884212838502,-0.002686392281430582,-0.05649758001242046,1.0770073618529423,0.9383477181844417,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.04508582187210645,0.02794361487736817,0.06763355747676157,0.04095125973769815,1.8006783139397167,0.04820663462201734,1.9463415849301589,-0.027816575903666374,16,-0.0034780541660993226,0.9205292932291929,37,0.0929567798037682,0.04201678584210049,78,-0.006443388408586114,0.8552870416361912,183,0.07775805238404904,0.02681805842238133
PERIOD,HISTORICAL_DISCOVERY,TWO_STAGE_TOP10,False,7350,7301,735,36,629,10.0,204.16666666666666,0.36556636077249693,0.3035200657444186,0.20545130803999453,0.05499536143948284,0.10026442952316014,0.06346153846153846,-0.04993084532329386,-0.07867110037056536,1.274476002634811,-0.0029632827604095893,0.0013745020364977812,0.005801165262000394,0.016002805574325738,0.0019477168940539322,-0.0038503913321119997,-0.05731541358122657,1.0473064836313952,0.9130643165039732,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.045881636178854296,0.02794361487736817,0.06842131314498115,0.04095125973769815,1.7774682023739306,0.049324435561492436,1.9682850688716027,-0.02774816903934975,31,-0.004622915509788858,0.896065143558396,74,0.09368392644152848,0.042743932479860774,153,-0.0075671208461124415,0.8327269148615816,366,0.07790272828507305,0.026962734323405346
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,UNIVERSE,False,258695,258121,481,24,1271,537.8274428274428,10778.958333333334,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.026020174739846046,0.04760372600485094,0.026890756302521135,-0.027632752030464416,-0.04401110925836116,1.0816297704609037,-0.0026493386799410316,-0.0013896528061426168,-0.00014426844348264063,0.0025235639090929107,-0.00043561001077516305,-0.006220023808192435,-0.01523493800249752,0.984276349060636,0.7984476632463829,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.025849446486206025,0.025849446486206025,0.0378061792461695,0.0378061792461695,1.0,0.0,1.0,0.0,1058,-0.006958179567353423,0.7754527940619473,2582,0.0436073427840169,-0.003996383220834038,5288,-0.009568618485583075,0.6962925478382958,12907,0.0349913177361545,-0.012612408268696439
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,False,14430,14378,481,24,649,30.0,601.25,0.35025733759910976,0.293225761580192,0.19529837251356238,0.049773208577585,0.08817086341009393,0.05714285714285716,-0.04629767998616103,-0.07194347334666928,1.225557501029048,-0.00339395534600101,0.0005762707483392441,0.004241574404679205,0.011820736808758883,0.0006972337098542546,-0.0050934955562905145,-0.05720093822047212,1.0172179046083087,0.883399686789917,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.045305963250750994,0.025849446486206025,0.06762371576796057,0.0378061792461695,1.8404571023435012,0.040567137405242995,1.8521840790594648,-0.027932364088308126,59,-0.005845892615295035,0.8667249578174638,144,0.08294356760163907,0.03533984159678813,292,-0.008700871658460124,0.804864739339507,719,0.06959320548073948,0.021989479475888543
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,NET_RIDGE_TOP10,False,4810,4791,481,24,446,10.0,200.41666666666666,0.11939052389897725,0.07848048424128574,0.031726153203924023,0.019540571193722114,0.035410811544687025,0.023554603854389677,-0.012922150189694335,-0.022151696177262235,1.5985598241020795,0.00035954064717518583,0.0026854445127124965,0.006008552999321795,0.010964334598859453,0.00973208905159144,0.003888119282226796,0.0022154868738287876,1.6673030873276504,1.2274691164112776,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.014038702223004131,0.025849446486206025,0.020844675797839305,0.0378061792461695,0.6273477071703256,-0.012192914460163913,0.7438663843472794,0.021859413081098924,25,0.003071096949381746,1.1787327980898339,48,0.033071656541653546,-0.014532069463197392,125,0.0005986685478635857,1.0341104828035415,240,0.02778931659315862,-0.019814409411692317
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TWO_STAGE_TOP3,False,1443,1436,481,24,363,3.0,60.125,0.3447075208913649,0.2889972144846797,0.19289693593314763,0.05111832267336662,0.08935929379988779,0.05534207727756113,-0.04501129715523835,-0.07334524606025171,1.2183379100873266,-0.0019006475184274961,0.002294435091571929,0.0049793535953218514,0.007452907603331355,-0.00017201273293975216,-0.005957988015991064,-0.05681346730674314,0.9957800268675885,0.8645271414918303,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.04149447106279269,0.025849446486206025,0.06292994504306293,0.0378061792461695,1.8112951163406144,0.04175556779503685,1.877149149853981,-0.02933413680189055,6,-0.006726818043029878,0.8476845537371445,15,0.0843440203999582,0.03674029439510726,29,-0.009550513133528225,0.7872257673460068,72,0.07087367676790586,0.023269950763054922
