fold,model,alpha,alpha_selected,train_start,train_end,evaluation_start,evaluation_end,selection_metric,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift,mean_daily_mfe_ic,median_daily_mfe_ic
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_MFE10,0.1,True,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7320,7276,244,12,386,30.0,610.0,0.38317757009345793,0.33658603628367234,0.25041231445849366,0.06299006272869707,0.11457603490543854,0.0708808320601716,-0.0543902611034556,-0.08446781179526584,1.3564461120781652,-0.004227295561909043,0.003506736086352549,0.00941977470361441,0.02257931134996828,0.0020863827702406676,-0.003712609156871289,-0.05871886144502743,1.0482372831048696,0.9199650943820233,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.05157003515465755,0.029581941500188693,0.07801342835679624,0.04423680453226137,1.6788470713704358,0.05805171018986123,2.0270217376672703,-0.033077054807264104,31,-0.004491550573145516,0.9035855342502424,73,0.10790556036004531,0.051381235644468004,151,-0.007449606193721938,0.8427373102735928,364,0.09091125317609886,0.03438692846052155,0.19398931114594137,0.21292453532128447
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_MFE10,1.0,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7320,7276,244,12,384,30.0,610.0,0.38317757009345793,0.33658603628367234,0.25041231445849366,0.06301398120070359,0.11459491388672481,0.07092073416700273,-0.05437489978209214,-0.08443528071673152,1.3571923124312764,-0.004220506888675785,0.003500215022820246,0.009455446845380844,0.022614388336577643,0.002108723351218718,-0.0036903974845967262,-0.058707283054408324,1.0487726612421098,0.920414024121496,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.05157295537969155,0.029581941500188693,0.07801686270812486,0.04423680453226137,1.6788470713704358,0.058070589171147505,2.027355735134401,-0.033044523728729784,31,-0.00446924386127944,0.9040283078903312,73,0.10792463067350347,0.05140030595792616,151,-0.00742692378986654,0.843157214696736,364,0.09093112636299686,0.03440680164741955,0.19398579232095636,0.21292942383957505
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_MFE10,10.0,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7320,7276,244,12,384,30.0,610.0,0.38413963716327654,0.33727322704782847,0.2509620670698186,0.06318396110051887,0.11485633453125636,0.07106525129780938,-0.05431157927074165,-0.08436420949589654,1.3614343714895232,-0.004166945104456794,0.0035715874264766645,0.009634098487136885,0.022766726426339187,0.002265586472946957,-0.0035344604738211088,-0.058686820304455205,1.0524674294995515,0.9236804766508729,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.051606137101180734,0.029581941500188693,0.07805170536768312,0.04423680453226137,1.683062254117779,0.058332009815679056,2.0319806580476243,-0.0329734525078948,31,-0.004312639625198916,0.9072740293011414,73,0.10817358143308803,0.05164925671751072,151,-0.007268655000035445,0.8463053485744471,364,0.09116866717507069,0.03464434245949338,0.19395657825833057,0.2132868544236894
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_MFE10,100.0,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7320,7277,244,12,378,30.0,610.0,0.383537171911502,0.33571526728047274,0.2501030644496358,0.06331686176170667,0.11479220313480089,0.0714285714285714,-0.05445955515784329,-0.08475875239524236,1.3543404060445368,-0.0041307628020432925,0.0035986097992545627,0.009472612703171072,0.022274062051194407,0.002072973088062352,-0.003725985164998452,-0.05880663431433134,1.0478304305374324,0.9198316075193893,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.05183097346087625,0.029581941500188693,0.07828417540559585,0.04423680453226137,1.680422624080725,0.05826787841922358,2.030846077550145,-0.03336799540724062,31,-0.004504876307305753,0.9034858746019712,73,0.10810972782135729,0.051585403105779984,151,-0.007463714077101302,0.8427428173000384,364,0.09111948492058691,0.034595160205009606,0.19359567702425248,0.21436774313439305
TRAIN_2020_EVALUATE_2021,IC_WEIGHTED_MFE_RANK,,,20200101,20201231,20210101,20211231,BENCHMARK_NOT_USED_FOR_ALPHA_SELECTION,7320,7283,244,12,401,30.0,610.0,0.3638610462721406,0.3097624605245091,0.22737882740628862,0.05855671802997748,0.10650512624402418,0.06479217603911969,-0.053385121483359624,-0.0842348061344424,1.2643838234047502,-0.003895450377267155,0.0010793143996522083,0.006822369887764857,0.015000753127850389,-0.0005315960784733337,-0.0063150220553732875,-0.059196337653513,0.987787951190265,0.8649057214301465,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.055527161552805425,0.029581941500188693,0.08109289177768432,0.04423680453226137,1.5942140135467062,0.049980801528446875,1.8842352700353955,-0.03284404914644066,30,-0.007082059388201219,0.8491209237068991,73,0.0999100781383737,0.043385753422796394,146,-0.009990601822969708,0.7905602446009087,365,0.08334606212920516,0.026821737413627852,0.18436998914744868,0.21087439919923148
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_MFE10,0.1,True,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7380,7362,246,12,352,30.0,615.0,0.2878293941863624,0.23050801412659602,0.13447432762836187,0.04029181177478155,0.0702041101719502,0.044882586549253256,-0.051051968036592454,-0.08026774978227505,0.8746241219216646,-0.004248454403778947,-0.00637343285921017,-0.007060478634779943,-0.009241454851433718,-0.011347375364547961,-0.017068120211556164,-0.06056503175400079,0.7482861205380142,0.6487201570238359,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.04553302528099445,0.02651442286838009,0.06689295551105351,0.03835277613102303,1.7900617877606484,0.03031526993053319,1.7599937663531395,-0.02648955047800515,26,-0.01775783959057314,0.6358157370895775,74,0.06551412263909746,0.02562528239768045,127,-0.020302479390069437,0.5893618093752289,369,0.05369741156526485,0.013808571323847836,0.14458830138806822,0.15508277872197557
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_MFE10,1.0,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7380,7362,246,12,352,30.0,615.0,0.2878293941863624,0.23050801412659602,0.13447432762836187,0.04029181177478155,0.0702041101719502,0.044882586549253256,-0.051051968036592454,-0.08026774978227505,0.8746241219216646,-0.004248454403778947,-0.00637343285921017,-0.007060478634779943,-0.009241454851433718,-0.011347375364547961,-0.017068120211556164,-0.06056503175400079,0.7482861205380142,0.6487201570238359,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.04553302528099445,0.02651442286838009,0.06689295551105351,0.03835277613102303,1.7900617877606484,0.03031526993053319,1.7599937663531395,-0.02648955047800515,26,-0.01775783959057314,0.6358157370895775,74,0.06551412263909746,0.02562528239768045,127,-0.020302479390069437,0.5893618093752289,369,0.05369741156526485,0.013808571323847836,0.14459058062532942,0.15507149330960093
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_MFE10,10.0,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7380,7362,246,12,352,30.0,615.0,0.2874218962238522,0.23023634881825591,0.13447432762836187,0.040257745484557114,0.07014155569166047,0.04468313847453398,-0.051137441785566784,-0.0803942609185652,0.872469687391117,-0.004322592087153656,-0.006440466596433232,-0.0070968698987310605,-0.009380884773696621,-0.011423573611971561,-0.017143863245020045,-0.06062191504906061,0.7469130287805628,0.6475856916278677,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.04554800379512128,0.02651442286838009,0.06690349271458368,0.03835277613102303,1.78752748603187,0.03025271545024346,1.7584255462717548,-0.026616061614295305,26,-0.017833851069902623,0.6346967935465024,74,0.0654509330008026,0.025562092759385584,127,-0.020379551983346716,0.5882987421160908,369,0.05362449453395605,0.013735654292539035,0.14459406455731674,0.15522032861853466
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_MFE10,100.0,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_SCORE_MFE10,7380,7362,246,12,355,30.0,615.0,0.28619940233632163,0.22982885085574573,0.13379516435751154,0.04033485605360145,0.07016321255485136,0.044756480754124084,-0.051098702204057767,-0.08045642460696999,0.8720647592482389,-0.00424961273273055,-0.0063848338605501645,-0.00712190338926442,-0.009549916744335316,-0.011556274467501812,-0.017275782613506485,-0.06062191504906061,0.7442704583066515,0.645267620616876,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.04566555997879681,0.02651442286838009,0.06700592510468709,0.03835277613102303,1.7799245808455337,0.03027437231343435,1.7589684766517764,-0.026678225302700087,26,-0.017966237982497652,0.6323930115183288,74,0.06548010693672372,0.02559126669530671,127,-0.020513480034756105,0.5860525926953645,369,0.05363590595394632,0.01374706571252931,0.14469066875415892,0.15479305096798443
TRAIN_2020_2021_EVALUATE_2022,IC_WEIGHTED_MFE_RANK,,,20200101,20211231,20220101,20221231,BENCHMARK_NOT_USED_FOR_ALPHA_SELECTION,7380,7362,246,12,368,30.0,615.0,0.29530019016571585,0.23838630806845965,0.14058679706601468,0.0420016179481986,0.0729402434649904,0.04755254056930025,-0.05012843802448273,-0.07920625605027982,0.9208899284254544,-0.0037197325414486857,-0.004926714924300222,-0.005554382232108945,-0.007417225695790656,-0.009350975141784412,-0.01508311230689814,-0.06022210781030507,0.7889287415490025,0.6841669035983325,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.04831657431660337,0.02651442286838009,0.06899562632550135,0.03835277613102303,1.8365239861215905,0.03305140322357338,1.8285877208647383,-0.025428056746009925,27,-0.015793112192049277,0.6705126852116433,74,0.06811513532275182,0.028226295081334805,131,-0.018407818068446578,0.6214079106574871,369,0.056158407942561266,0.016269567701144252,0.1402933940449713,0.1470348703391503
