time_slice_type,time_slice,daily_score_spearman_mean,daily_score_pearson_mean,top_decile_jaccard_mean,top_decile_overlap_mean_stocks,stage_a_top30_stage_b_top10_overlap_mean,stage_b_top10_captured_share_mean
PERIOD,HISTORICAL_DISCOVERY,-0.4679515955074252,-0.45461017559238737,0.0025360768678749667,0.20952380952380953,0.014965986394557823,0.0014965986394557824
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,-0.4846481871688138,-0.4731518233122684,0.0007202841645587095,0.07276507276507277,0.0,0.0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,-0.38409043520865127,-0.37188776997307593,0.0035153806747370243,0.3292181069958848,0.024691358024691357,0.002469135802469136
OVERALL,2020_2025,-0.45948881184500284,-0.446945328428419,0.0021005556442782293,0.18437285812200138,0.011651816312542838,0.0011651816312542838
