time_slice_type,time_slice,model,top_k,primary_opportunity_pool,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift,mean_daily_mfe_ic,median_daily_mfe_ic,mfe_ic_positive_day_rate,mean_daily_plus8_ic,mean_daily_plus10_ic,mean_daily_top30_mfe_spread,mean_daily_top30_plus8_spread
YEAR,2020,LINEAR_RIDGE_MFE10,30,True,7350,7301,245,12,351,30.0,612.5,0.3837830434187098,0.3335159567182578,0.2325708807012738,0.059607056112702624,0.10961998056316072,0.06859205776173294,-0.04730937001141374,-0.07401475415700129,1.481055795046391,-0.002499339196678848,0.005153339880004066,0.01285662812905337,0.029788715392279223,0.005530782073589826,-0.00028799147081743194,-0.05600688912153467,1.1385927974481462,0.9932860627361337,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.04767273337368431,0.027300325544958357,0.06901353329223262,0.039371876850689165,1.7131236780241181,0.05419301047579827,1.9777371988831565,-0.026802928043675213,33,-0.0010970252906662087,0.9745406762929547,74,0.10289156556017696,0.047464595472814515,161,-0.004098924246219462,0.9065491172085318,366,0.08611300368634954,0.03068603359898709,0.20354584114139604,0.22942936265131464,0.8653061224489796,0.22482079218232784,0.2240928273971398,0.05380108702702992,0.15764108529611523
YEAR,2021,LINEAR_RIDGE_MFE10,30,True,7320,7274,244,12,387,30.0,610.0,0.3740720373934561,0.3289799285125103,0.2464943634863899,0.06285607391225048,0.11466483349801337,0.06853345280764622,-0.05550654785375967,-0.08612050738125447,1.331446330087136,-0.004358690715925309,0.0023731643302785928,0.008692809901202223,0.021846659675884422,0.00032296700136193375,-0.005465881183043823,-0.05949637242466821,1.0073098341076328,0.8846182310800393,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.051858530703514115,0.029581941500188693,0.07821194897897159,0.04423680453226137,1.6389522599310886,0.05814050878243607,2.028592717825311,-0.03472975039325273,30,-0.006225233419505174,0.8691306964489606,73,0.107910356169388,0.051386031453810696,147,-0.009141592992976035,0.8109257659944492,364,0.09050675809840422,0.033982433382826915,0.1941991986756769,0.21341885248064446,0.8319672131147541,0.2200946998644002,0.2206162408049858,0.05796021134247731,0.1456257646000317
YEAR,2022,LINEAR_RIDGE_MFE10,30,True,7380,7362,246,12,344,30.0,615.0,0.29638685139907633,0.23770714479760935,0.13854930725346373,0.04167731310445646,0.07219882959614643,0.04680409426990284,-0.0506137993090524,-0.07969913359248541,0.905892276888614,-0.0039050731366842917,-0.005272807516549832,-0.0057887941888240075,-0.007368977434414486,-0.009733604540201928,-0.015463722641281472,-0.06024128578934775,0.7819530930684473,0.6784957984772451,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.046086039557272494,0.02651442286838009,0.06754765122052253,0.03835277613102303,1.8432821240650001,0.03230998935472942,1.8100007209831488,-0.025920934288215514,27,-0.016173839422215276,0.66496511215123,74,0.06746523949554223,0.027576399254125215,131,-0.01878192380557994,0.6164559727700306,369,0.05558293494712187,0.015694094705704854,0.14788725398845493,0.15774396419121822,0.8130081300813008,0.19992532862802806,0.19737105976840336,0.0312830209766391,0.13034776569431414
YEAR,2023,LINEAR_RIDGE_MFE10,30,True,7170,7154,239,12,394,30.0,597.5,0.3500139781940173,0.2896281800391389,0.1888454011741683,0.04749436279049719,0.08475932088416942,0.05610158576833291,-0.04133254452187431,-0.06410525028376739,1.3221900001790028,-0.002825689997881875,0.0015370165789038092,0.006330814900374188,0.01582524038650376,0.0038629691149523696,-0.0019458101865242122,-0.055651110984940695,1.1030889226907952,0.9520465917045581,0.18439071989771025,0.1365181110045593,0.06944093945052911,0.04619317696807214,-0.038511780502685215,0.043005373741745526,0.024075502568000416,0.06390191056296445,0.035221710351054265,1.898219055645456,0.03856614391609728,1.834888320038119,-0.025593469781082172,31,-0.0027218660223367087,0.9332117967298323,72,0.08002814969887555,0.03383497273080341,151,-0.0055814697360044895,0.8653511116442781,358,0.06767167321259308,0.021478496244520945,0.16016722390441246,0.16040277544117773,0.8451882845188284,0.22216024600954842,0.2130885066928818,0.03813914327002996,0.16369756873121127
YEAR,2024,LINEAR_RIDGE_MFE10,30,True,7260,7224,242,12,418,30.0,605.0,0.3504983388704319,0.2967884828349945,0.20168881506090808,0.05202997252565063,0.09154934835340288,0.05855855855855863,-0.051214703672693034,-0.07970574463570587,1.1485915948947978,-0.003956714246948448,-0.00037516552960357096,0.0021725784874308783,0.007855036560255718,-0.0024378259645743074,-0.0082106800988304,-0.059244345506565925,0.9439424161226297,0.8244063775622681,0.19536350121729637,0.14641310514711692,0.07831632469854859,0.04880797503994923,-0.04870613309307634,0.04758426022575447,0.027363942045109852,0.0713094569690323,0.04001265636396723,1.7940830128785632,0.04274137331345365,1.8757047035544894,-0.030999611542629535,29,-0.00896308489717527,0.80908494470032,73,0.08591039956319836,0.03710242452324913,141,-0.011772874829603073,0.7531394810136618,362,0.07161532658102394,0.022807351541074716,0.16217755366800554,0.15984927402698812,0.8636363636363636,0.2143227091298464,0.21593989830102175,0.04280750294680047,0.15579349373592588
YEAR,2025,LINEAR_RIDGE_MFE10,30,True,7290,7281,243,12,378,30.0,607.5,0.33800302156297213,0.2826534816646065,0.18678752918555144,0.04880297203493495,0.08832831210438193,0.05616438356164366,-0.04920053177831715,-0.07648767879663858,1.1548044533973192,-0.0036072105571023807,-0.0007687723470800495,0.001697830319841753,0.011262472422083019,-0.0024304079561358444,-0.008202852179612714,-0.0585520075504282,0.941881944639159,0.8181558313960419,0.20333962689023227,0.15414595278100154,0.0815852834698862,0.050589212313723,-0.05011196303487763,0.046850732451466835,0.028068817168662535,0.0685931344562885,0.03992271864674934,1.6622584920224845,0.037739099790658925,1.7459910535199554,-0.026375715761760947,29,-0.008953042548206665,0.8023158243385644,73,0.08316143490977689,0.032572222596053885,141,-0.011738544633804419,0.7448145375629408,365,0.06952969311647302,0.018940480802750015,0.1619911070817522,0.16224947740390488,0.8395061728395061,0.204258600574659,0.20069433668844552,0.03752528271755165,0.1334217765879618
YEAR,2020,IC_WEIGHTED_MFE_RANK,30,True,7350,7301,245,12,382,30.0,612.5,0.36145733461169705,0.3098205725243117,0.2132584577455143,0.05548181758989129,0.10370076952185076,0.062200956937799035,-0.04706796899539702,-0.07362143542638644,1.4085676124250583,-0.003001563172150483,0.0027789480177818947,0.010654005611117257,0.026123932664350993,0.0026608289309524628,-0.003141197611913975,-0.05640607644403567,1.0662234790753358,0.9273877275474142,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.05043714537109624,0.027300325544958357,0.07112910733372664,0.039371876850689165,1.61346659040173,0.048273799434488306,1.8709442236947191,-0.026409609313060363,31,-0.003916557193287226,0.9098488429152489,74,0.09680116630096096,0.04137419621359851,155,-0.006868871027143583,0.8445893434068839,366,0.08019834120850965,0.024771371121147197,0.1982102624949811,0.2171720370860903,0.8612244897959184,0.2122158228055531,0.2114054776276142,0.04774065121147674,0.1351257912748395
YEAR,2021,IC_WEIGHTED_MFE_RANK,30,True,7320,7280,244,12,422,30.0,610.0,0.3600274725274725,0.30425824175824173,0.22280219780219782,0.056809839911569515,0.10441551422397774,0.0632057738602797,-0.05265471651118459,-0.0830886651407146,1.256675793829942,-0.003995918611062773,0.0003197274992743465,0.006210680405861717,0.0144182626683577,-0.0006746968530000063,-0.0064573288561197454,-0.05891153283668264,0.9843782343310842,0.8608726029728584,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.05540391370509492,0.029581941500188693,0.08071878915264442,0.04423680453226137,1.577417664917665,0.047891189508400434,1.8472669023359831,-0.03169790815271286,29,-0.007198699639841125,0.8455171281240766,73,0.0978569755712902,0.04133265085571289,145,-0.010102688799636274,0.786666367259203,364,0.08163652747626635,0.02511220276068904,0.18447749070817573,0.20539713410192081,0.8114754098360656,0.2082649860671937,0.20761338688807468,0.047679325334801244,0.13152881717210635
YEAR,2022,IC_WEIGHTED_MFE_RANK,30,True,7380,7368,246,12,376,30.0,615.0,0.2945168295331162,0.23737785016286644,0.14020086862106407,0.04239960427272275,0.07333618246915405,0.048266109198229046,-0.049003942387321996,-0.07785244609887823,0.9419894446991659,-0.0035005009545931273,-0.004089705192626515,-0.004457893923751812,-0.006182008172264615,-0.008814021998877519,-0.01454911139789056,-0.05966934970439573,0.7985002691189993,0.6916678382222273,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.048541934750209605,0.02651442286838009,0.06932267504552789,0.03835277613102303,1.8316521281294051,0.033447342227737036,1.8385137804284493,-0.02407424679460833,27,-0.015256662353058075,0.6778578888391269,74,0.0685812017128538,0.028692361471436785,132,-0.017885032947879968,0.6277617101726364,369,0.0566904846934935,0.016801644452076485,0.1463938659560723,0.14647425151226612,0.8089430894308943,0.19413327794432964,0.19188100785985834,0.032435686756052115,0.12852550609240776
YEAR,2023,IC_WEIGHTED_MFE_RANK,30,True,7170,7154,239,12,457,30.0,597.5,0.33463796477495106,0.26740285155157956,0.1666200726866089,0.04528257225594911,0.0808215659907772,0.05352368220015269,-0.03995548722029502,-0.061866669108971255,1.3063830193996544,-0.002847470803948825,0.0013651461958325874,0.005191855497172824,0.012272027303561863,0.0038641296324148813,-0.0019444636249776788,-0.05046907647141708,1.106447601053528,0.9506625534739592,0.18439071989771025,0.1365181110045593,0.06944093945052911,0.04619317696807214,-0.038511780502685215,0.04607301070031543,0.024075502568000416,0.06569956516324887,0.035221710351054265,1.814830838344737,0.034628389022705056,1.7496429407018173,-0.02335488860628604,31,-0.002723180832798703,0.9312033429495085,72,0.0760946643222102,0.029901487354138057,151,-0.00562210614603571,0.860359602345036,358,0.06409969526781895,0.017906518299746807,0.15603128794629892,0.16385921498740344,0.8284518828451883,0.20932879321264286,0.19974571253864998,0.03423826365914008,0.14845686272438205
