time_slice_type,time_slice,cohort,primary_final_candidate,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift
YEAR,2020,UNIVERSE,False,96599,96132,245,12,784,394.28163265306125,8049.916666666667,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.029839717272699635,0.05542697008736245,0.031908367053909426,-0.029053373815138898,-0.047211826113326076,1.17400606268262,-0.00231508318171868,3.838784580730914e-05,0.002760082976028564,0.008915578480827802,0.00313157629764061,-0.002673563052991513,-0.010646137498010487,1.112365621851413,0.9133324166373143,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.027300325544958357,0.027300325544958357,0.039371876850689165,0.039371876850689165,1.0,0.0,1.0,0.0,425,-0.003450052215910343,0.8886557871246301,962,0.050778797090298346,-0.004648172997064104,2124,-0.006206314533194241,0.8032580946093015,4807,0.04145515887885767,-0.013971811208504777
YEAR,2020,STAGE_A_TOP30,False,7350,7301,245,12,351,30.0,612.5,0.3837830434187098,0.3335159567182578,0.2325708807012738,0.059607056112702624,0.10961998056316072,0.06859205776173294,-0.04730937001141374,-0.07401475415700129,1.481055795046391,-0.002499339196678848,0.005153339880004066,0.01285662812905337,0.029788715392279223,0.005530782073589826,-0.00028799147081743194,-0.05600688912153467,1.1385927974481462,0.9932860627361337,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.04767273337368431,0.027300325544958357,0.06901353329223262,0.039371876850689165,1.7131236780241181,0.05419301047579827,1.9777371988831565,-0.026802928043675213,33,-0.0010970252906662087,0.9745406762929547,74,0.10289156556017696,0.047464595472814515,161,-0.004098924246219462,0.9065491172085318,366,0.08611300368634954,0.03068603359898709
YEAR,2020,NET_RIDGE_TOP10,False,2450,2429,245,12,276,10.0,204.16666666666666,0.13709345409633594,0.08480856319473035,0.02881844380403458,0.02108214628787709,0.03656925647852937,0.023255813953488413,-0.01731867534610269,-0.031319395487864804,1.1676233180394144,2.9263707346891426e-06,0.002196347552417928,0.003519758996092134,0.004644274141686882,0.005750639205673756,-7.089338624282805e-05,-0.003749693610396984,1.312219676852487,0.9966642135923425,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.016619096488740707,0.027300325544958357,0.024066048618145947,0.039371876850689165,0.6119552344534253,-0.01885771360883308,0.6597736881682316,0.015892430625461272,12,-0.0008725652373526185,0.9591455323199078,25,0.034139027245678126,-0.021287942841684324,57,-0.003170414013749014,0.8543214324035228,122,0.029124794340310307,-0.026302175747052143
YEAR,2020,TWO_STAGE_TOP3,False,735,734,245,12,199,3.0,61.25,0.4264305177111717,0.3583106267029973,0.2561307901907357,0.05829093584236666,0.11518394358722212,0.08356400103615436,-0.04645745003511153,-0.07052105986548224,1.633326892802428,-0.0022399089222795146,0.005499582820089526,0.013679516724362894,0.038839083651377296,0.014574448063223578,0.00870377672558852,-0.008971441277437008,1.4047574060552774,1.2245883935809814,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.043468867857286354,0.027300325544958357,0.06475859479909273,0.039371876850689165,1.90349268799268,0.059756973499859665,2.078120875192571,-0.023309233752156162,4,0.007777967749666105,1.1996055006896371,8,0.10943058341855036,0.05400361333118791,18,0.004619772149992394,1.1162832297814542,37,0.09469090442152459,0.039263934334162136
YEAR,2020,TWO_STAGE_TOP5,True,1225,1220,245,12,249,5.0,102.08333333333333,0.42295081967213116,0.3581967213114754,0.2540983606557377,0.06009133864510792,0.11498672012539965,0.07961050273768033,-0.04489314971742461,-0.07162073608837959,1.6054948106580011,-0.0015248606816531305,0.006740316611974041,0.015105142698265031,0.03705705407189199,0.013576157500791879,0.00771099167044211,-0.015287392195089466,1.3740854249598968,1.197433276622267,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.04360780508276253,0.027300325544958357,0.0646739039554446,0.039371876850689165,1.887960075999318,0.0595597500380372,2.0745626171548035,-0.02440890997505351,6,0.00686978394343393,1.175029823095138,13,0.10832418109903304,0.05289721101167059,30,0.0036209985805931845,1.090432722269443,61,0.09259177282616134,0.03716480273879889
YEAR,2020,TWO_STAGE_TOP10,False,2450,2438,245,12,308,10.0,204.16666666666666,0.40648072190319934,0.34618539786710417,0.2432321575061526,0.059807975561830186,0.11448692859400854,0.07257568543427373,-0.04620420704754044,-0.07289173151708478,1.5706435587577507,-0.002615213510951749,0.006090436552480688,0.013892657695093487,0.03510429037931087,0.01034622893875403,0.004499492721131224,-0.02742583490339151,1.2758466009016294,1.1114790071408727,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.04461122391422217,0.027300325544958357,0.0655551125924368,0.039371876850689165,1.8144411570392998,0.05905995850664609,2.065545499123575,-0.025679905403758703,12,0.003642689988217174,1.0898067222529964,25,0.10731846716319818,0.05189149707583573,57,0.0005639292589549927,1.0136451985931743,122,0.09025389009048762,0.03482692000312517
YEAR,2021,UNIVERSE,False,128800,128392,244,12,991,527.8688524590164,10733.333333333334,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.030528846159638544,0.05652432471557731,0.03139013452914785,-0.032182740044476243,-0.05139075698800174,1.0998928217534159,-0.0031529053869126973,-0.0013196265030544188,0.00042039505102533647,0.004416120876590585,0.0012479389022713521,-0.004546018539665951,-0.0154604175532991,1.0419893987861402,0.8613533416935297,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.029581941500188693,0.029581941500188693,0.04423680453226137,0.04423680453226137,1.0,0.0,1.0,0.0,547,-0.0053119965846227,0.8386823916640106,1284,0.051519494675288824,-0.005004830040288483,2735,-0.008084805182836252,0.7586782387843796,6420,0.0413007700016274,-0.015223554713949906
YEAR,2021,STAGE_A_TOP30,False,7320,7274,244,12,387,30.0,610.0,0.3740720373934561,0.3289799285125103,0.2464943634863899,0.06285607391225048,0.11466483349801337,0.06853345280764622,-0.05550654785375967,-0.08612050738125447,1.331446330087136,-0.004358690715925309,0.0023731643302785928,0.008692809901202223,0.021846659675884422,0.00032296700136193375,-0.005465881183043823,-0.05949637242466821,1.0073098341076328,0.8846182310800393,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.051858530703514115,0.029581941500188693,0.07821194897897159,0.04423680453226137,1.6389522599310886,0.05814050878243607,2.028592717825311,-0.03472975039325273,30,-0.006225233419505174,0.8691306964489606,73,0.107910356169388,0.051386031453810696,147,-0.009141592992976035,0.8109257659944492,364,0.09050675809840422,0.033982433382826915
YEAR,2021,NET_RIDGE_TOP10,False,2440,2432,244,12,351,10.0,203.33333333333334,0.1377467105263158,0.09375,0.03741776315789474,0.021157233134131915,0.03823882772574348,0.024331044281316605,-0.015844314136249656,-0.02543600147999452,1.5033348600729726,-8.967336941234127e-07,0.0027109768548061164,0.005065062435870832,0.011897111215237594,0.008525569453412615,0.0026887404795527385,-0.00028546619788493517,1.5210699966843473,1.1416186413802782,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.016917213722285076,0.029581941500188693,0.025263060296086024,0.04423680453226137,0.6035208728465308,-0.018285496989833824,0.6765021593474323,0.02595475550800722,13,0.001927086457698006,1.1009589988496935,25,0.03565539131621235,-0.020868933399364957,61,-0.00038101202806977997,0.9804350740981433,122,0.030250733000517102,-0.026273591715060204
YEAR,2021,TWO_STAGE_TOP3,False,732,720,244,12,203,3.0,61.0,0.3736111111111111,0.30694444444444446,0.225,0.060305023275531354,0.10835943896286866,0.0666842933398909,-0.05713631291706655,-0.09038607403896495,1.1988510411034723,-0.004638629935178712,0.000632851823443391,0.003358552648335136,0.009214389659786043,0.0011415053061597995,-0.004652538048385409,-0.058329517240576965,1.0263082838811057,0.899968369400815,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.04914848828272949,0.029581941500188693,0.07487624314740055,0.04423680453226137,1.6369327660994328,0.051835114247291356,1.9170408405251824,-0.038995317050963214,3,-0.005410262651121714,0.8841616338843412,8,0.1010670998452083,0.04454277512963099,15,-0.008356513706232877,0.8240743496574626,36,0.0838688793056209,0.02734455459004359
