stock_id,stock_name,period,median_er10,median_er20,p75_er20,median_abs_day5_close_displacement,median_abs_day10_close_displacement,median_daily_range_pct,swing_persistence
1476,儒鴻,HISTORICAL_DISCOVERY,0.29083032673024106,0.21289923046411402,0.3457179392378859,0.030575539568345356,0.04567699836867867,2.748414376321353,0.5255515790095375
1477,聚陽,HISTORICAL_DISCOVERY,0.2822019858040972,0.23904368645238208,0.36178512275875896,0.030927835051546393,0.043333333333333224,2.8735632183908044,0.47687147115339035
1513,中興電,HISTORICAL_DISCOVERY,0.3508306474206519,0.24589178833031197,0.40034604075834646,0.0295918367346939,0.04799999999999993,2.758620689655175,0.5502363128692966
1590,亞德客-KY,HISTORICAL_DISCOVERY,0.2504499796922885,0.2050139054891296,0.3300371634592528,0.035580524344569264,0.05226960110041268,3.526734926052332,0.46867994145158737
1605,華新,HISTORICAL_DISCOVERY,0.28448732524639714,0.22088408042971372,0.3682708476341358,0.030120481927710774,0.04444444444444451,2.819548872180451,0.49846865635839416
1760,寶齡富錦,HISTORICAL_DISCOVERY,0.2717466120082085,0.217350192922267,0.3439517729459121,0.0427553444180524,0.06390532544378702,4.417670682730924,0.4574500851922975
1785,光洋科,HISTORICAL_DISCOVERY,0.27367835230153814,0.1633678116292171,0.31060288141345055,0.032258064516129004,0.04432989690721645,2.77185501066099,0.5057387277764902
1795,美時,HISTORICAL_DISCOVERY,0.27938285217861186,0.2272367554212709,0.3775754891902151,0.03818369453044379,0.05414364640883984,3.5294117647058822,0.48511552318973533
2014,中鴻,HISTORICAL_DISCOVERY,0.2965506284653338,0.23815947971902962,0.3770613244751918,0.03972602739726039,0.061302681992337016,3.1936127744511005,0.6070119186759972
2027,大成鋼,HISTORICAL_DISCOVERY,0.2759413631252116,0.22146647968427197,0.3563521373223635,0.03089430894308942,0.04810996563573888,2.7397260273972575,0.5553003038989847
2049,上銀,HISTORICAL_DISCOVERY,0.30876714426009066,0.2120036819489846,0.35962964005243636,0.032478632478632585,0.04684684684684681,2.67639902676399,0.5535151363891774
2301,光寶科,HISTORICAL_DISCOVERY,0.2975697235656556,0.20846481874083758,0.3617617534365287,0.017628205128205177,0.028286189683860208,1.7021276595744619,0.5255116161552708
2303,聯電,HISTORICAL_DISCOVERY,0.29843126593027625,0.2159118907869184,0.3661731436393405,0.03189792663476876,0.0497787610619469,2.5270758122743655,0.6229107306257725
2308,台達電,HISTORICAL_DISCOVERY,0.3148679606357659,0.19752628665641017,0.3575176200705261,0.026881720430107503,0.04026845637583898,2.2494887525562373,0.5660843596665062
2313,華通,HISTORICAL_DISCOVERY,0.287383869605953,0.17147629916207935,0.2950903675769878,0.032258064516129004,0.04780876494023911,2.780996523754352,0.5436345858018543
2327,國巨*,HISTORICAL_DISCOVERY,0.3034420413625803,0.19874247492399652,0.34049106177775235,0.03436426116838498,0.050193050193050204,2.6813880126182967,0.5919485004566837
2337,旺宏,HISTORICAL_DISCOVERY,0.2635161663927809,0.17099284485602478,0.27579117415987187,0.03040935672514611,0.04018912529550844,2.5412960609911055,0.500095896163037
2338,光罩,HISTORICAL_DISCOVERY,0.333655727681462,0.19422859816679666,0.36652706554685166,0.04504504504504492,0.06678700361010836,3.7151702786377685,0.5684774415865276
2344,華邦電,HISTORICAL_DISCOVERY,0.2613461698794281,0.1925316445273671,0.3403152531201172,0.03321033210332103,0.05035971223021585,2.9827315541601234,0.5339112490227497
2345,智邦,HISTORICAL_DISCOVERY,0.24310893843543188,0.16923400059085542,0.30803960582668444,0.035820895522387985,0.0505050505050505,3.3674963396778916,0.4742722094631099
2347,聯強,HISTORICAL_DISCOVERY,0.3021339060372352,0.2524756645464979,0.3903522217670347,0.017045454545454586,0.026990553306342813,1.7114914425427767,0.49869734451855663
2351,順德,HISTORICAL_DISCOVERY,0.25863936555581435,0.18415268622231723,0.2961063047169997,0.04179566563467485,0.06107660455486541,4.019292604501608,0.48053526117125944
2353,宏碁,HISTORICAL_DISCOVERY,0.2640331682918903,0.2109032363453256,0.33252779074746236,0.020979020979021046,0.0308056872037914,2.005730659025796,0.4856890231612676
2357,華碩,HISTORICAL_DISCOVERY,0.27381543594008767,0.204122211475542,0.37115691982128984,0.018005540166204925,0.027137042062415295,1.6215442115543537,0.529216911050279
2368,金像電,HISTORICAL_DISCOVERY,0.2795472124400006,0.1683934033376891,0.3296008700284224,0.0432098765432099,0.060781670444687574,3.9548022598870016,0.4860129684472366
2371,大同,HISTORICAL_DISCOVERY,0.3137853194429172,0.19701841555618238,0.3068426405111139,0.032786885245901565,0.04819277108433728,2.6365348399246678,0.5780273451116725
2376,技嘉,HISTORICAL_DISCOVERY,0.29516031987772395,0.22258600565007794,0.37700608553657744,0.03482587064676612,0.054982817869415834,3.16821744949334,0.5487973581780689
2377,微星,HISTORICAL_DISCOVERY,0.28609225509922553,0.21285993851535676,0.3483426059809933,0.028112449799196804,0.04385964912280693,2.9629629629629632,0.4681003115380815
2379,瑞昱,HISTORICAL_DISCOVERY,0.32091134151828576,0.246446047964893,0.3961289722115737,0.03296703296703307,0.05339105339105332,2.9504741833508956,0.5722379688800874
2383,台光電,HISTORICAL_DISCOVERY,0.2670774578250168,0.18104647769854165,0.30518293534176066,0.02857142857142858,0.04601226993865026,3.1609195402298855,0.46032039559617743
2395,研華,HISTORICAL_DISCOVERY,0.23784167816298918,0.17627541171102892,0.28011014675296453,0.02083333333333326,0.03157894736842115,2.295918367346939,0.4349518746617574
2408,南亞科,HISTORICAL_DISCOVERY,0.29158603844103836,0.1881203779532352,0.32193925860128414,0.032136105860113395,0.04528301886792452,2.5512576130921882,0.561281927062873
2409,友達,HISTORICAL_DISCOVERY,0.2685352632552698,0.20736252511127218,0.35306250947815165,0.03812905390292992,0.05175877933725476,3.105590062111801,0.5270355338028291
2449,京元電子,HISTORICAL_DISCOVERY,0.2898868261302151,0.22418678216567284,0.37454508574852075,0.02483069977426622,0.0387811634349029,2.086049543676655,0.5878901924322723
