stock_id,stock_name,eligible,failure_reasons,data_quality_pass,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,median_atr14_pct,p75_atr14_pct,median_daily_range_pct,p75_daily_range_pct,median_abs_close_return_pct,p90_abs_close_return_pct,abs_return_ge_5pct_rate,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,median_er10,median_er20,p75_er20,coverage_2020,sessions_2020,coverage_2021,sessions_2021,coverage_2022,sessions_2022
1101,台泥,False,DAILY_MOVEMENT,True,735,735,1.0,0,0,43.0,693768814.5,1.3532183295360838,1.8285510112609495,1.1695906432748566,1.6512975239390346,0.5934718100890302,1.91752422747443,0.013605442176870748,0.24449877750611915,1.527793461395292,0.31456343693100464,0.23854893535382662,0.395505557537038,1.0,245,1.0,244,1.0,246
1102,亞泥,False,DAILY_MOVEMENT,True,735,735,1.0,0,1,44.0,290531750.40000004,1.5311355692398059,1.8950716370214442,1.283554248446107,1.8057558680556287,0.6119960209022501,1.9064946416356432,0.006811989100817439,0.23739081431389253,1.4803874780663817,0.3112062457857939,0.2408031626541618,0.36114900710627895,1.0,245,1.0,244,1.0,246
1103,嘉泥,False,TURNOVER|DAILY_MOVEMENT,True,735,735,1.0,0,0,18.2,13021116.0,1.8777485270418732,2.288721493985753,1.4778325123152742,2.2111670659561002,0.6696428571428492,2.4163346322810453,0.02312925170068027,0.2941176470588225,1.915720891130734,0.31651161056788196,0.22487430432017394,0.36940715059379264,1.0,245,1.0,244,1.0,246
1104,環泥,False,TURNOVER|DAILY_MOVEMENT,True,735,735,1.0,0,0,21.25,10211814.5,1.3863946228735695,1.9059823118721717,1.240694789081886,1.7794741306191604,0.5524861878453136,2.055850970172921,0.013605442176870748,0.24937655860349794,1.4094449047224522,0.3109298370481613,0.22570868284702478,0.4087054006803573,1.0,245,1.0,244,1.0,246
1108,幸福,False,TURNOVER,True,735,735,1.0,0,0,11.25,3035992.5,2.1075014052269165,2.957805862324177,1.7467248908296884,2.649019531402283,0.8583690987124415,2.9272437599575145,0.04217687074829932,0.42016806722690037,1.6849451645064855,0.28935026099118666,0.21361877132076448,0.34961565371288605,1.0,245,1.0,244,1.0,246
1109,信大,False,TURNOVER|DAILY_MOVEMENT,True,735,735,1.0,0,0,19.85,5634435.0,1.6985661987267007,2.327915007740015,1.4150943396226447,2.2348361727935084,0.7159904534606132,2.37419790611281,0.017687074829931974,0.27932960893854997,1.699069107519819,0.3396548399839546,0.24155082940725361,0.43943082651061327,1.0,245,1.0,244,1.0,246
1110,東泥,False,TURNOVER,True,735,735,1.0,0,0,17.65,2213881.95,2.290881524883108,3.202376784004928,1.9444444444444524,2.9750170977994177,0.7263922518159882,2.882601691502225,0.02585034013605442,0.3058103975535076,1.9039372949325573,0.22063484097224778,0.15511328901742863,0.249503615002552,1.0,245,1.0,244,1.0,246
1201,味全,False,TURNOVER|DAILY_MOVEMENT,True,735,735,1.0,0,0,21.25,20067732.65,1.4697248048941047,2.0429128483188554,1.3333333333333335,1.8890859009958336,0.5000000000000115,1.9480656234863039,0.014965986394557823,0.2421307506053294,1.3410874439461782,0.30863663493388543,0.199811783833245,0.34303552234707,1.0,245,1.0,244,1.0,246
1203,味王,False,TURNOVER|DAILY_MOVEMENT,True,733,735,0.9972789115646259,1,0,33.1,1155425.4000000001,1.4316496742418414,1.762383660332987,1.0802469135802293,1.7373051876783525,0.4672897196261738,1.6981132075471694,0.008207934336525308,0.26420079260238705,1.8927633150226886,0.2357354919744462,0.17939266127349912,0.3101507751131061,1.0,245,1.0,244,0.991869918699187,244
1210,大成,False,TURNOVER|DAILY_MOVEMENT,True,735,735,1.0,0,0,48.45,80178148.8,1.5076370750910084,1.9983325602428077,1.2797074954296082,1.8392948136495562,0.5964214711729587,1.9913227432358818,0.010884353741496598,0.21551724137931494,1.3732843137254847,0.3317657631832,0.22250402381899226,0.3695754834743715,1.0,245,1.0,244,1.0,246
