period,stock_id,stock_name,forward_evaluable_observations,median_mfe5,median_mae5,median_mfe10,p75_mfe10,median_mae10,median_day5_close_return,median_day10_close_return,median_abs_day5_close_displacement,median_abs_day10_close_displacement,up8_before_down5_rate,up10_before_down5_rate,down5_before_up8_rate,down5_before_up10_rate,swing_persistence,up5_raw_hit_count,up5_raw_hit_rate,up5_deoverlapped_episode_count,up5_episodes_per_year,up5_episodes_per_252_sessions,up8_raw_hit_count,up8_raw_hit_rate,up8_deoverlapped_episode_count,up8_episodes_per_year,up8_episodes_per_252_sessions,up10_raw_hit_count,up10_raw_hit_rate,up10_deoverlapped_episode_count,up10_episodes_per_year,up10_episodes_per_252_sessions,up15_raw_hit_count,up15_raw_hit_rate,up15_deoverlapped_episode_count,up15_episodes_per_year,up15_episodes_per_252_sessions,top1_removed_observations,top1_median_mfe10,top1_p75_mfe10,top1_up8_raw_hit_rate,top1_up10_raw_hit_rate,top5_removed_observations,top5_median_mfe10,top5_p75_mfe10,top5_up8_raw_hit_rate,top5_up10_raw_hit_rate,tail_dependent_swing_profile
HISTORICAL_DISCOVERY,1476,儒鴻,725,0.01772679874869665,-0.01830282861896837,0.035502958579881616,0.07465825446898,-0.028124999999999956,0.003236245954692629,0.006321112515802696,0.030575539568345356,0.04567699836867867,0.2082758620689655,0.11586206896551725,0.31448275862068964,0.31448275862068964,0.5255515790095375,150,0.20689655172413793,36,12.0,12.342857142857142,156,0.21517241379310345,32,10.666666666666666,10.971428571428572,86,0.11862068965517242,20,6.666666666666667,6.857142857142857,24,0.03310344827586207,6,2.0,2.0571428571428574,8,0.03430079155672816,0.07362637362637359,0.20641562064156208,0.1087866108786611,37,0.03204181544157059,0.068387314439946,0.17296511627906977,0.07122093023255814,True
HISTORICAL_DISCOVERY,1477,聚陽,725,0.019607843137254832,-0.01680672268907568,0.03316326530612246,0.0714285714285714,-0.027722772277227747,0.0,0.005390835579514919,0.030927835051546393,0.043333333333333224,0.2096551724137931,0.12827586206896552,0.3006896551724138,0.3006896551724138,0.47687147115339035,148,0.20413793103448277,33,11.0,11.314285714285713,156,0.21517241379310345,25,8.333333333333334,8.571428571428573,97,0.13379310344827586,20,6.666666666666667,6.857142857142857,25,0.034482758620689655,7,2.3333333333333335,2.4000000000000004,8,0.032786885245901676,0.06866952789699576,0.20641562064156208,0.12412831241283125,37,0.030965351928524676,0.060682506626278,0.17296511627906977,0.0872093023255814,True
HISTORICAL_DISCOVERY,1513,中興電,725,0.016717325227963764,-0.015479876160990558,0.03416149068322971,0.0796645702306078,-0.0248508946322068,0.003030303030303161,0.010706638115631772,0.0295918367346939,0.04799999999999993,0.24,0.15586206896551724,0.3020689655172414,0.3062068965517241,0.5502363128692966,169,0.23310344827586207,35,11.666666666666666,12.0,178,0.24551724137931036,28,9.333333333333334,9.600000000000001,116,0.16,20,6.666666666666667,6.857142857142857,48,0.06620689655172414,10,3.3333333333333335,3.4285714285714284,8,0.03362831858407067,0.0786026200873362,0.23709902370990238,0.1506276150627615,37,0.03113146518284049,0.07078731237609742,0.20494186046511628,0.11482558139534883,True
HISTORICAL_DISCOVERY,1590,亞德客-KY,725,0.026415094339622636,-0.02339776195320442,0.046242774566473965,0.09221556886227544,-0.036832412523020275,0.004672897196261738,0.008333333333333304,0.035580524344569264,0.05226960110041268,0.28551724137931034,0.19586206896551725,0.3875862068965517,0.3917241379310345,0.46867994145158737,211,0.2910344827586207,46,15.333333333333334,15.771428571428572,223,0.30758620689655175,39,13.0,13.37142857142857,153,0.2110344827586207,29,9.666666666666666,9.942857142857141,62,0.08551724137931034,14,4.666666666666667,4.800000000000001,8,0.045510455104551095,0.09036144578313254,0.299860529986053,0.20223152022315202,37,0.04391210647039556,0.083126417250519,0.2703488372093023,0.1686046511627907,False
HISTORICAL_DISCOVERY,1605,華新,725,0.01780415430267035,-0.018018018018018056,0.03148614609571787,0.0827679782903663,-0.028955532574974074,0.0,0.005449591280653809,0.030120481927710774,0.04444444444444451,0.2537931034482759,0.1986206896551724,0.27034482758620687,0.2731034482758621,0.49846865635839416,174,0.24,33,11.0,11.314285714285713,190,0.2620689655172414,30,10.0,10.285714285714285,147,0.20275862068965517,26,8.666666666666666,8.914285714285715,75,0.10344827586206896,13,4.333333333333333,4.457142857142857,8,0.03081232492997188,0.08042895442359255,0.25383542538354253,0.19386331938633194,37,0.028571428571428692,0.07027957922590417,0.22238372093023256,0.15988372093023256,False
HISTORICAL_DISCOVERY,1760,寶齡富錦,703,0.016949152542372836,-0.033775633293124385,0.03200000000000003,0.1095890410958904,-0.05292479108635095,-0.01132075471698124,-0.013106159895150737,0.0427553444180524,0.06390532544378702,0.26884779516358465,0.21906116642958748,0.49786628733997157,0.5078236130867709,0.4574500851922975,198,0.28165007112375534,37,12.333333333333334,12.720327421555254,221,0.31436699857752487,32,10.666666666666666,11.001364256480219,182,0.25889046941678523,29,9.666666666666666,9.969986357435198,117,0.16642958748221906,18,6.0,6.188267394270123,8,0.031187122736418438,0.10004971764132009,0.3064748201438849,0.2503597122302158,36,0.029368575624082238,0.08833330624055136,0.2773613193403298,0.21889055472263869,False
HISTORICAL_DISCOVERY,1785,光洋科,725,0.015473887814313247,-0.02316602316602312,0.029333333333333433,0.06783625730994158,-0.036608863198458574,-0.0044893378226710245,-0.005599104143337086,0.032258064516129004,0.04432989690721645,0.18068965517241378,0.1393103448275862,0.38620689655172413,0.38620689655172413,0.5057387277764902,148,0.20413793103448277,36,12.0,12.342857142857142,139,0.1917241379310345,27,9.0,9.257142857142858,108,0.1489655172413793,20,6.666666666666667,6.857142857142857,56,0.07724137931034483,11,3.6666666666666665,3.7714285714285714,8,0.028865979381443196,0.06666666666666665,0.18270571827057183,0.1394700139470014,37,0.026076777263083883,0.05925559651173251,0.14825581395348839,0.10319767441860465,True
HISTORICAL_DISCOVERY,1795,美時,725,0.018094089264173663,-0.02506265664160401,0.03370786516853941,0.09322033898305104,-0.040000000000000036,-0.005767012687427964,-0.0037359900373599153,0.03818369453044379,0.05414364640883984,0.25655172413793104,0.2082758620689655,0.4096551724137931,0.416551724137931,0.48511552318973533,191,0.263448275862069,38,12.666666666666666,13.028571428571428,206,0.28413793103448276,29,9.666666666666666,9.942857142857141,164,0.22620689655172413,26,8.666666666666666,8.914285714285715,111,0.15310344827586206,16,5.333333333333333,5.485714285714286,8,0.03325688073394484,0.09124087591240881,0.27615062761506276,0.2175732217573222,37,0.030552378803341607,0.07684470184470205,0.24563953488372092,0.18459302325581395,False
HISTORICAL_DISCOVERY,2014,中鴻,725,0.019512195121951237,-0.02392344497607657,0.034324942791762014,0.10054347826086962,-0.038130381303812966,-0.0021413276231262435,0.0,0.03972602739726039,0.061302681992337016,0.2979310344827586,0.23724137931034484,0.40413793103448276,0.40551724137931033,0.6070119186759972,209,0.2882758620689655,40,13.333333333333334,13.714285714285714,232,0.32,35,11.666666666666666,12.0,184,0.2537931034482759,26,8.666666666666666,8.914285714285715,113,0.15586206896551724,19,6.333333333333333,6.514285714285714,8,0.033557046979865834,0.09848484848484862,0.3124128312412831,0.24546722454672246,37,0.02955260834516915,0.09030696820792139,0.28343023255813954,0.2136627906976744,False
HISTORICAL_DISCOVERY,2027,大成鋼,725,0.01632653061224487,-0.021590909090909105,0.029629629629629672,0.07009345794392519,-0.03599999999999992,-0.00312989045383405,-0.008805031446540879,0.03089430894308942,0.04810996563573888,0.2013793103448276,0.16,0.38068965517241377,0.3820689655172414,0.5553003038989847,145,0.2,32,10.666666666666666,10.971428571428572,153,0.2110344827586207,25,8.333333333333334,8.571428571428573,122,0.16827586206896553,21,7.0,7.2,73,0.1006896551724138,11,3.6666666666666665,3.7714285714285714,8,0.028813559322034,0.06765327695560264,0.20223152022315202,0.1589958158995816,37,0.026662548027284516,0.05977230715061188,0.1686046511627907,0.12354651162790697,True
