stock_id,stock_name,period,threshold_id,threshold_return,threshold_horizon_sessions,episode_ordinal,signal_date,entry_date,first_hit_day,cooldown_sessions,blocked_through_calendar_index,mfe10,mae10
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,2,20200407,20200408,5,10,310,0.15537848605577698,0.043824701195219085
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,3,20200424,20200427,4,10,323,0.08303249097472931,-0.012635379061371799
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,4,20200512,20200513,7,10,334,0.17100371747211907,-0.022304832713754608
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,5,20200528,20200529,7,10,346,0.1217948717948718,-0.009615384615384581
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,6,20200722,20200723,10,10,383,0.10889570552147232,-0.0030674846625766694
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,7,20200806,20200807,4,10,394,0.08402203856749302,0.019283746556473913
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,8,20200924,20200925,10,10,429,0.09857142857142853,0.0028571428571428914
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,9,20201023,20201026,10,10,447,0.08179419525065956,-0.02242744063324542
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,10,20201224,20201225,9,10,491,0.09624999999999995,-0.011249999999999982
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,11,20210129,20210201,10,10,516,0.08765432098765435,0.0
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,12,20210224,20210225,10,10,527,0.09161147902869748,-0.07174392935982343
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,13,20210323,20210324,10,10,545,0.098901098901099,0.03406593406593417
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,14,20210409,20210412,9,10,556,0.10200000000000009,-0.014000000000000012
1476,儒鴻,HISTORICAL_DISCOVERY,UP8_10D,0.08,10,15,20210426,20210427,9,10,567,0.1558441558441559,-0.020408163265306145
