period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,median_atr14_pct,p75_atr14_pct,median_daily_range_pct,p75_daily_range_pct,median_abs_close_return_pct,p90_abs_close_return_pct,abs_return_ge_5pct_rate,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,median_er10,median_er20,p75_er20,forward_evaluable_observations,median_mfe5,median_mae5,median_mfe10,p75_mfe10,median_mae10,median_day5_close_return,median_day10_close_return,median_abs_day5_close_displacement,median_abs_day10_close_displacement,up8_before_down5_rate,up10_before_down5_rate,down5_before_up8_rate,down5_before_up10_rate,swing_persistence,up5_raw_hit_count,up5_raw_hit_rate,up5_deoverlapped_episode_count,up5_episodes_per_year,up5_episodes_per_252_sessions,up8_raw_hit_count,up8_raw_hit_rate,up8_deoverlapped_episode_count,up8_episodes_per_year,up8_episodes_per_252_sessions,up10_raw_hit_count,up10_raw_hit_rate,up10_deoverlapped_episode_count,up10_episodes_per_year,up10_episodes_per_252_sessions,up15_raw_hit_count,up15_raw_hit_rate,up15_deoverlapped_episode_count,up15_episodes_per_year,up15_episodes_per_252_sessions,up8_episode_retention,up10_episode_retention,median_mfe10_retention,normal_liquidity_gate_pass,severe_tradability_gate_pass,persistent_character_gate_pass,period_character_status
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,3228,金麗科,243,243,1.0,0,0,157.0,44795000.0,4.0512408681432275,4.887785099456117,3.5264483627204033,4.90016428661696,1.8087855297157618,5.782266257956394,0.11522633744855967,0.7299270072992803,3.2874373519854525,0.2624974611254261,0.1992692719693895,0.2934268672002032,233,0.011278195488721776,-0.03717472118959109,0.020547945205479534,0.07301587301587298,-0.060810810810810856,-0.023026315789473673,-0.030612244897959218,0.04289544235924936,0.05896805896805901,0.21030042918454936,0.17167381974248927,0.575107296137339,0.5793991416309013,0.528785214918995,58,0.24892703862660945,12,12.0,12.444444444444443,54,0.2317596566523605,9,9.0,9.333333333333332,45,0.19313304721030042,7,7.0,7.2592592592592595,25,0.1072961373390558,5,5.0,5.185185185185185,0.5671296296296295,0.5041152263374485,0.24908118944203245,False,False,False,LOST_TRADABILITY
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,3661,世芯-KY,243,243,1.0,0,0,3200.0,7005271630.0,4.648279739911336,5.208082909551816,3.7398373983739837,4.982876712328767,2.2260273972602773,5.994630538628674,0.15637860082304528,1.1570247933884392,4.306383507203171,0.2789869252199658,0.24611447713351708,0.33701170538748276,233,0.02759526938239154,-0.03392330383480824,0.04081632653061229,0.12241054613935964,-0.05444646098003625,-0.0018018018018017834,-0.010510510510510551,0.0482758620689655,0.06854838709677424,0.34334763948497854,0.296137339055794,0.5150214592274678,0.5150214592274678,0.5796215451798813,79,0.33905579399141633,16,16.0,16.592592592592595,85,0.3648068669527897,14,14.0,14.518518518518519,71,0.30472103004291845,12,12.0,12.444444444444443,36,0.15450643776824036,8,8.0,8.296296296296298,0.8822016460905349,0.7890499194847019,0.5685809207403903,True,True,False,REGIME_SHIFT
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,5351,鈺創,243,243,1.0,0,0,32.7,95033000.0,4.914495636127649,5.516297432164836,3.6753445635528417,5.499412426044528,1.7543859649122862,5.353571547062135,0.11934156378600823,0.7650273224043769,4.487630419244191,0.3097999617848599,0.19753995438838368,0.33350889782763493,233,0.02146690518783556,-0.029027576197387495,0.05368098159509205,0.10396975425330823,-0.04017857142857151,-0.003759398496240629,0.017060367454068137,0.0426179604261796,0.06644518272425248,0.3090128755364807,0.2317596566523605,0.4206008583690987,0.4334763948497854,0.5716963765476042,73,0.3133047210300429,13,13.0,13.481481481481481,86,0.36909871244635195,11,11.0,11.407407407407408,62,0.26609442060085836,11,11.0,11.407407407407408,29,0.12446351931330472,7,7.0,7.2592592592592595,0.8037739636655625,0.9415637860082304,0.8546523230208756,False,False,False,LOST_TRADABILITY
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,8046,南電,243,243,1.0,0,0,143.5,1074152152.5,4.953955392929651,5.947348814009628,4.220183486238533,5.732482912387149,2.17821782178218,7.059648529908756,0.17695473251028807,0.995024875621886,4.26606479022835,0.29099638046561893,0.21529720971666805,0.40607233751128013,233,0.035502958579881616,-0.029761904761904767,0.06382978723404253,0.11707317073170742,-0.04398826979472137,0.007547169811320753,0.01919720767888311,0.04477611940298498,0.06361323155216281,0.37339055793991416,0.26180257510729615,0.38197424892703863,0.40772532188841204,0.4766681393936734,93,0.39914163090128757,17,17.0,17.62962962962963,96,0.41201716738197425,16,16.0,16.592592592592595,67,0.2875536480686695,12,12.0,12.444444444444443,47,0.2017167381974249,6,6.0,6.222222222222221,1.1803673592291481,1.008230452674897,0.9685476410730789,True,True,True,MAINTAINED_HIGH_UPSIDE
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,6415,矽力*-KY,243,243,1.0,0,0,347.5,724427320.0,4.16113076089644,4.579618585122155,3.6674816625916873,4.6651469397395235,1.724137931034475,5.258672920942048,0.1111111111111111,0.7317073170731714,3.794846050870146,0.29582072219566463,0.19841977506872346,0.31239083826436054,233,0.007802340702210753,-0.04384133611691021,0.014613778705636848,0.048648648648648596,-0.07021791767554475,-0.025675675675675635,-0.04166666666666663,0.04142857142857148,0.05920205920205923,0.0944206008583691,0.0815450643776824,0.6995708154506438,0.6995708154506438,0.5104683989567388,46,0.19742489270386265,10,10.0,10.37037037037037,36,0.15450643776824036,7,7.0,7.2592592592592595,30,0.12875536480686695,6,6.0,6.222222222222221,15,0.06437768240343347,3,3.0,3.1111111111111107,0.4571479692252639,0.4291593180482069,0.2122314027986071,True,True,False,REGIME_SHIFT
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,3529,力旺,243,243,1.0,0,0,2265.0,1478390000.0,4.4479382400592975,4.856730556737516,3.669724770642202,4.899654311503745,1.8779342723004744,6.140875517924698,0.14814814814814814,0.9560229445506607,4.020324423347085,0.26527085914214965,0.14172686462220915,0.2865878564858838,233,0.015151515151515138,-0.04299065420560744,0.028790786948176494,0.07309486780715391,-0.06999999999999995,-0.026378896882493952,-0.034220532319391594,0.048355899419729176,0.06738544474393526,0.2145922746781116,0.1630901287553648,0.6223175965665236,0.6266094420600858,0.5806743008058508,51,0.21888412017167383,12,12.0,12.444444444444443,54,0.2317596566523605,10,10.0,10.37037037037037,42,0.18025751072961374,8,8.0,8.296296296296298,21,0.09012875536480687,3,3.0,3.1111111111111107,0.6874298540965208,0.6204495093383984,0.4142674344209835,True,True,False,REGIME_SHIFT
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,6531,愛普*,243,243,1.0,0,0,309.0,667422096.0,3.913905563281034,4.787430966716011,3.28515111695138,4.4925249169435215,1.7770597738287597,5.225126411914165,0.10699588477366255,0.994035785288272,3.4090918215359665,0.29869635611935774,0.2037819400438241,0.3006570609621291,233,0.020380434782608647,-0.02593192868719607,0.05744125326370764,0.10485133020344284,-0.037701974865350096,0.0026385224274405594,0.023225806451612874,0.043199999999999905,0.05759803921568629,0.33476394849785407,0.26180257510729615,0.4291845493562232,0.4334763948497854,0.5544371817217767,74,0.31759656652360513,16,16.0,16.592592592592595,88,0.3776824034334764,13,13.0,13.481481481481481,67,0.2875536480686695,13,13.0,13.481481481481481,21,0.09012875536480687,7,7.0,7.2592592592592595,0.9512195121951219,1.0833333333333335,1.008968100805994,True,True,True,MAINTAINED_HIGH_UPSIDE
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,3552,同致,243,243,1.0,0,0,65.8,9395100.0,3.0521277664469832,3.8135745203919407,2.5411061285500787,3.6719151258346225,1.4639639639639657,3.7243117689335263,0.06172839506172839,0.5076142131979822,2.5961159305993644,0.3178928894994419,0.243639340455752,0.34462150073252773,233,0.010654490106544845,-0.029180695847362492,0.02153846153846173,0.05633802816901401,-0.045534150612959734,-0.013745704467354014,-0.021638330757341673,0.03230769230769237,0.04903677758318725,0.16738197424892703,0.12875536480686695,0.4721030042918455,0.4721030042918455,0.6102378194114949,42,0.18025751072961374,9,9.0,9.333333333333332,41,0.1759656652360515,8,8.0,8.296296296296298,32,0.13733905579399142,6,6.0,6.222222222222221,12,0.05150214592274678,3,3.0,3.1111111111111107,0.5499438832772167,0.5185185185185185,0.43651282051282375,False,False,False,LOST_TRADABILITY
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,6533,晶心科,243,243,1.0,0,0,282.0,153666680.0,3.8573810692031363,4.32414701928252,3.0852994555353903,4.144936393680113,1.5748031496062964,4.489139821281065,0.07407407407407407,0.723327305605781,3.557999759586487,0.2741933401477927,0.17343068459573743,0.3462837328936391,233,0.01132075471698113,-0.032761310452418146,0.021356783919598055,0.05853658536585371,-0.053892215568862256,-0.014519056261342977,-0.0212389380530974,0.03646833013435691,0.05242718446601935,0.18454935622317598,0.12446351931330472,0.5236051502145923,0.5364806866952789,0.5373524243326661,40,0.17167381974248927,10,10.0,10.37037037037037,44,0.1888412017167382,8,8.0,8.296296296296298,29,0.12446351931330472,6,6.0,6.222222222222221,16,0.06866952789699571,5,5.0,5.185185185185185,0.5627332759115706,0.47758284600389855,0.41005025125628325,False,True,False,REGIME_SHIFT
STRESS_PREVALENCE_SEEN_NOT_BLIND,20250101,20251231,2603,長榮,243,243,1.0,0,1,199.5,2124078082.0,2.349812128194915,2.7738854587166566,1.8867924528301887,2.5137741046831956,0.991327420583249,2.7204728045064197,0.04132231404958678,0.4932189989661273,1.7855895673050726,0.2479100595630021,0.1943488209782841,0.33233436074674183,223,0.010869565217391353,-0.019073569482288777,0.01790281329923271,0.047091412742382266,-0.02452316076294281,-0.005376344086021501,-0.002762430939226568,0.022026431718061623,0.029891304347826053,0.06278026905829596,0.053811659192825115,0.242152466367713,0.242152466367713,0.5009804010538487,20,0.08968609865470852,5,5.0,5.185185185185185,16,0.07174887892376682,3,3.0,3.1111111111111107,14,0.06278026905829596,2,2.0,2.0740740740740744,10,0.04484304932735426,2,2.0,2.0740740740740744,0.23045267489711932,0.15767814598223956,0.3111059583308258,True,True,False,REGIME_SHIFT
