period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,median_atr14_pct,p75_atr14_pct,median_daily_range_pct,p75_daily_range_pct,median_abs_close_return_pct,p90_abs_close_return_pct,abs_return_ge_5pct_rate,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,median_er10,median_er20,p75_er20,forward_evaluable_observations,median_mfe5,median_mae5,median_mfe10,p75_mfe10,median_mae10,median_day5_close_return,median_day10_close_return,median_abs_day5_close_displacement,median_abs_day10_close_displacement,up8_before_down5_rate,up10_before_down5_rate,down5_before_up8_rate,down5_before_up10_rate,swing_persistence,up5_raw_hit_count,up5_raw_hit_rate,up5_deoverlapped_episode_count,up5_episodes_per_year,up5_episodes_per_252_sessions,up8_raw_hit_count,up8_raw_hit_rate,up8_deoverlapped_episode_count,up8_episodes_per_year,up8_episodes_per_252_sessions,up10_raw_hit_count,up10_raw_hit_rate,up10_deoverlapped_episode_count,up10_episodes_per_year,up10_episodes_per_252_sessions,up15_raw_hit_count,up15_raw_hit_rate,up15_deoverlapped_episode_count,up15_episodes_per_year,up15_episodes_per_252_sessions,repeatability_qualifying_years,swing_repeatability_pass,repeatability_status
2020,20200101,20201231,1476,儒鴻,245,245,1.0,0,0,365.5,368421157.5,2.9170017997676,3.580967606510964,2.571428571428571,3.6458333333333335,1.1869436201780381,3.8495726495726594,0.05714285714285714,0.557103064066844,2.8800663173165164,0.28681630307937245,0.27197319240919476,0.3781271544059522,235,0.013177159590043841,-0.020227560050568916,0.022535211267605604,0.07987068965517241,-0.03200000000000003,-0.0024783147459727095,0.0,0.02970297029702973,0.04347826086956519,0.23829787234042554,0.16170212765957448,0.3404255319148936,0.3404255319148936,0.534684628530885,53,0.225531914893617,10,10.0,10.285714285714285,59,0.251063829787234,9,9.0,9.257142857142858,40,0.1702127659574468,6,6.0,6.171428571428571,17,0.07234042553191489,3,3.0,3.0857142857142854,3,True,PASS
2021,20210101,20211231,1476,儒鴻,244,244,1.0,0,0,589.5,472833218.0,3.318876079556221,3.7256430783960877,2.870879120879121,3.962032566893053,1.1447635857937566,3.704508728098549,0.03278688524590164,0.6135099213117112,2.1506044718303583,0.3475138402565267,0.23117070006510723,0.3378553270177197,234,0.019731719402562464,-0.016275077255113513,0.04248491849570024,0.07826086956521738,-0.022608695652173938,0.008217864570672306,0.025989493996569468,0.028820266191892596,0.051044846825981705,0.2222222222222222,0.14102564102564102,0.2905982905982906,0.2905982905982906,0.562259753852295,47,0.20085470085470086,12,12.0,12.39344262295082,54,0.23076923076923078,12,12.0,12.39344262295082,33,0.14102564102564102,8,8.0,8.262295081967213,7,0.029914529914529916,3,3.0,3.098360655737705,3,True,PASS
2022,20220101,20221231,1476,儒鴻,246,246,1.0,0,0,462.5,377339805.0,3.397963855331962,3.853033680381391,2.8230217862869003,3.6547112462006077,1.4825319741276433,4.168231611893586,0.052845528455284556,1.0023577007059747,3.114423002230529,0.265219380759376,0.15914907974096218,0.28169685592825633,236,0.019373299559058088,-0.021191956656121613,0.03659645617841556,0.06740525288444815,-0.033041611324393705,0.0,0.0,0.034411148472080266,0.047369464605302336,0.17372881355932204,0.05508474576271186,0.3347457627118644,0.3347457627118644,0.5306207710586219,46,0.19491525423728814,13,13.0,13.317073170731708,41,0.17372881355932204,10,10.0,10.24390243902439,13,0.05508474576271186,6,6.0,6.146341463414634,0,0.0,0,0.0,0.0,3,True,PASS
2020,20200101,20201231,1477,聚陽,245,245,1.0,0,0,163.5,375064790.0,3.350519722193695,3.8271797061335135,2.8301886792452833,3.807106598984772,1.2875536480686733,3.6292544210432744,0.05714285714285714,0.60606060606061,2.4720012984905044,0.29293518605272156,0.24087722095700778,0.3799229585230856,235,0.021052631578947434,-0.015873015873015928,0.037234042553191404,0.07998026468539587,-0.02515723270440251,0.002631578947368318,0.009933774834437026,0.03125,0.046979865771812124,0.251063829787234,0.14893617021276595,0.2978723404255319,0.2978723404255319,0.5249239426946173,57,0.2425531914893617,12,12.0,12.342857142857142,59,0.251063829787234,9,9.0,9.257142857142858,35,0.14893617021276595,6,6.0,6.171428571428571,13,0.05531914893617021,3,3.0,3.0857142857142854,3,True,PASS
2021,20210101,20211231,1477,聚陽,244,244,1.0,0,0,240.0,378070304.25,3.104488511398279,3.4896557986360035,2.791849913711518,3.729662590085171,1.058202243164802,3.163926258096665,0.020491803278688523,0.46195536209618915,1.9147409141810123,0.2824094660994715,0.19655840866239188,0.3242797542533634,234,0.02029957453822462,-0.01588553165541745,0.03305841572323831,0.07427218797500429,-0.02561368979279427,0.0022286907611533957,0.013170284468232651,0.02971575140862842,0.04146844729752963,0.21794871794871795,0.11965811965811966,0.2777777777777778,0.2777777777777778,0.46970556635874344,44,0.18803418803418803,10,10.0,10.327868852459016,53,0.2264957264957265,8,8.0,8.262295081967213,30,0.1282051282051282,7,7.0,7.229508196721311,1,0.004273504273504274,1,1.0,1.0327868852459017,3,True,PASS
2022,20220101,20221231,1477,聚陽,246,246,1.0,0,0,195.5,306099947.75,3.425783315133857,3.888653030803285,2.938298607114078,3.7582964601769917,1.303103003417605,3.7030391606749036,0.04878048780487805,0.6325821489785943,3.0371582595302202,0.26511911200101257,0.2666845154400685,0.3687147403951433,236,0.018711018711018657,-0.021301247771836007,0.03100961538461533,0.060682506626278,-0.035829666450338415,-0.0010395010395010118,-0.006724227561422158,0.03434800926901205,0.04517625231910943,0.17796610169491525,0.1271186440677966,0.3516949152542373,0.3516949152542373,0.4861992349346787,47,0.19915254237288135,11,11.0,11.268292682926829,44,0.1864406779661017,8,8.0,8.195121951219512,32,0.13559322033898305,7,7.0,7.170731707317072,11,0.046610169491525424,3,3.0,3.073170731707317,3,True,PASS
2020,20200101,20201231,1513,中興電,245,245,1.0,0,0,28.9,136361842.35,3.5455115719917116,4.9852000419136235,3.30882352941176,4.631217838765013,1.183431952662728,4.954414886973899,0.09795918367346938,0.5444646098003547,2.864219163311018,0.36896264977247606,0.3245977636657051,0.5232887262776491,235,0.025830258302582898,-0.009041591320072317,0.05605786618444841,0.10297029702970306,-0.013574660633484226,0.014159292035398119,0.028828828828828756,0.036713286713286775,0.05367793240556673,0.4,0.2680851063829787,0.26382978723404255,0.2765957446808511,0.5130056800591267,79,0.33617021276595743,13,13.0,13.37142857142857,95,0.40425531914893614,13,13.0,13.37142857142857,63,0.2680851063829787,10,10.0,10.285714285714285,29,0.12340425531914893,6,6.0,6.171428571428571,3,True,PASS
2021,20210101,20211231,1513,中興電,244,244,1.0,0,0,48.3,232415719.7,2.817134756449106,3.8160749947415957,2.4051824467720904,3.092401110022265,1.0071505647480938,2.8836052195821402,0.040983606557377046,0.44894792002579953,1.7911118026039432,0.34278075327606383,0.18052086388898464,0.29933580262219317,234,0.011870005244248971,-0.017055933498876408,0.024048192771084387,0.05739851255035627,-0.025364449164532232,-0.002679602440251505,-0.0019841347951892185,0.024090692211700904,0.03911764705882359,0.09829059829059829,0.042735042735042736,0.3034188034188034,0.3034188034188034,0.514309679826924,33,0.14102564102564102,9,9.0,9.295081967213115,23,0.09829059829059829,6,6.0,6.19672131147541,10,0.042735042735042736,3,3.0,3.098360655737705,1,0.004273504273504274,1,1.0,1.0327868852459017,3,True,PASS
2022,20220101,20221231,1513,中興電,246,246,1.0,0,0,54.1,589691662.5,3.385606949722078,3.913176833670373,2.847011144883491,4.0104712041884785,1.2280739552907205,3.8175918343390403,0.052845528455284556,0.598205978481281,2.1390751653909525,0.3239673880695298,0.2541126876151652,0.4026618186508951,236,0.016310311575167047,-0.0218688737115032,0.03166833755970977,0.08053108784370205,-0.03186507016323398,-0.0019275322027615949,0.012077505827505775,0.030777016361171416,0.050109403205513825,0.24152542372881355,0.1694915254237288,0.3220338983050847,0.3220338983050847,0.5565831612775468,57,0.24152542372881355,13,13.0,13.317073170731708,60,0.2542372881355932,9,9.0,9.21951219512195,43,0.18220338983050846,7,7.0,7.170731707317072,18,0.07627118644067797,3,3.0,3.073170731707317,3,True,PASS
2020,20200101,20201231,1590,亞德客-KY,245,245,1.0,0,0,561.0,710966856.0,4.369275627479808,4.961387037577077,3.6269430051813467,5.0691244239631335,1.799100449775115,5.353333530963746,0.12244897959183673,0.9689922480620172,4.174081237911021,0.24991218437820706,0.22693711381290887,0.3393191237638572,235,0.030000000000000027,-0.01963534361851338,0.054603854389721596,0.10100906734144555,-0.028680688336520044,0.01002865329512903,0.028614457831325213,0.031000000000000028,0.05253623188405798,0.3404255319148936,0.23829787234042554,0.30638297872340425,0.31063829787234043,0.458055591717454,72,0.30638297872340425,17,17.0,17.485714285714284,87,0.3702127659574468,16,16.0,16.45714285714286,61,0.25957446808510637,11,11.0,11.314285714285713,22,0.09361702127659574,5,5.0,5.142857142857142,3,True,PASS
