period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,median_atr14_pct,p75_atr14_pct,median_daily_range_pct,p75_daily_range_pct,median_abs_close_return_pct,p90_abs_close_return_pct,abs_return_ge_5pct_rate,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,median_er10,median_er20,p75_er20,forward_evaluable_observations,median_mfe5,median_mae5,median_mfe10,p75_mfe10,median_mae10,median_day5_close_return,median_day10_close_return,median_abs_day5_close_displacement,median_abs_day10_close_displacement,up8_before_down5_rate,up10_before_down5_rate,down5_before_up8_rate,down5_before_up10_rate,swing_persistence,up5_raw_hit_count,up5_raw_hit_rate,up5_deoverlapped_episode_count,up5_episodes_per_year,up5_episodes_per_252_sessions,up8_raw_hit_count,up8_raw_hit_rate,up8_deoverlapped_episode_count,up8_episodes_per_year,up8_episodes_per_252_sessions,up10_raw_hit_count,up10_raw_hit_rate,up10_deoverlapped_episode_count,up10_episodes_per_year,up10_episodes_per_252_sessions,up15_raw_hit_count,up15_raw_hit_rate,up15_deoverlapped_episode_count,up15_episodes_per_year,up15_episodes_per_252_sessions,top1_removed_observations,top1_median_mfe10,top1_p75_mfe10,top1_up8_raw_hit_rate,top1_up10_raw_hit_rate,top5_removed_observations,top5_median_mfe10,top5_p75_mfe10,top5_up8_raw_hit_rate,top5_up10_raw_hit_rate,tail_dependent_swing_profile,repeatability_qualifying_years,swing_repeatability_pass,repeatability_status,up8_episode_component,up10_episode_component,up15_episode_component,p75_mfe10_component,median_mfe10_component,up8_before_down5_component,swing_persistence_component,daily_movement_component,swing_score,score_period,later_period_data_used_in_score
HISTORICAL_DISCOVERY,20200101,20221231,3228,金麗科,735,735,1.0,0,0,288.0,332846000.0,6.24934153517742,7.863198776876283,5.410122164048857,7.9272937323058565,2.8795811518324554,9.814413975946827,0.3006802721088435,1.3782542113323082,6.0485124909298245,0.3257522520620826,0.235897822230484,0.4091617961042444,725,0.04105571847507328,-0.03468899521531099,0.08249496981891347,0.18641390205371255,-0.05493133583021215,0.004048582995951344,0.010670731707317138,0.07024793388429762,0.09999999999999998,0.42758620689655175,0.3682758620689655,0.48551724137931035,0.5020689655172413,0.5845113223472529,336,0.463448275862069,52,17.333333333333332,17.82857142857143,368,0.5075862068965518,48,16.0,16.45714285714286,319,0.44,42,14.0,14.4,235,0.32413793103448274,35,11.666666666666666,12.0,8,0.08026755852842804,0.18402777777777768,0.502092050209205,0.43375174337517436,37,0.07460180387641535,0.1679607804298307,0.4811046511627907,0.40988372093023256,False,3,True,PASS,0.9962121212121212,0.9848484848484849,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,0.978030303030303,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,3661,世芯-KY,735,735,1.0,0,0,674.0,2769698880.0,5.870191104442796,6.72061162775181,5.134189031505251,7.174028536733454,2.7456647398843903,8.271489905910299,0.24081632653061225,1.157407407407418,4.708494996936897,0.294062278288493,0.22058135143518923,0.3847605997907817,725,0.04023845007451565,-0.03656821378340369,0.07178631051752915,0.1485294117647058,-0.054736842105263195,0.0036900369003689537,0.020930232558139528,0.0617021276595745,0.09466666666666668,0.40413793103448276,0.36137931034482756,0.503448275862069,0.5117241379310344,0.5830760872371679,307,0.42344827586206896,53,17.666666666666668,18.17142857142857,340,0.4689655172413793,48,16.0,16.45714285714286,303,0.41793103448275865,46,15.333333333333334,15.771428571428572,179,0.24689655172413794,34,11.333333333333334,11.657142857142857,8,0.07126948775055686,0.1468710089399745,0.4630404463040446,0.41143654114365413,37,0.0650410013529974,0.13591686674669862,0.44040697674418605,0.3866279069767442,False,3,True,PASS,0.9962121212121212,1.0,0.9924242424242424,0.9848484848484849,0.9924242424242424,0.9924242424242424,0.8106060606060606,0.9848484848484849,0.975,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,5351,鈺創,728,735,0.9904761904761905,7,1,31.825000000000003,247499650.0,5.417319760326776,6.654091234053601,4.456699469339035,6.551366120218585,2.2519822976212467,8.045920171668675,0.20523415977961432,1.1678857006461763,5.193675889328062,0.316488588433969,0.21087524471495306,0.3954401445814024,698,0.028186911128087577,-0.034001226863594025,0.0628103149656809,0.1420996670991756,-0.05643078283945152,-0.0035762845849802716,0.003238684617205223,0.0589572192513369,0.08647311426437643,0.37249283667621774,0.3166189111747851,0.5229226361031518,0.5358166189111748,0.6135751340755772,274,0.39255014326647564,47,15.666666666666666,16.26923076923077,304,0.4355300859598854,41,13.666666666666666,14.192307692307693,257,0.3681948424068768,35,11.666666666666666,12.115384615384617,163,0.2335243553008596,26,8.666666666666666,9.0,7,0.062000000000000055,0.1387574323504428,0.42981186685962375,0.361794500723589,35,0.05547226386806603,0.1278504680044048,0.4057315233785822,0.334841628959276,False,3,True,PASS,0.9242424242424242,0.9242424242424242,0.946969696969697,0.9696969696969697,0.9621212121212122,0.946969696969697,0.9393939393939394,0.928030303030303,0.9410984848484849,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,8046,南電,735,735,1.0,0,0,267.5,2509175812.0,5.115097248892594,5.814942829276466,4.329004329004329,5.944284448382809,2.287581699346408,6.347148573473441,0.17959183673469387,1.109570041608876,3.9965626652564623,0.3333984195755176,0.2191858403420648,0.4186011475521373,725,0.03777777777777769,-0.028421052631579014,0.0659025787965617,0.14049586776859502,-0.04504504504504503,0.008896797153024938,0.019933554817275656,0.05319148936170204,0.08711656441717797,0.3875862068965517,0.32413793103448274,0.4593103448275862,0.4689655172413793,0.6363744282751119,295,0.4068965517241379,51,17.0,17.485714285714284,303,0.41793103448275865,41,13.666666666666666,14.057142857142857,249,0.34344827586206894,36,12.0,12.342857142857142,160,0.2206896551724138,24,8.0,8.22857142857143,8,0.06473214285714302,0.13715046604527292,0.41143654114365413,0.33612273361227335,37,0.06012498497776708,0.1185513245033113,0.3866279069767442,0.3081395348837209,False,3,True,PASS,0.9090909090909091,0.9318181818181818,0.9090909090909091,0.9621212121212122,0.9696969696969697,0.9696969696969697,0.9772727272727273,0.8901515151515151,0.9395833333333334,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,6415,矽力*-KY,730,735,0.9931972789115646,5,0,2345.0,1203426535.0,5.250854961460307,6.108153172703181,4.666666666666667,6.015037593984962,2.3192360163710735,6.287652645861604,0.17695473251028807,1.3679890560875485,4.95051525354556,0.29689167201476646,0.1907183685599469,0.31217604961646567,710,0.029882638091593305,-0.03138505294981758,0.06885775862068966,0.1274423116680714,-0.05482239153020335,0.0027124442095373125,0.0083289983237963,0.05500719095882689,0.08182980702162285,0.3901408450704225,0.3183098591549296,0.4915492957746479,0.5098591549295775,0.5545040800293588,276,0.38873239436619716,49,16.333333333333332,16.915068493150685,313,0.44084507042253523,46,15.333333333333334,15.879452054794521,252,0.35492957746478876,42,14.0,14.498630136986302,126,0.17746478873239438,28,9.333333333333334,9.665753424657535,8,0.06844331213412402,0.1244929837582201,0.43447293447293445,0.3475783475783476,36,0.06215172239108413,0.11685463659147871,0.41097922848664686,0.32047477744807124,False,3,True,PASS,0.9848484848484849,0.9924242424242424,0.9772727272727273,0.9015151515151515,0.9772727272727273,0.9772727272727273,0.6363636363636364,0.9431818181818181,0.9346590909090909,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,3529,力旺,735,735,1.0,0,0,1050.0,1094300000.0,5.847070659345248,6.661808101817815,5.06108202443281,6.901314536102116,2.4193548387096753,7.241443108233117,0.21496598639455783,1.17647058823529,4.131946473441244,0.3013624314196253,0.2198398659249127,0.3520374339517951,725,0.03660886319845846,-0.035211267605633756,0.06949806949806958,0.14596273291925477,-0.050980392156862786,0.0038461538461538325,0.022613065326633208,0.05543710021321968,0.08769931662870167,0.3931034482758621,0.33379310344827584,0.4924137931034483,0.496551724137931,0.5479650170618536,298,0.4110344827586207,50,16.666666666666668,17.142857142857146,330,0.45517241379310347,44,14.666666666666666,15.085714285714285,280,0.38620689655172413,39,13.0,13.37142857142857,176,0.24275862068965517,30,10.0,10.285714285714285,8,0.06896551724137923,0.14232209737827706,0.4490934449093445,0.3793584379358438,37,0.06437927663734111,0.12844312036741296,0.4258720930232558,0.35319767441860467,False,3,True,PASS,0.9583333333333334,0.9772727272727273,0.9848484848484849,0.9772727272727273,0.9848484848484849,0.9848484848484849,0.553030303030303,0.9772727272727273,0.9333333333333333,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,6531,愛普*,729,735,0.9918367346938776,6,0,341.0,1218394611.0,5.91936954587174,7.106797767408013,5.2012403842614745,7.329888411252422,2.6097602161431976,8.83143431109437,0.24313186813186813,1.2529373384157272,4.2235026554519335,0.32347643355744293,0.22957322143249914,0.381228104927811,709,0.032573289902280145,-0.0368421052631579,0.05693069306930698,0.16097560975609748,-0.06290322580645158,-0.00527704485488123,-0.013833992094861691,0.061340941512125546,0.09383378016085786,0.37376586741889983,0.3342736248236953,0.5641748942172073,0.5782792665726375,0.5704955834567993,290,0.4090267983074753,48,16.0,16.592592592592595,305,0.4301833568406206,41,13.666666666666666,14.17283950617284,268,0.37799717912552894,36,12.0,12.444444444444443,190,0.2679830747531735,27,9.0,9.333333333333332,8,0.05655526992287907,0.15653495440729492,0.42368045649072755,0.37089871611982883,36,0.05215827338129486,0.1441213653603035,0.399702823179792,0.3447251114413076,False,3,True,PASS,0.9166666666666666,0.9393939393939394,0.9696969696969697,0.9924242424242424,0.9242424242424242,0.9545454545454546,0.7348484848484849,0.9924242424242424,0.928030303030303,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,3552,同致,735,735,1.0,0,0,156.5,336700000.0,5.599472218442192,6.6202036676966785,4.507042253521127,6.409452433746118,2.2222222222222254,9.177764910248996,0.22448979591836735,1.104972375690605,4.624034453212486,0.3092521812027762,0.2584408476355931,0.37628671078822107,725,0.028169014084507005,-0.03710575139146566,0.049342105263157965,0.1398601398601398,-0.060377358490566024,-0.0024271844660194164,-0.005330490405117239,0.05862068965517242,0.08664259927797824,0.36,0.2993103448275862,0.5255172413793103,0.5393103448275862,0.6079107776316461,269,0.37103448275862067,48,16.0,16.45714285714286,287,0.39586206896551723,44,14.666666666666666,15.085714285714285,238,0.32827586206896553,35,11.666666666666666,12.0,169,0.23310344827586207,27,9.0,9.257142857142858,8,0.048414023372287174,0.13732394366197176,0.3891213389121339,0.3207810320781032,37,0.04492600422832982,0.11607806116132235,0.3633720930232558,0.2921511627906977,False,3,True,PASS,0.9583333333333334,0.9053030303030303,0.9583333333333334,0.9545454545454546,0.8257575757575758,0.9318181818181818,0.9242424242424242,0.946969696969697,0.9272727272727272,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,6533,晶心科,735,735,1.0,0,0,366.5,586556100.0,5.579983037201468,6.542492744294065,4.746835443037975,6.6461149779146025,2.264150943396226,7.078282828282827,0.20816326530612245,1.1450381679389388,4.78509678120922,0.3114929596453342,0.2402827810653165,0.3793420608407726,725,0.029691211401425166,-0.03329969727547932,0.05208333333333326,0.13468013468013473,-0.05344827586206902,0.0,0.005555555555555536,0.05217391304347829,0.0888888888888889,0.3448275862068966,0.31448275862068964,0.5172413793103449,0.5186206896551724,0.5921657722152344,279,0.38482758620689655,49,16.333333333333332,16.8,287,0.39586206896551723,43,14.333333333333334,14.742857142857142,255,0.35172413793103446,38,12.666666666666666,13.028571428571428,161,0.22206896551724137,26,8.666666666666666,8.914285714285715,8,0.05058365758754868,0.12883435582822078,0.3891213389121339,0.34449093444909346,37,0.04692301178292324,0.12055203578808726,0.3633720930232558,0.3168604651162791,False,3,True,PASS,0.9356060606060606,0.9583333333333334,0.9393939393939394,0.9393939393939394,0.8712121212121212,0.9015151515151515,0.8636363636363636,0.9659090909090909,0.925568181818182,2020-2022_ONLY,False
HISTORICAL_DISCOVERY,20200101,20221231,2603,長榮,728,735,0.9904761904761905,7,1,92.1,8675915248.5,4.607294530689572,6.000151020197388,3.8539553752535434,5.9394638093946375,2.1164613661814045,7.254784688995219,0.19146005509641872,0.9764042265829831,4.028682833030661,0.3199326870734977,0.24474770225699433,0.3991685740865701,698,0.030553637337778272,-0.021739130434782594,0.05754571013453591,0.13196810034701223,-0.029863916046959427,0.007930023046302082,0.0215457218010211,0.0467838035019455,0.07850140056022409,0.3868194842406877,0.335243553008596,0.35816618911174786,0.3624641833810888,0.6441258424462031,260,0.37249283667621774,47,15.666666666666666,16.26923076923077,292,0.4183381088825215,39,13.0,13.5,250,0.35816618911174786,38,12.666666666666666,13.153846153846155,154,0.22063037249283668,25,8.333333333333334,8.653846153846155,7,0.05693950177935947,0.12799950726779996,0.41244573082489144,0.3516642547033285,35,0.051724137931034475,0.12165869218500791,0.38763197586727,0.32428355957767724,False,3,True,PASS,0.8674242424242424,0.9696969696969697,0.9318181818181818,0.9242424242424242,0.9318181818181818,0.9621212121212122,0.9848484848484849,0.7689393939393939,0.9255681818181818,2020-2022_ONLY,False
