stock_id,stock_name,discovery_rank,swing_score,median_ATR14,median_daily_range,up5_5d_raw_rate,up8_10d_raw_rate,up8_episode_rate,up10_10d_raw_rate,up10_episode_rate,up15_10d_raw_rate,up15_episode_rate,median_MFE5,median_MFE10,p75_MFE10,median_MAE10,up8_before_down5_rate,ER10,ER20,swing_persistence,median_daily_turnover,average_pool_correlation,maximum_pool_correlation,2023_24_up8_episode_retention,2023_24_up10_episode_retention,2023_24_mfe_retention,2025_up8_episode_retention,2025_up10_episode_retention,2025_mfe_retention,final_classification,selection_rationale
3228,金麗科,1,0.978030303030303,6.24934153517742,5.410122164048857,0.463448275862069,0.5075862068965518,16.45714285714286,0.44,14.4,0.32413793103448274,12.0,0.04105571847507328,0.08249496981891347,0.18641390205371255,-0.05493133583021215,0.42758620689655175,0.3257522520620826,0.235897822230484,0.5845113223472529,332846000.0,0.31802791285891674,0.44480610774946877,0.7958679833679834,0.7276507276507277,0.5050813008130092,0.5671296296296295,0.5041152263374485,0.24908118944203245,LOST_TRADABILITY,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
3661,世芯-KY,2,0.975,5.870191104442796,5.134189031505251,0.42344827586206896,0.4689655172413793,16.45714285714286,0.41793103448275865,15.771428571428572,0.24689655172413794,11.657142857142857,0.04023845007451565,0.07178631051752915,0.1485294117647058,-0.054736842105263195,0.40413793103448276,0.294062278288493,0.22058135143518923,0.5830760872371679,2769698880.0,0.38395364859487385,0.5077684565341711,0.9868762993762993,0.764033264033264,0.908493427704754,0.8822016460905349,0.7890499194847019,0.5685809207403903,REGIME_HIGH_UPSIDE_SPECIALIST,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
5351,鈺創,3,0.9410984848484849,5.417319760326776,4.456699469339035,0.39255014326647564,0.4355300859598854,14.192307692307693,0.3681948424068768,12.115384615384617,0.2335243553008596,9.0,0.028186911128087577,0.0628103149656809,0.1420996670991756,-0.05643078283945152,0.37249283667621774,0.316488588433969,0.21087524471495306,0.6135751340755772,247499650.0,0.3770148537610406,0.5055376091082896,0.5906394199077126,0.43243243243243246,0.4660700189106801,0.8037739636655625,0.9415637860082304,0.8546523230208756,LOST_TRADABILITY,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
8046,南電,4,0.9395833333333334,5.115097248892594,4.329004329004329,0.4068965517241379,0.41793103448275865,14.057142857142857,0.34344827586206894,12.342857142857142,0.2206896551724138,8.22857142857143,0.03777777777777769,0.0659025787965617,0.14049586776859502,-0.04504504504504503,0.3875862068965517,0.3333984195755176,0.2191858403420648,0.6363744282751119,2509175812.0,0.36287683079457794,0.449009766599918,0.4845088991430455,0.42446292446292455,0.3442598072691399,1.1803673592291481,1.008230452674897,0.9685476410730789,REGIME_HIGH_UPSIDE_SPECIALIST,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
6415,矽力*-KY,5,0.9346590909090909,5.250854961460307,4.666666666666667,0.38873239436619716,0.44084507042253523,15.879452054794521,0.35492957746478876,14.498630136986302,0.17746478873239438,9.665753424657535,0.029882638091593305,0.06885775862068966,0.1274423116680714,-0.05482239153020335,0.3901408450704225,0.29689167201476646,0.1907183685599469,0.5545040800293588,1203426535.0,0.2844172397090838,0.3904602534396999,0.8248214769953901,0.7227007227007228,0.563567140821714,0.4571479692252639,0.4291593180482069,0.2122314027986071,DISCOVERY_ONLY_HIGH_UPSIDE,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
3529,力旺,6,0.9333333333333333,5.847070659345248,5.06108202443281,0.4110344827586207,0.45517241379310347,15.085714285714285,0.38620689655172413,13.37142857142857,0.24275862068965517,10.285714285714285,0.03660886319845846,0.06949806949806958,0.14596273291925477,-0.050980392156862786,0.3931034482758621,0.3013624314196253,0.2198398659249127,0.5479650170618536,1094300000.0,0.38205319380257313,0.5077684565341711,0.9376771876771878,0.8228050535742845,0.7735961768219817,0.6874298540965208,0.6204495093383984,0.4142674344209835,REGIME_HIGH_UPSIDE_SPECIALIST,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
6531,愛普*,7,0.928030303030303,5.91936954587174,5.2012403842614745,0.4090267983074753,0.4301833568406206,14.17283950617284,0.37799717912552894,12.444444444444443,0.2679830747531735,9.333333333333332,0.032573289902280145,0.05693069306930698,0.16097560975609748,-0.06290322580645158,0.37376586741889983,0.32347643355744293,0.22957322143249914,0.5704955834567993,1218394611.0,0.41242696040992416,0.5370925156980169,0.8502104355762892,0.7577962577962579,0.7351957505410197,0.9512195121951219,1.0833333333333335,1.008968100805994,PERSISTENT_HIGH_UPSIDE_SPECIALIST,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
3552,同致,8,0.9272727272727272,5.599472218442192,4.507042253521127,0.37103448275862067,0.39586206896551723,15.085714285714285,0.32827586206896553,12.0,0.23310344827586207,9.257142857142858,0.028169014084507005,0.049342105263157965,0.1398601398601398,-0.060377358490566024,0.36,0.3092521812027762,0.2584408476355931,0.6079107776316461,336700000.0,0.32097009869348236,0.381119703301512,0.38201663201663205,0.30561330561330563,0.44705882352940957,0.5499438832772167,0.5185185185185185,0.43651282051282375,LOST_TRADABILITY,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
6533,晶心科,9,0.925568181818182,5.579983037201468,4.746835443037975,0.38482758620689655,0.39586206896551723,14.742857142857142,0.35172413793103446,13.028571428571428,0.22206896551724137,8.914285714285715,0.029691211401425166,0.05208333333333326,0.13468013468013473,-0.05344827586206902,0.3448275862068966,0.3114929596453342,0.2402827810653165,0.5921657722152344,586556100.0,0.405379046507616,0.5370925156980169,0.5685828941642895,0.4825473246525878,0.4626506024096407,0.5627332759115706,0.47758284600389855,0.41005025125628325,DISCOVERY_ONLY_HIGH_UPSIDE,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
2603,長榮,10,0.9255681818181818,4.607294530689572,3.8539553752535434,0.37249283667621774,0.4183381088825215,13.5,0.35816618911174786,13.153846153846155,0.22063037249283668,8.653846153846155,0.030553637337778272,0.05754571013453591,0.13196810034701223,-0.029863916046959427,0.3868194842406877,0.3199326870734977,0.24474770225699433,0.6441258424462031,8675915248.5,0.21424869053216034,0.28361900364492854,0.8925848925848926,0.5576102418207681,0.773237258092911,0.23045267489711932,0.15767814598223956,0.3111059583308258,REGIME_HIGH_UPSIDE_SPECIALIST,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
3707,漢磊,11,0.8857954545454545,5.082839527707527,4.273504273504273,0.3696551724137931,0.4068965517241379,15.085714285714285,0.3213793103448276,12.0,0.1724137931034483,8.22857142857143,0.029824561403508865,0.05681818181818188,0.12608695652173907,-0.045454545454545414,0.3586206896551724,0.30453519687747305,0.21822919665502014,0.553044075096713,828345000.0,0.3975629352373314,0.5174154624808809,0.4862029862029862,0.39293139293139295,0.32463768115941677,0.893658810325477,0.8641975308641975,0.9277108433734927,LOST_TRADABILITY,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
5269,祥碩,12,0.8801136363636364,5.541649569560941,4.624277456647398,0.35714285714285715,0.37254901960784315,15.106267029972752,0.29551820728291317,12.016348773841962,0.18907563025210083,7.553133514986376,0.02722942037850562,0.05233327754363004,0.11950254537405924,-0.05862954250051022,0.3389355742296919,0.2992139813724226,0.22702498595952836,0.5531353547440229,1168550620.0,0.30994994840610807,0.39467371299401527,1.1098091098091099,1.1771903771903773,1.3355263877751673,0.5491956603067715,0.6041152263374486,0.42567996442034156,REGIME_HIGH_UPSIDE_SPECIALIST,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
8261,富鼎,13,0.8564393939393941,4.599478581105103,4.081632653061225,0.3310344827586207,0.4,14.742857142857142,0.2924137931034483,11.657142857142857,0.15724137931034482,7.2,0.027372262773722733,0.05822267620020427,0.11130742049469955,-0.041860465116279055,0.3682758620689655,0.3338062528630767,0.20574778226162385,0.553398590529466,300486136.3,0.3926397303500996,0.5174154624808809,0.3198278779674129,0.2696587990705638,0.3335036620677908,0.5627332759115706,0.622730573710966,0.6319966583124447,LOST_TRADABILITY,ELIGIBLE_AND_REPEATABLE; SCORE_ORDER; ALL_SELECTED_CORRELATIONS_LE_0.80
