period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,median_atr14_pct,p75_atr14_pct,median_daily_range_pct,p75_daily_range_pct,median_abs_close_return_pct,p90_abs_close_return_pct,abs_return_ge_5pct_rate,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,median_er10,median_er20,p75_er20
HISTORICAL_DISCOVERY,20200101,20221231,1476,儒鴻,735,735,1.0,0,0,447.0,400695406.0,3.299246842547416,3.765107752776177,2.748414376321353,3.72439622088991,1.2702078521940052,3.8495726495726594,0.047619047619047616,0.692041522491349,2.869342535021758,0.29083032673024106,0.21289923046411402,0.3457179392378859
HISTORICAL_DISCOVERY,20200101,20221231,1477,聚陽,735,735,1.0,0,0,195.0,350590185.0,3.2794127230348065,3.7653870938955856,2.8735632183908044,3.763440860215054,1.2345679012345734,3.5417840375586844,0.04217687074829932,0.6048387096774244,2.541382667964944,0.2822019858040972,0.23904368645238208,0.36178512275875896
HISTORICAL_DISCOVERY,20200101,20221231,1513,中興電,735,735,1.0,0,0,48.75,295780699.2,3.3042886924445063,4.091895480568406,2.758620689655175,3.9848771266540686,1.1312217194570096,4.239849036959924,0.06394557823129252,0.5464480874316946,2.270692024648654,0.3508306474206519,0.24589178833031197,0.40034604075834646
HISTORICAL_DISCOVERY,20200101,20221231,1590,亞德客-KY,735,735,1.0,0,0,849.0,625138705.0,4.077055309162678,4.901767404353752,3.526734926052332,4.7668444971349535,1.6845329249617125,5.080179358565125,0.10612244897959183,0.92592592592593,3.574231766012586,0.2504499796922885,0.2050139054891296,0.3300371634592528
HISTORICAL_DISCOVERY,20200101,20221231,1605,華新,735,735,1.0,0,0,25.75,357076297.35,3.3778966413616414,4.4411446745992125,2.819548872180451,4.107580444301619,1.3452914798206317,4.522875816993462,0.08299319727891157,0.7042253521126751,3.150432654708747,0.28448732524639714,0.22088408042971372,0.3682708476341358
HISTORICAL_DISCOVERY,20200101,20221231,1760,寶齡富錦,733,735,0.9972789115646259,1,0,100.5,261710410.5,4.95764625839802,6.67303235253176,4.417670682730924,6.6932847082494975,1.9083969465648831,6.90235690235691,0.19151846785225718,0.8368200836819994,3.947383532852744,0.2717466120082085,0.217350192922267,0.3439517729459121
HISTORICAL_DISCOVERY,20200101,20221231,1785,光洋科,735,735,1.0,0,0,45.1,214076800.0,3.2682535998367963,4.250286366983515,2.77185501066099,3.997821208642106,1.4145810663764857,4.638125072514214,0.08299319727891157,0.7075471698113178,3.028811120868441,0.27367835230153814,0.1633678116292171,0.31060288141345055
HISTORICAL_DISCOVERY,20200101,20221231,1795,美時,735,735,1.0,0,0,93.2,225996629.0,4.3282214564134165,5.690912585856761,3.5294117647058822,5.630754222303514,1.589242053789719,5.1588926810769795,0.10748299319727891,0.7042253521126751,3.0382426888977068,0.27938285217861186,0.2272367554212709,0.3775754891902151
HISTORICAL_DISCOVERY,20200101,20221231,2014,中鴻,735,735,1.0,0,0,24.45,336061139.0,3.7667016719198294,4.77180274888231,3.1936127744511005,4.676258992805757,1.538461538461522,5.837105909579976,0.1292517006802721,0.743494423791824,3.842007228588699,0.2965506284653338,0.23815947971902962,0.3770613244751918
HISTORICAL_DISCOVERY,20200101,20221231,2027,大成鋼,735,735,1.0,0,0,38.5,530503860.6,3.174861987456439,4.250848034383262,2.7397260273972575,3.9780131809211703,1.3392857142856984,4.463108124922247,0.06802721088435375,0.6423982869379063,3.2258064516129004,0.2759413631252116,0.22146647968427197,0.3563521373223635
HISTORICAL_DISCOVERY,20200101,20221231,2049,上銀,735,735,1.0,0,0,292.5,535966807.0,3.0763699788127945,3.8835877843639497,2.67639902676399,3.6063293654377633,1.3445378151260456,4.056547619047612,0.06666666666666667,0.7702182284980763,2.7605275703162278,0.30876714426009066,0.2120036819489846,0.35962964005243636
HISTORICAL_DISCOVERY,20200101,20221231,2301,光寶科,735,735,1.0,0,0,60.9,340695102.65,2.0456356211788895,2.426586850467291,1.7021276595744619,2.219345369050825,0.743494423791824,2.228174603174602,0.017687074829931974,0.4746835443038,1.9868347495527696,0.2975697235656556,0.20846481874083758,0.3617617534365287
HISTORICAL_DISCOVERY,20200101,20221231,2303,聯電,735,735,1.0,0,0,46.05,4736772896.0,3.1904608505524843,4.166279328883599,2.5270758122743655,3.674327268264249,1.5100671140939603,4.22982338475296,0.0653061224489796,1.0101010101010166,3.478666890704151,0.29843126593027625,0.2159118907869184,0.3661731436393405
HISTORICAL_DISCOVERY,20200101,20221231,2308,台達電,735,735,1.0,0,0,256.0,1524059052.0,2.7165685642273396,3.2466312025554895,2.2494887525562373,3.076604527647043,1.1286681715575675,3.1725941975373892,0.021768707482993196,0.7246376811594235,2.38009914282764,0.3148679606357659,0.19752628665641017,0.3575176200705261
HISTORICAL_DISCOVERY,20200101,20221231,2313,華通,735,735,1.0,0,0,44.05,706539153.6,3.3300655668224306,3.932649709931674,2.780996523754352,3.7129560083286535,1.3584117032392817,4.079021896801822,0.06394557823129252,0.7633587786259444,2.8643457382953255,0.287383869605953,0.17147629916207935,0.2950903675769878
HISTORICAL_DISCOVERY,20200101,20221231,2327,國巨*,727,735,0.9891156462585035,7,0,419.0,2417948005.5,3.1232935280213376,3.862960665612092,2.6813880126182967,3.6163522012578615,1.5296367112810683,4.290114257327373,0.07724137931034483,0.8255933952528327,3.3608317568870656,0.3034420413625803,0.19874247492399652,0.34049106177775235
HISTORICAL_DISCOVERY,20200101,20221231,2337,旺宏,735,735,1.0,0,0,37.8,954836839.6000001,3.0709976118761246,3.719995376550908,2.5412960609911055,3.525161081873708,1.342281879194629,4.0552731145140495,0.05986394557823129,0.7990867579908745,3.1867419636845993,0.2635161663927809,0.17099284485602478,0.27579117415987187
HISTORICAL_DISCOVERY,20200101,20221231,2338,光罩,735,735,1.0,0,0,72.7,404512092.6,4.333422784230743,5.7437394422172465,3.7151702786377685,5.3848185486136835,1.8518518518518379,5.846741487540412,0.1346938775510204,0.9578544061302763,3.9169577366398873,0.333655727681462,0.19422859816679666,0.36652706554685166
