period,start_date,end_date,code,name,sessions,market_sessions,coverage,median_close,median_daily_turnover_proxy,p25_daily_turnover_proxy,median_abs_return_pct,p90_abs_return_pct,abs_return_ge_5pct_rate,median_atr14_pct,p75_atr14_pct,median_realized_vol20_annualized_pct,median_efficiency20,lag1_daily_return_autocorrelation,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,maximum_close_drawdown_pct,forward_evaluable_events,median_mfe10_pct,median_mae10_pct,median_day10_close_return_pct,plus_8pct_within_10d_close_hit_rate,minus_5pct_within_10d_close_hit_rate
2020,20200101,20201231,2408,南亞科,245,245,1.0,61.0,982008216.0,724929740.1,1.4067995310668269,4.6271284926747125,0.08163265306122448,3.1405493288079005,3.6662598830504995,34.765947367512865,0.18329313570804293,0.15355608925313546,0.9191176470588314,3.689975036616027,-49.772727272727266,245,3.244495944380077,-3.5656401944894722,0.33388981636059967,0.23673469387755103,0.4163265306122449
2020,20200101,20201231,2344,華邦電,245,245,1.0,13.7,488810581.5,310218257.59999996,1.5503875968992276,4.944333428489859,0.10204081632653061,3.596283137603905,4.487795630373692,42.86611924574842,0.2265615445742879,0.16223818951717905,0.884955752212413,4.112206680424987,-49.94974874371858,245,3.4682080924855363,-3.759398496240607,0.0,0.2979591836734694,0.3795918367346939
2020,20200101,20201231,3231,緯創,245,245,1.0,29.35,409815103.45,278944939.0,1.0600706713780994,3.651291835599013,0.04897959183673469,2.393985340872251,3.189015231175022,25.667730706131014,0.21721341154958798,0.021607444968775015,0.5145797598627766,2.7731257142684806,-36.564625850340136,245,2.551834130781483,-2.276422764227637,0.7440476190476275,0.1469387755102041,0.2693877551020408
2020,20200101,20201231,3017,奇鋐,245,245,1.0,42.75,543103910.8,296549123.09999996,1.5576323987538832,5.159003831417619,0.10612244897959183,4.115886371644403,4.869884117668615,45.17933509404612,0.204975696512141,-0.1069835467029233,0.8670520231213841,3.6404612159329193,-39.53216374269005,245,4.8689138576779145,-3.34855403348554,0.6191950464396356,0.3795918367346939,0.37142857142857144
2020,20200101,20201231,2368,金像電,245,245,1.0,36.55,1359473689.6,799223040.0,2.1442495126705596,7.080382426923862,0.1673469387755102,4.945582965667504,5.7877584998510425,55.89387655028099,0.2883073552765633,-0.1269883659323995,0.8510638297872353,3.9064856711915565,-24.73867595818815,245,7.476635514018692,-3.454894433781197,2.6968716289104577,0.46530612244897956,0.4
2021,20210101,20211231,2408,南亞科,244,244,1.0,76.85,1160229857.25,823129616.1500001,1.437895741174422,3.8934267796804303,0.036885245901639344,3.218818957253183,4.157675232508555,37.388871366955314,0.1730650233597893,-0.026982144138061576,0.8533478893740898,3.02495462794918,-42.04878048780488,244,2.801590867048964,-4.048906401826541,-0.6298458261185191,0.1598360655737705,0.4016393442622951
2021,20210101,20211231,2344,華邦電,244,244,1.0,30.15,2291284995.25,1158187775.3999999,2.0088335461898588,4.856973278989261,0.09016393442622951,4.163405149054189,5.05127450141668,48.305355593226295,0.18254592614618456,-0.06892394985011228,1.0417985657988293,3.1868355144217237,-37.66233766233766,244,4.779476366192226,-4.161670948710627,0.3913072090633296,0.2540983606557377,0.4180327868852459
2021,20210101,20211231,3231,緯創,244,244,1.0,29.674999999999997,370011186.35,237598985.57500002,0.51679931627584,1.7004414413895945,0.00819672131147541,1.605112652435528,1.9421382799399707,17.50344308591067,0.18253039032167845,-0.004513795930687089,0.18050541516245744,1.2178747648290653,-23.165467625899282,244,1.5332197614991383,-1.447106659220998,0.18132500410982244,0.028688524590163935,0.12295081967213115
2021,20210101,20211231,3017,奇鋐,244,244,1.0,73.05,614921007.05,337111900.54999995,1.2822084055718275,4.271633334632838,0.07377049180327869,3.8669801420256626,4.434177437588654,38.386551132136304,0.175776760770955,0.05630110510096382,0.6219872643005886,2.2777588192637457,-24.50331125827815,244,4.216401676949855,-2.8487354272742516,0.8202624839948824,0.27459016393442626,0.3155737704918033
2021,20210101,20211231,2368,金像電,244,244,1.0,64.30000000000001,964276734.7,629882921.8499999,1.8916873107624521,5.1905182189074495,0.11885245901639344,4.73472233138445,5.721200501255535,47.22725563615212,0.13739516277333513,-0.056398388782214995,0.7478127630066833,2.7748186393046157,-28.58361774744027,244,5.156713583212714,-3.617470631876013,1.172161172161168,0.3319672131147541,0.39344262295081966
