period,start_date,end_date,code,name,sessions,market_sessions,coverage,median_close,median_daily_turnover_proxy,p25_daily_turnover_proxy,median_abs_return_pct,p90_abs_return_pct,abs_return_ge_5pct_rate,median_atr14_pct,p75_atr14_pct,median_realized_vol20_annualized_pct,median_efficiency20,lag1_daily_return_autocorrelation,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,maximum_close_drawdown_pct,forward_evaluable_events,median_mfe10_pct,median_mae10_pct,median_day10_close_return_pct,plus_8pct_within_10d_close_hit_rate,minus_5pct_within_10d_close_hit_rate
HISTORICAL_DISCOVERY,20200101,20221231,2408,南亞科,735,735,1.0,65.8,874844388.0,569307852.6500001,1.3595197185123475,3.8120781420191125,0.047683923705722074,2.945611838310061,3.623728955543527,34.170836399910826,0.1881203779532352,0.04489660075956536,0.8752777139354961,3.0204174228675242,-49.772727272727266,725,2.673796791443861,-3.8112522686025385,-0.4761904761904856,0.1917241379310345,0.38620689655172413
HISTORICAL_DISCOVERY,20200101,20221231,2344,華邦電,735,735,1.0,24.05,746777546.4000001,369639523.75,1.7191977077363862,4.579426365140658,0.08027210884353742,3.5923645577862575,4.384162963807175,39.70835670005027,0.1925316445273671,0.04312026286268356,0.9478672985782088,3.2353739649789532,-51.81818181818182,735,3.3280507131537185,-3.9808917197452276,-0.16638935108153063,0.24353741496598638,0.41496598639455784
HISTORICAL_DISCOVERY,20200101,20221231,3231,緯創,735,735,1.0,29.1,331947029.7,221526703.64999998,0.7104795737122638,2.4943936518889087,0.021768707482993196,1.7898300882223643,2.3038677053792056,19.61453888927876,0.23196026245649395,0.016845101684261527,0.34129692832765013,1.8936713836477972,-39.456662354463134,735,1.736111111111116,-1.7937219730941756,0.1808318264014508,0.08163265306122448,0.1564625850340136
HISTORICAL_DISCOVERY,20200101,20221231,3017,奇鋐,735,735,1.0,74.7,665092594.4,370510749.925,1.5018773466833446,4.9105004277159985,0.09115646258503401,4.068656150100889,4.8572831934497005,42.913329324676674,0.18533453025498117,-0.014446997323033454,0.8474576271186418,2.86705202312138,-39.53216374269005,735,4.522613065326642,-3.5248041775456818,0.5813953488372103,0.3333333333333333,0.3741496598639456
HISTORICAL_DISCOVERY,20200101,20221231,2368,金像電,728,735,0.9904761904761905,63.55,1089867520.0,697056115.85,1.904761904761909,5.623484496723936,0.13067400275103164,4.474655475521946,5.5719232074309195,51.04010862483237,0.1683934033376891,-0.02167712185917155,0.8238928939237944,2.9800838574423514,-28.815368196371395,718,5.361241523213344,-3.871069756127227,1.0801088858642838,0.3635097493036212,0.4178272980501393
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,20230101,20241231,2408,南亞科,481,481,1.0,65.7,652699252.0,433488030.4,1.2154696132596676,3.433476394849788,0.02702702702702703,2.900604939039125,3.255797359232708,30.820374730650634,0.21857009688489415,0.080367171906155,0.6299212598425141,2.406015037593978,-63.86449184441656,481,2.5210084033613356,-3.7837837837837784,-1.025641025641033,0.14137214137214138,0.4074844074844075
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,20230101,20241231,2344,華邦電,481,481,1.0,25.6,569190596.9,402680376.0,1.1741682974559686,3.3663366336633693,0.02494802494802495,2.7705551364802297,3.222330724238002,30.66604518808115,0.17423336772845746,-0.006725529944775965,0.5940594059405835,2.115384615384608,-53.008130081300806,481,2.3255813953488413,-3.8306451612903247,-0.941619585687381,0.13305613305613306,0.38461538461538464
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,20230101,20241231,3231,緯創,481,481,1.0,102.5,5095821608.0,2518689531.0,1.7077798861480087,4.9695740365111485,0.0997920997920998,3.807837183437618,4.596839986713562,40.6061239172186,0.20913678256407875,0.10835506140747367,0.8733624454148492,3.797468354430378,-45.12658227848101,481,4.8458149779735615,-2.771855010660973,1.298701298701288,0.29521829521829523,0.30561330561330563
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,20230101,20241231,3017,奇鋐,481,481,1.0,349.0,4396952785.5,2625739182.0,1.9093078758949833,6.230529595015577,0.16424116424116425,4.928630208452294,5.781135349213408,51.700229318511084,0.20059224579114884,0.01584299039758889,0.9244992295839749,4.069767441860472,-36.99136868064118,481,6.172839506172845,-3.898305084745768,3.120124804992197,0.41995841995842,0.42411642411642414
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,20230101,20241231,2368,金像電,481,481,1.0,198.5,1423749172.5,889973599.5,1.8433179723502224,4.822335025380708,0.0893970893970894,4.279320942575517,5.0303541424614036,44.65152080074452,0.1641292691807357,0.019269503546239897,0.7853403141361293,2.9816513761467878,-37.272727272727266,481,4.820627802690569,-3.9800995024875663,0.773195876288657,0.2972972972972973,0.3887733887733888
