code,name,specialist_score,volatility_opportunity_component,liquidity_component,continuity_component,behavior_stability_component,gap_safety_component,discovery_median_atr14_pct,discovery_median_abs_return_pct,discovery_median_daily_turnover_proxy,discovery_coverage,discovery_p95_abs_overnight_gap_pct,behavior_stability_raw_mean_cv,future_outcomes_used_in_candidate_score,discovery_rank
2368,金像電,0.7500000000000001,1.0,1.0,0.0,1.0,0.5,4.474655475521946,1.904761904761909,1089867520.0,0.9904761904761905,2.9800838574423514,0.10673364525992736,False,1
3017,奇鋐,0.5625,0.625,0.25,0.625,0.75,0.75,4.068656150100889,1.5018773466833446,665092594.4,1.0,2.86705202312138,0.12019641734291668,False,2
2408,南亞科,0.48750000000000004,0.25,0.75,0.625,0.5,0.25,2.945611838310061,1.3595197185123475,874844388.0,1.0,3.0204174228675242,0.14788871371413242,False,3
2344,華邦電,0.4375,0.625,0.5,0.625,0.0,0.0,3.5923645577862575,1.7191977077363862,746777546.4000001,1.0,3.2353739649789532,0.34282276486071545,False,4
3231,緯創,0.2625,0.0,0.0,0.625,0.25,1.0,1.7898300882223643,0.7104795737122638,331947029.7,1.0,1.8936713836477972,0.23042449267109852,False,5
