time_slice,model,entry_gap_quintile,boundaries_fit_period,entry_gap_lower,entry_gap_upper,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,-0.004796163069544446,1311,1307,413,344,0.13925019127773527,0.20862936406596164,0.6674525031563103,0.004524112852848047,-0.0012893945811183532,-0.001581477806164282,1.2208187370820345,0.9443973719881362,0.0016473340030509866,0.0013002792162596323,0.0034615988283382246,0.004964494308411816,0.023145539177833182,-0.019873476639395055,0.03865844594663471,-0.03399296873771473,1.1372483011095085,-0.014015852722467801,-0.009583579885216093,-0.014107692738064139,7,0.0036423462876119094,-0.0021660392760961085,1.1768281851543305,0.9070940411359251,32,0.0012553235579124942,-0.004539454089359827,1.0597713091579068,0.8090376707666285,False
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,-0.004796163069544446,0.0,2513,2497,668,367,0.0881057268722467,0.19976460339995145,0.44104774005357206,0.0025807391719026252,-0.0032219402565952008,-0.003919701046220297,1.153994320656048,0.8359988748250468,-0.00025847905777514143,0.0009038004692536927,0.00201835217691918,0.0027491721383109307,0.01687674983585769,-0.015090771412536971,0.029412796966544967,-0.02609634779256923,1.1270848013038848,-0.0010851505772751977,0.0014955321607397622,-0.001085207011162863,12,0.001899957578045568,-0.003898767802105999,1.1128268193579445,0.8025011523456596,56,-0.00010105198420593388,-0.00588836913182548,0.994105395476858,0.7069959597484003,False
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0,0.005141388174807249,1620,1608,578,340,0.10820895522388059,0.204942218798151,0.5279973831573295,0.004167144745231064,-0.0016453013761610364,-0.005795893363385296,1.2438291450314043,0.9179045655614808,-0.00022866953527330593,0.0018875808474966356,0.002424961744695059,0.0044608500410328565,0.018142642703067476,-0.01525278916454248,0.032319149399114094,-0.026667811556370255,1.2119160708331118,0.0029525729046797964,0.007131494883017391,0.0029643501377863276,8,0.0034302229718099295,-0.0023778932106720938,1.1997116129559584,0.8819408017363376,37,0.0012935944820609176,-0.004502249012650522,1.073949514141929,0.7805208868811774,False
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.005141388174807249,0.0117647058823529,1290,1284,531,363,0.14563862928348908,0.20692389452195772,0.7038270259698531,0.004524289426168019,-0.0012896548690523935,-0.005797056004462673,1.230574779274618,0.9427305641172911,-0.0015035612308907937,0.0015674380511050143,0.002950449438123122,0.005778076774663887,0.02103639336823227,-0.018346349322299046,0.03753680670473141,-0.030528090515311024,1.2295825278002646,0.007931225829594143,0.012494214423694106,0.007969924997526086,6,0.003798141008038231,-0.0020115715853058313,1.1926630078096354,0.9110899764064154,30,0.0014057593490826763,-0.004390082434513569,1.0699688788701218,0.8096054156027018,False
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0117647058823529,,614,612,305,310,0.19934640522875818,0.20983130376494247,0.9500317714847272,0.007123836327239847,0.0012954334800725303,-0.002856519408350476,1.3046022052746684,1.04954680053218,-0.0012260854612379329,0.00465004007776128,0.007645540214228321,0.014498398283088798,0.028426154824505067,-0.02131651434226122,0.04919842854101008,-0.036052547923211796,1.3646311113932266,0.02050183052448365,0.027723681509950644,0.020599845182710796,3,0.006349135587886277,0.0005252120181851008,1.27014664764003,1.0199894582452924,15,0.0038218190872870528,-0.001987551339311332,1.1594087456683977,0.9258447740188109,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,-0.004796163069544446,658,655,262,219,0.11297709923664122,0.19181596552897154,0.5889869434230038,0.011720708646911045,0.005865372617932372,0.00842163128058356,1.776592963537446,1.3409058542346841,0.0016896943917772622,0.005876655017308823,0.009656313184107158,0.014059943268119112,0.02302289850246195,-0.011898525660620354,0.039945868906821676,-0.021770183349826833,1.8348889517799776,-0.010905459947621775,0.0007403198189642381,-0.010980388827946807,4,0.010780628792105161,0.004930820207163117,1.709942804283458,1.2848378556233788,20,0.007868557676751242,0.002035588193070659,1.5054371255198529,1.1146994143360183,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,-0.004796163069544446,0.0,1947,1941,454,320,0.1056156620298815,0.1868681271318975,0.5651882086629711,0.009708278492112945,0.0038645672962316986,0.0008372585692154128,1.7307024053665976,1.2443580475505545,0.0004888767021308107,0.002278278635475065,0.005496972859672577,0.010827619770800668,0.01805168631652852,-0.011900243010546615,0.033369961429559086,-0.02054068152531992,1.6245790768151909,-0.0010820475648605197,0.008612711608122346,-0.0010955668839905987,10,0.008904619917164576,0.0030655715519964525,1.666761379124197,1.1928385990321722,50,0.006471139610947557,0.00064607271990203,1.4745096772810733,1.0397990924708174,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0,0.005141388174807249,1172,1169,410,297,0.11206159110350727,0.18546188839558395,0.6042297534708785,0.008187152801948618,0.002351615440573726,0.0005787405768374462,1.5747796842314428,1.13918103512288,0.0005727287829057128,0.0015515586508165014,0.004653881087441515,0.01036694729450533,0.017947775914509374,-0.012682487658510551,0.0333147257531697,-0.021423082320447567,1.5550855500084588,0.0028683175917926327,0.01108131721731679,0.0028941644153681716,6,0.007453302846495454,0.00162204952563531,1.5205740138873283,1.0955087305931728,30,0.005120798934191448,-0.000697108374766271,1.3502800880447912,0.9598002574124187,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.005141388174807249,0.0117647058823529,794,791,339,281,0.14032869785082175,0.1943596932464748,0.7220051416363663,0.00833020099480244,0.0024945650767408825,0.00016070818030187257,1.4861054873910378,1.1261904339100646,-0.0007841780577331865,0.002715520171668603,0.004806061440254687,0.007631141015823295,0.020288064356587872,-0.01529283712733062,0.036249770098549884,-0.025992764814400705,1.3946100138784203,0.007805893385129371,0.01620597747207812,0.00787577647727568,4,0.00749095431399691,0.001660179581082851,1.4349210626670679,1.0835573989839267,20,0.0048888889590481726,-0.0009268463456752387,1.278075746056157,0.9542998913947137,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0117647058823529,,236,235,159,158,0.2170212765957447,0.20432379713914176,1.062143909003199,0.016789937518680718,0.010905514334827341,0.010056076939790685,1.988252010359732,1.5648147839424296,-0.0016269590143979697,0.00269305648517802,0.010853133502448792,0.01765642687915137,0.027539344593641487,-0.01742831203034425,0.04723011186572259,-0.0272169499986666,1.735319786678392,0.01830175781275044,0.03545363198566413,0.018663694466983415,2,0.01559178484416739,0.009714297298545957,1.9099185491808754,1.4988377965143302,7,0.013012856898576506,0.007150480290966678,1.7431188283651717,1.3593040408854862,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,-0.004796163069544446,347,345,134,157,0.1246376811594203,0.20717388567111558,0.6016090336659522,0.002031914075188783,-0.0037682965748401754,-0.007099202351764401,1.0943192170392082,0.8461105814118803,0.0017515778357156623,0.0025066338251072363,0.0038328335310180467,0.005217353193467255,0.023371558351112758,-0.0189803769850942,0.0361374340362972,-0.03264980859542805,1.1068191695726364,-0.015293084443985167,-0.013214443512922764,-0.015246357588111548,2,0.0012327426587368762,-0.004562927606562521,1.0568908336936733,0.8147397325322195,8,-0.0009932483940511543,-0.006776220355145019,0.9549636147458851,0.7296900642019007,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,-0.004796163069544446,0.0,952,949,228,207,0.05268703898840885,0.19690492239222168,0.2675760379593748,-0.004088970470863583,-0.009852882938112751,-0.008894833943167896,0.7910582671475627,0.5668627698485318,-0.0005889059738440437,-0.003303005210944468,-0.004761214978365011,-0.00394820322094806,0.01236592024477265,-0.01860471999377732,0.02351291275618492,-0.030966684290639708,0.7592970734452239,-0.001139478515127888,-0.00522552065184035,-0.0011365501809767666,4,-0.004683566986627698,-0.010443961823175337,0.7616838083489179,0.5428138517958934,19,-0.006736174580233992,-0.012484887746442082,0.662680624010675,0.46214703138709956,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0,0.005141388174807249,526,524,203,174,0.07061068702290077,0.1998442044038222,0.3533286703687379,-0.002569146403755604,-0.008342647113722986,-0.008000261007422016,0.8658742678391886,0.6251130319919825,-0.0007456160473898217,-0.0013792059147010511,-0.0035793998450787345,-0.004108936706997844,0.01483106207423396,-0.017964451449941625,0.025152596962129615,-0.030878667049810717,0.8145622646714538,0.0030883735182790253,0.0005171146885609661,0.00308626109231657,3,-0.003323210452661708,-0.009092411616167074,0.8275006218499675,0.5937606447269106,11,-0.004963931438767663,-0.010723777439019274,0.7462914490468526,0.528229978802284,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.005141388174807249,0.0117647058823529,432,431,178,188,0.10672853828306264,0.19403564496206105,0.5500460407876646,0.0013902636183977298,-0.004405037178171627,-0.007808453381677001,1.071277042972402,0.8047310310019723,-0.0024498836570881256,-0.001417774611547994,-0.0030702923898719824,-0.001093998478741028,0.01662660048816571,-0.021752141418503148,0.030697188115490413,-0.03490494314787789,0.8794510274788029,0.00802743779284204,0.009429584351260074,0.008039320732862345,2,0.000742572408533191,-0.005048877140690672,1.037894078152948,0.7772290895489593,10,-0.001486840751264255,-0.0072655687168779,0.9255402116262718,0.6854004512394875,False
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.0117647058823529,,172,171,88,123,0.19298245614035087,0.22799333492025708,0.846439025105047,0.009117986418221475,0.003276765740779075,-0.010919597416469952,1.4393284105596618,1.13874935591472,-0.0013670529309881714,0.0073309026321392275,0.009977377778322801,0.008725101383227001,0.028974984593807842,-0.01914203157603273,0.04355677210650338,-0.03277069867485039,1.3291377318095046,0.02405626967351619,0.03355548906025638,0.024437502642034904,1,0.008267319613131117,0.002431152857453871,1.3960115812427871,1.1023412360935079,5,0.00531360148823305,-0.0005055427777293314,1.2485371453344478,0.9792195250480399,False
