model,fit_period,feature,coefficient_or_weight,direction,intercept,regularization_alpha,training_observations,comparison_to_final_sign_agreement,comparison_to_final_cosine_similarity
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,range_compression20,-0.0008414677325992817,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,volatility20,-0.004971674037220201,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,rs5_vs_0050,-0.001106811918652146,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,rs20_vs_0050,-0.0032901766518793184,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,rs60_vs_0050,0.0008744940135507822,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,recent_breakout_flag,0.004051159531755844,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,recent_retest_flag,-0.0010651978182800283,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,recent_local_low_distance,0.015271125271983984,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,recent_local_high_distance,-0.0015810823378226732,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,bias5,-0.0006039045083961415,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,bias10,3.612683803957585e-05,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,bias20,-0.0020012970219568734,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,return_3,0.0005900626341561865,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,return_5,-0.0014379494176013446,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,return_10,-0.0019893337692387454,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,return_20,-0.003626999676316452,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,return_60,-0.004873483694664568,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma5,0.0005870081765725836,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma10,-0.000734243537502098,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma20,-0.004261910223462711,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,close_vs_ma60,0.00011941559890475501,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,distance_to_prior20_close_high,0.0008384997799241312,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,distance_to_prior60_close_high,-0.005062203263961376,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,drawdown_from_20d_high,-0.00048023301797799734,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,drawdown_from_60d_high,0.011768541645191224,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,days_since_20d_high,1.3023556589942162e-05,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,days_since_60d_high,-0.0019977644482996183,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,ma5_slope,0.004765555089336891,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,ma10_slope,0.005738697446082008,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,ma20_slope,0.0011600592021654174,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,ma60_slope,0.00989752418514966,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,volume_ratio5,0.0006493915976452438,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,volume_ratio20,-0.003586477602531314,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,prior_volume_contraction_5_20,-0.004840291751184203,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,atr5,-0.0028787377577332747,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,atr20,-0.001570294989426891,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,atr60,-3.8306368279547655e-05,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,atr5_atr20,0.003780421275997953,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,range_compression10,-0.0007949095072475981,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,range_compression20,0.004895876491523954,POSITIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_2021_EVALUATE_2022,volatility20,-0.008096889408147413,NEGATIVE,-0.0035453151508390993,100.0,219469,0.8974358974358975,0.8726249234866431
