row_type,model,signal_date,period,n_compact_appeared,n_compact_count,stock_code,score,rank,rank_percentile,in_top5,in_top10,in_top20,outcome_evaluable,winner,net_return
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200312,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200313,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200316,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200317,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200318,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200319,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200320,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200323,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200324,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200325,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200326,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200327,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200330,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200331,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200401,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200406,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200407,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200408,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200409,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200410,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200413,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200414,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200415,HISTORICAL_DISCOVERY,True,1,,,,,,,,,,
DAILY_STATUS,LINEAR_RIDGE_NET_RETURN,20200416,HISTORICAL_DISCOVERY,False,0,,,,,,,,,,
